run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
act_intensief_s20,10,gemiddelde,1,1.995,8.187,3,0,13976,warmup
act_intensief_s20,15,worstelaar,1,20.821,15.146,3,0,7763,warmup
act_intensief_s20,8,gemiddelde,1,0.325,37.5,7,0,14053,warmup
act_intensief_s20,0,gemiddelde,1,26.443,12.513,3,0,16509,warmup
act_intensief_s20,18,gemiddelde,1,27.616,17.431,3,0,13120,warmup
act_intensief_s20,14,worstelaar,1,36.259,9.881,3,0,9620,warmup
act_intensief_s20,3,gemiddelde,1,22.721,28.536,4,0,13586,warmup
act_intensief_s20,11,gemiddelde,1,5.106,46.922,8,0,19303,warmup
act_intensief_s20,1,gemiddelde,1,16.197,36.139,7,0,14005,warmup
act_intensief_s20,16,gemiddelde,1,38.977,22.744,3,0,13416,warmup
act_intensief_s20,19,doorpakker,1,4.358,58.777,9,0,25759,warmup
act_intensief_s20,7,doorpakker,1,22.03,44.889,9,0,24825,warmup
act_intensief_s20,12,doorpakker,1,4.364,72.498,13,0,27510,warmup
act_intensief_s20,2,doorpakker,1,21.769,59.873,9,0,22242,warmup
act_intensief_s20,4,doorpakker,1,24.707,63.559,13,0,24787,warmup
act_intensief_s20,6,doorpakker,1,13.944,75.704,12,0,24728,warmup
act_intensief_s20,9,gemiddelde,1,46.933,45.559,7,0,17921,warmup
act_intensief_s20,17,doorpakker,1,41.435,52.937,11,0,25005,warmup
act_intensief_s20,13,doorpakker,1,34.612,64.049,13,0,23700,warmup
act_intensief_s20,19,doorpakker,2,80.918,23.415,9,0,29063,measure
act_intensief_s20,8,gemiddelde,2,101.198,11.449,7,0,16586,measure
act_intensief_s20,18,gemiddelde,2,129.235,9.019,3,0,13748,measure
act_intensief_s20,10,gemiddelde,2,131.409,11.928,3,0,14629,measure
act_intensief_s20,17,doorpakker,2,112.627,37.769,8,0,27498,measure
act_intensief_s20,16,gemiddelde,2,116.067,37.932,4,0,14744,measure
act_intensief_s20,0,gemiddelde,2,142.304,14.075,3,0,18531,measure
act_intensief_s20,4,doorpakker,2,114.258,45.405,10,0,28669,measure
act_intensief_s20,12,doorpakker,2,120.623,39.196,12,0,30967,measure
act_intensief_s20,7,doorpakker,2,114.015,46.521,8,0,26907,measure
act_intensief_s20,11,gemiddelde,2,139.548,21.303,4,0,20498,measure
act_intensief_s20,14,worstelaar,2,153.72,12.931,4,0,12490,measure
act_intensief_s20,13,doorpakker,2,124.825,44.502,9,0,26691,measure
act_intensief_s20,6,doorpakker,2,140.994,29.978,9,0,27578,measure
act_intensief_s20,1,gemiddelde,2,163.196,9.008,3,0,14652,measure
act_intensief_s20,19,doorpakker,3,127.104,49.654,8,0,32012,measure
act_intensief_s20,16,gemiddelde,3,196.855,9.525,3,0,15770,measure
act_intensief_s20,2,doorpakker,2,183.389,44.014,14,0,25738,measure
act_intensief_s20,8,gemiddelde,3,186.214,48.298,6,0,19104,measure
act_intensief_s20,17,doorpakker,3,182.316,54.214,9,0,30669,measure
act_intensief_s20,19,doorpakker,4,191.245,54.174,10,0,22607,measure
act_intensief_s20,7,doorpakker,3,207.316,39.135,9,0,29251,measure
act_intensief_s20,4,doorpakker,3,208.751,39.799,9,0,20086,measure
act_intensief_s20,18,gemiddelde,3,223.737,29.985,4,0,16597,measure
act_intensief_s20,15,worstelaar,2,236.21,23.332,3,0,8309,measure
act_intensief_s20,13,doorpakker,3,215.109,50.27,14,0,22637,measure
act_intensief_s20,6,doorpakker,3,190.798,76.873,15,0,24312,measure
act_intensief_s20,11,gemiddelde,3,250.319,24.982,7,0,15829,measure
act_intensief_s20,1,gemiddelde,3,268.832,10.262,5,0,15615,measure
act_intensief_s20,2,doorpakker,3,247.472,41.604,14,0,29589,measure
act_intensief_s20,12,doorpakker,3,232.617,58.495,12,0,25542,measure
act_intensief_s20,0,gemiddelde,3,266.538,32.146,5,0,20507,measure
act_intensief_s20,3,gemiddelde,2,292.883,13.244,3,0,14441,measure
act_intensief_s20,10,gemiddelde,3,286.245,24.556,5,0,18779,measure
act_intensief_s20,4,doorpakker,4,281.764,44.714,14,0,27737,measure
act_intensief_s20,19,doorpakker,5,276.859,53.014,14,0,29914,measure
act_intensief_s20,17,doorpakker,4,296.443,42.98,9,0,21968,measure
act_intensief_s20,16,gemiddelde,4,335.563,4.914,3,0,16976,measure
act_intensief_s20,18,gemiddelde,4,313.568,29.423,4,0,18124,measure
act_intensief_s20,13,doorpakker,4,289.793,58.32,14,0,28268,measure
act_intensief_s20,9,gemiddelde,2,343.299,8.94,3,0,18892,measure
act_intensief_s20,6,doorpakker,4,306.473,47.552,8,0,26581,measure
act_intensief_s20,2,doorpakker,4,316.703,38.503,8,0,20107,measure
act_intensief_s20,7,doorpakker,4,317.955,45.005,11,0,23367,measure
act_intensief_s20,0,gemiddelde,4,392.831,3.17,1,0,20864,measure
act_intensief_s20,3,gemiddelde,3,391.559,4.848,3,0,13815,measure
act_intensief_s20,13,doorpakker,5,382.88,13.961,3,0,20802,measure
act_intensief_s20,6,doorpakker,5,383.408,13.724,4,0,27717,measure
act_intensief_s20,1,gemiddelde,4,371.515,26.006,4,0,11202,measure
act_intensief_s20,4,doorpakker,5,366.317,31.341,9,0,23586,measure
act_intensief_s20,12,doorpakker,4,372.936,24.871,6,0,26930,measure
act_intensief_s20,2,doorpakker,5,380.498,18.626,3,0,21553,measure
