t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.03,1788912297.9571,334177909.0,322008864.0,0.0,0.0,0.0,0.0,334177909.0,3243267.0,13803.0,15412312.0,
2.04,1788912299.9727,334190309.0,322021232.0,0.0,0.0106,1.0,0.0,334190309.0,3243502.0,13803.0,15412579.0,0.9974
4.06,1788912301.9883,334217344.0,322041040.0,0.0,0.0169,2.0,0.0,334217344.0,3243852.0,13804.0,15420156.0,0.7327
6.09,1788912304.0159,334277210.0,322078464.0,0.0,0.0349,4.0,0.0,334231850.0,3243936.0,13805.0,15420474.0,0.6251
8.1,1788912306.0299,334292528.0,322085888.0,0.0,0.0465,5.0,0.0,334292528.0,3244123.0,13805.0,15450763.0,0.4847
10.12,1788912308.0461,334329307.0,322121296.0,0.0,0.0477,5.0,0.0,334329307.0,3244722.0,13807.0,15452733.0,0.9627
12.13,1788912310.0611,334344858.0,322136656.0,0.0,0.0417,4.0,0.0,334344858.0,3245398.0,13809.0,15453600.0,0.9877
14.15,1788912312.0755,334410138.0,322199456.0,0.0,0.0524,5.0,0.0,334410138.0,3245941.0,13812.0,15456623.0,0.962
16.16,1788912314.0899,334432858.0,322221936.0,0.0,0.0422,4.0,0.0,334432858.0,3246583.0,13814.0,15457505.0,0.9894
18.23,1788912316.1611,334505837.0,322290800.0,0.0,0.0584,6.0,0.0,334505837.0,3247209.0,13816.0,15462246.0,0.9436
20.25,1788912318.1797,334518667.0,322302848.0,0.0,0.0596,6.0,0.0,334518667.0,3247996.0,13817.0,15463815.0,0.939
22.26,1788912320.1944,334588144.0,322357872.0,0.0,0.0702,8.0,0.0,334567605.0,3248544.0,13819.0,15468837.0,0.792
24.28,1788912322.2125,334621974.0,322375744.0,0.0,0.085,10.0,0.0,334588144.0,3248567.0,13819.0,15478839.0,0.5283
26.3,1788912324.227,334654620.0,322398960.0,0.0,0.0932,11.0,0.0,334654620.0,3249070.0,13820.0,15504730.0,0.7111
28.31,1788912326.2421,334684144.0,322414496.0,0.0,0.1054,13.0,0.0,334684144.0,3249618.0,13820.0,15519266.0,0.5262
30.33,1788912328.2602,334766736.0,322496224.0,0.0,0.1064,13.0,0.0,334743143.0,3250715.0,13825.0,15521090.0,0.9895
32.35,1788912330.2774,334862202.0,322589744.0,0.0,0.1075,13.0,0.0,334862202.0,3251725.0,13831.0,15524183.0,0.9796
34.37,1788912332.2954,334961467.0,322687696.0,0.0,0.109,13.0,0.0,334961467.0,3252765.0,13837.0,15526536.0,0.9868
36.38,1788912334.3121,335015793.0,322732752.0,0.0,0.113,13.0,0.0,335015793.0,3253410.0,13840.0,15536451.0,0.8294
38.4,1788912336.3276,335072530.0,322783776.0,0.0,0.1119,13.0,0.0,335072530.0,3254476.0,13844.0,15543230.0,0.8993
40.42,1788912338.3473,335165560.0,322869824.0,0.0,0.1108,13.0,0.0,335165560.0,3255299.0,13849.0,15551035.0,0.9249
42.43,1788912340.3623,335207636.0,322900096.0,0.0,0.1212,14.0,0.0,335186989.0,3255863.0,13850.0,15553300.0,0.7195
44.45,1788912342.3802,335278918.0,322968928.0,0.0,0.1233,14.0,0.0,335278918.0,3256797.0,13854.0,15566787.0,0.9656
46.47,1788912344.3985,335399977.0,323088080.0,0.0,0.105,11.0,0.0,335399977.0,3257768.0,13863.0,15569665.0,0.9842
48.48,1788912346.4152,335539494.0,323225856.0,0.0,0.1133,12.0,0.0,335539494.0,3258657.0,13869.0,15572295.0,0.9875
50.5,1788912348.4303,335672573.0,323356896.0,0.0,0.1237,13.0,0.0,335672573.0,3259642.0,13874.0,15575319.0,0.9847
52.53,1788912350.4635,335755846.0,323439152.0,0.0,0.1023,10.0,0.0,335755846.0,3260667.0,13881.0,15577361.0,0.9878
54.55,1788912352.4776,335802831.0,323484880.0,0.0,0.1038,10.0,0.0,335802831.0,3261526.0,13883.0,15579477.0,0.9732
56.56,1788912354.4921,335883482.0,323564528.0,0.0,0.1045,10.0,0.0,335883482.0,3262375.0,13887.0,15581329.0,0.9876
58.58,1788912356.5127,335948206.0,323627936.0,0.0,0.0965,9.0,0.0,335948206.0,3263203.0,13891.0,15583473.0,0.9797
60.6,1788912358.5341,336015800.0,323694448.0,0.0,0.0968,9.0,0.0,336015800.0,3264060.0,13894.0,15585412.0,0.984
62.62,1788912360.5483,336086238.0,323763984.0,0.0,0.092,8.0,0.0,336086238.0,3264872.0,13898.0,15587126.0,0.9872
64.64,1788912362.5654,336196137.0,323872592.0,0.0,0.0902,8.0,0.0,336196137.0,3265734.0,13903.0,15589279.0,0.9883
66.65,1788912364.5843,336270095.0,323945152.0,0.0,0.0917,8.0,0.0,336270095.0,3266588.0,13906.0,15591531.0,0.9811
68.67,1788912366.6011,336356330.0,324030496.0,0.0,0.0808,7.0,0.0,336356330.0,3267372.0,13911.0,15593206.0,0.9897
