t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.03,1788911872.8127,330134693.0,318146224.0,0.0,0.0,0.0,0.0,330134693.0,3189225.0,13570.0,15177694.0,
2.04,1788911874.8284,330139897.0,318148848.0,0.0,0.0046,1.0,0.0,330139897.0,3189516.0,13570.0,15180565.0,0.5042
4.06,1788911876.8447,330152127.0,318156720.0,0.0,0.0051,1.0,0.0,330152127.0,3189900.0,13572.0,15185307.0,0.6437
6.08,1788911878.8597,330184275.0,318173808.0,0.0,0.0228,3.0,0.0,330184275.0,3190071.0,13572.0,15200538.0,0.5315
8.09,1788911880.8751,330207359.0,318196176.0,0.0,0.0236,3.0,0.0,330207359.0,3190582.0,13574.0,15201765.0,0.969
10.11,1788911882.891,330207359.0,318196176.0,0.0,0.0208,2.0,0.0,330207359.0,3191083.0,13575.0,15202266.0,
12.13,1788911884.9128,330240768.0,318228960.0,0.0,0.021,2.0,0.0,330240768.0,3191505.0,13577.0,15203313.0,0.9813
14.14,1788911886.9261,330277686.0,318255632.0,0.0,0.0297,3.0,0.0,330257191.0,3191938.0,13578.0,15203865.0,0.7225
16.16,1788911888.9408,330294540.0,318272080.0,0.0,0.0318,3.0,0.0,330294540.0,3192191.0,13579.0,15214651.0,0.9759
18.18,1788911890.9606,330324376.0,318298304.0,0.0,0.0351,4.0,0.0,330307289.0,3192810.0,13581.0,15218755.0,0.8789
20.19,1788911892.9754,330324376.0,318298304.0,0.0,0.0279,3.0,0.0,330324376.0,3193337.0,13582.0,15219409.0,
22.21,1788911894.9903,330368107.0,318332224.0,0.0,0.0362,5.0,0.0,330354743.0,3193775.0,13584.0,15223254.0,0.7757
24.23,1788911897.0158,330422736.0,318382960.0,0.0,0.0446,7.0,0.0,330422736.0,3194489.0,13587.0,15234265.0,0.9287
26.25,1788911899.0321,330436465.0,318396400.0,0.0,0.0412,6.0,0.0,330436465.0,3195482.0,13590.0,15235547.0,0.9789
28.26,1788911901.0468,330482717.0,318435008.0,0.0,0.0448,7.0,0.0,330482717.0,3196195.0,13593.0,15243904.0,0.8347
30.28,1788911903.0613,330535461.0,318486896.0,0.0,0.0423,6.0,0.0,330535461.0,3196936.0,13598.0,15245501.0,0.9838
32.29,1788911905.0769,330542346.0,318493568.0,0.0,0.0322,4.0,0.0,330542346.0,3197663.0,13601.0,15246441.0,0.9691
34.31,1788911907.0921,330616007.0,318563712.0,0.0,0.0245,2.0,0.0,330616007.0,3198068.0,13607.0,15250363.0,0.9523
36.33,1788911909.1116,330641279.0,318583360.0,0.0,0.0237,2.0,0.0,330641279.0,3198456.0,13609.0,15256375.0,0.7775
38.47,1788911911.2498,330667176.0,318605600.0,0.0,0.0269,3.0,0.0,330667176.0,3198911.0,13611.0,15260487.0,0.8588
40.48,1788911913.2666,330699410.0,318633408.0,0.0,0.0279,3.0,0.0,330699410.0,3199365.0,13614.0,15265367.0,0.8627
42.56,1788911915.3482,330766068.0,318693072.0,0.0,0.0335,4.0,0.0,330766068.0,3199759.0,13617.0,15272755.0,0.8951
44.58,1788911917.3633,330779629.0,318706384.0,0.0,0.0342,4.0,0.0,330779629.0,3200477.0,13618.0,15273722.0,0.9816
46.6,1788911919.3785,330854024.0,318779312.0,0.0,0.0354,4.0,0.0,330854024.0,3201036.0,13622.0,15275748.0,0.9803
48.61,1788911921.3933,330890252.0,318815104.0,0.0,0.0351,4.0,0.0,330890252.0,3201679.0,13625.0,15276827.0,0.988
50.63,1788911923.412,330938492.0,318862160.0,0.0,0.0361,4.0,0.0,330938492.0,3202289.0,13628.0,15278621.0,0.9755
52.64,1788911925.4272,330988343.0,318910480.0,0.0,0.0375,4.0,0.0,330988343.0,3202897.0,13631.0,15280760.0,0.9693
54.66,1788911927.4443,331013647.0,318935584.0,0.0,0.0382,4.0,0.0,331013647.0,3203566.0,13632.0,15281629.0,0.9921
56.68,1788911929.459,331066362.0,318987552.0,0.0,0.0383,4.0,0.0,331066362.0,3204152.0,13636.0,15282962.0,0.9858
58.81,1788911931.5901,331082795.0,319002992.0,0.0,0.0362,3.0,0.0,331082795.0,3204767.0,13638.0,15284570.0,0.9396
60.83,1788911933.6115,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
62.84,1788911935.6273,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
64.86,1788911937.6443,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
66.88,1788911939.6595,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
68.89,1788911941.6749,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
70.91,1788911943.6903,331082795.0,319002992.0,0.0,0.0,0.0,0.0,331082795.0,3205135.0,13641.0,15284938.0,
72.93,1788911945.7122,331100217.0,319020192.0,0.0,0.0147,1.0,0.0,331100217.0,3205320.0,13641.0,15285345.0,0.9873
74.94,1788911947.7277,331118084.0,319037664.0,0.0,0.0151,1.0,0.0,331118084.0,3205600.0,13642.0,15286020.0,0.9779
76.96,1788911949.7415,331118084.0,319037664.0,0.0,0.0153,1.0,0.0,331118084.0,3205904.0,13642.0,15286324.0,
78.97,1788911951.7552,331154531.0,319073776.0,0.0,0.0154,1.0,0.0,331154531.0,3206164.0,13644.0,15286919.0,0.9908
80.99,1788911953.7705,331173695.0,319092224.0,0.0,0.0162,1.0,0.0,331173695.0,3206436.0,13645.0,15287907.0,0.9626
83.0,1788911955.7849,331212914.0,319130992.0,0.0,0.0167,1.0,0.0,331212914.0,3206688.0,13647.0,15288610.0,0.9885
85.02,1788911957.8012,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
87.03,1788911959.8169,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
89.05,1788911961.8325,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
91.06,1788911963.8472,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
93.08,1788911965.8647,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
95.1,1788911967.8812,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
97.11,1788911969.8972,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
99.13,1788911971.9153,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
101.15,1788911973.931,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
103.16,1788911975.9469,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
105.18,1788911977.9611,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
107.19,1788911979.9768,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
109.21,1788911981.9923,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
111.23,1788911984.0148,331212914.0,319130992.0,0.0,0.0,0.0,0.0,331212914.0,3206926.0,13648.0,15288848.0,
113.25,1788911986.0309,331264295.0,319181968.0,0.0,0.0216,1.0,0.0,331264295.0,3207059.0,13649.0,15289386.0,0.9921
115.26,1788911988.0465,331290316.0,319207808.0,0.0,0.0218,1.0,0.0,331290316.0,3207308.0,13650.0,15289816.0,0.993
117.28,1788911990.0622,331343524.0,319260240.0,0.0,0.0226,1.0,0.0,331343524.0,3207524.0,13652.0,15290808.0,0.9854
119.29,1788911992.0774,331370719.0,319287232.0,0.0,0.0228,1.0,0.0,331370719.0,3207768.0,13653.0,15291255.0,0.9925
121.31,1788911994.0944,331426086.0,319341936.0,0.0,0.0234,1.0,0.0,331426086.0,3207984.0,13655.0,15292134.0,0.988
123.33,1788911996.1135,331454207.0,319369904.0,0.0,0.0235,1.0,0.0,331454207.0,3208225.0,13656.0,15292528.0,0.9946
125.34,1788911998.1282,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
131.44,1788912004.2267,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
133.46,1788912006.2431,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
135.47,1788912008.2584,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
137.49,1788912010.2745,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
139.51,1788912012.2903,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
141.53,1788912014.3115,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
143.54,1788912016.327,331454207.0,319369904.0,0.0,0.0,0.0,0.0,331454207.0,3208376.0,13657.0,15292679.0,
145.56,1788912018.3415,331473636.0,319380272.0,0.0,0.0163,1.0,0.0,331473636.0,3208413.0,13657.0,15301777.0,0.5336
147.57,1788912020.356,331473636.0,319380272.0,0.0,0.0165,1.0,0.0,331473636.0,3208709.0,13657.0,15302073.0,
149.59,1788912022.3703,331473636.0,319380272.0,0.0,0.0168,1.0,0.0,331473636.0,3209005.0,13657.0,15302369.0,
151.6,1788912024.3856,331513613.0,319419696.0,0.0,0.0168,1.0,0.0,331513613.0,3209252.0,13659.0,15303169.0,0.9862
153.62,1788912026.4004,331562162.0,319467280.0,0.0,0.0303,3.0,0.0,331562162.0,3209549.0,13660.0,15304431.0,0.9801
155.63,1788912028.4152,331603684.0,319508400.0,0.0,0.0309,3.0,0.0,331603684.0,3210034.0,13662.0,15305318.0,0.9903
157.65,1788912030.4297,331653737.0,319557760.0,0.0,0.0282,2.0,0.0,331653737.0,3210479.0,13666.0,15306456.0,0.9862
159.66,1788912032.4444,331653737.0,319557760.0,0.0,0.0286,2.0,0.0,331653737.0,3210923.0,13666.0,15306900.0,
161.68,1788912034.4597,331697142.0,319599952.0,0.0,0.0293,2.0,0.0,331697142.0,3211291.0,13668.0,15308481.0,0.9721
163.69,1788912036.4743,331741174.0,319643520.0,0.0,0.0299,2.0,0.0,331741174.0,3211684.0,13670.0,15309338.0,0.9895
165.71,1788912038.498,331807926.0,319709824.0,0.0,0.0304,2.0,0.0,331807926.0,3212053.0,13673.0,15310155.0,0.9933
167.73,1788912040.5135,331853311.0,319754720.0,0.0,0.031,2.0,0.0,331853311.0,3212440.0,13675.0,15311031.0,0.9892
169.74,1788912042.5278,331877125.0,319777472.0,0.0,0.02,1.0,0.0,331877125.0,3212769.0,13677.0,15312422.0,0.9554
171.76,1788912044.5435,331901125.0,319801344.0,0.0,0.0202,1.0,0.0,331901125.0,3213024.0,13678.0,15312805.0,0.9947
173.78,1788912046.5596,331925344.0,319825408.0,0.0,0.0204,1.0,0.0,331925344.0,3213279.0,13679.0,15313215.0,0.9936
175.79,1788912048.5746,331965904.0,319865504.0,0.0,0.0283,2.0,0.0,331965904.0,3213584.0,13680.0,15313984.0,0.9886
177.81,1788912050.5895,331982305.0,319881664.0,0.0,0.0287,2.0,0.0,331982305.0,3213994.0,13681.0,15314635.0,0.9853
179.83,1788912052.612,332023673.0,319922560.0,0.0,0.0289,2.0,0.0,332023673.0,3214378.0,13683.0,15315491.0,0.9886
181.84,1788912054.6269,332023673.0,319922560.0,0.0,0.0,0.0,0.0,332023673.0,3214723.0,13685.0,15315836.0,
183.86,1788912056.6422,332023673.0,319922560.0,0.0,0.0,0.0,0.0,332023673.0,3214723.0,13685.0,15315836.0,
185.87,1788912058.6569,332037929.0,319936432.0,0.0,0.012,1.0,0.0,332037929.0,3214798.0,13685.0,15316295.0,0.9731
187.89,1788912060.6715,332052716.0,319950752.0,0.0,0.0125,1.0,0.0,332052716.0,3215093.0,13686.0,15317057.0,0.9684
