run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
engine_kv_fp8,10,worstelaar,1,1.993,2.083,2,0,13064,warmup
engine_kv_fp8,8,worstelaar,1,0.321,40.879,4,0,13428,warmup
engine_kv_fp8,15,afhaker,1,20.818,26.077,2,0,9732,warmup
engine_kv_fp8,14,afhaker,1,36.256,12.378,2,0,12196,warmup
engine_kv_fp8,0,worstelaar,1,26.441,22.972,2,0,18785,warmup
engine_kv_fp8,18,gemiddelde,1,27.613,30.351,3,0,25274,warmup
engine_kv_fp8,19,gemiddelde,1,4.355,55.646,3,0,32126,warmup
engine_kv_fp8,2,gemiddelde,1,21.766,44.735,3,0,28411,warmup
engine_kv_fp8,3,gemiddelde,1,22.719,44.268,4,0,27828,warmup
engine_kv_fp8,4,gemiddelde,1,24.704,43.211,5,0,25737,warmup
engine_kv_fp8,16,gemiddelde,1,38.974,30.682,3,0,25397,warmup
engine_kv_fp8,9,worstelaar,1,46.93,25.123,4,0,18566,warmup
engine_kv_fp8,1,gemiddelde,1,16.192,56.178,7,0,25254,warmup
engine_kv_fp8,12,gemiddelde,1,4.361,76.117,8,0,30935,warmup
engine_kv_fp8,7,doorpakker,1,22.027,59.499,9,0,44732,warmup
engine_kv_fp8,13,gemiddelde,1,34.609,52.671,8,0,24556,warmup
engine_kv_fp8,17,doorpakker,1,41.432,57.196,11,0,45891,warmup
engine_kv_fp8,6,doorpakker,1,13.942,88.402,12,0,43951,warmup
engine_kv_fp8,19,gemiddelde,2,113.351,24.715,7,0,34846,measure
engine_kv_fp8,17,doorpakker,2,116.883,32.076,8,0,48402,measure
engine_kv_fp8,18,gemiddelde,2,142.153,7.553,3,0,25898,measure
engine_kv_fp8,16,gemiddelde,2,124.003,30.397,4,0,26725,measure
engine_kv_fp8,7,doorpakker,2,128.622,37.959,8,0,46808,measure
engine_kv_fp8,4,gemiddelde,2,145.891,29.063,8,0,28484,measure
engine_kv_fp8,6,doorpakker,2,153.69,23.333,9,0,46860,measure
engine_kv_fp8,8,worstelaar,2,169.776,10.652,4,0,13635,measure
engine_kv_fp8,1,gemiddelde,2,183.231,8.102,3,0,25901,measure
engine_kv_fp8,16,gemiddelde,3,197.257,8.3,3,0,27750,measure
engine_kv_fp8,17,doorpakker,3,180.879,44.259,9,0,51574,measure
engine_kv_fp8,19,gemiddelde,3,206.376,29.258,8,0,36978,measure
engine_kv_fp8,13,gemiddelde,2,212.703,26.218,5,0,26493,measure
engine_kv_fp8,7,doorpakker,3,213.362,36.832,9,0,49140,measure
engine_kv_fp8,11,worstelaar,1,233.706,22.439,4,0,19561,measure
engine_kv_fp8,18,gemiddelde,3,235.189,24.383,4,0,28747,measure
engine_kv_fp8,6,doorpakker,3,196.85,67.588,15,0,52795,measure
engine_kv_fp8,0,worstelaar,2,287.731,10.171,2,0,20719,measure
engine_kv_fp8,1,gemiddelde,3,287.964,11.072,5,0,26837,measure
engine_kv_fp8,10,worstelaar,2,295.554,10.964,2,0,11958,measure
engine_kv_fp8,13,gemiddelde,3,287.904,23.209,6,0,29843,measure
engine_kv_fp8,3,gemiddelde,2,308.613,10.628,3,0,28683,measure
engine_kv_fp8,17,doorpakker,4,285.052,36.581,9,0,53929,measure
engine_kv_fp8,14,afhaker,2,317.583,9.35,3,0,13285,measure
engine_kv_fp8,16,gemiddelde,4,334.741,6.375,3,0,28961,measure
engine_kv_fp8,8,worstelaar,3,335.627,9.265,3,0,15208,measure
engine_kv_fp8,18,gemiddelde,4,319.419,28.994,4,0,30274,measure
engine_kv_fp8,6,doorpakker,4,303.24,48.566,8,0,55046,measure
engine_kv_fp8,4,gemiddelde,3,322.217,32.337,7,0,31476,measure
engine_kv_fp8,7,doorpakker,4,321.7,51.373,11,0,52844,measure
engine_kv_fp8,11,worstelaar,2,377.399,11.497,3,0,20279,measure
engine_kv_fp8,12,gemiddelde,2,360.097,32.659,8,0,34199,measure
engine_kv_fp8,17,doorpakker,5,380.925,15.246,3,0,55015,measure
engine_kv_fp8,2,gemiddelde,2,371.741,24.975,6,0,29682,measure
engine_kv_fp8,13,gemiddelde,4,394.059,3.615,1,0,30090,measure
engine_kv_fp8,6,doorpakker,5,381.189,16.678,4,0,36263,measure
engine_kv_fp8,1,gemiddelde,4,391.457,6.768,1,0,27057,measure
