run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
engine_len_65k,10,worstelaar,1,1.992,2.091,2,0,13064,warmup
engine_len_65k,8,worstelaar,1,0.32,40.997,4,0,13428,warmup
engine_len_65k,15,afhaker,1,20.816,26.046,2,0,9732,warmup
engine_len_65k,14,afhaker,1,36.254,12.352,2,0,12217,warmup
engine_len_65k,0,worstelaar,1,26.438,22.996,2,0,18785,warmup
engine_len_65k,18,gemiddelde,1,27.612,30.338,3,0,25273,warmup
engine_len_65k,19,gemiddelde,1,4.353,55.823,3,0,32126,warmup
engine_len_65k,2,gemiddelde,1,21.765,44.944,3,0,28445,warmup
engine_len_65k,3,gemiddelde,1,22.718,44.441,4,0,27829,warmup
engine_len_65k,4,gemiddelde,1,24.703,43.366,5,0,25736,warmup
engine_len_65k,16,gemiddelde,1,38.972,30.878,3,0,25374,warmup
engine_len_65k,9,worstelaar,1,46.929,25.347,4,0,18556,warmup
engine_len_65k,1,gemiddelde,1,16.193,56.393,7,0,25248,warmup
engine_len_65k,12,gemiddelde,1,4.36,76.08,8,0,30935,warmup
engine_len_65k,7,doorpakker,1,22.026,59.557,9,0,44769,warmup
engine_len_65k,13,gemiddelde,1,34.608,52.804,8,0,24556,warmup
engine_len_65k,17,doorpakker,1,41.431,57.43,11,0,45960,warmup
engine_len_65k,6,doorpakker,1,13.94,88.443,12,0,43967,warmup
engine_len_65k,19,gemiddelde,2,113.526,24.623,7,0,34856,measure
engine_len_65k,17,doorpakker,2,117.118,31.861,8,0,48471,measure
engine_len_65k,18,gemiddelde,2,142.138,7.439,3,0,25904,measure
engine_len_65k,16,gemiddelde,2,124.196,30.245,4,0,26702,measure
engine_len_65k,7,doorpakker,2,128.678,37.567,8,0,46851,measure
engine_len_65k,4,gemiddelde,2,146.045,28.624,8,0,28471,measure
engine_len_65k,6,doorpakker,2,153.73,23.128,9,0,46894,measure
engine_len_65k,8,worstelaar,2,169.892,10.399,4,0,13626,measure
engine_len_65k,1,gemiddelde,2,183.444,8.158,3,0,25891,measure
engine_len_65k,16,gemiddelde,3,197.299,8.189,3,0,27731,measure
engine_len_65k,17,doorpakker,3,180.899,44.341,9,0,51643,measure
engine_len_65k,19,gemiddelde,3,206.459,29.213,8,0,36990,measure
engine_len_65k,13,gemiddelde,2,212.835,25.926,5,0,26496,measure
engine_len_65k,7,doorpakker,3,213.026,36.212,9,0,49183,measure
engine_len_65k,11,worstelaar,1,233.705,22.526,4,0,19560,measure
engine_len_65k,18,gemiddelde,3,235.061,24.169,4,0,28753,measure
engine_len_65k,6,doorpakker,3,196.685,66.928,15,0,52843,measure
engine_len_65k,0,worstelaar,2,287.752,10.317,2,0,20766,measure
engine_len_65k,1,gemiddelde,3,288.231,11.12,5,0,26807,measure
engine_len_65k,10,worstelaar,2,295.563,11.171,2,0,11958,measure
engine_len_65k,13,gemiddelde,3,287.743,23.37,6,0,29796,measure
engine_len_65k,3,gemiddelde,2,308.783,10.892,3,0,28684,measure
engine_len_65k,17,doorpakker,4,285.152,36.938,9,0,53998,measure
engine_len_65k,14,afhaker,2,317.556,9.589,3,0,13306,measure
engine_len_65k,16,gemiddelde,4,334.671,6.408,3,0,28932,measure
engine_len_65k,8,worstelaar,3,335.491,9.258,3,0,15208,measure
engine_len_65k,18,gemiddelde,4,319.076,28.937,4,0,30280,measure
engine_len_65k,6,doorpakker,4,302.415,48.278,8,0,55109,measure
engine_len_65k,4,gemiddelde,3,321.932,31.779,7,0,31471,measure
engine_len_65k,7,doorpakker,4,320.741,50.477,11,0,52887,measure
engine_len_65k,11,worstelaar,2,377.484,12.229,3,0,20278,measure
engine_len_65k,12,gemiddelde,2,360.057,31.386,8,0,34199,measure
engine_len_65k,17,doorpakker,5,381.384,13.889,3,0,55084,measure
engine_len_65k,2,gemiddelde,2,371.949,24.507,6,0,29778,measure
engine_len_65k,6,doorpakker,5,380.076,16.86,4,0,36326,measure
engine_len_65k,13,gemiddelde,4,394.059,3.249,1,0,30043,measure
engine_len_65k,1,gemiddelde,4,391.771,6.205,1,0,27027,measure
