t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1788914968.6545,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.03,1788914970.6699,12410.0,0.0,0.0,0.0106,1.0,0.0,12410.0,169.0,1.0,12579.0,0.0
4.05,1788914972.6842,38339.0,18496.0,0.0,0.0172,2.0,0.0,38339.0,519.0,2.0,20362.0,0.7133
6.06,1788914974.6998,70402.0,25456.0,0.0,0.0247,2.0,1.0,38339.0,597.0,3.0,20440.0,0.2171
8.08,1788914976.714,100134.0,41104.0,0.0,0.0385,3.0,0.0,38339.0,599.0,3.0,20442.0,0.5263
10.09,1788914978.7284,100134.0,41104.0,0.0,0.0441,3.0,0.0,100134.0,709.0,3.0,59739.0,
12.11,1788914980.7444,146034.0,85680.0,0.0,0.045,3.0,0.0,146034.0,1123.0,5.0,61477.0,0.9712
14.12,1788914982.7589,146034.0,85680.0,0.0,0.0455,3.0,0.0,146034.0,1594.0,5.0,61948.0,
16.14,1788914984.7742,186425.0,101968.0,0.0,0.0593,4.0,0.0,146034.0,1600.0,5.0,61954.0,0.4033
18.17,1788914986.8077,186425.0,101968.0,0.0,0.0658,4.0,0.0,146034.0,1603.0,5.0,61957.0,
20.37,1788914989.0093,209800.0,113328.0,0.0,0.0761,5.0,0.0,209800.0,1766.0,5.0,98238.0,0.486
22.39,1788914991.0253,261248.0,146304.0,0.0,0.0867,7.0,0.0,233190.0,2220.0,6.0,102786.0,0.641
24.4,1788914993.0407,302626.0,166784.0,0.0,0.0988,8.0,1.0,261248.0,2233.0,6.0,117177.0,0.4949
26.42,1788914995.056,302626.0,166784.0,0.0,0.1058,8.0,1.0,261248.0,2240.0,6.0,117184.0,
28.43,1788914997.0705,329776.0,180464.0,0.0,0.1196,9.0,2.0,302626.0,2255.0,6.0,138097.0,0.5039
30.45,1788914999.0859,371922.0,202608.0,0.0,0.1335,11.0,1.0,329776.0,2272.0,6.0,151584.0,0.5254
32.46,1788915001.0999,396802.0,215264.0,0.0,0.1473,12.0,0.0,371922.0,2293.0,6.0,171607.0,0.5087
34.48,1788915003.1142,464873.0,282000.0,0.0,0.1494,12.0,0.0,464873.0,2843.0,9.0,185716.0,0.9804
36.49,1788915005.1297,499049.0,299552.0,0.0,0.1637,14.0,0.0,487116.0,3221.0,9.0,196977.0,0.5136
