run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
engine_seqs_64,10,worstelaar,1,1.992,2.079,2,0,13064,warmup
engine_seqs_64,8,worstelaar,1,0.321,40.792,4,0,13428,warmup
engine_seqs_64,15,afhaker,1,20.819,26.024,2,0,9732,warmup
engine_seqs_64,14,afhaker,1,36.254,12.347,2,0,12190,warmup
engine_seqs_64,0,worstelaar,1,26.439,22.897,2,0,18785,warmup
engine_seqs_64,18,gemiddelde,1,27.612,30.195,3,0,25272,warmup
engine_seqs_64,19,gemiddelde,1,4.354,55.45,3,0,32126,warmup
engine_seqs_64,2,gemiddelde,1,21.765,44.596,3,0,28444,warmup
engine_seqs_64,3,gemiddelde,1,22.719,44.136,4,0,27803,warmup
engine_seqs_64,4,gemiddelde,1,24.703,43.099,5,0,25733,warmup
engine_seqs_64,16,gemiddelde,1,38.973,30.588,3,0,25397,warmup
engine_seqs_64,9,worstelaar,1,46.929,25.062,4,0,18589,warmup
engine_seqs_64,1,gemiddelde,1,16.192,55.994,7,0,25248,warmup
engine_seqs_64,12,gemiddelde,1,4.361,75.982,8,0,30935,warmup
engine_seqs_64,7,doorpakker,1,22.027,59.316,9,0,44816,warmup
engine_seqs_64,13,gemiddelde,1,34.609,52.475,8,0,24528,warmup
engine_seqs_64,17,doorpakker,1,41.432,56.921,11,0,45930,warmup
engine_seqs_64,6,doorpakker,1,13.941,88.124,12,0,43969,warmup
engine_seqs_64,19,gemiddelde,2,113.154,24.95,7,0,34859,measure
engine_seqs_64,17,doorpakker,2,116.609,31.879,8,0,48441,measure
engine_seqs_64,18,gemiddelde,2,141.996,7.416,3,0,25891,measure
engine_seqs_64,16,gemiddelde,2,123.908,30.185,4,0,26715,measure
engine_seqs_64,7,doorpakker,2,128.44,37.472,8,0,46898,measure
engine_seqs_64,4,gemiddelde,2,145.778,28.378,8,0,28474,measure
engine_seqs_64,6,doorpakker,2,153.412,23.097,9,0,46846,measure
engine_seqs_64,8,worstelaar,2,169.689,10.283,4,0,13635,measure
engine_seqs_64,1,gemiddelde,2,183.046,8.144,3,0,25895,measure
engine_seqs_64,16,gemiddelde,3,196.95,8.179,3,0,27742,measure
engine_seqs_64,17,doorpakker,3,180.408,43.868,9,0,51613,measure
engine_seqs_64,19,gemiddelde,3,206.415,28.483,8,0,36998,measure
engine_seqs_64,13,gemiddelde,2,212.506,25.647,5,0,26472,measure
engine_seqs_64,7,doorpakker,3,212.691,35.873,9,0,49242,measure
engine_seqs_64,11,worstelaar,1,233.705,22.333,4,0,19561,measure
engine_seqs_64,18,gemiddelde,3,234.896,23.919,4,0,28740,measure
engine_seqs_64,6,doorpakker,3,196.337,66.595,15,0,52787,measure
engine_seqs_64,0,worstelaar,2,287.654,9.985,2,0,20766,measure
engine_seqs_64,1,gemiddelde,3,287.819,10.98,5,0,26827,measure
engine_seqs_64,10,worstelaar,2,295.55,11.112,2,0,11958,measure
engine_seqs_64,13,gemiddelde,3,287.135,23.328,6,0,29799,measure
engine_seqs_64,3,gemiddelde,2,308.481,11.147,3,0,28658,measure
engine_seqs_64,17,doorpakker,4,284.19,36.537,9,0,53968,measure
engine_seqs_64,14,afhaker,2,317.551,9.79,3,0,13279,measure
engine_seqs_64,16,gemiddelde,4,334.312,6.564,3,0,28943,measure
engine_seqs_64,8,worstelaar,3,335.171,9.345,3,0,15209,measure
engine_seqs_64,18,gemiddelde,4,318.66,29.157,4,0,30267,measure
engine_seqs_64,6,doorpakker,4,301.733,48.86,8,0,55038,measure
engine_seqs_64,4,gemiddelde,3,321.418,32.196,7,0,31478,measure
engine_seqs_64,7,doorpakker,4,320.068,50.825,11,0,52946,measure
engine_seqs_64,11,worstelaar,2,377.292,12.005,3,0,20279,measure
engine_seqs_64,12,gemiddelde,2,359.96,31.694,8,0,34199,measure
engine_seqs_64,17,doorpakker,5,380.018,15.427,3,0,55054,measure
engine_seqs_64,2,gemiddelde,2,371.602,24.615,6,0,29776,measure
engine_seqs_64,13,gemiddelde,4,393.41,3.573,1,0,30046,measure
engine_seqs_64,6,doorpakker,5,379.976,17.165,4,0,36255,measure
engine_seqs_64,1,gemiddelde,4,391.22,6.488,1,0,27047,measure
