run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
rampup,4,worstelaar,1,0.019,8.633,3,0,6387,measure
rampup,0,gemiddelde,1,0.015,9.657,4,0,12720,measure
rampup,1,gemiddelde,1,0.016,14.066,3,0,17967,measure
rampup,2,doorpakker,1,0.017,23.584,12,0,24142,measure
rampup,2,doorpakker,2,74.949,12.634,9,0,27509,measure
rampup,5,worstelaar,1,120.016,10.88,4,0,7151,measure
rampup,2,doorpakker,3,107.41,36.712,15,0,23734,measure
rampup,1,gemiddelde,2,127.671,22.048,8,0,21516,measure
rampup,0,gemiddelde,2,145.672,8.573,8,0,15655,measure
rampup,4,worstelaar,2,197.907,6.671,3,0,7475,measure
rampup,2,doorpakker,4,182.925,22.879,8,0,25553,measure
rampup,0,gemiddelde,3,200.534,13.661,6,0,17607,measure
rampup,6,doorpakker,1,240.018,23.255,9,0,23621,measure
rampup,2,doorpakker,5,235.187,30.917,13,0,32813,measure
rampup,1,gemiddelde,3,303.182,13.695,6,0,18077,measure
rampup,5,worstelaar,2,315.382,14.985,4,0,6333,measure
rampup,0,gemiddelde,4,339.203,7.136,4,0,11819,measure
rampup,2,doorpakker,6,313.483,35.032,14,0,25851,measure
rampup,7,gemiddelde,1,360.02,5.858,4,0,14215,measure
rampup,6,doorpakker,2,365.021,29.88,14,0,29380,measure
rampup,2,doorpakker,7,367.261,36.837,15,0,29195,measure
rampup,3,afhaker,1,406.096,2.663,3,0,5007,measure
rampup,4,worstelaar,3,416.923,4.218,2,0,7842,measure
rampup,6,doorpakker,3,414.971,29.904,14,0,24751,measure
rampup,1,gemiddelde,4,425.683,28.001,7,0,20404,measure
rampup,2,doorpakker,8,435.464,21.511,8,0,22909,measure
rampup,8,worstelaar,1,480.021,10.526,3,0,8397,measure
rampup,6,doorpakker,4,472.502,19.253,8,0,26678,measure
rampup,0,gemiddelde,5,497.415,6.319,3,0,12718,measure
rampup,2,doorpakker,9,485.249,28.988,11,0,29320,measure
rampup,6,doorpakker,5,517.048,18.243,10,0,30667,measure
rampup,1,gemiddelde,5,538.006,8.089,4,0,21802,measure
rampup,5,worstelaar,3,549.693,5.174,4,0,9429,measure
rampup,2,doorpakker,10,572.795,23.501,13,0,25737,measure
rampup,6,doorpakker,6,571.802,25.332,12,0,24927,measure
rampup,9,worstelaar,1,600.025,6.869,4,0,9030,measure
rampup,0,gemiddelde,6,607.737,8.27,4,0,13718,measure
rampup,7,gemiddelde,2,607.504,8.579,3,0,14841,measure
rampup,4,worstelaar,4,633.316,4.915,2,0,8272,measure
rampup,6,doorpakker,7,619.932,34.984,15,0,30714,measure
rampup,5,worstelaar,4,664.971,10.961,3,0,7223,measure
rampup,2,doorpakker,11,625.42,52.189,14,0,30543,measure
rampup,1,gemiddelde,6,698.591,4.146,3,0,14901,measure
rampup,7,gemiddelde,3,701.516,7.447,6,0,14179,measure
rampup,10,worstelaar,1,720.028,4.926,4,0,7437,measure
rampup,0,gemiddelde,7,729.964,9.714,5,0,14833,measure
rampup,8,worstelaar,2,762.977,7.618,3,0,7977,measure
rampup,6,doorpakker,8,731.013,49.145,14,0,26088,measure
rampup,1,gemiddelde,7,774.319,13.491,5,0,16162,measure
rampup,2,doorpakker,12,748.065,40.809,15,0,25863,measure
rampup,7,gemiddelde,4,808.66,14.184,7,0,17980,measure
