t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.05,1788894366.5196,23.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,2.0,39.0,
2.06,1788894368.535,49388.0,14736.0,0.0,0.0274,3.0,1.0,29310.0,19.0,2.0,23137.0,0.2985
4.08,1788894370.5492,86858.0,48032.0,0.0,0.0327,4.0,0.0,86858.0,348.0,4.0,39174.0,0.8886
6.1,1788894372.566,147846.0,107872.0,0.0,0.0339,4.0,0.0,147846.0,959.0,8.0,40933.0,0.9812
8.11,1788894374.5808,194824.0,153824.0,0.0,0.0348,4.0,0.0,194824.0,1591.0,11.0,42591.0,0.9782
10.13,1788894376.5965,229563.0,188192.0,0.0,0.0269,2.0,0.0,229563.0,2126.0,15.0,43497.0,0.9893
12.14,1788894378.6121,273465.0,231696.0,0.0,0.0274,2.0,0.0,273465.0,2527.0,17.0,44296.0,0.9909
14.16,1788894380.6281,295720.0,253824.0,0.0,0.0186,1.0,0.0,295720.0,2941.0,19.0,44837.0,0.9943
16.17,1788894382.6418,318205.0,276112.0,0.0,0.019,1.0,0.0,318205.0,3204.0,20.0,45297.0,0.9912
18.19,1788894384.6562,365010.0,321424.0,0.0,0.0201,1.0,0.0,365010.0,3424.0,22.0,47010.0,0.9681
20.2,1788894386.6719,389329.0,345504.0,0.0,0.0205,1.0,0.0,389329.0,3681.0,23.0,47506.0,0.9902
22.22,1788894388.6863,389329.0,345504.0,0.0,0.0207,1.0,0.0,389329.0,3958.0,23.0,47783.0,
24.23,1788894390.7016,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
26.25,1788894392.7176,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
28.26,1788894394.7344,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
30.28,1788894396.7498,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
32.3,1788894398.7661,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
34.31,1788894400.7817,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
36.33,1788894402.8024,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
38.35,1788894404.82,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
40.36,1788894406.8314,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
42.38,1788894408.8483,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
44.39,1788894410.8643,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
46.41,1788894412.8796,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
48.42,1788894414.8954,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
50.44,1788894416.9117,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
52.46,1788894418.9273,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
54.47,1788894420.9436,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
56.48,1788894422.9556,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
58.5,1788894424.975,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
60.52,1788894426.991,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
62.54,1788894429.0141,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
64.56,1788894431.0298,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
66.57,1788894433.0454,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
68.59,1788894435.0614,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
70.61,1788894437.0772,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
72.62,1788894439.0935,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
74.64,1788894441.1119,389329.0,345504.0,0.0,0.0,0.0,0.0,389329.0,4150.0,24.0,47975.0,
76.66,1788894443.128,438710.0,394512.0,0.0,0.0208,1.0,0.0,438710.0,4329.0,25.0,48527.0,0.9924
78.67,1788894445.1419,463777.0,419376.0,0.0,0.0211,1.0,0.0,463777.0,4574.0,26.0,48975.0,0.9919
80.69,1788894447.1575,514749.0,469936.0,0.0,0.0215,1.0,0.0,514749.0,4799.0,28.0,49612.0,0.9919
82.7,1788894449.1727,540631.0,495616.0,0.0,0.0218,1.0,0.0,540631.0,5044.0,29.0,50059.0,0.9922
84.72,1788894451.1897,594413.0,547792.0,0.0,0.0231,1.0,0.0,594413.0,5239.0,31.0,51860.0,0.9701
86.74,1788894453.2129,622230.0,575488.0,0.0,0.0233,1.0,0.0,622230.0,5486.0,32.0,52228.0,0.9957
88.76,1788894455.2287,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
90.77,1788894457.244,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
92.78,1788894459.2526,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
94.8,1788894461.2686,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
96.81,1788894463.2844,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
98.82,1788894465.2953,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
100.84,1788894467.3113,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
102.86,1788894469.3261,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
104.87,1788894471.3409,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
106.89,1788894473.3563,622230.0,575488.0,0.0,0.0,0.0,0.0,622230.0,5600.0,33.0,52342.0,
108.9,1788894475.3713,641948.0,585856.0,0.0,0.0166,1.0,0.0,641948.0,5667.0,33.0,61759.0,0.5258
110.91,1788894477.3845,641948.0,585856.0,0.0,0.0168,1.0,0.0,641948.0,5963.0,33.0,62055.0,
112.94,1788894479.4119,662118.0,605648.0,0.0,0.0169,1.0,0.0,662118.0,6233.0,34.0,62703.0,0.9813
114.96,1788894481.4266,682502.0,625888.0,0.0,0.0171,1.0,0.0,682502.0,6507.0,35.0,63121.0,0.9929
116.97,1788894483.4415,703177.0,646336.0,0.0,0.0,0.0,0.0,703177.0,6764.0,37.0,63605.0,0.989
118.99,1788894485.4573,745393.0,688112.0,0.0,0.0179,1.0,0.0,745393.0,7021.0,38.0,64302.0,0.9896
121.0,1788894487.4684,750802.0,691232.0,0.0,0.0201,2.0,0.0,750802.0,7357.0,38.0,66927.0,0.5768
123.01,1788894489.4785,779401.0,718000.0,0.0,0.0214,2.0,0.0,779401.0,7740.0,40.0,69141.0,0.936
125.02,1788894491.4923,808537.0,746688.0,0.0,0.022,2.0,0.0,808537.0,8142.0,42.0,69991.0,0.9846
127.04,1788894493.5127,854490.0,792352.0,0.0,0.0225,2.0,0.0,854490.0,8546.0,44.0,70684.0,0.9937
129.06,1788894495.5274,880600.0,817600.0,0.0,0.0318,3.0,0.0,880600.0,9001.0,45.0,72001.0,0.967
131.07,1788894497.5436,924908.0,859760.0,0.0,0.03,2.0,0.0,924908.0,9426.0,48.0,74574.0,0.9515
133.09,1788894499.5595,969636.0,904144.0,0.0,0.0304,2.0,0.0,969636.0,9823.0,50.0,75315.0,0.9923
135.1,1788894501.5715,1015348.0,948976.0,0.0,0.0312,2.0,0.0,1015348.0,10207.0,52.0,76579.0,0.9807
137.12,1788894503.5946,1015348.0,948976.0,0.0,0.0181,1.0,0.0,1015348.0,10645.0,53.0,77017.0,
139.14,1788894505.6127,1039948.0,973424.0,0.0,0.0319,2.0,0.0,1039948.0,11069.0,53.0,77593.0,0.9938
141.16,1788894507.6262,1061499.0,994816.0,0.0,0.0319,2.0,0.0,1061499.0,11474.0,54.0,78157.0,0.9926
143.17,1788894509.6416,1108093.0,1041104.0,0.0,0.032,2.0,0.0,1108093.0,11865.0,56.0,78854.0,0.9934
145.19,1788894511.6587,1130495.0,1062944.0,0.0,0.0189,1.0,0.0,1130495.0,12192.0,58.0,79743.0,0.9749
147.2,1788894513.6731,1158183.0,1089712.0,0.0,0.0257,2.0,0.0,1158183.0,12551.0,59.0,81022.0,0.9668
149.22,1788894515.69,1209712.0,1140768.0,0.0,0.026,2.0,0.0,1209712.0,12930.0,62.0,81874.0,0.9908
151.24,1788894517.7119,1224476.0,1155344.0,0.0,0.0125,1.0,0.0,1224476.0,13261.0,64.0,82393.0,0.9873
153.26,1788894519.7292,1255874.0,1185440.0,0.0,0.0137,1.0,0.0,1255874.0,13521.0,66.0,83955.0,0.9585
155.27,1788894521.7449,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,0.9908
157.29,1788894523.7609,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
159.31,1788894525.7765,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
161.32,1788894527.7926,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
163.34,1788894529.8122,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
165.35,1788894531.8251,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
167.37,1788894533.8408,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
169.38,1788894535.8537,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
171.39,1788894537.8647,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
173.41,1788894539.8801,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
175.43,1788894541.8959,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
177.45,1788894543.9246,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
179.47,1788894545.9404,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
181.49,1788894547.9563,1272330.0,1201744.0,0.0,0.0,0.0,0.0,1272330.0,13654.0,68.0,84240.0,
183.5,1788894549.9717,1297417.0,1226624.0,0.0,0.021,1.0,0.0,1297417.0,13704.0,68.0,84497.0,0.9917
185.52,1788894551.9863,1322789.0,1251776.0,0.0,0.0213,1.0,0.0,1322789.0,13953.0,69.0,84966.0,0.9913
187.54,1788894554.0136,1348376.0,1277216.0,0.0,0.0215,1.0,0.0,1348376.0,14204.0,70.0,85364.0,0.9943
189.56,1788894556.0295,1374274.0,1302864.0,0.0,0.0218,1.0,0.0,1374274.0,14455.0,71.0,85865.0,0.9903
191.57,1788894558.0444,1374274.0,1302864.0,0.0,0.022,1.0,0.0,1374274.0,14726.0,71.0,86136.0,
193.59,1788894560.0607,1400392.0,1328832.0,0.0,0.0219,1.0,0.0,1400392.0,14976.0,72.0,86536.0,0.9943
195.61,1788894562.0763,1400392.0,1328832.0,0.0,0.0222,1.0,0.0,1400392.0,15247.0,72.0,86807.0,
197.62,1788894564.091,1400392.0,1328832.0,0.0,0.0224,1.0,0.0,1400392.0,15517.0,72.0,87077.0,
199.65,1788894566.1237,1460453.0,1388240.0,0.0,0.0251,2.0,0.0,1460453.0,15857.0,74.0,88070.0,0.9891
201.67,1788894568.1403,1511594.0,1438592.0,0.0,0.0345,3.0,0.0,1511594.0,16272.0,76.0,89274.0,0.9846
203.69,1788894570.1585,1519547.0,1446320.0,0.0,0.0349,3.0,0.0,1519547.0,16760.0,77.0,89987.0,0.9717
205.7,1788894572.1738,1519547.0,1446320.0,0.0,0.0319,2.0,0.0,1519547.0,17215.0,78.0,90442.0,
207.72,1788894574.1885,1536440.0,1463040.0,0.0,0.0143,1.0,0.0,1536440.0,17512.0,80.0,90912.0,0.9898
209.74,1788894576.2119,1589362.0,1514976.0,0.0,0.0151,1.0,0.0,1589362.0,17747.0,83.0,92133.0,0.9814
211.76,1788894578.2291,1607813.0,1533152.0,0.0,0.0155,1.0,0.0,1607813.0,18027.0,84.0,92688.0,0.9851
213.77,1788894580.2452,1607813.0,1533152.0,0.0,0.0157,1.0,0.0,1607813.0,18328.0,84.0,92989.0,
215.79,1788894582.2606,1607813.0,1533152.0,0.0,0.0,0.0,0.0,1607813.0,18393.0,85.0,93054.0,
217.81,1788894584.2758,1607813.0,1533152.0,0.0,0.0,0.0,0.0,1607813.0,18393.0,85.0,93054.0,
219.82,1788894586.2934,1607813.0,1533152.0,0.0,0.0,0.0,0.0,1607813.0,18393.0,85.0,93054.0,
221.84,1788894588.3114,1607813.0,1533152.0,0.0,0.0,0.0,0.0,1607813.0,18393.0,85.0,93054.0,
223.86,1788894590.3268,1607813.0,1533152.0,0.0,0.0,0.0,0.0,1607813.0,18393.0,85.0,93054.0,
