run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
scen_deadline,10,gemiddelde,1,0.676,30.798,5,0,14374,warmup
scen_deadline,14,worstelaar,1,12.097,22.093,5,0,10752,warmup
scen_deadline,15,worstelaar,1,6.95,29.985,5,0,8150,warmup
scen_deadline,18,gemiddelde,1,9.216,35.667,5,0,13822,warmup
scen_deadline,0,gemiddelde,1,8.825,38.501,5,0,18358,warmup
scen_deadline,3,gemiddelde,1,7.584,44.907,6,0,15587,warmup
scen_deadline,16,gemiddelde,1,13.003,41.383,5,0,14166,warmup
scen_deadline,1,gemiddelde,1,5.409,62.002,11,0,14887,warmup
scen_deadline,8,gemiddelde,1,0.119,79.094,11,0,14989,warmup
scen_deadline,11,gemiddelde,1,1.712,82.701,13,0,20693,warmup
scen_deadline,2,doorpakker,1,7.267,88.931,14,0,23281,warmup
scen_deadline,9,gemiddelde,1,15.655,84.496,11,0,19260,warmup
scen_deadline,7,doorpakker,1,7.354,94.543,14,0,25827,warmup
scen_deadline,19,doorpakker,1,1.463,101.774,14,0,27562,warmup
scen_deadline,16,gemiddelde,2,88.352,28.562,6,0,16334,measure
scen_deadline,17,doorpakker,1,13.823,106.392,18,0,28212,warmup
scen_deadline,4,doorpakker,1,8.246,115.12,21,0,28470,warmup
scen_deadline,6,doorpakker,1,4.659,120.405,19,0,27224,warmup
scen_deadline,18,gemiddelde,2,97.502,32.928,6,0,16942,measure
scen_deadline,12,doorpakker,1,1.465,132.561,21,0,29648,warmup
scen_deadline,10,gemiddelde,2,107.24,27.953,6,0,17775,measure
scen_deadline,13,doorpakker,1,11.548,131.876,21,0,27016,warmup
scen_deadline,14,worstelaar,2,101.427,55.796,8,0,14895,measure
scen_deadline,1,gemiddelde,2,136.699,24.306,6,0,16085,measure
scen_deadline,0,gemiddelde,2,111.917,56.262,6,0,20597,measure
scen_deadline,15,worstelaar,2,162.088,24.651,6,0,9868,measure
scen_deadline,16,gemiddelde,3,143.701,43.701,6,0,18014,measure
scen_deadline,11,gemiddelde,2,139.114,51.35,8,0,17430,measure
scen_deadline,19,doorpakker,2,114.353,94.47,18,0,33675,measure
scen_deadline,8,gemiddelde,2,118.821,91.837,14,0,21150,measure
scen_deadline,3,gemiddelde,2,203.508,23.373,6,0,18883,measure
scen_deadline,18,gemiddelde,3,173.172,69.672,8,0,19449,measure
scen_deadline,17,doorpakker,2,131.624,113.803,16,0,33010,measure
scen_deadline,7,doorpakker,2,131.332,114.707,16,0,32511,measure
scen_deadline,4,doorpakker,2,139.611,112.396,20,0,28293,measure
scen_deadline,0,gemiddelde,3,223.26,56.385,10,0,23864,measure
scen_deadline,1,gemiddelde,3,209.321,73.423,10,0,13072,measure
scen_deadline,13,doorpakker,2,159.777,126.337,18,0,23873,measure
scen_deadline,10,gemiddelde,3,206.648,83.004,10,0,18898,measure
scen_deadline,6,doorpakker,2,157.156,133.93,18,0,33327,measure
scen_deadline,9,gemiddelde,2,256.906,43.146,6,0,21186,measure
scen_deadline,19,doorpakker,3,220.208,90.864,16,0,28063,measure
scen_deadline,12,doorpakker,2,161.377,153.284,24,0,38829,measure
scen_deadline,16,gemiddelde,4,251.994,65.035,6,0,13729,measure
scen_deadline,2,doorpakker,2,159.791,157.504,28,0,31404,measure
scen_deadline,18,gemiddelde,4,272.768,56.602,8,0,17512,measure
scen_deadline,8,gemiddelde,3,247.443,82.202,12,0,17638,measure
scen_deadline,11,gemiddelde,3,235.197,100.604,14,0,22984,measure
scen_deadline,3,gemiddelde,3,269.598,85.562,12,0,16498,measure
scen_deadline,17,doorpakker,3,261.388,107.506,18,0,25478,measure
scen_deadline,7,doorpakker,3,269.429,111.486,18,0,25744,measure
scen_deadline,1,gemiddelde,4,328.955,61.281,10,0,15610,measure
scen_deadline,6,doorpakker,3,300.999,94.149,19,0,27066,measure
scen_deadline,10,gemiddelde,4,332.416,63.415,9,0,20489,measure
scen_deadline,12,doorpakker,3,351.06,45.125,10,0,29294,measure
scen_deadline,2,doorpakker,3,327.331,69.136,9,0,23309,measure
scen_deadline,19,doorpakker,4,318.315,79.446,9,0,30846,measure
scen_deadline,9,gemiddelde,3,335.623,62.138,10,0,18465,measure
scen_deadline,18,gemiddelde,5,369.895,28.426,3,0,13791,measure
scen_deadline,0,gemiddelde,4,326.719,73.272,8,0,18519,measure
scen_deadline,13,doorpakker,3,309.004,91.253,14,0,29770,measure
scen_deadline,16,gemiddelde,5,364.533,37.406,4,0,14858,measure
scen_deadline,4,doorpakker,3,276.552,126.136,18,0,25767,measure
