run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
scen_koudestart_s30,14,gemiddelde,1,3.977,4.609,4,0,7783,measure
scen_koudestart_s30,12,gemiddelde,1,8.698,13.867,4,0,7691,measure
scen_koudestart_s30,22,gemiddelde,1,0.633,23.826,10,0,8431,measure
scen_koudestart_s30,15,afhaker,1,20.78,10.635,4,0,3043,measure
scen_koudestart_s30,3,worstelaar,1,31.378,5.993,3,0,3341,measure
scen_koudestart_s30,21,gemiddelde,1,10.194,27.198,11,0,9090,measure
scen_koudestart_s30,1,gemiddelde,1,8.711,31.375,11,0,10014,measure
scen_koudestart_s30,23,worstelaar,1,45.155,9.242,4,0,3941,measure
scen_koudestart_s30,16,afhaker,1,42.798,13.728,3,0,3321,measure
scen_koudestart_s30,6,gemiddelde,1,32.376,29.554,10,0,7724,measure
scen_koudestart_s30,7,gemiddelde,1,52.87,15.882,4,0,7216,measure
scen_koudestart_s30,19,gemiddelde,1,45.429,26.318,6,0,6811,measure
scen_koudestart_s30,9,gemiddelde,1,55.215,16.675,4,0,5728,measure
scen_koudestart_s30,5,gemiddelde,1,41.626,35.195,7,0,7623,measure
scen_koudestart_s30,29,gemiddelde,1,49.398,32.827,7,0,7086,measure
scen_koudestart_s30,17,worstelaar,1,62.234,20.009,4,0,5946,measure
scen_koudestart_s30,13,worstelaar,1,67.32,20.14,4,0,5125,measure
scen_koudestart_s30,24,worstelaar,1,81.196,10.158,3,0,2767,measure
scen_koudestart_s30,18,gemiddelde,1,77.937,20.273,4,0,6012,measure
scen_koudestart_s30,11,gemiddelde,1,72.502,26.703,8,0,10851,measure
scen_koudestart_s30,2,doorpakker,1,27.873,72.849,17,0,12807,measure
scen_koudestart_s30,26,doorpakker,1,44.044,58.51,13,0,12077,measure
scen_koudestart_s30,20,doorpakker,1,43.522,60.802,13,0,10930,measure
scen_koudestart_s30,4,afhaker,1,93.561,13.448,4,0,3608,measure
scen_koudestart_s30,12,gemiddelde,2,60.672,47.324,10,0,11422,measure
scen_koudestart_s30,14,gemiddelde,2,95.176,15.333,4,0,6328,measure
scen_koudestart_s30,22,gemiddelde,2,69.726,43.66,10,0,7901,measure
scen_koudestart_s30,8,worstelaar,1,106.792,7.254,3,0,4313,measure
scen_koudestart_s30,21,gemiddelde,2,99.906,20.615,6,0,7406,measure
scen_koudestart_s30,0,worstelaar,1,111.859,13.075,3,0,6865,measure
scen_koudestart_s30,28,doorpakker,1,82.854,52.808,15,0,12556,measure
scen_koudestart_s30,10,gemiddelde,1,93.85,44.704,10,0,11515,measure
scen_koudestart_s30,27,doorpakker,1,69.21,77.025,18,0,13002,measure
scen_koudestart_s30,9,gemiddelde,2,132.025,15.025,4,0,6676,measure
scen_koudestart_s30,6,gemiddelde,2,141.116,8.411,4,0,4595,measure
scen_koudestart_s30,7,gemiddelde,2,142.571,12.762,4,0,9033,measure
scen_koudestart_s30,18,gemiddelde,2,137.029,27.347,6,0,8011,measure
scen_koudestart_s30,29,gemiddelde,2,137.922,41.763,11,0,8836,measure
scen_koudestart_s30,11,gemiddelde,2,138.508,45.381,11,0,11396,measure
scen_koudestart_s30,26,doorpakker,2,136.194,48.264,11,0,10242,measure
scen_koudestart_s30,5,gemiddelde,2,141.127,48.958,8,0,7177,measure
scen_koudestart_s30,12,gemiddelde,3,156.789,35.227,11,0,10120,measure
scen_koudestart_s30,22,gemiddelde,3,165.934,26.975,8,0,7737,measure
scen_koudestart_s30,2,doorpakker,2,137.399,58.89,13,0,10076,measure
scen_koudestart_s30,28,doorpakker,2,148.702,50.823,11,0,11032,measure
scen_koudestart_s30,18,gemiddelde,3,194.989,20.808,4,0,5894,measure
scen_koudestart_s30,27,doorpakker,2,164.924,53.193,13,0,10135,measure
scen_koudestart_s30,20,doorpakker,2,177.003,50.725,20,0,11278,measure
scen_koudestart_s30,9,gemiddelde,3,208.11,25.222,6,0,4225,measure
scen_koudestart_s30,21,gemiddelde,3,184.427,49.582,10,0,13221,measure
scen_koudestart_s30,1,gemiddelde,2,239.814,5.503,2,0,5886,measure
scen_koudestart_s30,6,gemiddelde,3,218.547,26.77,6,0,7085,measure
scen_koudestart_s30,3,worstelaar,2,229.589,15.784,3,0,2587,measure
scen_koudestart_s30,14,gemiddelde,3,212.587,32.858,7,0,5267,measure
scen_koudestart_s30,19,gemiddelde,2,244.336,2.25,1,0,4592,measure
scen_koudestart_s30,26,doorpakker,3,217.872,28.887,7,0,11997,measure
scen_koudestart_s30,2,doorpakker,3,210.45,36.32,9,0,13328,measure
scen_koudestart_s30,20,doorpakker,3,242.063,4.924,2,0,7860,measure
scen_koudestart_s30,28,doorpakker,3,222.325,24.838,5,0,9599,measure
scen_koudestart_s30,7,gemiddelde,3,234.019,14.996,4,0,5657,measure
