t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.03,1788906513.0016,231982242.0,223399280.0,0.0,0.0,0.0,0.0,231982242.0,2380335.0,10132.0,10963297.0,
2.04,1788906515.0172,231982242.0,223399280.0,0.0,0.0,0.0,0.0,231982242.0,2380335.0,10132.0,10963297.0,
4.06,1788906517.0328,231982242.0,223399280.0,0.0,0.0,0.0,0.0,231982242.0,2380335.0,10132.0,10963297.0,
6.07,1788906519.0487,232010138.0,223408064.0,0.0,0.0211,1.0,0.0,231982242.0,2380335.0,10132.0,10963297.0,0.3149
8.09,1788906521.0632,232010138.0,223408064.0,0.0,0.0235,1.0,0.0,232010138.0,2380510.0,10132.0,10982584.0,
10.1,1788906523.0778,232010138.0,223408064.0,0.0,0.0237,1.0,0.0,232010138.0,2380774.0,10132.0,10982848.0,
12.13,1788906525.1018,232038331.0,223436032.0,0.0,0.0,0.0,0.0,232038331.0,2381013.0,10134.0,10983312.0,0.992
14.14,1788906527.1157,232066744.0,223464240.0,0.0,0.0,0.0,0.0,232066744.0,2381215.0,10135.0,10983719.0,0.9928
16.16,1788906529.1322,232163530.0,223504512.0,0.0,0.0408,2.0,0.0,232096166.0,2381218.0,10135.0,10984664.0,0.4161
18.17,1788906531.1465,232163530.0,223504512.0,0.0,0.0546,2.0,0.0,232096166.0,2381220.0,10135.0,10984666.0,
20.18,1788906533.1603,232163530.0,223504512.0,0.0,0.0614,2.0,0.0,232096166.0,2381221.0,10135.0,10984667.0,
22.2,1788906535.1735,232163530.0,223504512.0,0.0,0.0614,2.0,0.0,232096166.0,2381221.0,10135.0,10984667.0,
24.27,1788906537.2432,232163530.0,223504512.0,0.0,0.0683,2.0,0.0,232096166.0,2381222.0,10135.0,10984668.0,
26.28,1788906539.2586,232208698.0,223518544.0,0.0,0.0751,3.0,1.0,232096166.0,2381223.0,10135.0,10984669.0,0.3107
28.3,1788906541.273,232208698.0,223518544.0,0.0,0.082,3.0,1.0,232163530.0,2381225.0,10135.0,11040243.0,
30.31,1788906543.2886,232208698.0,223518544.0,0.0,0.0957,3.0,1.0,232163530.0,2381229.0,10135.0,11040247.0,
32.33,1788906545.3103,232278282.0,223539408.0,0.0,0.1025,4.0,0.0,232163530.0,2381231.0,10135.0,11040249.0,0.2998
34.35,1788906547.3252,232278282.0,223539408.0,0.0,0.1094,4.0,0.0,232208698.0,2381234.0,10135.0,11071388.0,
36.37,1788906549.3409,232278282.0,223539408.0,0.0,0.1162,4.0,0.0,232208698.0,2381237.0,10135.0,11071391.0,
38.38,1788906551.3563,232278282.0,223539408.0,0.0,0.1231,4.0,1.0,232208698.0,2381240.0,10135.0,11071394.0,
40.39,1788906553.3707,232278282.0,223539408.0,0.0,0.1299,4.0,1.0,232208698.0,2381243.0,10135.0,11071397.0,
42.41,1788906555.3861,232278282.0,223539408.0,0.0,0.1368,4.0,1.0,232208698.0,2381246.0,10135.0,11071400.0,
44.43,1788906557.4017,232278282.0,223539408.0,0.0,0.1368,4.0,1.0,232208698.0,2381246.0,10135.0,11071400.0,
46.44,1788906559.4181,232316819.0,223551200.0,0.0,0.1436,5.0,1.0,232208698.0,2381249.0,10135.0,11071403.0,0.306
48.46,1788906561.435,232316819.0,223551200.0,0.0,0.1505,5.0,1.0,232278282.0,2381253.0,10135.0,11120127.0,
50.47,1788906563.4488,232363201.0,223564880.0,0.0,0.1642,6.0,0.0,232278282.0,2381261.0,10135.0,11120135.0,0.2949
52.49,1788906565.4638,232363201.0,223564880.0,0.0,0.1711,6.0,0.0,232316819.0,2381266.0,10135.0,11146885.0,
54.5,1788906567.4788,232363201.0,223564880.0,0.0,0.1779,6.0,0.0,232316819.0,2381271.0,10135.0,11146890.0,
56.52,1788906569.4961,232363201.0,223564880.0,0.0,0.1848,6.0,0.0,232316819.0,2381276.0,10135.0,11146895.0,
58.54,1788906571.5128,232363201.0,223564880.0,0.0,0.1903,6.0,0.0,232363201.0,2381317.0,10135.0,11179638.0,
60.55,1788906573.5293,232363201.0,223564880.0,0.0,0.1907,6.0,0.0,232363201.0,2381887.0,10135.0,11180208.0,
62.57,1788906575.5442,232363201.0,223564880.0,0.0,0.1737,5.0,0.0,232363201.0,2382423.0,10136.0,11180744.0,
64.58,1788906577.5596,232518596.0,223719472.0,0.0,0.1742,5.0,0.0,232518596.0,2382783.0,10139.0,11181907.0,0.9948
66.6,1788906579.5735,232604615.0,223805008.0,0.0,0.1749,5.0,0.0,232604615.0,2383185.0,10141.0,11182792.0,0.9944
68.61,1788906581.5879,232691182.0,223891104.0,0.0,0.1756,5.0,0.0,232691182.0,2383585.0,10143.0,11183663.0,0.9946
70.64,1788906583.6121,232691182.0,223891104.0,0.0,0.176,5.0,0.0,232691182.0,2384050.0,10143.0,11184128.0,
72.65,1788906585.6272,232758780.0,223958512.0,0.0,0.176,5.0,0.0,232758780.0,2384474.0,10144.0,11184742.0,0.9972
74.67,1788906587.6448,232877584.0,224075728.0,0.0,0.1772,5.0,0.0,232877584.0,2384769.0,10146.0,11186625.0,0.9866
76.68,1788906589.6591,233034536.0,224231792.0,0.0,0.1774,5.0,0.0,232994775.0,2385135.0,10149.0,11187670.0,0.9943
78.7,1788906591.6743,233199899.0,224396656.0,0.0,0.178,5.0,0.0,233199899.0,2385488.0,10152.0,11188731.0,0.997
80.71,1788906593.69,233199899.0,224396656.0,0.0,0.1519,4.0,0.0,233199899.0,2385941.0,10153.0,11189184.0,
82.76,1788906595.7403,233380027.0,224576144.0,0.0,0.1522,4.0,0.0,233380027.0,2386277.0,10156.0,11190160.0,0.9964
84.78,1788906597.7576,233428077.0,224624032.0,0.0,0.1526,4.0,0.0,233428077.0,2386702.0,10157.0,11190747.0,0.9966
86.8,1788906599.7737,233496232.0,224691968.0,0.0,0.153,4.0,0.0,233496232.0,2387123.0,10158.0,11191387.0,0.9968
88.81,1788906601.7882,233686238.0,224880592.0,0.0,0.1541,4.0,0.0,233686238.0,2387389.0,10161.0,11193035.0,0.9927
90.84,1788906603.8108,233686238.0,224880592.0,0.0,0.0818,2.0,0.0,233686238.0,2387819.0,10163.0,11193465.0,
92.86,1788906605.8368,233759231.0,224953152.0,0.0,0.082,2.0,0.0,233759231.0,2388127.0,10164.0,11194206.0,0.9941
94.88,1788906607.8533,233872764.0,225066192.0,0.0,0.1257,3.0,0.0,233872764.0,2388410.0,10165.0,11194982.0,0.9957
96.89,1788906609.8684,233913301.0,225106592.0,0.0,0.0822,2.0,0.0,233913301.0,2388680.0,10167.0,11195389.0,0.9966
98.91,1788906611.8833,234052212.0,225244880.0,0.0,0.0825,2.0,0.0,233982586.0,2388903.0,10169.0,11195921.0,0.9955
100.93,1788906613.9014,234052212.0,225244880.0,0.0,0.0584,1.0,0.0,234052212.0,2389119.0,10170.0,11196451.0,
102.94,1788906615.9166,234122092.0,225314592.0,0.0,0.0585,1.0,0.0,234122092.0,2389261.0,10171.0,11196761.0,0.9976
104.96,1788906617.9314,234192863.0,225384560.0,0.0,0.0593,1.0,0.0,234192863.0,2389382.0,10172.0,11197685.0,0.9887
106.97,1788906619.9474,234263963.0,225455424.0,0.0,0.0595,1.0,0.0,234263963.0,2389522.0,10173.0,11198061.0,0.9967
108.99,1788906621.9631,234263963.0,225455424.0,0.0,0.0596,1.0,0.0,234263963.0,2389690.0,10173.0,11198229.0,
111.05,1788906624.0208,234335410.0,225526624.0,0.0,0.0,0.0,0.0,234335410.0,2389819.0,10175.0,11198605.0,0.9965
113.06,1788906626.0383,234407187.0,225598176.0,0.0,0.0602,1.0,0.0,234407187.0,2389969.0,10175.0,11198980.0,0.9969
115.08,1788906628.0534,234407187.0,225598176.0,0.0,0.0603,1.0,0.0,234407187.0,2390136.0,10175.0,11199147.0,
