run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
shared_00_c32k,10,worstelaar,1,1.996,1.524,2,0,7839,warmup
shared_00_c32k,8,worstelaar,1,0.324,9.339,4,0,7558,warmup
shared_00_c32k,19,gemiddelde,1,4.358,12.202,3,0,16736,warmup
shared_00_c32k,15,afhaker,1,20.821,4.73,2,0,5257,warmup
shared_00_c32k,12,gemiddelde,1,4.364,26.98,8,0,16579,warmup
shared_00_c32k,0,worstelaar,1,26.443,6.236,2,0,9533,warmup
shared_00_c32k,1,gemiddelde,1,16.196,22.417,7,0,15000,warmup
shared_00_c32k,2,gemiddelde,1,21.769,17.626,3,0,13815,warmup
shared_00_c32k,18,gemiddelde,1,27.615,12.364,3,0,13789,warmup
shared_00_c32k,14,afhaker,1,36.259,3.888,2,0,6541,warmup
shared_00_c32k,3,gemiddelde,1,22.721,17.909,4,0,15410,warmup
shared_00_c32k,4,gemiddelde,1,24.707,18.692,5,0,15049,warmup
shared_00_c32k,7,doorpakker,1,22.03,30.671,9,0,24992,warmup
shared_00_c32k,16,gemiddelde,1,38.976,14.772,3,0,13021,warmup
shared_00_c32k,9,worstelaar,1,46.933,13.784,4,0,9700,warmup
shared_00_c32k,13,gemiddelde,1,34.612,30.778,8,0,14318,warmup
shared_00_c32k,6,doorpakker,1,13.944,52.779,12,0,24420,warmup
shared_00_c32k,17,doorpakker,1,41.435,33.967,11,0,24863,warmup
shared_00_c32k,19,gemiddelde,2,69.91,14.789,7,0,19470,warmup
shared_00_c32k,17,doorpakker,2,93.658,20.797,8,0,27374,measure
shared_00_c32k,7,doorpakker,2,99.796,28.5,8,0,27074,measure
shared_00_c32k,18,gemiddelde,2,124.168,6.548,3,0,14395,measure
shared_00_c32k,16,gemiddelde,2,108.094,24.569,4,0,14349,measure
shared_00_c32k,6,doorpakker,2,118.07,19.917,9,0,27350,measure
shared_00_c32k,4,gemiddelde,2,121.374,21.712,8,0,17803,measure
shared_00_c32k,8,worstelaar,2,138.237,7.659,4,0,7787,measure
shared_00_c32k,1,gemiddelde,2,149.471,7.503,3,0,15647,measure
shared_00_c32k,19,gemiddelde,3,153.01,20.436,8,0,21614,measure
shared_00_c32k,16,gemiddelde,3,175.52,7.612,3,0,15398,measure
shared_00_c32k,17,doorpakker,3,146.376,37.163,9,0,30546,measure
shared_00_c32k,7,doorpakker,3,175.077,25.169,9,0,29418,measure
shared_00_c32k,13,gemiddelde,2,190.813,16.399,5,0,16268,measure
shared_00_c32k,6,doorpakker,3,157.814,50.729,15,0,33298,measure
shared_00_c32k,18,gemiddelde,3,216.201,9.991,4,0,17244,measure
shared_00_c32k,11,worstelaar,1,233.709,7.784,4,0,10752,measure
shared_00_c32k,1,gemiddelde,3,253.603,8.193,5,0,9545,measure
shared_00_c32k,17,doorpakker,4,243.453,23.77,9,0,15299,measure
shared_00_c32k,13,gemiddelde,3,256.194,15.267,6,0,11063,measure
shared_00_c32k,6,doorpakker,4,247.344,30.719,8,0,17135,measure
shared_00_c32k,0,worstelaar,2,270.996,7.15,2,0,11514,measure
shared_00_c32k,3,gemiddelde,2,282.255,6.478,3,0,16265,measure
shared_00_c32k,10,worstelaar,2,294.999,8.351,2,0,6721,measure
shared_00_c32k,18,gemiddelde,4,286.038,18.747,4,0,18771,measure
shared_00_c32k,8,worstelaar,3,301.097,5.612,3,0,9359,measure
shared_00_c32k,7,doorpakker,4,271.75,35.187,11,0,17299,measure
shared_00_c32k,4,gemiddelde,3,290.35,21.26,7,0,11385,measure
shared_00_c32k,14,afhaker,2,309.097,6.274,3,0,7630,measure
shared_00_c32k,16,gemiddelde,4,312.315,3.585,3,0,16628,measure
shared_00_c32k,12,gemiddelde,2,310.962,22.32,8,0,19843,measure
shared_00_c32k,6,doorpakker,5,307.445,31.237,13,0,21755,measure
shared_00_c32k,19,gemiddelde,4,339.097,20.556,7,0,17487,measure
shared_00_c32k,2,gemiddelde,2,344.634,19.797,6,0,15152,measure
shared_00_c32k,17,doorpakker,5,326.514,40.57,15,0,19291,measure
shared_00_c32k,11,worstelaar,2,362.746,7.156,3,0,11470,measure
shared_00_c32k,7,doorpakker,5,347.155,32.515,12,0,20299,measure
shared_00_c32k,1,gemiddelde,4,354.217,25.821,5,0,10576,measure
shared_00_c32k,13,gemiddelde,4,354.408,26.796,7,0,13400,measure
shared_00_c32k,3,gemiddelde,3,374.166,8.237,6,0,16661,measure
shared_00_c32k,18,gemiddelde,5,385.834,6.658,3,0,12519,measure
shared_00_c32k,6,doorpakker,6,386.061,10.932,3,0,22576,measure
