t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.03,1788908472.5863,266905200.0,256736096.0,0.0,0.0,0.0,0.0,266905200.0,2612435.0,11120.0,12781539.0,
2.05,1788908474.612,266911779.0,256742656.0,0.0,0.0058,1.0,0.0,266911779.0,2612735.0,11120.0,12781858.0,0.9971
4.07,1788908476.6272,266934614.0,256763216.0,0.0,0.0062,1.0,0.0,266934614.0,2613163.0,11123.0,12784561.0,0.9004
6.08,1788908478.6406,266983358.0,256811376.0,0.0,0.0316,3.0,0.0,266966302.0,2613628.0,11124.0,12785098.0,0.988
8.1,1788908480.6558,266999057.0,256826528.0,0.0,0.0322,3.0,0.0,266999057.0,2614121.0,11126.0,12786650.0,0.9652
10.11,1788908482.6711,266999057.0,256826528.0,0.0,0.0268,2.0,0.0,266999057.0,2614636.0,11127.0,12787165.0,
12.13,1788908484.6857,267047750.0,256874448.0,0.0,0.0269,2.0,0.0,267047750.0,2615031.0,11130.0,12788333.0,0.9841
14.14,1788908486.701,267084176.0,256910496.0,0.0,0.0434,3.0,0.0,267084176.0,2615459.0,11131.0,12789139.0,0.9896
16.16,1788908488.7175,267084176.0,256910496.0,0.0,0.0439,3.0,0.0,267084176.0,2615969.0,11131.0,12789649.0,
18.17,1788908490.7316,267113717.0,256939872.0,0.0,0.0301,2.0,0.0,267113717.0,2616462.0,11134.0,12790307.0,0.9944
20.19,1788908492.748,267144309.0,256969520.0,0.0,0.0412,3.0,0.0,267144309.0,2616939.0,11135.0,12791728.0,0.9691
22.22,1788908494.7796,267219626.0,257043920.0,0.0,0.0719,6.0,0.0,267219626.0,2617487.0,11137.0,12793193.0,0.9878
24.23,1788908496.7932,267254903.0,257078624.0,0.0,0.084,7.0,0.0,267254903.0,2618285.0,11139.0,12794564.0,0.9838
26.25,1788908498.8118,267313984.0,257137120.0,0.0,0.0889,7.0,0.0,267313984.0,2619117.0,11143.0,12795981.0,0.9901
28.27,1788908500.8307,267395057.0,257217072.0,0.0,0.0944,8.0,0.0,267395057.0,2619943.0,11147.0,12797928.0,0.9862
30.28,1788908502.8449,267450344.0,257271536.0,0.0,0.1086,9.0,0.0,267450344.0,2620732.0,11150.0,12799540.0,0.9851
32.3,1788908504.8606,267500825.0,257320832.0,0.0,0.0965,8.0,0.0,267500825.0,2621578.0,11154.0,12801571.0,0.9765
34.34,1788908506.9,267551065.0,257368768.0,0.0,0.0633,5.0,0.0,267551065.0,2622317.0,11160.0,12804614.0,0.9541
36.35,1788908508.9152,267659546.0,257473968.0,0.0,0.1065,9.0,0.0,267653265.0,2623001.0,11163.0,12808538.0,0.9698
38.37,1788908510.9346,267704674.0,257518192.0,0.0,0.1079,9.0,0.0,267704674.0,2623820.0,11166.0,12810302.0,0.98
40.39,1788908512.951,267744177.0,257557248.0,0.0,0.0805,6.0,0.0,267744177.0,2624685.0,11172.0,12811614.0,0.9887
42.41,1788908514.9711,267814917.0,257627168.0,0.0,0.0852,6.0,0.0,267814917.0,2625316.0,11176.0,12813065.0,0.9884
44.43,1788908516.9855,267850976.0,257662160.0,0.0,0.0746,5.0,0.0,267850976.0,2625969.0,11179.0,12814785.0,0.9704
46.44,1788908518.9985,267919585.0,257730128.0,0.0,0.0589,4.0,0.0,267919585.0,2626557.0,11183.0,12816014.0,0.9907
48.45,1788908521.0146,267985674.0,257795456.0,0.0,0.0829,6.0,0.0,267985674.0,2627206.0,11185.0,12817424.0,0.9885
50.48,1788908523.0362,268056306.0,257865088.0,0.0,0.0835,6.0,0.0,268046649.0,2627852.0,11189.0,12818725.0,0.9858
52.49,1788908525.0511,268119231.0,257926880.0,0.0,0.0848,6.0,0.0,268119231.0,2628482.0,11192.0,12820833.0,0.982
