run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
sweep_s10_c64k,6,worstelaar,1,22.722,11.395,2,0,14038,warmup
sweep_s10_c64k,9,gemiddelde,1,4.359,32.988,3,0,32391,warmup
sweep_s10_c64k,2,worstelaar,1,24.708,15.674,3,0,11860,warmup
sweep_s10_c64k,4,afhaker,1,38.977,4.773,1,0,9139,warmup
sweep_s10_c64k,7,gemiddelde,1,21.769,27.906,3,0,28495,warmup
sweep_s10_c64k,1,gemiddelde,1,4.364,52.921,8,0,32279,warmup
sweep_s10_c64k,0,doorpakker,1,22.031,41.254,9,0,44077,warmup
sweep_s10_c64k,8,gemiddelde,1,41.436,27.096,8,0,28373,warmup
sweep_s10_c64k,3,gemiddelde,1,34.615,37.042,8,0,24495,warmup
sweep_s10_c64k,5,doorpakker,1,13.945,66.137,12,0,43693,warmup
sweep_s10_c64k,9,gemiddelde,2,90.696,16.379,7,0,35271,measure
sweep_s10_c64k,0,doorpakker,2,110.381,24.571,8,0,46364,measure
sweep_s10_c64k,5,doorpakker,2,131.428,16.945,9,0,47571,measure
sweep_s10_c64k,9,gemiddelde,3,175.385,23.854,8,0,37400,measure
sweep_s10_c64k,0,doorpakker,3,181.733,32.827,9,0,48693,measure
sweep_s10_c64k,2,worstelaar,2,207.408,11.233,4,0,13286,measure
sweep_s10_c64k,3,gemiddelde,2,197.079,22.195,5,0,28769,measure
sweep_s10_c64k,5,doorpakker,3,168.2,58.516,15,0,52947,measure
sweep_s10_c64k,8,gemiddelde,2,224.636,13.388,7,0,31088,measure
sweep_s10_c64k,3,gemiddelde,3,268.255,18.767,6,0,33175,measure
sweep_s10_c64k,5,doorpakker,4,265.518,36.279,8,0,55001,measure
sweep_s10_c64k,0,doorpakker,4,286.064,38.173,11,0,51757,measure
sweep_s10_c64k,1,gemiddelde,2,336.903,26.657,8,0,35088,measure
sweep_s10_c64k,8,gemiddelde,3,349.952,24.013,6,0,33550,measure
sweep_s10_c64k,5,doorpakker,5,331.18,46.162,13,0,38341,measure
sweep_s10_c64k,7,gemiddelde,2,354.915,26.431,6,0,29685,measure
sweep_s10_c64k,9,gemiddelde,4,364.891,31.069,7,0,32899,measure
sweep_s10_c64k,3,gemiddelde,4,369.971,27.782,5,0,24502,measure
sweep_s10_c64k,0,doorpakker,5,364.456,35.433,10,0,54014,measure
