run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
sweep_s20_c8k,10,worstelaar,1,0,2.0,2.76,0.0975,0.7602,0.0008,1679,2311,,77,114.6912,0.007,1,,warmup
sweep_s20_c8k,10,worstelaar,1,1,2.761,3.405,0.1157,0.6445,0.0005,3148,3776,,72,134.2651,0.0072,1,,warmup
sweep_s20_c8k,8,worstelaar,1,0,0.327,3.66,0.1039,3.3325,0.0007,1703,2149,,345,106.5478,0.0051,1,,warmup
sweep_s20_c8k,19,gemiddelde,1,0,4.359,5.78,0.1545,1.4209,0.0006,4166,4797,,107,83.7016,0.0096,1,,warmup
sweep_s20_c8k,8,worstelaar,1,1,3.66,5.893,0.0968,2.2331,0.0005,2518,3021,,175,81.4484,0.0073,1,,warmup
sweep_s20_c8k,8,worstelaar,1,2,5.894,6.998,0.0886,1.1037,0.0005,2693,3246,,88,85.7086,0.0096,1,,warmup
sweep_s20_c8k,8,worstelaar,1,3,6.998,8.484,0.1055,1.486,0.0005,3030,3628,,107,76.7843,0.0096,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,0,4.366,9.232,0.2269,4.8642,0.0004,3821,4627,,355,76.3366,0.0095,1,,warmup
sweep_s20_c8k,19,gemiddelde,1,1,5.781,9.955,0.117,4.1742,0.0005,4681,5385,,317,77.8856,0.0093,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,1,9.232,10.702,0.1108,1.4692,0.0016,4085,4914,,143,104.5361,0.0074,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,2,10.702,12.27,0.1121,1.5677,0.0005,4281,5127,,158,107.8593,0.0073,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,3,12.27,13.86,0.1073,1.5892,0.0005,4629,5574,,202,135.6364,0.0074,1,,warmup
sweep_s20_c8k,19,gemiddelde,1,2,9.956,14.113,0.1108,4.1562,0.0006,5042,5758,,408,100.6081,0.0074,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,4,13.86,15.807,0.1133,1.9469,0.0006,4804,5800,,237,128.7055,0.0074,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,0,16.199,17.666,0.1166,1.4676,0.0005,3100,3718,,110,80.682,0.0096,1,,warmup
sweep_s20_c8k,6,doorpakker,1,0,13.947,19.498,0.1647,5.5512,0.0006,4914,5537,,396,73.3315,0.0086,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,1,17.667,19.609,0.1131,1.9422,0.0005,3897,4524,,130,70.5259,0.0097,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,5,15.808,19.788,0.1127,3.98,0.0008,5011,6044,,280,72.1445,0.0095,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,6,19.788,21.218,0.1126,1.429,0.0005,5211,6288,,132,99.5182,0.0097,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,2,19.609,21.645,0.1031,2.0357,0.0005,4505,5164,,133,68.3035,0.0096,1,,warmup
sweep_s20_c8k,15,afhaker,1,0,20.824,22.873,0.0967,2.0488,0.0006,1369,1800,,110,55.838,0.0104,1,,warmup
sweep_s20_c8k,12,gemiddelde,1,7,21.218,23.225,0.1157,2.0066,0.0005,5476,6588,,117,61.3479,0.0119,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,3,21.646,23.311,0.1146,1.6649,0.0005,4736,5431,,66,41.9272,0.0125,1,,warmup
sweep_s20_c8k,6,doorpakker,1,1,19.498,23.953,0.115,4.4545,0.0005,5140,5791,,246,56.458,0.0106,1,,warmup
sweep_s20_c8k,15,afhaker,1,1,22.873,24.782,0.0968,1.9081,0.0005,1608,2090,,121,66.2494,0.0121,1,,warmup
sweep_s20_c8k,3,gemiddelde,1,0,22.724,24.816,0.1394,2.0923,0.0006,3822,4385,,118,59.9094,0.0121,1,,warmup
sweep_s20_c8k,7,doorpakker,1,0,22.032,25.57,0.1853,3.5371,0.0008,5282,5977,,177,52.5087,0.0124,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,4,23.311,25.825,0.1152,2.5138,0.0005,4936,5652,,126,52.1127,0.0123,1,,warmup
sweep_s20_c8k,6,doorpakker,1,2,23.953,26.699,0.1266,2.7449,0.0005,5344,6017,,148,56.1433,0.0122,1,,warmup
sweep_s20_c8k,3,gemiddelde,1,1,24.816,26.738,0.2882,1.9211,0.0005,4084,4679,,100,60.6295,0.0124,1,,warmup
sweep_s20_c8k,0,worstelaar,1,0,26.446,28.121,0.1194,1.6747,0.0006,2473,3087,,100,63.6514,0.0125,1,,warmup
sweep_s20_c8k,6,doorpakker,1,3,26.699,28.289,0.1792,1.5898,0.0005,6064,6760,,80,56.0057,0.0124,1,,warmup
sweep_s20_c8k,4,gemiddelde,1,0,24.71,28.509,0.0713,3.7993,0.0006,3099,3716,,220,58.7451,0.0125,1,,warmup
sweep_s20_c8k,3,gemiddelde,1,2,26.738,28.661,0.1451,1.9226,0.0005,4286,4897,,125,69.7611,0.0125,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,5,25.825,29.626,0.1162,3.8001,0.0005,5220,5958,,187,50.49,0.0125,1,,warmup
sweep_s20_c8k,18,gemiddelde,1,0,27.618,29.668,0.1399,2.0495,0.0005,3742,4357,,100,51.8453,0.0122,1,,warmup
sweep_s20_c8k,0,worstelaar,1,1,28.121,30.68,0.1187,2.5587,0.0005,2648,3306,,161,65.5741,0.0122,1,,warmup
sweep_s20_c8k,18,gemiddelde,1,1,29.668,30.719,0.1334,1.0511,0.0004,4039,4657,,58,62.1135,0.0122,1,,warmup
sweep_s20_c8k,7,doorpakker,1,1,25.57,30.909,0.1355,5.3386,0.0008,6102,6720,,337,64.577,0.0123,1,,warmup
sweep_s20_c8k,4,gemiddelde,1,1,28.509,31.265,0.1152,2.7553,0.0005,3303,3969,,172,64.7697,0.0123,1,,warmup
sweep_s20_c8k,2,gemiddelde,1,0,21.771,31.817,0.1248,10.0455,0.0007,3317,3976,,478,48.0814,0.0125,1,,warmup
sweep_s20_c8k,7,doorpakker,1,2,30.909,32.03,0.1933,1.1207,0.0005,8255,8512,,47,49.5996,0.0128,1,,warmup
sweep_s20_c8k,4,gemiddelde,1,2,31.265,32.323,0.116,1.0576,0.0005,3503,4208,,65,67.9712,0.0129,1,,warmup
sweep_s20_c8k,1,gemiddelde,1,6,29.626,32.536,0.171,2.9094,0.0005,5394,6166,,187,67.9231,0.0125,1,,warmup
sweep_s20_c8k,2,gemiddelde,1,1,31.817,32.962,0.1136,1.144,0.0005,3515,4217,,47,44.6421,0.0133,1,,warmup
sweep_s20_c8k,7,doorpakker,1,3,32.03,33.145,0.1692,1.1145,0.0005,8559,8830,,48,49.7237,0.0133,1,,warmup
sweep_s20_c8k,4,gemiddelde,1,3,32.323,34.593,0.1494,2.2691,0.0005,5144,5970,,134,62.7431,0.0133,1,,warmup
sweep_s20_c8k,2,gemiddelde,1,2,32.962,34.63,0.1183,1.6678,0.0005,3649,4396,,76,48.403,0.0133,1,,warmup
sweep_s20_c8k,6,doorpakker,1,4,28.29,35.454,0.136,7.164,0.0004,6879,7601,,408,57.9115,0.013,1,,warmup
sweep_s20_c8k,3,gemiddelde,1,3,28.661,35.966,0.1097,7.3038,0.0005,4459,5127,,502,69.6401,0.013,1,,warmup
sweep_s20_c8k,18,gemiddelde,1,2,30.719,36.204,0.1148,5.4842,0.0005,4341,4985,,250,46.3739,0.0132,1,,warmup
sweep_s20_c8k,7,doorpakker,1,4,33.145,36.527,0.1304,3.3814,0.0005,8712,9019,,173,52.9074,0.0132,1,,warmup
sweep_s20_c8k,6,doorpakker,1,5,35.454,36.574,0.1324,1.1198,0.0005,7113,7875,,57,56.7155,0.013,1,,warmup
sweep_s20_c8k,14,afhaker,1,0,36.261,37.377,0.1095,1.1155,0.0005,1943,2236,,60,58.6455,0.0128,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,0,34.615,38.1,0.1731,3.4851,0.0009,2996,3393,,182,54.651,0.0131,1,,warmup
sweep_s20_c8k,4,gemiddelde,1,4,34.593,38.383,0.1663,3.7894,0.0005,5318,6197,,234,64.3094,0.0131,1,,warmup
sweep_s20_c8k,14,afhaker,1,1,37.377,38.844,0.1057,1.4659,0.0005,2519,2895,,94,68.3722,0.0129,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,1,38.101,38.904,0.1067,0.8029,0.0005,3203,3646,,47,66.0676,0.0101,1,,warmup
sweep_s20_c8k,7,doorpakker,1,5,36.527,39.462,0.1928,2.9349,0.0005,8975,9310,,163,59.0785,0.0121,1,,warmup
sweep_s20_c8k,6,doorpakker,1,6,36.575,39.619,0.1508,3.0436,0.0005,7313,8075,,208,71.5579,0.011,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,2,38.904,40.016,0.2783,1.1121,0.0005,3502,3988,,51,59.9684,0.0097,1,,warmup
sweep_s20_c8k,6,doorpakker,1,7,39.619,40.759,0.1267,1.1396,0.0005,7516,8317,,89,86.8778,0.0095,1,,warmup
sweep_s20_c8k,16,gemiddelde,1,0,38.98,40.814,0.1159,1.8344,0.0006,3441,4000,,113,65.175,0.0097,1,,warmup
sweep_s20_c8k,7,doorpakker,1,6,39.462,41.42,0.1404,1.9573,0.0005,9201,9549,,124,67.6996,0.0096,1,,warmup
sweep_s20_c8k,7,doorpakker,1,7,41.42,42.901,0.1902,1.4811,0.0005,9420,9801,,79,60.4258,0.0122,1,,warmup
sweep_s20_c8k,6,doorpakker,1,8,40.759,43.716,0.1886,2.9566,0.0005,8543,9179,,196,70.4487,0.0122,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,3,40.017,44.406,0.1224,4.3893,0.0005,4210,4791,,317,74.0593,0.0118,1,,warmup
sweep_s20_c8k,7,doorpakker,1,8,42.902,44.416,0.1383,1.5138,0.0005,9615,9992,,84,60.3423,0.0129,1,,warmup
sweep_s20_c8k,17,doorpakker,1,0,41.437,44.426,0.2532,2.9885,0.0002,5468,5798,,174,63.2469,0.0127,1,,warmup
sweep_s20_c8k,17,doorpakker,1,1,44.426,45.207,0.1507,0.7811,0.0004,5702,6079,,48,74.5573,0.0097,1,,warmup
sweep_s20_c8k,6,doorpakker,1,9,43.716,45.908,0.1318,2.1912,0.0005,8777,9447,,152,73.321,0.01,1,,warmup
sweep_s20_c8k,17,doorpakker,1,2,45.207,46.175,0.121,0.9669,0.0005,5905,6327,,63,73.2895,0.0097,1,,warmup
sweep_s20_c8k,16,gemiddelde,1,1,40.814,46.344,0.1373,5.529,0.0002,3662,4264,,322,59.5359,0.0117,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,4,44.406,46.576,0.1653,2.1694,0.0004,4476,5097,,141,69.8558,0.0096,1,,warmup
sweep_s20_c8k,6,doorpakker,1,10,45.908,47.578,0.1537,1.669,0.0006,9432,10082,,107,69.9515,0.0095,1,,warmup
sweep_s20_c8k,9,worstelaar,1,0,46.935,49.52,0.1093,2.5843,0.0006,2118,2594,,135,54.143,0.0131,1,,warmup
sweep_s20_c8k,16,gemiddelde,1,2,46.344,49.653,0.1045,3.3087,0.0006,3861,4469,,185,57.4257,0.0127,1,,warmup
sweep_s20_c8k,17,doorpakker,1,3,46.175,49.663,0.125,3.4879,0.0005,6098,6546,,219,64.8234,0.0128,1,,warmup
sweep_s20_c8k,17,doorpakker,1,4,49.663,51.191,0.1237,1.5275,0.0005,6783,7178,,124,87.6203,0.0099,1,,warmup
sweep_s20_c8k,9,worstelaar,1,1,49.52,51.656,0.284,2.1355,0.0005,2451,2982,,113,60.4899,0.0099,1,,warmup
sweep_s20_c8k,17,doorpakker,1,5,51.191,53.608,0.1331,2.4168,0.0003,7291,7700,,187,81.4475,0.01,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,5,46.577,53.816,0.1191,7.2389,0.0005,4684,5340,,613,85.9568,0.0102,1,,warmup
sweep_s20_c8k,6,doorpakker,1,11,47.578,54.544,0.1427,6.9655,0.0005,9664,10351,,541,79.1462,0.0101,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,6,53.816,54.782,0.1151,0.9656,0.0005,4883,5592,,88,102.2937,0.0099,1,,warmup
sweep_s20_c8k,9,worstelaar,1,2,51.656,55.169,0.1034,3.5127,0.0005,2893,3453,,247,72.1567,0.01,1,,warmup
sweep_s20_c8k,17,doorpakker,1,6,53.608,56.055,0.1289,2.4459,0.0005,7487,7889,,183,78.5525,0.0099,1,,warmup
sweep_s20_c8k,9,worstelaar,1,3,55.169,57.037,0.1024,1.8675,0.0005,3068,3687,,151,84.9838,0.01,1,,warmup
sweep_s20_c8k,17,doorpakker,1,7,56.055,57.456,0.1575,1.4002,0.0005,8594,8902,,120,95.7592,0.0097,1,,warmup
sweep_s20_c8k,13,gemiddelde,1,7,54.782,57.625,0.1133,2.8427,0.0006,5052,5803,,257,93.7952,0.0098,1,,warmup
sweep_s20_c8k,17,doorpakker,1,8,57.456,61.233,0.121,3.7771,0.0005,8769,9107,,510,139.2172,0.0058,1,,warmup
sweep_s20_c8k,17,doorpakker,1,9,61.233,64.43,0.1476,3.1967,0.0006,9299,9701,,443,144.958,0.0058,1,,warmup
sweep_s20_c8k,17,doorpakker,1,10,64.431,65.076,0.1478,0.6453,0.0005,9954,10337,,68,134.6769,0.0059,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,0,67.463,69.254,0.1117,1.7905,0.0007,5258,5981,,222,131.6457,0.0054,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,1,69.254,72.095,0.1242,2.8411,0.0005,5684,6399,,474,174.099,0.0055,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,2,72.096,72.931,0.1224,0.8354,0.0006,5859,6614,,94,130.4476,0.0055,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,3,72.932,73.978,0.1222,1.0466,0.0006,6080,6838,,121,129.8098,0.0055,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,4,73.979,75.254,0.1396,1.2751,0.0007,6851,7630,,204,178.7683,0.0056,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,5,75.254,75.93,0.1263,0.6752,0.0006,7055,7866,,81,145.7575,0.0056,1,,warmup
sweep_s20_c8k,19,gemiddelde,2,6,75.93,78.171,0.1305,2.2409,0.0005,7416,8231,,273,128.8867,0.0057,1,,warmup
sweep_s20_c8k,17,doorpakker,2,0,83.332,85.636,0.2685,2.3036,0.0007,6625,7592,,308,150.8583,0.0056,1,,warmup
