run_id,label,kind,students,context_tokens,activity,shared_fraction,grade,grade_brief,ttft_p50_s,ttft_p90_s,ttft_p99_s,burst_p50_s,burst_p90_s,decode_tps_p50,requests,requests_failed,error_rate,bursts,prefix_cache_hit_rate,preemptions,kv_cache_usage_avg,kv_cache_usage_peak,queue_depth_avg,queue_depth_peak,server_prefill_tps,server_decode_tps,client_output_tps,max_students_ok,reasons,warnings,duration_s
act_intensief_s10,"10 studenten, activiteit intensief",activity,10,32000,intensief,0.5,groen,groen,0.2072,0.2849,1.0963,26.4037,42.1215,76.0889,249,0,0.0,28,0.9795,0.0,0.033,0.067,0.0,0.0,18829.6067,181.6767,168.1367,,,,396.0
act_intensief_s20,"20 studenten, activiteit intensief",activity,20,32000,intensief,0.5,groen,groen,0.2152,0.314,1.2917,30.6631,52.7399,51.9642,372,0,0.0,52,0.974,0.0,0.0665,0.1385,0.0,0.0,28199.82,276.93,261.8467,,,,400.0
act_rustig_s10,"10 studenten, activiteit rustig",activity,10,32000,rustig,0.5,groen,groen,0.1984,0.2669,1.1365,15.2822,29.5106,120.2933,114,0,0.0,15,0.9662,0.0,0.0124,0.0345,0.0,0.0,7620.0433,87.2833,81.4367,,,,399.0
act_rustig_s20,"20 studenten, activiteit rustig",activity,20,32000,rustig,0.5,groen,groen,0.1917,0.2753,0.8196,14.1517,28.2188,103.0634,155,0,0.0,25,0.9706,0.0,0.0172,0.0475,0.0,0.0,9883.3167,121.1367,108.0,,,,395.0
engine_kv_auto,vLLM-variant kv_auto,engine,20,64000,normaal,0.5,groen,groen,0.2642,0.3524,0.4613,23.787,44.6669,51.1679,207,0,0.0,37,0.991,0.0,0.1423,0.281,0.0,0.0,25515.05,165.1367,148.6233,,,,400.0
engine_kv_fp8,vLLM-variant kv_fp8,engine,20,64000,normaal,0.5,groen,groen,0.2975,0.4137,0.6119,23.3329,40.479,59.2239,208,0,0.0,37,0.9887,0.0,0.0663,0.1262,0.0,0.0,25199.04,162.77,158.0067,,,,398.0
engine_len_65k,vLLM-variant len_65k,engine,20,64000,normaal,0.5,groen,groen,0.285,0.4207,0.7659,23.3702,40.2766,58.4216,208,0,0.0,37,0.9889,0.0,0.0666,0.1269,0.0,0.0,25757.5567,163.0633,154.7733,,,,398.0
engine_seqs_16,vLLM-variant seqs_16,engine,20,64000,normaal,0.5,groen,groen,0.2961,0.4203,0.7412,23.328,40.3682,57.3045,208,0,0.0,37,0.9886,0.0,0.0667,0.1267,0.0067,1.0,25291.1067,162.77,149.6933,,,wachtrij piekte op 1 verzoeken,398.0
engine_seqs_64,vLLM-variant seqs_64,engine,20,64000,normaal,0.5,groen,groen,0.2913,0.4107,0.9339,23.3283,40.0303,58.3252,208,0,0.0,37,0.9888,0.0,0.0664,0.1266,0.0,0.0,25459.3767,163.0767,155.7733,,,,398.0
rampup,"Klifzoeker: 5 studenten, +1 per 120s tot het breekt",rampup,40,32000,normaal,0.5,groen,groen,0.2094,0.343,1.4394,26.5147,55.8396,54.4278,4213,0,0.0,607,0.9658,0.0,0.0496,0.1555,0.0005,1.0,20473.2115,227.2444,201.1944,40,,wachtrij piekte op 1 verzoeken,4320.0
scen_deadline,"Deadline, 20 studenten in burst",scenario,20,32000,intensief,0.5,oranje,groen,0.2282,0.3485,1.3742,71.4724,122.707,35.2026,545,0,0.0,44,0.974,0.0,0.1434,0.2014,0.0,0.0,41870.33,407.5333,384.4167,,p90 doorlooptijd instructie 123s,,402.0
scen_koudestart_s20,"Koude start, 20 studenten",scenario,20,12000,normaal,0.0,groen,groen,0.1492,0.2227,0.3968,20.896,42.6994,66.5578,315,0,0.0,41,0.9038,0.0,0.025,0.0521,0.0,0.0,10816.8458,295.2583,274.875,,,,246.0
