t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1788915478.743,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.03,1788915480.756,6995.0,0.0,0.0,0.006,1.0,0.0,6995.0,208.0,1.0,7203.0,0.0
4.05,1788915482.7713,6995.0,0.0,0.0,0.0,0.0,0.0,6995.0,554.0,2.0,7549.0,
6.21,1788915484.9273,40524.0,27568.0,0.0,0.0112,2.0,0.0,40524.0,970.0,4.0,13926.0,0.8222
8.22,1788915486.942,57002.0,43504.0,0.0,0.0072,1.0,0.0,57002.0,1428.0,7.0,14926.0,0.9671
10.23,1788915488.9555,97808.0,64432.0,0.0,0.0237,3.0,0.0,81888.0,1511.0,8.0,27511.0,0.5129
12.25,1788915490.9706,114616.0,80720.0,0.0,0.0245,3.0,0.0,114616.0,2017.0,9.0,35913.0,0.9691
14.26,1788915492.9857,114616.0,80720.0,0.0,0.025,3.0,0.0,114616.0,2563.0,9.0,36459.0,
16.28,1788915495.0002,139824.0,105408.0,0.0,0.0209,2.0,0.0,139824.0,3063.0,12.0,37479.0,0.9794
18.29,1788915497.0158,173436.0,138528.0,0.0,0.0212,2.0,0.0,173436.0,3490.0,14.0,38398.0,0.9854
20.31,1788915499.0303,190294.0,155040.0,0.0,0.0217,2.0,0.0,190294.0,3936.0,15.0,39190.0,0.9795
22.32,1788915501.0444,224804.0,189200.0,0.0,0.0219,2.0,0.0,224804.0,4362.0,17.0,39966.0,0.9899
24.34,1788915503.0591,242158.0,206400.0,0.0,0.0146,1.0,0.0,242158.0,4677.0,19.0,40435.0,0.9911
26.35,1788915505.0732,259744.0,223840.0,0.0,0.0147,1.0,0.0,259744.0,4960.0,20.0,40864.0,0.9917
28.37,1788915507.0882,298113.0,250048.0,0.0,0.0219,2.0,0.0,277618.0,5182.0,21.0,41296.0,0.6831
30.39,1788915509.1123,316382.0,268000.0,0.0,0.0255,2.0,0.0,316382.0,5437.0,22.0,53819.0,0.9826
32.41,1788915511.1274,334886.0,286352.0,0.0,0.0258,2.0,0.0,334886.0,5867.0,23.0,54401.0,0.9918
34.42,1788915513.1414,346911.0,292384.0,0.0,0.0312,3.0,0.0,346911.0,6290.0,23.0,60817.0,0.5016
36.43,1788915515.1559,400140.0,343552.0,0.0,0.0326,3.0,0.0,400140.0,6726.0,26.0,63314.0,0.9613
38.45,1788915517.1698,434367.0,376096.0,0.0,0.0341,3.0,0.0,434367.0,7179.0,28.0,65450.0,0.9508
40.46,1788915519.185,448098.0,389600.0,0.0,0.0241,2.0,0.0,448098.0,7681.0,30.0,66179.0,0.9835
42.48,1788915521.1998,488704.0,427168.0,0.0,0.0268,3.0,0.0,488704.0,8094.0,32.0,69630.0,0.9252
44.49,1788915523.2149,559038.0,480032.0,0.0,0.0374,4.0,0.0,538117.0,8358.0,35.0,77355.0,0.7516
46.52,1788915525.2445,600477.0,514400.0,0.0,0.0472,6.0,0.0,577871.0,8629.0,36.0,93876.0,0.8294
48.54,1788915527.2589,619890.0,533280.0,0.0,0.0481,6.0,0.0,619890.0,9394.0,38.0,96004.0,0.9725
50.55,1788915529.2746,668476.0,576320.0,0.0,0.0502,6.0,0.0,668476.0,10026.0,41.0,102182.0,0.8859
52.57,1788915531.288,681910.0,589600.0,0.0,0.0451,5.0,0.0,681910.0,10801.0,43.0,103111.0,0.9885
54.59,1788915533.3133,733144.0,636128.0,0.0,0.0551,7.0,0.0,733144.0,11527.0,45.0,108543.0,0.9081
56.61,1788915535.3292,794285.0,690752.0,0.0,0.0607,8.0,0.0,794285.0,12266.0,48.0,115799.0,0.8934
58.62,1788915537.3436,921890.0,815216.0,0.0,0.0702,9.0,0.0,921890.0,13000.0,54.0,119674.0,0.9754
60.72,1788915539.4451,998002.0,888688.0,0.0,0.0728,9.0,0.0,998002.0,13769.0,59.0,123083.0,0.9653
62.74,1788915541.4601,1053668.0,943328.0,0.0,0.0704,8.0,0.0,1053668.0,14687.0,63.0,125027.0,0.9816
64.75,1788915543.4737,1146535.0,1034592.0,0.0,0.0715,8.0,0.0,1146535.0,15530.0,68.0,127473.0,0.9827
66.77,1788915545.4963,1179972.0,1066944.0,0.0,0.06,6.0,0.0,1179972.0,16368.0,72.0,129396.0,0.9676
68.79,1788915547.5119,1277471.0,1162448.0,0.0,0.0615,6.0,0.0,1277471.0,16991.0,77.0,132014.0,0.9795
70.8,1788915549.5255,1288962.0,1168480.0,0.0,0.0666,7.0,0.0,1288962.0,17721.0,77.0,138203.0,0.5249
72.82,1788915551.5395,1345569.0,1221520.0,0.0,0.0571,6.0,0.0,1345569.0,18321.0,81.0,142370.0,0.937
74.83,1788915553.5543,1415026.0,1289664.0,0.0,0.0494,5.0,0.0,1415026.0,18974.0,86.0,144336.0,0.9811
76.85,1788915555.5681,1509083.0,1380800.0,0.0,0.0605,6.0,0.0,1496173.0,19580.0,91.0,147033.0,0.9689
78.86,1788915557.582,1522242.0,1387760.0,0.0,0.0535,5.0,0.0,1522242.0,20210.0,93.0,154692.0,0.5289
80.88,1788915559.5984,1604698.0,1469472.0,0.0,0.0639,6.0,0.0,1604698.0,20871.0,96.0,156097.0,0.991
82.89,1788915561.614,1618116.0,1482656.0,0.0,0.0585,5.0,0.0,1618116.0,21624.0,98.0,157084.0,0.9826
84.91,1788915563.6281,1651964.0,1505936.0,0.0,0.0735,7.0,0.0,1651964.0,22033.0,98.0,168061.0,0.6878
86.92,1788915565.6428,1703411.0,1557056.0,0.0,0.0648,6.0,0.0,1703411.0,22816.0,101.0,169171.0,0.9936
88.94,1788915567.6573,1810682.0,1662912.0,0.0,0.0569,5.0,0.0,1810682.0,23435.0,107.0,171205.0,0.9868
90.95,1788915569.6707,1866871.0,1718464.0,0.0,0.0538,5.0,0.0,1866871.0,24137.0,110.0,172544.0,0.9887
92.96,1788915571.685,1914413.0,1765360.0,0.0,0.0673,6.0,0.0,1914413.0,24854.0,111.0,173907.0,0.9864
94.99,1788915573.7112,1985104.0,1832688.0,0.0,0.0609,6.0,0.0,1985104.0,25549.0,115.0,177965.0,0.9524
97.0,1788915575.7259,2034132.0,1880480.0,0.0,0.0659,6.0,0.0,2034132.0,26244.0,117.0,179896.0,0.9748
99.02,1788915577.7413,2105803.0,1950912.0,0.0,0.0663,6.0,0.0,2105803.0,26875.0,121.0,181766.0,0.9827
101.04,1788915579.7606,2156573.0,2000832.0,0.0,0.0559,5.0,0.0,2156573.0,27533.0,125.0,183274.0,0.9833
103.05,1788915581.774,2186298.0,2030352.0,0.0,0.0451,5.0,0.0,2186298.0,28220.0,127.0,184166.0,0.9931
105.07,1788915583.789,2208336.0,2051264.0,0.0,0.0462,5.0,0.0,2208336.0,28845.0,129.0,185917.0,0.9489
107.09,1788915585.8121,2241911.0,2083648.0,0.0,0.0335,4.0,0.0,2241911.0,29437.0,132.0,187700.0,0.9645
109.11,1788915587.8283,2290581.0,2131600.0,0.0,0.0343,4.0,0.0,2290581.0,30071.0,135.0,189052.0,0.9852
111.13,1788915589.8489,2313618.0,2153968.0,0.0,0.0349,4.0,0.0,2313618.0,30727.0,137.0,190377.0,0.971
113.14,1788915591.8667,2321955.0,2162128.0,0.0,0.0355,4.0,0.0,2321955.0,31398.0,138.0,191225.0,0.9788
115.16,1788915593.8835,2356361.0,2195664.0,0.0,0.0282,3.0,0.0,2356361.0,31967.0,142.0,192664.0,0.9747
117.18,1788915595.8986,2389739.0,2228208.0,0.0,0.0288,3.0,0.0,2389739.0,32440.0,144.0,193971.0,0.975
119.19,1788915597.914,2389739.0,2228208.0,0.0,0.0249,2.0,0.0,2389739.0,32913.0,145.0,194444.0,
121.21,1788915599.9283,2414926.0,2252832.0,0.0,0.0211,1.0,0.0,2414926.0,33233.0,147.0,195327.0,0.9776
123.22,1788915601.9444,2440318.0,2278096.0,0.0,0.0214,1.0,0.0,2440318.0,33479.0,148.0,195701.0,0.995
125.24,1788915603.959,2493668.0,2330208.0,0.0,0.0225,1.0,0.0,2493668.0,33689.0,150.0,197149.0,0.9768
127.25,1788915605.9745,2535620.0,2370832.0,0.0,0.0293,2.0,0.0,2535620.0,33915.0,151.0,198703.0,0.9683
129.27,1788915607.9891,2563417.0,2398496.0,0.0,0.0233,1.0,0.0,2563417.0,34307.0,153.0,199228.0,0.9952
131.29,1788915610.0128,2594065.0,2427488.0,0.0,0.0135,1.0,0.0,2594065.0,34589.0,155.0,201166.0,0.946
133.31,1788915612.0272,2639128.0,2471504.0,0.0,0.0202,2.0,0.0,2624419.0,34958.0,157.0,201937.0,0.9768
135.32,1788915614.0414,2639128.0,2471504.0,0.0,0.0125,1.0,0.0,2639128.0,35415.0,158.0,203039.0,
137.33,1788915616.057,2681720.0,2513600.0,0.0,0.0299,2.0,0.0,2681720.0,35710.0,159.0,203830.0,0.9884
139.35,1788915618.0734,2749945.0,2573664.0,0.0,0.05,4.0,0.0,2749945.0,36056.0,160.0,212337.0,0.8804
141.37,1788915620.0899,2795016.0,2618384.0,0.0,0.0589,5.0,0.0,2795016.0,36678.0,161.0,213310.0,0.9922
143.39,1788915622.1168,2908408.0,2730976.0,0.0,0.0745,6.0,0.0,2908408.0,37309.0,165.0,214741.0,0.9929
