run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
act_intensief_s10,3,gemiddelde,1,4.405,31.892,8,0,16614,0,0,warmup
act_intensief_s10,4,gemiddelde,1,4.381,32.236,3,0,25761,0,0,warmup
act_intensief_s10,6,worstelaar,1,39.004,12.732,2,0,8136,0,0,warmup
act_intensief_s10,1,gemiddelde,1,24.752,32.963,5,0,13277,0,0,warmup
act_intensief_s10,7,gemiddelde,1,22.745,35.712,4,0,16876,0,0,warmup
act_intensief_s10,0,doorpakker,1,22.057,44.103,9,0,21445,0,0,warmup
act_intensief_s10,9,doorpakker,1,41.51,36.287,11,0,27167,0,0,warmup
act_intensief_s10,5,doorpakker,1,13.978,67.836,12,0,29028,0,0,warmup
act_intensief_s10,8,doorpakker,1,34.646,53.022,13,0,27055,0,0,warmup
act_intensief_s10,2,gemiddelde,1,21.796,67.775,3,0,20797,0,0,warmup
act_intensief_s10,9,doorpakker,2,96.052,26.904,8,0,29253,0,0,measure
act_intensief_s10,0,doorpakker,2,113.255,36.152,8,0,24526,0,0,measure
act_intensief_s10,8,doorpakker,2,113.832,40.797,9,0,30355,0,0,measure
act_intensief_s10,6,worstelaar,2,157.645,8.364,2,0,8744,0,0,measure
act_intensief_s10,4,gemiddelde,2,90.015,83.014,7,0,49625,1,0,measure
act_intensief_s10,5,doorpakker,2,133.161,49.309,9,0,32659,0,0,measure
act_intensief_s10,9,doorpakker,3,154.876,30.285,9,0,32070,0,0,measure
act_intensief_s10,1,gemiddelde,2,135.69,55.271,8,0,16651,0,0,measure
act_intensief_s10,0,doorpakker,3,196.188,24.568,9,0,26827,0,0,measure
act_intensief_s10,8,doorpakker,3,200.456,32.207,14,0,27289,1,0,measure
act_intensief_s10,6,worstelaar,3,244.494,7.709,2,0,9573,0,0,measure
act_intensief_s10,9,doorpakker,4,245.099,36.309,9,0,22010,1,0,measure
act_intensief_s10,5,doorpakker,3,202.319,88.616,15,0,33872,1,0,measure
act_intensief_s10,7,gemiddelde,2,300.082,20.624,3,0,19916,0,0,measure
act_intensief_s10,8,doorpakker,4,257.077,66.4,14,0,35359,0,0,measure
act_intensief_s10,0,doorpakker,4,292.304,36.798,11,0,21701,1,0,measure
act_intensief_s10,3,gemiddelde,2,315.915,33.556,8,0,19534,0,0,measure
act_intensief_s10,4,gemiddelde,3,241.378,126.926,8,0,57794,1,0,measure
act_intensief_s10,1,gemiddelde,3,338.234,40.352,7,0,17415,1,0,measure
act_intensief_s10,9,doorpakker,5,340.7,46.797,15,0,28879,0,0,measure
act_intensief_s10,0,doorpakker,5,369.321,27.206,8,0,26162,0,0,measure
act_intensief_s10,8,doorpakker,5,358.301,38.618,10,0,28664,1,0,measure
act_intensief_s10,2,gemiddelde,2,394.811,3.773,1,0,24747,0,0,measure
act_intensief_s10,5,doorpakker,4,329.76,72.546,8,0,28014,1,0,measure
