run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
act_intensief_s20,14,gemiddelde,1,0,2.039,3.25,0.3741,1.2108,0.0008,10477,11100,,89,105.1717,0.0088,1,,warmup
act_intensief_s20,14,gemiddelde,1,1,3.252,8.685,0.2222,5.4329,0.0004,11035,11671,,168,32.0493,0.0126,1,,warmup
act_intensief_s20,14,gemiddelde,1,2,8.686,10.988,0.1316,2.3014,0.0003,11225,11873,,154,70.5133,0.0127,1,,warmup
act_intensief_s20,0,gemiddelde,1,0,5.13,12.191,1.9492,7.0611,0.0002,16107,16743,,261,50.8611,0.0125,1,,warmup
act_intensief_s20,1,doorpakker,1,0,4.459,13.262,2.446,8.8036,0.0005,18951,19782,,456,71.5678,0.0124,1,,warmup
act_intensief_s20,12,doorpakker,1,0,4.427,13.495,1.7526,9.0684,0.0317,19553,20202,,406,55.3599,0.0124,1,,warmup
act_intensief_s20,1,doorpakker,1,1,13.263,16.839,0.1504,3.5758,0.0003,19232,20075,,142,41.1638,0.0131,1,,warmup
act_intensief_s20,13,gemiddelde,1,0,0.387,16.851,0.8045,16.4639,0.0002,16035,16866,,1018,64.9449,0.0118,1,,warmup
act_intensief_s20,1,doorpakker,1,2,16.84,19.852,0.1689,3.0121,0.0003,19485,20330,,142,49.5919,0.014,1,,warmup
act_intensief_s20,6,gemiddelde,1,0,16.252,21.195,0.5515,4.9435,0.0007,14212,14952,,259,58.7427,0.0139,1,,warmup
act_intensief_s20,1,doorpakker,1,3,19.855,26.685,0.2004,6.8305,0.0005,20006,20864,,101,15.0827,0.0144,1,,warmup
act_intensief_s20,0,gemiddelde,1,1,12.194,27.137,0.2071,14.9426,0.0004,16905,17554,,501,33.9317,0.0136,1,,warmup
act_intensief_s20,13,gemiddelde,1,1,16.853,28.46,0.2382,11.6068,0.0003,16554,17402,,151,13.1942,0.0151,1,,warmup
act_intensief_s20,7,gemiddelde,1,0,26.469,29.844,0.2022,3.3746,0.0001,15535,16301,,100,31.2062,0.0192,1,,warmup
act_intensief_s20,19,gemiddelde,1,0,22.746,30.466,2.7446,7.7199,0.0001,15863,16629,,120,23.9182,0.0195,1,,warmup
act_intensief_s20,9,gemiddelde,1,0,27.668,31.32,0.5062,3.6525,0.0008,12326,12988,,109,34.3266,0.0196,1,,warmup
act_intensief_s20,5,worstelaar,1,0,20.854,32.445,0.2664,11.5911,0.0009,7799,8383,,212,18.6318,0.0195,1,,warmup
act_intensief_s20,16,doorpakker,1,0,22.063,32.647,3.0389,10.5837,0.0002,22720,23707,,183,24.1227,0.0196,1,,warmup
act_intensief_s20,8,doorpakker,1,0,24.738,33.004,1.747,8.2659,0.0002,19557,20427,,208,31.7541,0.0197,1,,warmup
act_intensief_s20,9,gemiddelde,1,1,31.321,33.194,0.1323,1.8731,0.0001,12717,13393,,32,17.8071,0.0201,1,,warmup
act_intensief_s20,6,gemiddelde,1,1,21.197,35.899,0.168,14.7015,0.0003,14710,15468,,264,18.0962,0.0197,1,,warmup
act_intensief_s20,16,doorpakker,1,1,32.649,36.113,0.239,3.463,0.0004,23314,24315,,77,23.5731,0.0205,1,,warmup
act_intensief_s20,8,doorpakker,1,1,33.005,38.469,0.1303,5.4632,0.0002,19783,20666,,162,30.1899,0.0211,1,,warmup
act_intensief_s20,11,worstelaar,1,0,36.27,40.049,0.2888,3.778,0.0001,8192,8828,,118,33.5326,0.0216,1,,warmup
act_intensief_s20,8,doorpakker,1,2,38.47,40.479,0.1717,2.0088,0.0004,20013,20912,,39,20.6845,0.0218,1,,warmup
act_intensief_s20,9,gemiddelde,1,2,33.198,40.481,0.207,7.2815,0.0004,13676,14365,,209,29.4014,0.0212,1,,warmup
act_intensief_s20,1,doorpakker,1,4,26.686,41.111,0.1424,14.4248,0.0002,20211,21076,,379,26.4661,0.0207,1,,warmup
act_intensief_s20,7,gemiddelde,1,1,29.844,42.905,0.1266,13.0609,0.0002,15752,16530,,402,31.0029,0.0209,1,,warmup
act_intensief_s20,19,gemiddelde,1,1,30.466,43.058,0.1294,12.5921,0.0001,16151,16929,,335,26.8,0.0211,1,,warmup
act_intensief_s20,8,doorpakker,1,3,40.48,43.44,0.1767,2.9599,0.0014,20267,21180,,47,16.5277,0.022,1,,warmup
act_intensief_s20,5,worstelaar,1,1,32.446,43.785,0.1379,11.338,0.0001,8539,9137,,270,24.0176,0.0214,1,,warmup
act_intensief_s20,19,gemiddelde,1,2,43.06,44.974,0.2249,1.9146,0.0001,17116,17908,,54,31.3659,0.0223,1,,warmup
