run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
act_rustig_s20,14,afhaker,1,0,2.009,2.854,0.1038,0.8451,0.0004,3434,3862,,68,90.3817,0.0078,1,,warmup
act_rustig_s20,13,afhaker,1,0,0.355,9.445,0.2425,9.0899,0.0004,7127,7737,,774,87.3701,0.0078,1,,warmup
act_rustig_s20,1,gemiddelde,1,0,4.416,10.119,0.7235,5.7027,0.0003,10688,11363,,412,82.544,0.01,1,,warmup
act_rustig_s20,12,gemiddelde,1,0,4.397,10.317,0.6854,5.92,0.0191,14424,14956,,422,80.4266,0.01,1,,warmup
act_rustig_s20,1,gemiddelde,1,1,10.12,12.544,0.1211,2.4233,0.0003,10977,11665,,143,61.6803,0.0103,1,,warmup
act_rustig_s20,13,afhaker,1,1,9.447,14.073,0.098,4.6258,0.0003,7636,8263,,365,80.3928,0.0103,1,,warmup
act_rustig_s20,1,gemiddelde,1,2,12.545,16.057,0.1217,3.512,0.0004,11225,11915,,173,50.7339,0.0105,1,,warmup
act_rustig_s20,1,gemiddelde,1,3,16.059,17.885,0.1584,1.8253,0.0005,11756,12460,,104,61.791,0.0121,1,,warmup
act_rustig_s20,6,worstelaar,1,0,16.208,19.971,0.2686,3.7626,0.0002,7887,8523,,267,76.1306,0.0121,1,,warmup
act_rustig_s20,19,worstelaar,1,0,22.733,26.009,0.881,3.2757,0.0001,9045,9655,,106,43.8481,0.0152,1,,warmup
act_rustig_s20,5,afhaker,1,0,20.844,27.398,0.1932,6.5529,0.0012,5459,5978,,216,33.8064,0.0153,1,,warmup
act_rustig_s20,1,gemiddelde,1,4,17.886,27.662,0.1422,9.7754,0.0005,11944,12656,,517,53.5643,0.0131,1,,warmup
act_rustig_s20,16,gemiddelde,1,0,22.052,28.008,1.3558,5.9557,0.0002,15740,16532,,226,48.9137,0.0161,1,,warmup
act_rustig_s20,6,worstelaar,1,1,19.973,28.216,0.1394,8.243,0.0005,8382,9036,,287,35.2933,0.0153,1,,warmup
act_rustig_s20,7,afhaker,1,0,26.461,28.807,0.109,2.3458,0.0009,6489,7060,,90,39.7883,0.0168,1,,warmup
act_rustig_s20,8,worstelaar,1,0,24.727,29.609,0.1819,4.8811,0.001,5020,5552,,213,45.1135,0.0165,1,,warmup
act_rustig_s20,16,gemiddelde,1,1,28.01,30.001,0.1755,1.9912,0.0003,16334,17140,,85,46.2643,0.017,1,,warmup
act_rustig_s20,9,worstelaar,1,0,27.646,30.434,0.2276,2.7881,0.0013,6324,6843,,113,43.7425,0.0169,1,,warmup
act_rustig_s20,9,worstelaar,1,1,30.435,31.854,0.1026,1.4183,0.0001,6708,7241,,64,47.8843,0.0173,1,,warmup
act_rustig_s20,12,gemiddelde,1,1,10.324,32.148,0.5318,21.8239,0.0002,18676,19226,,1047,49.1261,0.0128,1,,warmup
act_rustig_s20,1,gemiddelde,1,5,27.663,32.196,0.2636,4.5327,0.0004,12166,12885,,198,46.1454,0.0171,1,,warmup
act_rustig_s20,13,afhaker,1,2,14.077,33.041,1.2816,18.964,0.0002,10514,11159,,792,44.7339,0.0146,1,,warmup
act_rustig_s20,8,worstelaar,1,1,29.609,33.497,0.092,3.8875,0.0002,5248,5794,,107,27.928,0.0172,1,,warmup
act_rustig_s20,19,worstelaar,1,1,26.011,34.478,0.1287,8.4679,0.0005,9321,9944,,321,38.3729,0.0168,1,,warmup
