run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
engine_kv_auto,14,worstelaar,1,0,2.008,3.59,0.5725,1.5812,0.0002,9893,10490,,86,84.2608,0.0107,1,,warmup
engine_kv_auto,14,worstelaar,1,1,3.591,10.83,0.1294,7.2383,0.0003,10451,11062,,204,28.5558,0.0137,1,,warmup
engine_kv_auto,1,gemiddelde,1,0,4.435,50.442,3.9415,46.0072,0.0006,21816,22751,,436,10.341,0.0137,1,,warmup
engine_kv_auto,12,gemiddelde,1,0,4.398,51.063,2.5207,46.6651,0.0368,24031,24732,,448,10.1259,0.0137,1,,warmup
engine_kv_auto,7,worstelaar,1,0,26.466,53.111,10.6202,26.6456,0.0002,17323,18115,,100,6.1777,0.0359,1,,warmup
engine_kv_auto,9,gemiddelde,1,0,27.65,54.178,11.6668,26.5273,0.0003,24449,25475,,111,7.4022,0.0355,1,,warmup
engine_kv_auto,19,gemiddelde,1,0,22.768,54.45,12.3161,31.6818,0.0005,30664,31872,,117,5.99,0.0357,1,,warmup
engine_kv_auto,11,afhaker,1,0,36.271,54.678,4.9104,18.4068,0.0002,10839,11553,,119,8.7431,0.0356,1,,warmup
engine_kv_auto,10,worstelaar,1,0,46.956,56.649,1.7724,9.6931,0.0002,16215,17020,,168,21.0841,0.0359,1,,warmup
engine_kv_auto,4,doorpakker,1,0,41.501,57.483,6.2845,15.9817,0.0003,44637,46248,,109,11.1372,0.0363,1,,warmup
engine_kv_auto,9,gemiddelde,1,1,54.179,57.518,0.2705,3.3389,0.0002,24843,25882,,53,16.947,0.0364,1,,warmup
engine_kv_auto,1,gemiddelde,1,1,50.443,58.703,0.1918,8.2595,0.0001,22106,23053,,153,18.8405,0.0363,1,,warmup
engine_kv_auto,16,doorpakker,1,0,22.094,58.704,10.3521,36.6081,0.0004,44726,46428,,230,8.7218,0.0361,1,,warmup
engine_kv_auto,8,gemiddelde,1,0,24.738,59.451,11.3946,34.7123,0.0002,21544,22466,,213,9.0918,0.0362,1,,warmup
engine_kv_auto,6,gemiddelde,1,0,16.235,60.145,6.0487,43.9098,0.0002,28569,29738,,174,4.5693,0.0723,1,,warmup
engine_kv_auto,5,afhaker,1,0,20.835,60.655,1.9326,39.8197,0.0003,11156,11805,,61,1.5837,0.0357,1,,warmup
engine_kv_auto,16,doorpakker,1,1,58.705,63.255,0.4622,4.5496,0.0007,45319,47035,,77,18.5939,0.037,1,,warmup
engine_kv_auto,13,worstelaar,1,0,0.355,65.735,1.5081,65.3793,0.0002,17979,18849,,849,13.2767,0.0144,1,,warmup
engine_kv_auto,1,gemiddelde,1,2,58.704,67.041,0.2443,8.3369,0.0017,22383,23332,,180,22.1192,0.0372,1,,warmup
engine_kv_auto,8,gemiddelde,1,1,59.452,67.32,0.2918,7.8677,0.0003,21780,22716,,172,22.5717,0.0372,1,,warmup
engine_kv_auto,9,gemiddelde,1,2,57.52,68.33,0.4558,10.8107,0.0002,25822,26874,,253,24.3363,0.0372,1,,warmup
engine_kv_auto,15,gemiddelde,1,0,34.646,68.468,5.6545,33.822,0.0003,22558,23532,,383,13.5617,0.0367,1,,warmup
engine_kv_auto,8,gemiddelde,1,2,67.32,69.984,0.1872,2.6641,0.0001,21999,22951,,48,18.9753,0.037,1,,warmup
engine_kv_auto,10,worstelaar,1,1,56.65,71.26,0.2205,14.6093,0.0002,16719,17537,,267,18.4866,0.037,1,,warmup
engine_kv_auto,7,worstelaar,1,1,53.112,71.968,0.179,18.8557,0.0001,17537,18342,,371,19.8107,0.0369,1,,warmup
engine_kv_auto,1,gemiddelde,1,3,67.042,72.002,0.2446,4.9601,0.0002,22913,23876,,123,25.8724,0.0363,1,,warmup
engine_kv_auto,19,gemiddelde,1,1,54.451,72.385,0.2259,17.9342,0.0002,30953,32173,,403,22.7012,0.0369,1,,warmup
engine_kv_auto,8,gemiddelde,1,3,69.985,72.876,0.2283,2.891,0.0002,22258,23224,,47,17.2759,0.0359,1,,warmup
engine_kv_auto,15,gemiddelde,1,1,68.469,73.934,0.184,5.4649,0.0001,22807,23781,,97,18.1788,0.0358,1,,warmup
engine_kv_auto,5,afhaker,1,1,60.657,75.521,0.2206,14.8637,0.0003,11886,12548,,272,18.507,0.0367,1,,warmup
engine_kv_auto,18,gemiddelde,1,0,39.011,75.522,3.0225,36.5105,0.0002,23061,23905,,560,16.6926,0.0364,1,,warmup
engine_kv_auto,19,gemiddelde,1,2,72.387,76.11,0.3572,3.7225,0.0001,31929,33163,,73,21.3946,0.0351,1,,warmup
engine_kv_auto,6,gemiddelde,1,1,60.147,76.559,0.2594,16.4122,0.0003,29057,30240,,195,12.0103,0.0374,1,,warmup
engine_kv_auto,19,gemiddelde,1,3,76.11,78.958,0.2115,2.8483,0.0001,32113,33357,,75,28.0644,0.0346,1,,warmup
engine_kv_auto,8,gemiddelde,1,4,72.877,79.323,0.2269,6.4458,0.0002,22578,23558,,154,24.6025,0.0347,1,,warmup
engine_kv_auto,4,doorpakker,1,1,57.484,80.276,0.2645,22.7913,0.0002,44923,46548,,362,16.0253,0.063,1,,warmup
engine_kv_auto,10,worstelaar,1,2,71.26,81.255,0.1827,9.9948,0.0002,16919,17751,,200,20.281,0.0346,1,,warmup
engine_kv_auto,13,worstelaar,1,1,65.736,81.489,0.2642,15.7526,0.0002,18488,19375,,244,15.6891,0.0625,1,,warmup
engine_kv_auto,15,gemiddelde,1,2,73.937,83.534,0.5016,9.597,0.0002,24845,25837,,218,23.8581,0.0333,1,,warmup
engine_kv_auto,4,doorpakker,1,2,80.276,83.774,0.3184,3.4977,0.0002,45289,46927,,82,25.478,0.0323,1,,warmup
engine_kv_auto,10,worstelaar,1,3,81.256,87.512,0.1725,6.2559,0.0002,17091,17937,,142,23.1776,0.0325,1,,warmup
engine_kv_auto,16,doorpakker,1,2,63.256,87.701,0.2608,24.4451,0.0002,45547,47263,,502,20.7159,0.0346,1,,warmup
engine_kv_auto,1,gemiddelde,1,4,72.002,92.59,0.1783,20.5874,0.0001,23107,24078,,543,26.5569,0.0324,1,,warmup
engine_kv_auto,4,doorpakker,1,3,83.774,92.952,0.2469,9.1777,0.0001,45541,47181,,217,24.1861,0.0322,1,,warmup
engine_kv_auto,15,gemiddelde,1,3,83.535,93.701,0.2378,10.1655,0.0004,25062,26067,,208,20.8506,0.0321,1,,warmup
engine_kv_auto,2,doorpakker,1,0,14.005,94.705,6.2239,80.6999,0.0005,40788,42269,,1053,14.1254,0.0351,1,,warmup
engine_kv_auto,4,doorpakker,1,4,92.953,95.638,0.3106,2.6846,0.0002,45973,47627,,31,12.6367,0.0323,1,,measure
engine_kv_auto,18,gemiddelde,1,1,75.525,98.166,0.5562,22.6409,0.0002,25456,26314,,500,22.5948,0.0322,1,,warmup
engine_kv_auto,11,afhaker,1,1,54.68,99.638,0.2194,44.9585,0.0002,11728,12460,,855,19.0884,0.0343,1,,warmup
engine_kv_auto,4,doorpakker,1,5,95.639,101.358,0.2479,5.7192,0.0002,46133,47800,,157,28.5122,0.0318,1,,measure
engine_kv_auto,1,gemiddelde,1,5,92.591,101.599,0.2088,9.0077,0.0002,23347,24326,,237,26.8214,0.0318,1,,measure
engine_kv_auto,12,gemiddelde,1,1,51.07,102.095,0.9334,51.0242,0.0003,28280,28999,,830,16.55,0.0351,1,,warmup
engine_kv_auto,16,doorpakker,1,3,87.704,103.447,0.7416,15.7432,0.0001,47320,49050,,386,25.664,0.0317,1,,warmup
engine_kv_auto,2,doorpakker,1,1,94.708,104.859,0.5303,10.1514,0.0002,42114,43611,,239,24.7374,0.0315,1,,measure
engine_kv_auto,4,doorpakker,1,6,101.358,105.832,0.2391,4.4734,0.0002,46417,48101,,108,25.2701,0.031,1,,measure
engine_kv_auto,16,doorpakker,1,4,103.447,107.269,0.2408,3.8218,0.0002,47527,49270,,91,25.1328,0.0311,1,,measure
engine_kv_auto,16,doorpakker,1,5,107.27,110.787,0.2485,3.5165,0.0002,47737,49494,,107,32.4354,0.0309,1,,measure
engine_kv_auto,2,doorpakker,1,2,104.86,112.041,0.2347,7.1804,0.0002,42349,43862,,206,29.5144,0.031,1,,measure
engine_kv_auto,4,doorpakker,1,7,105.833,113.973,0.241,8.1401,0.0002,46643,48335,,246,31.0164,0.0312,1,,measure
engine_kv_auto,16,doorpakker,1,6,110.788,114.619,0.2546,3.8315,0.0001,48005,49775,,86,23.7639,0.0318,1,,measure
engine_kv_auto,1,gemiddelde,1,6,101.599,115.726,0.1909,14.1268,0.0002,23558,24553,,325,23.2494,0.0312,1,,measure
engine_kv_auto,12,gemiddelde,1,2,102.1,116.836,0.8307,14.7356,0.0002,31653,32385,,373,26.7532,0.0313,1,,measure
engine_kv_auto,13,worstelaar,1,2,81.494,117.749,0.5592,36.2552,0.0002,21412,22316,,863,24.1484,0.0316,1,,warmup
engine_kv_auto,18,gemiddelde,1,2,98.169,118.232,0.658,20.0629,0.0001,28132,29009,,473,24.3237,0.0312,1,,measure
engine_kv_auto,2,doorpakker,1,3,112.041,118.87,0.2229,6.8282,0.0002,42663,44189,,174,26.191,0.0316,1,,measure
engine_kv_auto,6,gemiddelde,1,2,76.559,119.361,0.2243,42.8012,0.0001,29294,30491,,1198,28.1139,0.0317,1,,warmup
engine_kv_auto,1,gemiddelde,1,7,115.727,120.132,0.213,4.4046,0.0003,23785,24794,,112,26.482,0.0304,1,,measure
engine_kv_auto,16,doorpakker,1,7,114.621,121.548,0.4056,6.9273,0.0002,48716,50499,,211,32.2002,0.0272,1,,measure
engine_kv_auto,4,doorpakker,1,8,113.974,122.377,0.3693,8.4029,0.0002,47225,48930,,254,31.4928,0.0268,1,,measure
engine_kv_auto,4,doorpakker,1,9,122.378,124.418,0.2429,2.0399,0.0002,47434,49157,,73,40.0676,0.0251,1,,measure
engine_kv_auto,15,gemiddelde,1,4,93.701,124.689,0.2121,30.9881,0.0002,25286,26301,,792,25.7018,0.0311,1,,measure
engine_kv_auto,2,doorpakker,1,4,118.87,124.895,0.2289,6.0251,0.0001,42907,44437,,203,34.8509,0.0254,1,,measure
engine_kv_auto,17,gemiddelde,1,0,21.816,126.518,4.9562,104.7019,0.0003,31041,31858,,1092,10.9378,0.0641,1,,warmup
engine_kv_auto,6,gemiddelde,1,3,119.363,126.842,0.3275,7.4793,0.0002,30322,31533,,250,34.8168,0.0254,1,,measure
engine_kv_auto,13,worstelaar,1,3,117.75,127.301,0.2123,9.5514,0.0002,21687,22604,,260,27.7328,0.0254,1,,measure
engine_kv_auto,2,doorpakker,1,5,124.897,130.465,0.4097,5.5685,0.0001,43731,45278,,204,39.3501,0.0242,1,,measure
engine_kv_auto,4,doorpakker,1,10,124.418,131.545,0.2702,7.1263,0.0001,47835,49571,,256,37.1934,0.0241,1,,measure
engine_kv_auto,6,gemiddelde,1,4,126.843,135.626,0.1943,8.7833,0.0001,30612,31836,,369,42.8452,0.0229,1,,measure
engine_kv_auto,16,doorpakker,1,8,121.548,137.215,0.2511,15.6662,0.0001,48964,50760,,591,38.2742,0.0238,1,,measure
engine_kv_auto,2,doorpakker,1,6,130.466,138.794,0.251,8.3272,0.0004,43925,45479,,348,42.9656,0.0223,1,,measure
engine_kv_auto,2,doorpakker,1,7,138.794,142.736,0.188,3.9421,0.0001,44152,45720,,201,53.2754,0.0188,1,,measure
engine_kv_auto,6,gemiddelde,1,5,135.631,143.858,0.6813,8.226,0.0002,33121,34362,,379,50.1013,0.0189,1,,measure
engine_kv_auto,15,gemiddelde,1,5,124.69,147.576,0.2046,22.8859,0.0001,25484,26513,,181,7.9361,0.0241,1,,measure
engine_kv_auto,6,gemiddelde,1,6,143.859,149.685,0.3245,5.8259,0.0002,33971,35230,,285,51.6231,0.019,1,,measure
engine_kv_auto,15,gemiddelde,1,6,147.577,150.322,0.2123,2.7446,0.0001,25931,26973,,103,40.2783,0.0191,1,,measure
engine_kv_auto,2,doorpakker,1,8,142.737,152.456,0.3287,9.7184,0.0001,44829,46414,,455,48.3509,0.0191,1,,measure
engine_kv_auto,4,doorpakker,2,0,149.802,155.027,0.3768,5.2247,0.0001,48564,50315,,222,45.5864,0.0205,1,,measure
engine_kv_auto,9,gemiddelde,2,0,152.519,157.844,0.3217,5.3249,0.0002,26045,27113,,166,32.9788,0.0216,1,,measure
engine_kv_auto,4,doorpakker,2,1,155.028,159.626,0.2211,4.5979,0.0001,48788,50552,,186,42.2679,0.0222,1,,measure
engine_kv_auto,8,gemiddelde,2,0,157.298,160.605,0.1787,3.3073,0.0001,22814,23808,,115,36.4388,0.0238,1,,measure
engine_kv_auto,9,gemiddelde,2,1,157.845,161.806,0.2123,3.9604,0.0001,26481,27563,,123,32.5503,0.0238,1,,measure
engine_kv_auto,2,doorpakker,1,9,152.458,164.342,0.2866,11.8845,0.0004,45194,46792,,376,32.3334,0.0234,1,,measure
engine_kv_auto,9,gemiddelde,2,2,161.806,166.686,0.1845,4.8802,0.0001,26678,27768,,161,34.0739,0.0239,1,,measure
engine_kv_auto,15,gemiddelde,1,7,150.323,167.475,0.1893,17.1518,0.0004,26140,27196,,627,36.905,0.0229,1,,measure
engine_kv_auto,4,doorpakker,2,2,159.627,169.696,0.4613,10.0684,0.0001,49625,51402,,382,39.6584,0.0235,1,,measure
engine_kv_auto,17,gemiddelde,1,1,126.519,176.855,0.2279,50.3361,0.0002,31468,32298,,1893,37.7583,0.0213,1,,measure
engine_kv_auto,2,doorpakker,1,10,164.351,179.044,1.0872,14.6926,0.0004,47897,49512,,313,22.9321,0.022,1,,measure
engine_kv_auto,4,doorpakker,2,3,169.696,179.066,0.215,9.3697,0.0001,49845,51635,,107,11.5787,0.0238,1,,measure
