t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1788997267.6121,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.03,1788997269.619,18859.0,0.0,0.0,0.0319,1.0,0.0,18859.0,28.0,1.0,18887.0,0.0
4.03,1788997271.6239,40411.0,16592.0,0.0,0.0407,2.0,0.0,40411.0,286.0,2.0,24105.0,0.7699
6.04,1788997273.631,87894.0,28080.0,0.0,0.0824,4.0,0.0,40411.0,376.0,2.0,24195.0,0.2419
8.05,1788997275.6379,87894.0,28080.0,0.0,0.1017,4.0,0.0,65143.0,382.0,2.0,47797.0,
10.06,1788997277.6458,87894.0,28080.0,0.0,0.1025,4.0,0.0,87894.0,870.0,2.0,60684.0,
12.06,1788997279.6526,87894.0,28080.0,0.0,0.0944,3.0,0.0,87894.0,1367.0,3.0,61181.0,
14.07,1788997281.6594,87894.0,28080.0,0.0,0.0952,3.0,0.0,87894.0,1808.0,3.0,61622.0,
16.08,1788997283.6678,130163.0,39440.0,0.0,0.1229,4.0,0.0,87894.0,1817.0,3.0,61631.0,0.2688
18.09,1788997285.6757,130163.0,39440.0,0.0,0.1367,4.0,0.0,87894.0,1820.0,3.0,61634.0,
20.09,1788997287.6841,159901.0,55088.0,0.0,0.1506,5.0,0.0,87894.0,1823.0,3.0,61637.0,0.5262
22.11,1788997289.6973,159901.0,55088.0,0.0,0.1713,5.0,0.0,130163.0,1831.0,3.0,92554.0,
24.12,1788997291.7099,203564.0,73632.0,0.0,0.2088,7.0,1.0,171706.0,1848.0,3.0,112434.0,0.4247
26.13,1788997293.7166,249992.0,94976.0,0.0,0.2226,8.0,1.0,171706.0,1854.0,3.0,112440.0,0.4597
28.13,1788997295.7243,249992.0,94976.0,0.0,0.2365,8.0,2.0,203564.0,1861.0,3.0,131793.0,
30.14,1788997297.7289,249992.0,94976.0,0.0,0.2503,8.0,3.0,203564.0,1868.0,3.0,131800.0,
32.15,1788997299.7379,281864.0,111072.0,0.0,0.2642,9.0,3.0,203564.0,1875.0,3.0,131807.0,0.505
34.15,1788997301.7445,304330.0,122432.0,0.0,0.2919,10.0,2.0,249992.0,1891.0,3.0,156907.0,0.5057
36.16,1788997303.7519,347920.0,145824.0,0.0,0.3196,12.0,1.0,304330.0,1910.0,3.0,183808.0,0.5366
38.17,1788997305.7598,347920.0,145824.0,0.0,0.3335,12.0,1.0,322445.0,1921.0,3.0,191582.0,
40.18,1788997307.7696,383005.0,163648.0,0.0,0.3612,14.0,0.0,347920.0,1944.0,3.0,204040.0,0.508
42.19,1788997309.7795,453158.0,198928.0,0.0,0.3984,16.0,0.0,406910.0,2001.0,3.0,232767.0,0.5029
44.2,1788997311.787,453158.0,198928.0,0.0,0.4123,16.0,0.0,406910.0,2016.0,3.0,232782.0,
46.2,1788997313.7935,453158.0,198928.0,0.0,0.4243,16.0,0.0,406910.0,2031.0,3.0,232797.0,
48.21,1788997315.8022,470178.0,207472.0,0.0,0.4382,17.0,0.0,453158.0,2063.0,3.0,256293.0,0.502
50.22,1788997317.8117,470178.0,207472.0,0.0,0.44,17.0,0.0,470178.0,2827.0,3.0,265533.0,
52.23,1788997319.8191,522230.0,255056.0,0.0,0.4469,17.0,0.0,522230.0,3366.0,5.0,270540.0,0.9142
54.27,1788997321.8591,540572.0,273216.0,0.0,0.4274,16.0,0.0,540572.0,4297.0,7.0,271653.0,0.9901
56.28,1788997323.8668,611087.0,342288.0,0.0,0.4521,17.0,0.0,611087.0,5089.0,9.0,273888.0,0.9795
58.28,1788997325.872,702046.0,431504.0,0.0,0.4555,17.0,0.0,702046.0,5829.0,12.0,276371.0,0.9808
60.29,1788997327.8776,825369.0,553424.0,0.0,0.4578,17.0,0.0,795129.0,6579.0,16.0,278092.0,0.9886
62.29,1788997329.8847,837917.0,565232.0,0.0,0.4601,17.0,0.0,837917.0,7410.0,17.0,280095.0,0.941
64.3,1788997331.8947,885180.0,612336.0,0.0,0.4618,17.0,0.0,885180.0,8290.0,18.0,281134.0,0.9966
66.32,1788997333.91,904555.0,631232.0,0.0,0.4624,17.0,0.0,904555.0,9154.0,19.0,282477.0,0.9753
68.33,1788997335.9194,951382.0,677312.0,0.0,0.4644,17.0,0.0,951382.0,9966.0,21.0,284036.0,0.984
70.34,1788997337.9251,998387.0,723856.0,0.0,0.4419,16.0,0.0,998387.0,10794.0,24.0,285325.0,0.9902
72.34,1788997339.9301,1040216.0,765344.0,0.0,0.4288,15.0,0.0,1040216.0,11614.0,27.0,286486.0,0.9918
74.35,1788997341.9405,1122774.0,844656.0,0.0,0.4345,15.0,0.0,1096937.0,12220.0,30.0,288309.0,0.9607
76.36,1788997343.9467,1182445.0,901856.0,0.0,0.4271,14.0,0.0,1182445.0,12834.0,33.0,293423.0,0.9586
78.37,1788997345.9571,1212936.0,932112.0,0.0,0.4282,14.0,0.0,1212936.0,13601.0,34.0,294425.0,0.9923
80.38,1788997347.9669,1212936.0,932112.0,0.0,0.3382,11.0,0.0,1212936.0,14389.0,37.0,295213.0,
82.38,1788997349.9737,1300116.0,1015808.0,0.0,0.3841,12.0,0.0,1300116.0,14887.0,39.0,299195.0,0.96
84.39,1788997351.9825,1373364.0,1088672.0,0.0,0.3854,12.0,0.0,1373364.0,15563.0,41.0,300255.0,0.9948
86.4,1788997353.9876,1373364.0,1088672.0,0.0,0.3867,12.0,0.0,1373364.0,16307.0,41.0,300999.0,
88.4,1788997355.9935,1422414.0,1135952.0,0.0,0.3734,11.0,0.0,1373364.0,16833.0,43.0,301525.0,0.9639
90.41,1788997357.9985,1422414.0,1135952.0,0.0,0.3746,11.0,0.0,1422414.0,17526.0,43.0,303988.0,
92.42,1788997360.011,1422414.0,1135952.0,0.0,0.3758,11.0,0.0,1422414.0,18219.0,43.0,304681.0,
94.43,1788997362.017,1520668.0,1233472.0,0.0,0.3764,11.0,0.0,1520668.0,18803.0,46.0,305999.0,0.9925
96.43,1788997364.0237,1612079.0,1323424.0,0.0,0.3777,11.0,0.0,1612079.0,19324.0,48.0,307979.0,0.984
98.44,1788997366.03,1641088.0,1349744.0,0.0,0.3824,11.0,0.0,1612079.0,19948.0,49.0,308603.0,0.9073
100.45,1788997368.0377,1641088.0,1349744.0,0.0,0.3704,10.0,0.0,1641088.0,20495.0,50.0,311839.0,
102.46,1788997370.046,1746127.0,1451152.0,0.0,0.375,10.0,0.0,1713742.0,21005.0,53.0,312635.0,0.9654
104.47,1788997372.061,1795397.0,1500272.0,0.0,0.3755,10.0,0.0,1795397.0,21481.0,54.0,316606.0,0.997
106.48,1788997374.0711,1887594.0,1592160.0,0.0,0.3768,10.0,0.0,1887594.0,22073.0,56.0,317507.0,0.9966
108.49,1788997376.0766,1937088.0,1641456.0,0.0,0.378,10.0,0.0,1937088.0,22689.0,57.0,318321.0,0.996
110.49,1788997378.0838,1937088.0,1641456.0,0.0,0.3791,10.0,0.0,1937088.0,23339.0,57.0,318971.0,
112.5,1788997380.0902,2031052.0,1734976.0,0.0,0.3805,10.0,0.0,2031052.0,23912.0,59.0,319988.0,0.9953
114.51,1788997382.0954,2079982.0,1783392.0,0.0,0.3821,10.0,0.0,2079982.0,24478.0,60.0,321068.0,0.9895
116.52,1788997384.1093,2155275.0,1857824.0,0.0,0.3837,10.0,0.0,2155275.0,24991.0,62.0,322442.0,0.9886
118.53,1788997386.1172,2177879.0,1880160.0,0.0,0.3203,8.0,0.0,2177879.0,25565.0,65.0,323284.0,0.9881
120.66,1788997388.2457,2253849.0,1954992.0,0.0,0.2981,7.0,0.0,2253849.0,26063.0,68.0,324920.0,0.985
122.67,1788997390.2561,2353766.0,2054576.0,0.0,0.299,7.0,0.0,2353766.0,26599.0,70.0,325789.0,0.9967
124.67,1788997392.2645,2403337.0,2103792.0,0.0,0.3005,7.0,0.0,2353766.0,27119.0,71.0,326309.0,0.9928
126.68,1788997394.2731,2507426.0,2206544.0,0.0,0.2982,7.0,0.0,2475128.0,27542.0,74.0,328030.0,0.9872
128.69,1788997396.2815,2539262.0,2238176.0,0.0,0.2778,6.0,0.0,2539262.0,28027.0,76.0,329113.0,0.9936
130.7,1788997398.2895,2584741.0,2283536.0,0.0,0.2786,6.0,0.0,2539262.0,28501.0,77.0,329587.0,0.9974
132.71,1788997400.2968,2584741.0,2283536.0,0.0,0.2337,5.0,0.0,2584741.0,28977.0,78.0,330182.0,
134.72,1788997402.3097,2584741.0,2283536.0,0.0,0.2345,5.0,0.0,2584741.0,29427.0,78.0,330632.0,
136.73,1788997404.3174,2619103.0,2315472.0,0.0,0.2387,5.0,0.0,2619103.0,29743.0,79.0,333374.0,0.9294
138.73,1788997406.322,2619103.0,2315472.0,0.0,0.1886,4.0,0.0,2619103.0,30173.0,80.0,333804.0,
140.74,1788997408.329,2664823.0,2361040.0,0.0,0.1892,4.0,0.0,2664823.0,30580.0,81.0,334363.0,0.9967
142.75,1788997410.3392,2664823.0,2361040.0,0.0,0.1388,3.0,0.0,2664823.0,31008.0,82.0,334791.0,
144.76,1788997412.3489,2746467.0,2441312.0,0.0,0.1921,4.0,0.0,2746467.0,31331.0,83.0,336486.0,0.9832
146.76,1788997414.3547,2746467.0,2441312.0,0.0,0.1928,4.0,0.0,2746467.0,31751.0,83.0,336906.0,
148.77,1788997416.3623,2773440.0,2467856.0,0.0,0.1926,4.0,0.0,2773440.0,32147.0,84.0,337731.0,0.9841
150.78,1788997418.3697,2850951.0,2544528.0,0.0,0.2087,4.0,0.0,2850951.0,32483.0,86.0,338906.0,0.9892
152.79,1788997420.3768,2924856.0,2617968.0,0.0,0.233,5.0,0.0,2897743.0,32844.0,87.0,339563.0,0.9937
154.79,1788997422.3836,2924856.0,2617968.0,0.0,0.2338,5.0,0.0,2924856.0,33304.0,87.0,340192.0,
156.8,1788997424.3923,2975408.0,2668368.0,0.0,0.2345,5.0,0.0,2975408.0,33744.0,88.0,340784.0,0.997
158.81,1788997426.4005,3026779.0,2719168.0,0.0,0.2567,6.0,0.0,3026779.0,34183.0,89.0,341794.0,0.9889
160.82,1788997428.4101,3102301.0,2793696.0,0.0,0.2588,6.0,0.0,3102301.0,34577.0,91.0,343182.0,0.9868
162.83,1788997430.4171,3130069.0,2821344.0,0.0,0.2597,6.0,0.0,3130069.0,35060.0,92.0,343785.0,0.9957
164.83,1788997432.4245,3179581.0,2868208.0,0.0,0.2643,6.0,0.0,3130069.0,35484.0,93.0,344209.0,0.9465
166.84,1788997434.4316,3179581.0,2868208.0,0.0,0.2397,5.0,0.0,3179581.0,35838.0,94.0,347211.0,
168.85,1788997436.4382,3179581.0,2868208.0,0.0,0.2132,4.0,0.0,3179581.0,36264.0,95.0,347637.0,
170.86,1788997438.4466,3264251.0,2932208.0,0.0,0.2273,5.0,0.0,3231216.0,36531.0,96.0,348051.0,0.7559
172.86,1788997440.454,3264251.0,2932208.0,0.0,0.2481,5.0,0.0,3231216.0,36539.0,96.0,348059.0,
174.87,1788997442.4589,3293935.0,2944720.0,0.0,0.2758,6.0,0.0,3264251.0,36549.0,96.0,368592.0,0.4215
176.88,1788997444.4674,3293935.0,2944720.0,0.0,0.2408,5.0,0.0,3293935.0,36680.0,97.0,385895.0,
178.88,1788997446.4735,3329554.0,2977056.0,0.0,0.2803,6.0,0.0,3329554.0,36994.0,97.0,389492.0,0.9078
180.89,1788997448.4796,3456758.0,3102608.0,0.0,0.2827,6.0,0.0,3456758.0,37339.0,100.0,391489.0,0.987
182.89,1788997450.4846,3456758.0,3102608.0,0.0,0.2835,6.0,0.0,3456758.0,37843.0,100.0,391993.0,
184.9,1788997452.4893,3507776.0,3153440.0,0.0,0.332,7.0,0.0,3507776.0,38313.0,100.0,392649.0,0.9964
186.9,1788997454.4947,3532497.0,3178032.0,0.0,0.3329,7.0,0.0,3532497.0,38828.0,101.0,393293.0,0.9948
188.91,1788997456.5008,3562884.0,3207824.0,0.0,0.3342,7.0,0.0,3562884.0,39315.0,102.0,394375.0,0.9804
190.92,1788997458.5105,3562884.0,3207824.0,0.0,0.3351,7.0,0.0,3562884.0,39847.0,102.0,394907.0,
192.93,1788997460.5156,3699865.0,3344176.0,0.0,0.3352,7.0,0.0,3699865.0,40306.0,105.0,395995.0,0.9954
194.93,1788997462.5208,3776356.0,3420288.0,0.0,0.3363,7.0,0.0,3776356.0,40781.0,107.0,396849.0,0.995
196.94,1788997464.526,3801969.0,3445344.0,0.0,0.2877,6.0,0.0,3801969.0,41273.0,109.0,397898.0,0.9783
198.94,1788997466.531,3854614.0,3497872.0,0.0,0.3389,7.0,0.0,3854614.0,41774.0,109.0,398516.0,0.9978
200.95,1788997468.5391,3933443.0,3575168.0,0.0,0.3419,7.0,0.0,3933443.0,42132.0,111.0,400407.0,0.9806
202.96,1788997470.5478,3986384.0,3627904.0,0.0,0.3429,7.0,0.0,3986384.0,42631.0,112.0,401111.0,0.9961
204.96,1788997472.5538,4012675.0,3653824.0,0.0,0.3443,7.0,0.0,3986384.0,43146.0,113.0,401626.0,0.9859
206.97,1788997474.5617,4065878.0,3706896.0,0.0,0.2939,6.0,0.0,4065878.0,43600.0,115.0,402582.0,0.9975
208.98,1788997476.5675,4065878.0,3706896.0,0.0,0.2694,5.0,0.0,4065878.0,44055.0,116.0,403037.0,
210.98,1788997478.5737,4119296.0,3760176.0,0.0,0.2701,5.0,0.0,4119296.0,44475.0,117.0,403595.0,0.9974
212.99,1788997480.5788,4119296.0,3760176.0,0.0,0.2193,4.0,0.0,4119296.0,44893.0,118.0,404013.0,
215.0,1788997482.5857,4119296.0,3760176.0,0.0,0.2199,4.0,0.0,4119296.0,45285.0,118.0,404405.0,
217.01,1788997484.5955,4119296.0,3760176.0,0.0,0.2206,4.0,0.0,4119296.0,45677.0,118.0,404797.0,
219.02,1788997486.6101,4119296.0,3760176.0,0.0,0.2213,4.0,0.0,4119296.0,46073.0,118.0,405193.0,
221.03,1788997488.6177,4119296.0,3760176.0,0.0,0.2219,4.0,0.0,4119296.0,46465.0,118.0,405585.0,
223.04,1788997490.6253,4172952.0,3813664.0,0.0,0.2219,4.0,0.0,4172952.0,46835.0,119.0,406123.0,0.9969
225.04,1788997492.6301,4172952.0,3813664.0,0.0,0.2225,4.0,0.0,4172952.0,47227.0,119.0,406515.0,
227.05,1788997494.6351,4172952.0,3813664.0,0.0,0.2232,4.0,0.0,4172952.0,47615.0,119.0,406903.0,
229.05,1788997496.644,4172952.0,3813664.0,0.0,0.2239,4.0,0.0,4172952.0,48003.0,119.0,407291.0,
231.06,1788997498.6499,4172952.0,3813664.0,0.0,0.1818,3.0,0.0,4172952.0,48343.0,120.0,407631.0,
233.07,1788997500.6552,4172952.0,3813664.0,0.0,0.1823,3.0,0.0,4172952.0,48664.0,120.0,407952.0,
