run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
engine_seqs_64,14,worstelaar,1,2.004,7.264,2,0,10629,0,0,warmup
engine_seqs_64,9,gemiddelde,1,27.672,30.732,3,0,26017,0,0,warmup
engine_seqs_64,7,worstelaar,1,26.468,34.578,2,0,17746,0,0,warmup
engine_seqs_64,5,afhaker,1,20.832,43.198,2,0,12135,0,0,warmup
engine_seqs_64,19,gemiddelde,1,22.769,43.965,4,0,32310,0,0,warmup
engine_seqs_64,8,gemiddelde,1,24.738,42.231,5,0,22815,0,0,warmup
engine_seqs_64,10,worstelaar,1,46.952,29.548,4,0,17319,0,0,warmup
engine_seqs_64,11,afhaker,1,36.271,45.865,2,0,13161,0,0,warmup
engine_seqs_64,12,gemiddelde,1,4.39,87.754,3,0,36984,0,0,warmup
engine_seqs_64,1,gemiddelde,1,4.426,90.22,8,0,24085,0,0,warmup
engine_seqs_64,18,gemiddelde,1,39.006,58.179,3,0,33508,0,0,warmup
engine_seqs_64,13,worstelaar,1,0.351,97.816,4,0,22033,0,0,warmup
engine_seqs_64,4,doorpakker,1,41.523,66.185,11,0,48552,0,0,warmup
engine_seqs_64,16,doorpakker,1,22.092,88.058,9,0,49303,0,0,warmup
engine_seqs_64,6,gemiddelde,1,16.235,103.739,7,0,36321,0,0,warmup
engine_seqs_64,15,gemiddelde,1,34.667,96.344,8,0,26657,0,0,warmup
engine_seqs_64,9,gemiddelde,2,142.592,15.47,3,0,27498,0,0,measure
engine_seqs_64,2,doorpakker,1,14.005,147.477,12,0,51356,0,0,warmup
engine_seqs_64,4,doorpakker,2,125.962,38.976,8,0,51288,0,0,measure
engine_seqs_64,17,gemiddelde,1,21.815,156.026,3,0,36281,0,0,measure
engine_seqs_64,8,gemiddelde,2,144.946,35.779,8,0,25454,0,0,measure
engine_seqs_64,16,doorpakker,2,157.246,41.609,8,0,52423,0,0,measure
engine_seqs_64,4,doorpakker,3,196.858,43.981,9,0,54010,0,0,measure
engine_seqs_64,18,gemiddelde,2,151.591,96.515,4,0,39800,1,0,measure
engine_seqs_64,9,gemiddelde,3,243.546,14.385,4,0,28694,0,0,measure
engine_seqs_64,6,gemiddelde,2,230.833,34.828,3,0,38981,0,0,measure
engine_seqs_64,2,doorpakker,2,212.829,53.425,9,0,58858,0,0,measure
engine_seqs_64,12,gemiddelde,2,145.523,125.997,7,0,52739,1,0,measure
engine_seqs_64,13,worstelaar,2,226.773,45.466,4,0,19956,0,1,measure
engine_seqs_64,16,doorpakker,3,245.635,36.336,9,0,56698,0,0,measure
engine_seqs_64,7,worstelaar,2,299.363,6.517,2,0,18995,0,0,measure
engine_seqs_64,14,worstelaar,2,300.764,7.538,2,0,10376,0,1,measure
engine_seqs_64,15,gemiddelde,2,256.433,61.282,5,0,29247,0,0,measure
engine_seqs_64,0,worstelaar,1,233.73,84.586,4,0,27455,0,0,measure
engine_seqs_64,19,gemiddelde,2,308.359,13.376,3,0,33093,0,0,measure
engine_seqs_64,9,gemiddelde,4,317.778,20.396,4,0,30332,0,0,measure
engine_seqs_64,4,doorpakker,4,300.751,52.173,9,0,57199,0,0,measure
engine_seqs_64,18,gemiddelde,3,291.002,69.844,3,0,41215,1,0,measure
engine_seqs_64,11,afhaker,2,351.085,35.788,3,0,13893,0,0,measure
engine_seqs_64,8,gemiddelde,3,327.988,61.812,7,0,27914,0,0,measure
engine_seqs_64,2,doorpakker,3,286.119,109.817,11,0,54055,1,0,measure
engine_seqs_64,16,doorpakker,4,353.476,43.169,10,0,60075,0,0,measure
engine_seqs_64,12,gemiddelde,3,339.867,56.933,4,0,47289,1,0,measure
engine_seqs_64,1,gemiddelde,2,374.264,25.336,4,0,26758,0,0,measure
engine_seqs_64,15,gemiddelde,3,366.698,33.432,4,0,34986,0,0,measure
engine_seqs_64,6,gemiddelde,3,362.291,39.337,4,0,40238,0,0,measure
