run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
rampup,2,afhaker,1,0,0.079,3.268,1.4603,3.1897,0.0501,3371,3851,,43,24.2856,0.0111,1,,measure
rampup,4,gemiddelde,1,0,0.128,4.116,2.4751,3.9876,0.0012,10498,11121,,102,66.7753,0.0114,1,,measure
rampup,1,worstelaar,1,0,0.073,5.429,0.902,5.3561,0.0555,5419,5990,,168,37.4937,0.0116,1,,measure
rampup,0,gemiddelde,1,0,0.062,5.859,0.9021,5.7971,0.0668,12396,13123,,239,48.6214,0.0118,1,,measure
rampup,4,gemiddelde,1,1,4.119,5.869,0.2262,1.7499,0.0002,12408,13044,,95,61.6954,0.0118,1,,measure
rampup,1,worstelaar,1,1,5.43,6.591,0.0926,1.1605,0.0002,5629,6213,,57,52.4432,0.0123,1,,measure
rampup,0,gemiddelde,1,1,5.86,7.034,0.1277,1.1743,0.0002,12594,13333,,59,55.4167,0.0113,1,,measure
rampup,4,gemiddelde,1,2,5.872,8.607,0.2287,2.7357,0.0001,13520,14170,,173,68.6081,0.0115,1,,measure
rampup,2,afhaker,1,1,3.27,9.143,0.1093,5.8726,0.0003,4166,4659,,323,55.8701,0.0116,1,,measure
rampup,0,gemiddelde,1,2,7.035,9.546,0.1081,2.5108,0.0003,12840,13591,,158,65.3453,0.011,1,,measure
rampup,3,doorpakker,1,0,0.111,9.778,2.2508,9.6673,0.0181,19517,20387,,513,69.0346,0.0116,1,,measure
rampup,2,afhaker,1,2,9.144,10.439,0.0952,1.2949,0.0002,4536,5043,,79,65.0123,0.0103,1,,measure
rampup,0,gemiddelde,1,3,9.547,10.71,0.1611,1.1626,0.0001,13799,14564,,75,73.8926,0.0102,1,,measure
rampup,3,doorpakker,1,1,9.779,12.372,0.2326,2.5929,0.0002,19995,20879,,200,84.3086,0.0094,1,,measure
rampup,0,gemiddelde,1,4,10.711,12.927,0.133,2.2155,0.0004,14032,14811,,165,78.7532,0.0094,1,,measure
rampup,0,gemiddelde,1,5,12.931,14.489,0.2126,1.5572,0.0004,15246,16039,,110,81.0662,0.0094,1,,measure
rampup,3,doorpakker,1,2,12.373,14.656,0.1398,2.2828,0.0001,20207,21104,,204,94.729,0.0093,1,,measure
rampup,3,doorpakker,1,3,14.657,16.339,0.2203,1.6819,0.0004,20461,21372,,192,130.6743,0.0073,1,,measure
rampup,3,doorpakker,1,4,16.34,17.589,0.1826,1.2489,0.0001,21252,22177,,128,119.0956,0.0073,1,,measure
rampup,3,doorpakker,1,5,17.59,18.944,0.12,1.3536,0.0001,21562,22501,,169,136.1876,0.0074,1,,measure
rampup,3,doorpakker,1,6,18.944,21.16,0.1021,2.2156,0.0001,21790,22733,,268,126.3296,0.0074,1,,measure
rampup,3,doorpakker,1,7,21.161,22.27,0.1342,1.108,0.0004,22092,23049,,113,115.0082,0.0075,1,,measure
rampup,3,doorpakker,1,8,22.271,23.438,0.1652,1.1671,0.0004,22300,23270,,136,134.7443,0.0074,1,,measure
rampup,3,doorpakker,1,9,23.442,25.479,0.1935,2.0375,0.0004,23102,24085,,246,132.8647,0.0076,1,,measure
rampup,3,doorpakker,1,10,25.481,27.377,0.2094,1.8963,0.0002,23836,24833,,223,131.6024,0.0076,1,,measure
rampup,3,doorpakker,1,11,27.378,31.985,0.1551,4.6071,0.0004,24044,25049,,583,130.7295,0.0077,1,,measure
rampup,3,doorpakker,1,12,31.986,33.717,0.1096,1.7305,0.0002,24264,25282,,213,130.7914,0.0077,1,,measure
rampup,4,gemiddelde,2,0,61.96,63.306,0.1481,1.3455,0.0004,13959,14623,,147,121.9313,0.0066,1,,measure
rampup,4,gemiddelde,2,1,63.308,66.594,0.128,3.2866,0.0001,14590,15268,,398,125.6897,0.0067,1,,measure
rampup,4,gemiddelde,2,2,66.597,67.423,0.1765,0.8261,0.0003,15278,15969,,72,109.2981,0.0067,1,,measure
rampup,4,gemiddelde,2,3,67.425,68.63,0.1634,1.2046,0.0004,15781,16485,,118,112.3651,0.0068,1,,measure
rampup,4,gemiddelde,2,4,68.631,69.349,0.1484,0.718,0.0003,16004,16711,,68,117.6229,0.0068,1,,measure
rampup,4,gemiddelde,2,5,69.35,70.999,0.0957,1.6485,0.0001,16261,16981,,211,135.2373,0.0068,1,,measure
rampup,4,gemiddelde,2,6,71.001,72.401,0.1693,1.3993,0.0003,17047,17780,,123,99.1872,0.0069,1,,measure
rampup,3,doorpakker,2,0,77.479,78.388,0.1621,0.9089,0.0001,24507,25539,,99,131.2173,0.0077,1,,measure
rampup,3,doorpakker,2,1,78.393,80.044,0.3268,1.6508,0.0004,25748,26794,,171,128.4005,0.0078,1,,measure
rampup,3,doorpakker,2,2,80.045,80.731,0.1346,0.6851,0.0004,26007,27067,,72,128.9622,0.0078,1,,measure
rampup,3,doorpakker,2,3,80.732,82.115,0.1962,1.3824,0.0004,26408,27482,,152,127.3063,0.0079,1,,measure
rampup,3,doorpakker,2,4,82.116,83.562,0.173,1.4463,0.0004,26728,27816,,163,127.2281,0.0079,1,,measure
rampup,3,doorpakker,2,5,83.563,84.442,0.145,0.8791,0.0002,26962,28063,,94,126.6904,0.0079,1,,measure
rampup,3,doorpakker,2,6,84.444,86.259,0.15,1.8146,0.0004,27403,28517,,210,125.5601,0.008,1,,measure
rampup,3,doorpakker,2,7,86.26,88.058,0.1218,1.7976,0.0002,27645,28763,,210,124.7106,0.008,1,,measure
rampup,3,doorpakker,2,8,88.059,89.549,0.2146,1.4892,0.0002,28450,29582,,140,109.0555,0.0081,1,,measure
rampup,3,doorpakker,2,9,89.55,94.007,0.1317,4.4573,0.0001,28718,29862,,513,118.367,0.0082,1,,measure
rampup,3,doorpakker,2,10,94.008,95.372,0.1369,1.364,0.0001,28968,30125,,152,123.0477,0.0082,1,,measure
rampup,3,doorpakker,2,11,95.374,96.651,0.1958,1.2765,0.0004,29322,30494,,134,123.073,0.0082,1,,measure
rampup,5,worstelaar,1,0,120.045,121.74,0.237,1.6947,0.0472,6267,6812,,69,46.6505,0.0085,1,,measure
rampup,6,gemiddelde,1,0,120.091,122.323,0.9252,2.2315,0.0015,15976,16742,,76,57.4131,0.0086,1,,measure
rampup,5,worstelaar,1,1,121.74,124.123,0.0802,2.3821,0.0001,6450,7008,,159,68.6394,0.009,1,,measure
rampup,5,worstelaar,1,2,124.123,128.906,0.0833,4.7828,0.0002,6645,7215,,526,111.7157,0.009,1,,measure
rampup,6,gemiddelde,1,1,122.324,129.416,0.2045,7.0917,0.0001,17174,17956,,379,54.8849,0.009,1,,measure
rampup,6,gemiddelde,1,2,129.418,132.229,0.1987,2.811,0.0001,18123,18921,,237,90.3437,0.0072,1,,measure
rampup,4,gemiddelde,3,0,140.733,142.237,0.5513,1.5041,0.0002,12374,13364,,150,156.3753,0.0064,1,,measure
rampup,4,gemiddelde,3,1,142.238,144.199,0.0722,1.9612,0.0002,12572,13574,,215,113.2913,0.0065,1,,measure
rampup,4,gemiddelde,3,2,144.2,145.649,0.1321,1.4486,0.0004,12781,13795,,205,154.9515,0.0065,1,,measure
rampup,4,gemiddelde,3,3,145.65,147.152,0.1311,1.5016,0.0004,12979,14005,,213,154.6776,0.0065,1,,measure
rampup,4,gemiddelde,3,4,147.153,148.194,0.1165,1.0413,0.0003,13194,14234,,125,134.086,0.0065,1,,measure
rampup,4,gemiddelde,3,5,148.196,149.765,0.1399,1.5691,0.0004,13538,14591,,201,139.9429,0.0066,1,,measure
rampup,4,gemiddelde,3,6,149.766,151.256,0.1304,1.4898,0.0003,13728,14789,,197,144.1877,0.0066,1,,measure
rampup,4,gemiddelde,3,7,151.257,155.448,0.0792,4.1909,0.0003,13929,15003,,527,127.929,0.0066,1,,measure
rampup,3,doorpakker,3,0,169.499,171.575,1.1053,2.0764,0.0003,18979,20223,,118,120.478,0.0071,1,,measure
rampup,3,doorpakker,3,1,171.576,173.257,0.1535,1.6802,0.0003,19175,20432,,195,127.0705,0.0072,1,,measure
rampup,3,doorpakker,3,2,173.266,174.305,0.301,1.039,0.0011,19380,20650,,63,84.0088,0.0072,1,,measure
rampup,3,doorpakker,3,3,174.307,175.952,0.1093,1.6446,0.0002,19611,20894,,214,138.7391,0.0072,1,,measure
rampup,3,doorpakker,3,4,175.953,179.714,0.1494,3.7603,0.0004,19835,21131,,499,137.9162,0.0072,1,,measure
rampup,3,doorpakker,3,5,179.716,183.211,0.1501,3.4951,0.0004,20042,21348,,461,137.5188,0.0073,1,,measure
rampup,3,doorpakker,3,6,183.215,187.478,0.1641,4.2627,0.0004,20483,21802,,479,116.626,0.0073,1,,measure
rampup,3,doorpakker,3,7,187.481,189.477,0.157,1.9959,0.0004,20739,22071,,252,136.4941,0.0073,1,,measure
rampup,3,doorpakker,3,8,189.477,191.815,0.0988,2.3377,0.0001,20936,22281,,306,136.2248,0.0073,1,,measure
rampup,0,gemiddelde,2,0,192.133,193.376,0.1556,1.2431,0.0004,15704,16511,,98,89.1941,0.0095,1,,measure
rampup,3,doorpakker,3,9,191.817,193.444,0.154,1.6268,0.0004,21127,22485,,158,106.6003,0.0093,1,,measure
rampup,0,gemiddelde,2,1,193.379,195.563,0.1653,2.1836,0.0004,15920,16731,,170,83.7318,0.0095,1,,measure
rampup,3,doorpakker,3,10,193.447,197.036,0.1688,3.5891,0.0003,21651,23023,,356,103.7935,0.0096,1,,measure
rampup,0,gemiddelde,2,2,195.563,197.806,0.1058,2.2421,0.0001,16136,16959,,222,103.4482,0.0096,1,,measure
rampup,3,doorpakker,3,11,197.038,198.803,0.1566,1.7648,0.0004,21861,23247,,126,77.7256,0.0096,1,,measure
rampup,0,gemiddelde,2,3,197.809,199.942,0.1551,2.1328,0.0004,16699,17536,,255,128.4317,0.0069,1,,measure
rampup,0,gemiddelde,2,4,199.943,201.705,0.1265,1.7618,0.0004,16882,17732,,220,133.9223,0.0069,1,,measure
rampup,0,gemiddelde,2,5,201.707,205.107,0.1472,3.3991,0.0004,17254,18117,,364,111.6273,0.0069,1,,measure
rampup,0,gemiddelde,2,6,205.108,205.73,0.1465,0.6223,0.0004,17442,18313,,71,147.1289,0.0069,1,,measure
rampup,8,worstelaar,1,0,240.062,242.15,0.3018,2.0878,0.0011,4811,5330,,178,99.1037,0.0076,1,,measure
rampup,8,worstelaar,1,1,242.151,243.793,0.089,1.6418,0.0001,5449,5981,,146,93.3806,0.0077,1,,measure
rampup,7,worstelaar,1,0,240.043,245.538,0.2083,5.4951,0.0207,5803,6361,,496,93.6283,0.0077,1,,measure
rampup,8,worstelaar,1,2,243.795,245.668,0.0928,1.8733,0.0004,5702,6248,,175,97.7267,0.0078,1,,measure
rampup,8,worstelaar,1,3,245.669,246.623,0.0872,0.9536,0.0002,6120,6679,,80,91.1856,0.0101,1,,measure
rampup,7,worstelaar,1,1,245.54,247.989,0.2103,2.4484,0.0004,6241,6813,,90,39.7668,0.0099,1,,measure
rampup,7,worstelaar,1,2,247.99,249.458,0.0993,1.4688,0.0004,6435,7023,,113,81.7762,0.0092,1,,measure
rampup,7,worstelaar,1,3,249.459,251.171,0.0877,1.7119,0.0002,6658,7250,,156,95.4301,0.0093,1,,measure
rampup,6,gemiddelde,2,0,245.818,251.799,0.1948,5.9812,0.0004,18728,19539,,303,52.1919,0.0093,1,,measure
rampup,6,gemiddelde,2,1,251.803,259.056,0.2274,7.2534,0.0004,19644,20472,,728,103.4731,0.0072,1,,measure
rampup,6,gemiddelde,2,2,259.058,262.244,0.1505,3.1865,0.0004,19852,20702,,309,101.4463,0.0072,1,,measure
rampup,6,gemiddelde,2,3,262.246,267.249,0.1542,5.0028,0.0004,20087,20941,,535,110.1351,0.0072,1,,measure
rampup,6,gemiddelde,2,4,267.25,268.5,0.1295,1.2493,0.0002,20542,21412,,117,103.5933,0.0073,1,,measure
rampup,6,gemiddelde,2,5,268.5,271.83,0.1001,3.3295,0.0001,20768,21646,,292,90.1093,0.0074,1,,measure
rampup,6,gemiddelde,2,6,271.832,274.652,0.2958,2.8201,0.0001,22306,23201,,226,89.1369,0.0075,1,,measure
rampup,6,gemiddelde,2,7,274.654,277.429,0.1503,2.7751,0.0004,22508,23416,,163,61.7195,0.0075,1,,measure
rampup,3,doorpakker,4,0,280.629,282.575,0.1399,1.9453,0.0003,22093,23493,,243,134.0418,0.0075,1,,measure
rampup,3,doorpakker,4,1,282.575,285.574,0.1066,2.9988,0.0002,22278,23693,,387,133.4649,0.0075,1,,measure
rampup,3,doorpakker,4,2,285.575,290.834,0.1176,5.2589,0.0001,22562,23990,,585,113.5908,0.0092,1,,measure
rampup,3,doorpakker,4,3,290.837,292.503,0.2509,1.6661,0.0004,23345,24787,,150,105.2855,0.0096,1,,measure
rampup,0,gemiddelde,3,0,287.879,293.54,0.129,5.6604,0.0004,12397,13124,,404,72.8557,0.0097,1,,measure
rampup,3,doorpakker,4,4,292.505,294.603,0.2602,2.0978,0.0001,24449,25905,,150,81.0814,0.0098,1,,measure
rampup,0,gemiddelde,3,1,293.541,295.666,0.267,2.1256,0.0002,12881,13622,,164,87.6994,0.0097,1,,measure
rampup,3,doorpakker,4,5,294.605,296.353,0.2511,1.748,0.0004,25107,26577,,146,96.8693,0.0098,1,,measure
rampup,0,gemiddelde,3,2,295.667,296.703,0.1459,1.0355,0.0004,13056,13809,,71,78.6854,0.0097,1,,measure
