run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_deadline,14,gemiddelde,1,0,0.688,6.357,0.5759,5.6687,0.0003,10477,11100,,89,17.2791,0.0112,1,,warmup
scen_deadline,7,gemiddelde,1,0,8.849,18.69,4.3293,9.8403,0.0002,15535,16301,,88,15.7866,0.0219,1,,warmup
scen_deadline,9,gemiddelde,1,0,9.233,19.283,3.9454,10.0492,0.0002,12326,12988,,119,19.3325,0.0217,1,,warmup
scen_deadline,19,gemiddelde,1,0,7.603,19.469,3.3914,11.8653,0.0002,15863,16629,,127,14.8692,0.0217,1,,warmup
scen_deadline,11,worstelaar,1,0,12.127,19.545,2.3579,7.4181,0.0004,8192,8828,,118,23.1218,0.0215,1,,warmup
scen_deadline,14,gemiddelde,1,1,6.358,20.768,0.2578,14.4088,0.0002,11035,11671,,168,11.8012,0.0221,1,,warmup
scen_deadline,10,gemiddelde,1,0,15.713,20.769,0.7452,5.055,0.0006,15575,16367,,159,36.6605,0.0217,1,,warmup
scen_deadline,4,doorpakker,1,0,13.893,21.269,1.819,7.3747,0.0002,21511,22459,,162,28.979,0.0217,1,,warmup
scen_deadline,9,gemiddelde,1,1,19.284,21.363,0.1661,2.0786,0.0004,12708,13383,,56,28.7567,0.0218,1,,warmup
scen_deadline,6,gemiddelde,1,0,5.425,21.599,0.9236,16.1735,0.0002,14212,14952,,264,17.2461,0.0217,1,,warmup
scen_deadline,16,doorpakker,1,0,7.385,22.165,2.8961,14.7798,0.0004,22720,23707,,193,16.1566,0.0219,1,,warmup
scen_deadline,8,doorpakker,1,0,8.298,22.571,4.253,14.2735,0.0002,19557,20427,,216,21.456,0.0221,1,,warmup
scen_deadline,5,worstelaar,1,0,6.969,23.094,0.2739,16.1249,0.0007,7799,8383,,211,13.2483,0.0223,1,,warmup
scen_deadline,0,gemiddelde,1,0,1.734,23.487,2.4284,21.7527,0.0003,16107,16743,,321,16.5595,0.0215,1,,warmup
scen_deadline,16,doorpakker,1,1,22.167,25.003,0.2522,2.8354,0.0004,23310,24311,,85,32.5171,0.0231,1,,warmup
scen_deadline,14,gemiddelde,1,2,20.769,25.514,0.159,4.7448,0.0024,11225,11873,,154,33.3637,0.023,1,,warmup
scen_deadline,1,doorpakker,1,0,1.537,25.733,2.4505,24.1962,0.0006,18951,19782,,443,20.3259,0.0221,1,,warmup
scen_deadline,12,doorpakker,1,0,1.502,26.152,1.7568,24.65,0.0356,19553,20202,,464,20.2243,0.0222,1,,warmup
scen_deadline,8,doorpakker,1,1,22.572,28.066,0.1849,5.4937,0.0004,19785,20669,,172,32.2107,0.023,1,,warmup
scen_deadline,9,gemiddelde,1,2,21.366,28.632,0.2145,7.2654,0.0002,13690,14378,,130,18.2954,0.0238,1,,warmup
scen_deadline,15,doorpakker,1,0,11.616,28.8,2.3649,17.1841,0.0002,18909,19779,,394,26.5197,0.0227,1,,warmup
scen_deadline,8,doorpakker,1,2,28.068,29.889,0.1846,1.8215,0.0004,20009,20909,,39,23.2147,0.0238,1,,warmup
scen_deadline,10,gemiddelde,1,1,20.771,30.649,0.2371,9.8782,0.0009,16083,16889,,150,15.4547,0.0242,1,,warmup
scen_deadline,1,doorpakker,1,1,25.734,30.887,0.1457,5.153,0.0002,19234,20076,,152,30.1561,0.0235,1,,warmup
scen_deadline,9,gemiddelde,1,3,28.633,30.96,0.1654,2.3268,0.0005,13912,14614,,66,30.0734,0.0237,1,,warmup
scen_deadline,7,gemiddelde,1,1,18.691,31.287,0.1657,12.5966,0.0004,15737,16515,,441,35.3957,0.0231,1,,warmup
scen_deadline,19,gemiddelde,1,1,19.469,31.472,0.1394,12.0023,0.0001,16140,16919,,329,27.6494,0.0231,1,,warmup
scen_deadline,8,doorpakker,1,3,29.89,31.871,0.1497,1.9809,0.0002,20262,21176,,47,25.1203,0.0236,1,,warmup
scen_deadline,14,gemiddelde,1,3,25.515,32.141,0.4488,6.6257,0.0002,12041,12703,,207,33.3497,0.0234,1,,warmup
scen_deadline,6,gemiddelde,1,1,21.6,32.58,0.1578,10.9793,0.0002,14704,15462,,298,27.4453,0.0233,1,,warmup
scen_deadline,15,doorpakker,1,1,28.801,32.638,0.1887,3.8365,0.0004,19161,20031,,107,29.0583,0.0236,1,,warmup
scen_deadline,5,worstelaar,1,1,23.097,33.631,0.1869,10.5336,0.0004,8538,9136,,272,26.1919,0.0234,1,,warmup
scen_deadline,18,gemiddelde,1,0,13.045,33.711,2.236,20.6657,0.0004,11247,11844,,511,27.6727,0.023,1,,warmup
scen_deadline,19,gemiddelde,1,2,31.473,34.095,0.2172,2.6211,0.0001,17101,17894,,63,25.7915,0.0237,1,,warmup
scen_deadline,7,gemiddelde,1,2,31.288,35.456,0.1382,4.1681,0.0002,15955,16746,,115,28.2884,0.024,1,,warmup
scen_deadline,19,gemiddelde,1,3,34.096,36.041,0.1342,1.9452,0.0003,17278,18081,,56,30.3698,0.0241,1,,warmup
scen_deadline,8,doorpakker,1,4,31.873,36.489,0.2101,4.6164,0.0004,20582,21510,,135,30.4115,0.0241,1,,warmup
scen_deadline,1,doorpakker,1,2,30.889,36.921,0.1741,6.0322,0.0004,19498,20342,,164,27.8246,0.0239,1,,warmup
scen_deadline,14,gemiddelde,1,4,32.143,36.942,0.1579,4.7993,0.0002,12780,13456,,146,31.2403,0.024,1,,warmup
scen_deadline,4,doorpakker,1,1,21.27,37.129,0.1652,15.8593,0.0004,21791,22753,,511,32.4962,0.0235,1,,warmup
scen_deadline,10,gemiddelde,1,2,30.65,37.926,0.1724,7.2758,0.0004,16308,17128,,157,21.9615,0.024,1,,warmup
scen_deadline,9,gemiddelde,1,4,30.961,38.463,0.1873,7.5016,0.0002,14114,14830,,189,25.7031,0.0238,1,,warmup
