t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.01,1788989614.0437,140891771.0,132457536.0,0.0,0.0,0.0,0.0,140891771.0,2017204.0,5468.0,10451439.0,
2.02,1788989616.0501,140896505.0,132458688.0,0.0,0.0041,1.0,0.0,140896505.0,2017422.0,5468.0,10455239.0,0.2433
4.03,1788989618.0616,140896505.0,132458688.0,0.0,0.0044,1.0,0.0,140896505.0,2017781.0,5468.0,10455598.0,
6.04,1788989620.0723,140906453.0,132464736.0,0.0,0.008,2.0,0.0,140906453.0,2018264.0,5469.0,10459981.0,0.608
8.05,1788989622.084,140906453.0,132464736.0,0.0,0.0085,2.0,0.0,140906453.0,2018794.0,5469.0,10460511.0,
10.06,1788989624.0889,140922266.0,132477088.0,0.0,0.0157,4.0,0.0,140922266.0,2019442.0,5470.0,10464620.0,0.7811
12.08,1788989626.1125,140941091.0,132488560.0,0.0,0.0224,5.0,0.0,140941091.0,2020197.0,5472.0,10472728.0,0.6094
14.1,1788989628.1257,140947948.0,132494096.0,0.0,0.0239,5.0,0.0,140947948.0,2021057.0,5473.0,10474909.0,0.8074
16.11,1788989630.1376,140963005.0,132507488.0,0.0,0.0206,4.0,0.0,140963005.0,2021853.0,5476.0,10477370.0,0.8894
18.12,1788989632.1498,140963005.0,132507488.0,0.0,0.0212,4.0,0.0,140963005.0,2022621.0,5476.0,10478138.0,
20.13,1788989634.1595,140969954.0,132512272.0,0.0,0.0166,3.0,0.0,140969954.0,2023308.0,5478.0,10480990.0,0.6884
22.15,1788989636.176,140972521.0,132514800.0,0.0,0.0184,4.0,0.0,140972521.0,2024040.0,5478.0,10481761.0,0.9848
24.15,1788989638.1819,140972521.0,132514800.0,0.0,0.0138,3.0,0.0,140972521.0,2024800.0,5479.0,10482521.0,
26.16,1788989640.1873,140988792.0,132529808.0,0.0,0.0197,4.0,0.0,140988792.0,2025548.0,5480.0,10484532.0,0.9224
28.17,1788989642.1965,140997478.0,132534528.0,0.0,0.0265,5.0,0.0,140988792.0,2026236.0,5480.0,10485220.0,0.5434
30.18,1788989644.2112,141003590.0,132540224.0,0.0,0.0261,5.0,0.0,141003590.0,2027088.0,5481.0,10490454.0,0.9319
32.2,1788989646.2248,141010416.0,132543968.0,0.0,0.0287,6.0,0.0,141010416.0,2027978.0,5482.0,10494426.0,0.5485
34.21,1788989648.2367,141029199.0,132557472.0,0.0,0.0333,7.0,0.0,141029199.0,2028952.0,5484.0,10500679.0,0.7189
36.22,1788989650.2503,141050093.0,132571040.0,0.0,0.0392,7.0,0.0,141050093.0,2029808.0,5486.0,10508861.0,0.6494
38.25,1788989652.2815,141064875.0,132584512.0,0.0,0.0407,7.0,0.0,141064875.0,2030836.0,5488.0,10511199.0,0.9114
40.26,1788989654.2932,141075875.0,132595296.0,0.0,0.0391,6.0,0.0,141075875.0,2031872.0,5490.0,10512451.0,0.9804
42.28,1788989656.313,141089323.0,132601904.0,0.0,0.0451,7.0,0.0,141089323.0,2032731.0,5491.0,10520150.0,0.4914
44.29,1788989658.319,141113723.0,132615056.0,0.0,0.0597,10.0,0.0,141103920.0,2033631.0,5492.0,10525135.0,0.539
