t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.01,1788990771.9317,162150510.0,152393520.0,0.0,0.0,0.0,0.0,162150510.0,2356829.0,6372.0,12113819.0,
2.02,1788990773.9377,162171271.0,152407792.0,0.0,0.0107,2.0,0.0,162171271.0,2357131.0,6373.0,12120610.0,0.6874
4.03,1788990775.9433,162197590.0,152420752.0,0.0,0.027,4.0,0.0,162197590.0,2357500.0,6373.0,12134338.0,0.4924
6.04,1788990777.9549,162197590.0,152420752.0,0.0,0.0251,3.0,0.0,162197590.0,2358202.0,6374.0,12135040.0,
8.05,1788990779.968,162218784.0,152441936.0,0.0,0.0383,4.0,0.0,162218784.0,2358842.0,6374.0,12135690.0,0.9995
10.06,1788990781.9797,162264621.0,152483328.0,0.0,0.0471,5.0,0.0,162264621.0,2359399.0,6376.0,12140692.0,0.903
12.08,1788990783.9937,162328305.0,152535248.0,0.0,0.0757,9.0,0.0,162328305.0,2359884.0,6376.0,12152941.0,0.8153
14.08,1788990786.0019,162374392.0,152572032.0,0.0,0.0892,12.0,0.0,162374392.0,2360703.0,6377.0,12163063.0,0.7981
16.1,1788990788.0128,162426804.0,152623008.0,0.0,0.0901,12.0,0.0,162426804.0,2361878.0,6381.0,12165674.0,0.9726
18.1,1788990790.0184,162495595.0,152683968.0,0.0,0.0968,13.0,0.0,162495595.0,2362802.0,6385.0,12174429.0,0.8862
20.11,1788990792.0278,162539698.0,152724160.0,0.0,0.0941,14.0,0.0,162539698.0,2364057.0,6388.0,12179595.0,0.9113
22.12,1788990794.0391,162606294.0,152789504.0,0.0,0.116,16.0,0.0,162606294.0,2365500.0,6390.0,12182290.0,0.9812
24.13,1788990796.0494,162642701.0,152821424.0,0.0,0.1204,17.0,0.0,162642701.0,2366886.0,6392.0,12188163.0,0.8768
26.14,1788990798.055,162708978.0,152883392.0,0.0,0.1179,16.0,0.0,162708978.0,2368162.0,6397.0,12193748.0,0.935
28.15,1788990800.0661,162739799.0,152913728.0,0.0,0.109,13.0,0.0,162739799.0,2369536.0,6402.0,12195607.0,0.9843
30.16,1788990802.0779,162760991.0,152934176.0,0.0,0.0999,12.0,0.0,162760991.0,2370823.0,6405.0,12197638.0,0.9649
