run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
scen_worst_case,14,gemiddelde,1,0.565,232.621,6,0,35600,0,0,measure
scen_worst_case,9,gemiddelde,1,6.974,235.577,6,0,41527,0,0,measure
scen_worst_case,19,gemiddelde,1,5.773,249.595,8,0,52421,0,0,measure
scen_worst_case,7,gemiddelde,1,6.704,260.357,6,0,49553,0,0,measure
scen_worst_case,5,worstelaar,1,5.255,344.67,6,0,27164,0,0,measure
scen_worst_case,11,worstelaar,1,9.11,344.251,6,0,27038,0,0,measure
scen_worst_case,10,gemiddelde,1,11.826,365.76,14,0,49493,0,0,measure
scen_worst_case,7,gemiddelde,2,318.734,61.898,6,0,51171,0,0,measure
scen_worst_case,14,gemiddelde,2,293.799,87.815,6,0,38156,0,0,measure
scen_worst_case,9,gemiddelde,2,284.646,111.564,6,0,44683,0,0,measure
scen_worst_case,2,doorpakker,1,3.601,392.844,10,0,70324,0,0,measure
scen_worst_case,13,gemiddelde,1,0.21,396.514,7,0,54197,0,0,measure
scen_worst_case,1,doorpakker,1,1.309,396.916,14,0,63589,0,0,measure
scen_worst_case,8,doorpakker,1,6.306,391.956,22,0,66259,0,0,measure
scen_worst_case,16,doorpakker,1,5.685,394.81,14,0,76054,0,0,measure
scen_worst_case,15,doorpakker,1,8.759,392.802,8,0,63058,0,0,measure
scen_worst_case,4,doorpakker,1,10.5,392.686,16,0,73164,0,0,measure
scen_worst_case,0,gemiddelde,1,1.406,401.789,4,0,59116,0,0,measure
scen_worst_case,19,gemiddelde,2,376.181,28.601,2,0,53390,0,0,measure
scen_worst_case,17,doorpakker,1,5.574,399.38,2,0,73376,0,0,measure
scen_worst_case,6,gemiddelde,1,4.13,401.778,10,0,56820,0,0,measure
scen_worst_case,18,gemiddelde,1,9.839,398.727,6,0,52744,0,0,measure
scen_worst_case,12,doorpakker,1,1.215,417.357,6,0,85839,0,0,measure
