run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_worst_case,14,gemiddelde,1,0,0.565,149.861,11.9327,149.2958,0.0003,32877,34150,,85,0.6115,1.476,1,,warmup
scen_worst_case,7,gemiddelde,1,0,6.704,173.348,117.78,166.6433,0.0003,47718,49394,,88,1.7805,0.0992,1,,warmup
scen_worst_case,19,gemiddelde,1,0,5.773,174.544,99.9897,168.7703,0.0004,49333,51009,,99,1.4248,0.101,1,,warmup
scen_worst_case,9,gemiddelde,1,0,6.974,175.112,122.8091,168.1377,0.0002,38789,40231,,102,2.2282,0.0502,1,,warmup
scen_worst_case,11,worstelaar,1,0,9.11,176.102,134.1681,166.9915,0.0002,23482,24521,,104,3.138,0.0505,1,,warmup
scen_worst_case,10,gemiddelde,1,0,11.826,179.402,157.7015,167.5758,0.0002,45374,46920,,161,16.2037,0.0499,1,,warmup
scen_worst_case,9,gemiddelde,1,1,175.113,179.449,0.3437,4.3357,0.0002,39179,40635,,64,15.7815,0.0502,1,,measure
scen_worst_case,16,doorpakker,1,0,5.685,180.185,91.9818,174.4998,0.0009,69646,71933,,231,2.7873,0.0503,1,,warmup
scen_worst_case,4,doorpakker,1,0,10.5,180.907,152.0571,170.4073,0.0002,67248,69483,,183,9.9182,0.05,1,,warmup
scen_worst_case,6,gemiddelde,1,0,4.13,181.436,60.4822,177.3061,0.0001,45419,47017,,232,1.9773,0.0507,1,,warmup
scen_worst_case,8,doorpakker,1,0,6.306,181.904,110.456,175.5972,0.0003,57832,59794,,193,2.9474,0.0532,1,,warmup
scen_worst_case,5,worstelaar,1,0,5.255,182.357,61.4511,177.1014,0.0003,23362,24323,,229,1.9715,0.0511,1,,warmup
scen_worst_case,14,gemiddelde,1,1,149.862,183.943,19.6658,34.0811,0.0002,33434,34721,,224,15.4697,0.0502,1,,measure
scen_worst_case,16,doorpakker,1,1,180.186,186.571,0.5335,6.3854,0.0002,70245,72546,,44,7.3481,0.0524,1,,measure
scen_worst_case,0,gemiddelde,1,0,1.406,187.594,43.3635,186.1875,0.0013,49664,50676,,329,2.2965,0.0509,1,,warmup
scen_worst_case,1,doorpakker,1,0,1.309,192.011,35.3808,190.7017,0.0972,58216,60178,,469,3.0131,0.0507,1,,warmup
scen_worst_case,12,doorpakker,1,0,1.215,192.596,24.0385,191.3811,0.0942,64696,65800,,484,2.8863,0.0507,1,,warmup
