run_id,label,kind,students,context_tokens,activity,shared_fraction,grade,grade_brief,ttft_p50_s,ttft_p90_s,ttft_p99_s,burst_p50_s,burst_p90_s,decode_tps_p50,requests,requests_failed,error_rate,bursts,prefix_cache_hit_rate,preemptions,kv_cache_usage_avg,kv_cache_usage_peak,queue_depth_avg,queue_depth_peak,server_prefill_tps,server_decode_tps,client_output_tps,compactions,compactions_per_100_steps,context_tokens_peak,max_students_ok,reasons,warnings,duration_s
act_intensief_s10,"10 studenten, activiteit intensief",activity,10,32000,intensief,0.5,groen,groen,0.2002,0.5351,3.2903,36.5533,79.8738,65.0937,202,0,0.0,24,0.9543,0.0,0.0675,0.1097,0.0,0.0,17504.01,208.8033,204.1167,9,4.4554,57794,,,,402.0
act_intensief_s20,"20 studenten, activiteit intensief",activity,20,32000,intensief,0.5,oranje,groen,0.2181,0.9085,2.8586,43.1711,120.0653,42.4172,261,0,0.0,41,0.9452,0.0,0.1313,0.1799,0.0,0.0,21738.8133,331.7167,308.5333,16,6.3492,53810,,p90 doorlooptijd instructie 120s,,416.0
act_rustig_s10,"10 studenten, activiteit rustig",activity,10,32000,rustig,0.5,groen,groen,0.1719,0.4429,1.4689,21.9774,45.7596,93.1967,91,0,0.0,13,0.9572,0.0,0.0198,0.045,0.0,0.0,6878.1567,107.6567,100.63,3,3.2967,35725,,,,397.0
act_rustig_s20,"20 studenten, activiteit rustig",activity,20,32000,rustig,0.5,groen,groen,0.2031,0.6907,2.6632,25.9608,65.0128,78.742,112,0,0.0,20,0.9317,0.0,0.0395,0.0949,0.0,0.0,8586.02,172.6267,156.3833,6,5.3571,44821,,,,395.0
engine_kv_auto,vLLM-variant kv_auto,engine,20,64000,normaal,0.5,oranje,groen,0.2569,0.6799,5.8113,52.7696,165.6693,32.4929,152,0,0.0,26,0.9696,0.0,0.2787,0.4223,0.0,0.0,19507.0767,208.4333,188.5667,4,2.9412,58347,,p90 doorlooptijd instructie 166s,,406.0
engine_kv_fp8,vLLM-variant kv_fp8,engine,20,64000,normaal,0.5,oranje,groen,0.2595,0.7198,4.2103,42.3732,98.7459,45.7595,181,0,0.0,29,0.9691,0.0,0.1257,0.1918,0.0,0.0,24596.42,241.26,225.0167,5,3.1646,60443,,p90 doorlooptijd instructie 99s,,402.0
engine_len_65k,vLLM-variant len_65k,engine,20,64000,normaal,0.5,oranje,groen,0.2559,0.6728,4.2218,42.2958,99.0324,47.225,181,0,0.0,29,0.9689,0.0,0.1272,0.1934,0.0,0.0,24600.85,241.4767,228.1,5,3.1646,59860,,p90 doorlooptijd instructie 99s,,402.0
engine_seqs_16,vLLM-variant seqs_16,engine,20,64000,normaal,0.5,oranje,groen,0.2536,0.7108,4.2155,42.4105,101.2575,45.7995,182,0,0.0,29,0.9691,0.0,0.128,0.1957,0.0,0.0,24613.0433,241.46,229.5133,5,3.1447,60716,,p90 doorlooptijd instructie 101s,,404.0
engine_seqs_64,vLLM-variant seqs_64,engine,20,64000,normaal,0.5,oranje,groen,0.2415,0.6554,4.3066,41.6093,99.1751,46.1952,181,0,0.0,29,0.9689,0.0,0.1265,0.1946,0.0,0.0,24207.81,239.6533,225.6167,5,3.1646,60075,,p90 doorlooptijd instructie 99s,,402.0
rampup,"Klifzoeker: 5 studenten, +2 per 120s tot het breekt",rampup,40,32000,normaal,0.5,oranje,groen,0.221,0.7474,3.8131,30.7459,104.0342,38.5679,1661,0,0.0,280,0.9407,0.0,0.1023,0.3144,0.0088,2.0,15084.0475,226.7217,203.1788,89,5.3582,84069,40,p90 doorlooptijd instructie 104s,wachtrij piekte op 2 verzoeken,2291.0
