run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
engine_kv_fp8,14,worstelaar,1,0,2.018,12.583,1.9559,10.5643,0.0009,9893,10490,,89,10.2225,0.0133,1,,warmup
engine_kv_fp8,7,worstelaar,1,0,26.491,82.032,29.8271,55.5404,0.0005,17323,18115,,94,3.6168,0.052,1,,warmup
engine_kv_fp8,14,worstelaar,1,1,12.585,82.207,0.3577,69.6216,0.0005,10451,11061,,187,2.6854,0.0517,1,,warmup
engine_kv_fp8,19,gemiddelde,1,0,22.775,83.408,29.3176,60.6327,0.0003,30664,31872,,119,3.7681,0.0851,1,,warmup
engine_kv_fp8,9,gemiddelde,1,0,27.688,83.826,31.908,56.137,0.0004,24449,25475,,126,5.1591,0.0507,1,,warmup
engine_kv_fp8,11,afhaker,1,0,36.302,84.785,27.3118,48.4827,0.0004,10839,11553,,108,5.0541,0.0505,1,,warmup
engine_kv_fp8,10,worstelaar,1,0,46.984,88.145,31.2457,41.1607,0.0004,16215,17020,,147,14.7252,0.0501,1,,warmup
engine_kv_fp8,9,gemiddelde,1,1,83.827,88.146,0.9034,4.3173,0.0005,24826,25866,,43,12.3026,0.05,1,,warmup
engine_kv_fp8,16,doorpakker,1,0,22.125,88.983,24.9003,66.8585,0.0016,44726,46428,,231,5.4816,0.0504,1,,warmup
engine_kv_fp8,4,doorpakker,1,0,41.519,89.877,35.2438,48.3572,0.0004,44637,46248,,181,13.7264,0.05,1,,warmup
engine_kv_fp8,6,gemiddelde,1,0,16.278,89.975,13.316,73.6958,0.0002,28569,29738,,267,4.4055,0.0504,1,,warmup
engine_kv_fp8,8,gemiddelde,1,0,24.777,90.844,29.8053,66.0668,0.0004,21544,22466,,212,5.8188,0.0512,1,,warmup
engine_kv_fp8,5,afhaker,1,0,20.866,90.943,9.4112,70.0767,0.0005,11156,11805,,230,3.7748,0.0516,1,,warmup
engine_kv_fp8,1,gemiddelde,1,0,4.478,94.758,7.613,90.2798,0.0008,21816,22751,,421,5.0806,0.0507,1,,warmup
engine_kv_fp8,12,gemiddelde,1,0,4.439,95.435,4.8795,90.9954,0.0388,24031,24732,,476,5.5158,0.0508,1,,warmup
engine_kv_fp8,16,doorpakker,1,1,88.985,96.342,0.5939,7.3569,0.0006,45319,47034,,85,12.4205,0.0522,1,,warmup
engine_kv_fp8,8,gemiddelde,1,1,90.845,102.848,0.3246,12.0033,0.0005,21773,22709,,163,13.8715,0.0521,1,,measure
engine_kv_fp8,9,gemiddelde,1,2,88.148,104.67,0.6462,16.5219,0.0005,25795,26849,,155,9.7003,0.0525,1,,warmup
engine_kv_fp8,15,gemiddelde,1,0,34.682,105.173,27.863,70.4903,0.0005,22558,23532,,346,8.0934,0.0522,1,,warmup
engine_kv_fp8,1,gemiddelde,1,1,94.759,106.116,0.3188,11.3567,0.0003,22111,23059,,141,12.6836,0.052,1,,measure
engine_kv_fp8,8,gemiddelde,1,2,102.849,106.677,0.2681,3.8285,0.0002,21996,22948,,48,13.2009,0.0518,1,,measure
engine_kv_fp8,7,worstelaar,1,1,82.033,109.638,0.2877,27.6049,0.0004,17532,18337,,421,15.3749,0.0511,1,,warmup
engine_kv_fp8,19,gemiddelde,1,1,83.41,109.737,0.3327,26.3264,0.0005,30946,32167,,381,14.6189,0.0514,1,,warmup
engine_kv_fp8,10,worstelaar,1,1,88.146,110.306,0.6467,22.1601,0.0018,16723,17542,,334,15.4787,0.0515,1,,warmup
engine_kv_fp8,8,gemiddelde,1,3,106.678,110.633,0.2697,3.9541,0.0001,22260,23225,,47,12.4853,0.0501,1,,measure
engine_kv_fp8,5,afhaker,1,1,90.947,112.724,0.4146,21.7767,0.0007,11920,12583,,280,13.0606,0.0515,1,,measure
engine_kv_fp8,15,gemiddelde,1,1,105.174,112.918,0.3135,7.7438,0.0008,22823,23797,,105,13.9968,0.0496,1,,measure
engine_kv_fp8,6,gemiddelde,1,1,89.977,114.117,0.5699,24.1388,0.0005,29056,30243,,151,6.3643,0.0533,1,,warmup
engine_kv_fp8,19,gemiddelde,1,2,109.738,114.797,0.5668,5.0589,0.0002,31918,33152,,51,11.1306,0.0488,1,,measure
engine_kv_fp8,18,gemiddelde,1,0,39.052,115.699,27.3091,76.6461,0.0004,23061,23905,,580,11.7356,0.0508,1,,warmup
engine_kv_fp8,1,gemiddelde,1,2,106.117,118.549,0.2748,12.4318,0.0003,22382,23331,,183,14.9707,0.049,1,,measure
engine_kv_fp8,19,gemiddelde,1,3,114.798,119.589,0.292,4.7906,0.0003,32082,33325,,61,13.3373,0.0482,1,,measure
engine_kv_fp8,8,gemiddelde,1,4,110.633,120.086,0.293,9.4524,0.0002,22580,23558,,135,14.6298,0.0481,1,,measure
engine_kv_fp8,4,doorpakker,1,1,89.878,122.73,0.4742,32.8516,0.0005,44930,46555,,517,15.937,0.0501,1,,warmup
engine_kv_fp8,13,worstelaar,1,0,0.396,123.271,3.1568,122.8746,0.0006,17979,18849,,787,6.5654,0.05,1,,warmup
engine_kv_fp8,10,worstelaar,1,2,110.307,124.241,0.8915,13.9333,0.0002,16943,17776,,226,17.2522,0.0469,1,,measure
engine_kv_fp8,1,gemiddelde,1,3,118.554,124.726,0.3747,6.172,0.0006,22912,23874,,123,21.0444,0.0436,1,,measure
engine_kv_fp8,15,gemiddelde,1,2,112.925,126.214,0.9213,13.289,0.0005,24872,25864,,132,10.5921,0.0482,1,,measure
engine_kv_fp8,4,doorpakker,1,2,122.731,127.114,0.4226,4.3828,0.0002,45235,46874,,63,15.6555,0.0435,1,,measure
engine_kv_fp8,16,doorpakker,1,2,96.343,130.732,1.0172,34.388,0.0003,45548,47263,,567,16.961,0.0487,1,,measure
engine_kv_fp8,10,worstelaar,1,3,124.241,133.184,0.2253,8.9427,0.0002,17132,17979,,150,17.0922,0.0435,1,,measure
engine_kv_fp8,2,doorpakker,1,0,14.043,139.199,11.4447,125.1552,0.0006,40788,42269,,1075,9.445,0.0493,1,,warmup
engine_kv_fp8,4,doorpakker,1,3,127.115,140.347,0.3831,13.2319,0.0002,45470,47110,,200,15.4879,0.0434,1,,measure
engine_kv_fp8,15,gemiddelde,1,3,126.215,140.817,0.2963,14.6021,0.0002,25096,26102,,167,11.6037,0.0438,1,,measure
engine_kv_fp8,13,worstelaar,1,1,123.272,142.818,0.2906,19.5451,0.0003,18494,19381,,369,19.1125,0.0433,1,,measure
engine_kv_fp8,4,doorpakker,1,4,140.348,144.24,0.4428,3.8919,0.0003,45912,47566,,61,17.3956,0.0428,1,,measure
engine_kv_fp8,18,gemiddelde,1,1,115.703,147.352,1.0168,31.6495,0.0003,25445,26303,,541,17.6282,0.0435,1,,measure
engine_kv_fp8,11,afhaker,1,1,84.789,149.371,0.3298,64.5819,0.0005,11727,12459,,1024,15.9216,0.0456,1,,warmup
engine_kv_fp8,4,doorpakker,1,5,144.241,152.107,0.2927,7.8659,0.0003,46104,47772,,137,17.9579,0.0423,1,,measure
engine_kv_fp8,16,doorpakker,1,3,130.736,152.227,1.1977,21.4908,0.0003,47304,49032,,385,18.9227,0.0431,1,,measure
engine_kv_fp8,1,gemiddelde,1,4,124.726,152.681,0.2196,27.9534,0.0001,23113,24083,,543,19.5429,0.0432,1,,measure
engine_kv_fp8,2,doorpakker,1,1,139.201,153.54,0.8483,14.3382,0.0003,42117,43615,,235,17.3462,0.0427,1,,measure
engine_kv_fp8,4,doorpakker,1,6,152.108,157.192,0.3576,5.0832,0.0005,46321,48007,,87,18.1988,0.0414,1,,measure
engine_kv_fp8,16,doorpakker,1,4,152.229,157.595,0.4482,5.3661,0.0005,47522,49264,,112,22.5707,0.0412,1,,measure
engine_kv_fp8,16,doorpakker,1,5,157.597,162.226,0.332,4.6294,0.0004,47730,49486,,87,20.012,0.0409,1,,measure
engine_kv_fp8,2,doorpakker,1,2,153.541,163.146,0.3335,9.6043,0.0005,42349,43862,,217,23.2989,0.0409,1,,measure
engine_kv_fp8,1,gemiddelde,1,5,152.682,163.184,0.2929,10.5017,0.0005,23343,24321,,216,21.0602,0.0409,1,,measure
engine_kv_fp8,12,gemiddelde,1,1,95.449,163.837,1.744,68.3871,0.0005,28285,29004,,958,14.3601,0.0453,1,,measure
engine_kv_fp8,16,doorpakker,1,6,162.228,168.483,0.4232,6.2555,0.0005,47997,49766,,51,8.5728,0.0419,1,,measure
engine_kv_fp8,4,doorpakker,1,7,157.193,169.971,0.3868,12.777,0.0004,46548,48242,,226,18.1596,0.0417,1,,measure
engine_kv_fp8,2,doorpakker,1,3,163.147,173.822,0.3875,10.6747,0.0004,42653,44179,,195,18.8585,0.0422,1,,measure
engine_kv_fp8,6,gemiddelde,1,2,114.118,174.692,0.32,60.5735,0.0005,29300,30500,,1138,18.8703,0.0426,1,,measure
engine_kv_fp8,18,gemiddelde,1,2,147.357,175.404,1.158,28.0466,0.0002,28123,29000,,484,17.963,0.0415,1,,measure
engine_kv_fp8,16,doorpakker,1,7,168.486,178.722,0.6925,10.2359,0.0004,48699,50481,,194,20.2233,0.0408,1,,measure
engine_kv_fp8,4,doorpakker,1,8,169.973,181.57,0.5764,11.5966,0.0005,47135,48843,,197,17.7855,0.0411,1,,measure
engine_kv_fp8,1,gemiddelde,1,6,163.185,182.665,0.4593,19.4801,0.0004,23552,24546,,395,20.7142,0.0413,1,,measure
engine_kv_fp8,2,doorpakker,1,4,173.823,183.119,0.3238,9.2956,0.0004,42893,44423,,206,22.8494,0.0404,1,,measure
engine_kv_fp8,12,gemiddelde,1,2,163.848,184.361,1.5126,20.5129,0.0007,31660,32393,,344,18.0524,0.0413,1,,measure
engine_kv_fp8,15,gemiddelde,1,4,140.818,185.027,0.297,44.2092,0.0003,25341,26357,,619,14.0735,0.044,1,,measure
engine_kv_fp8,4,doorpakker,1,9,181.571,185.328,0.3942,3.7564,0.0005,47357,49083,,60,17.5477,0.0406,1,,measure
engine_kv_fp8,17,gemiddelde,1,0,21.851,186.278,14.5774,164.4272,0.0004,31041,31858,,1086,7.2406,0.0869,1,,warmup
engine_kv_fp8,6,gemiddelde,1,3,174.696,186.311,0.6006,11.6142,0.0005,30322,31535,,214,19.3398,0.0401,1,,measure
engine_kv_fp8,1,gemiddelde,1,7,182.667,188.762,0.2632,6.0953,0.0007,23765,24773,,132,22.4619,0.0358,1,,measure
engine_kv_fp8,13,worstelaar,1,2,142.822,194.285,0.9573,51.4627,0.0002,21372,22277,,987,19.5227,0.041,1,,measure
engine_kv_fp8,2,doorpakker,1,5,183.122,195.42,0.6534,12.2972,0.0004,43719,45266,,196,16.7471,0.0358,1,,measure
engine_kv_fp8,4,doorpakker,1,10,185.329,201.933,0.4701,16.6039,0.0003,47744,49484,,216,13.3261,0.0359,1,,measure
engine_kv_fp8,9,gemiddelde,2,0,188.86,203.926,3.9949,15.0658,0.0005,26024,27094,,177,15.8975,0.0363,1,,measure
engine_kv_fp8,8,gemiddelde,2,0,198.063,205.549,3.1703,7.4856,0.0005,22807,23799,,96,22.0147,0.0361,1,,measure
engine_kv_fp8,6,gemiddelde,1,4,186.312,207.028,0.5178,20.7155,0.0003,30608,31834,,367,18.1209,0.0359,1,,measure
engine_kv_fp8,16,doorpakker,1,8,178.724,210.089,0.3585,31.3646,0.0005,48945,50741,,567,18.2545,0.0363,1,,measure
engine_kv_fp8,13,worstelaar,1,3,194.287,210.309,0.2767,16.0217,0.0005,21663,22581,,301,19.0536,0.0362,1,,measure
engine_kv_fp8,9,gemiddelde,2,1,203.928,210.487,0.37,6.5583,0.0005,26465,27549,,116,18.5836,0.0364,1,,measure
engine_kv_fp8,2,doorpakker,1,6,195.421,212.146,0.3213,16.7252,0.0005,43911,45466,,344,20.9097,0.0359,1,,measure
engine_kv_fp8,9,gemiddelde,2,2,210.488,215.461,0.249,4.9735,0.0005,26674,27766,,141,29.6324,0.0289,1,,measure
engine_kv_fp8,2,doorpakker,1,7,212.148,218.004,0.3168,5.8555,0.0005,44124,45693,,197,35.387,0.0279,1,,measure
engine_kv_fp8,6,gemiddelde,1,5,207.037,219.844,1.2381,12.8064,0.0005,33111,34354,,340,29.3041,0.0282,1,,measure
engine_kv_fp8,8,gemiddelde,2,1,205.55,222.497,0.2746,16.9466,0.0002,23108,24114,,459,27.4711,0.0289,1,,measure
engine_kv_fp8,15,gemiddelde,1,5,185.029,227.643,0.2756,42.614,0.0004,25549,26579,,703,16.5807,0.0367,1,,measure
engine_kv_fp8,4,doorpakker,2,0,220.191,228.063,0.7042,7.8709,0.0004,48481,50235,,181,25.1163,0.0311,1,,measure
engine_kv_fp8,6,gemiddelde,1,6,219.847,231.947,0.5348,12.1003,0.0005,33955,35215,,246,21.1837,0.0311,1,,measure
engine_kv_fp8,8,gemiddelde,2,2,222.499,236.976,0.2962,14.4774,0.0005,23471,24490,,251,17.629,0.0311,1,,measure
engine_kv_fp8,15,gemiddelde,1,6,227.645,241.864,0.3402,14.2182,0.0005,25996,27039,,76,5.4042,0.032,1,,measure
engine_kv_fp8,2,doorpakker,1,8,218.006,246.347,0.5502,28.3405,0.0005,44801,46387,,451,16.1927,0.0313,1,,measure
engine_kv_fp8,4,doorpakker,2,1,228.064,247.079,0.32,19.0152,0.0005,48703,50470,,186,9.8956,0.0344,1,,measure
engine_kv_fp8,8,gemiddelde,2,3,236.978,252.569,0.2724,15.5907,0.0005,23681,24711,,240,15.6022,0.0363,1,,measure
engine_kv_fp8,8,gemiddelde,2,4,252.57,256.055,0.2566,3.485,0.0006,23911,24959,,88,26.9483,0.0373,1,,measure
engine_kv_fp8,0,worstelaar,1,0,233.772,258.71,2.6783,24.9374,0.0006,18020,18669,,349,15.634,0.0367,1,,measure
engine_kv_fp8,18,gemiddelde,2,0,229.829,259.708,5.339,29.8795,0.0007,28580,29681,,375,15.2401,0.0366,1,,measure
engine_kv_fp8,8,gemiddelde,2,5,256.058,262.986,0.3939,6.9279,0.0006,24541,25603,,145,22.0385,0.0414,1,,measure
engine_kv_fp8,4,doorpakker,2,2,247.083,263.411,0.6883,16.3283,0.0005,49555,51336,,362,23.0817,0.0374,1,,measure
engine_kv_fp8,2,doorpakker,1,9,246.349,266.676,0.4274,20.3274,0.0005,45169,46768,,468,23.4674,0.038,1,,measure
engine_kv_fp8,12,gemiddelde,2,0,237.796,269.403,6.6044,31.6063,0.0005,32047,33070,,535,21.3584,0.0381,1,,measure
engine_kv_fp8,4,doorpakker,2,3,263.412,269.749,0.3727,6.3363,0.0005,49782,51576,,107,17.7743,0.0413,1,,measure
engine_kv_fp8,16,doorpakker,2,0,257.186,270.674,0.4672,13.4878,0.0005,49199,51004,,254,19.4307,0.0415,1,,measure
engine_kv_fp8,8,gemiddelde,2,6,262.987,271.717,0.2663,8.73,0.0006,24750,25825,,158,18.5498,0.0411,1,,measure
engine_kv_fp8,15,gemiddelde,1,7,241.865,274.595,2.5348,32.7294,0.0004,26196,27252,,471,15.5657,0.0417,1,,measure
engine_kv_fp8,16,doorpakker,2,1,270.675,274.891,0.3325,4.215,0.0006,49439,51258,,93,23.6961,0.041,1,,measure
engine_kv_fp8,8,gemiddelde,2,7,271.719,275.52,0.3416,3.8,0.0006,25189,26277,,84,23.9997,0.041,1,,measure
engine_kv_fp8,17,gemiddelde,1,1,186.28,279.26,0.3969,92.9798,0.0004,31479,32302,,1847,19.9389,0.0355,1,,measure
engine_kv_fp8,2,doorpakker,1,10,266.683,282.002,1.7766,15.319,0.0003,47867,49484,,284,20.8973,0.0346,1,,measure
engine_kv_fp8,16,doorpakker,2,2,274.892,283.462,0.3819,8.57,0.0005,49711,51544,,187,22.7158,0.0332,1,,measure
engine_kv_fp8,0,worstelaar,1,1,258.713,288.106,0.3895,29.3923,0.0005,18836,19498,,498,17.1363,0.039,1,,measure
engine_kv_fp8,4,doorpakker,2,4,269.751,289.665,0.4689,19.914,0.0005,50162,51970,,446,22.8849,0.0338,1,,measure
engine_kv_fp8,16,doorpakker,2,3,283.468,291.044,1.1082,7.5757,0.0005,51189,53036,,172,26.44,0.0337,1,,measure
engine_kv_fp8,4,doorpakker,2,5,289.667,296.321,0.4832,6.6532,0.0004,50539,52361,,181,29.1735,0.0338,1,,measure
engine_kv_fp8,16,doorpakker,2,4,291.045,297.074,0.3395,6.0286,0.0006,51406,53266,,168,29.3543,0.0337,1,,measure
engine_kv_fp8,4,doorpakker,2,6,296.322,303.45,0.3165,7.1276,0.0005,50721,52552,,182,26.5743,0.0346,1,,measure
engine_kv_fp8,9,gemiddelde,3,0,300.948,306.217,0.4985,5.2692,0.0005,27505,28611,,92,19.0748,0.0386,1,,measure
engine_kv_fp8,4,doorpakker,2,7,303.451,307.534,0.3934,4.083,0.0006,50994,52838,,94,25.2066,0.0387,1,,measure
engine_kv_fp8,9,gemiddelde,3,1,306.219,313.297,0.2824,7.0776,0.0005,27790,28907,,192,28.1079,0.0354,1,,measure
engine_kv_fp8,9,gemiddelde,3,2,313.298,320.451,0.2876,7.1523,0.0005,28041,29161,,151,21.851,0.0354,1,,measure
engine_kv_fp8,16,doorpakker,2,5,297.075,320.891,0.3444,23.815,0.0005,51632,53505,,614,26.1178,0.0353,1,,measure
engine_kv_fp8,9,gemiddelde,3,3,320.452,323.154,0.3107,2.7021,0.0006,28256,29389,,65,26.7616,0.0354,1,,measure
engine_kv_fp8,2,doorpakker,1,11,282.006,327.153,0.8984,45.1463,0.0005,49006,50637,,1143,25.8091,0.0346,1,,measure
