run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
engine_seqs_16,14,worstelaar,1,0,2.025,12.627,1.9803,10.601,0.0007,9893,10490,,86,9.8599,0.016,1,,warmup
engine_seqs_16,7,worstelaar,1,0,26.499,70.323,29.8079,43.8242,0.0004,17323,18115,,91,6.4211,0.0453,1,,warmup
engine_seqs_16,14,worstelaar,1,1,12.628,74.145,0.371,61.5169,0.0003,10451,11062,,183,2.9765,0.0459,1,,warmup
engine_seqs_16,19,gemiddelde,1,0,22.773,82.799,29.3026,60.0256,0.0004,30664,31872,,121,3.9059,0.0464,1,,warmup
engine_seqs_16,9,gemiddelde,1,0,27.691,83.369,31.8912,55.6775,0.0004,24449,25475,,126,5.2551,0.0456,1,,warmup
engine_seqs_16,11,afhaker,1,0,36.302,84.21,27.3002,47.9073,0.0004,10839,11553,,118,5.6776,0.0456,1,,warmup
engine_seqs_16,16,doorpakker,1,0,22.109,87.716,24.8887,65.6069,0.0005,44726,46428,,229,5.5995,0.0464,1,,warmup
engine_seqs_16,9,gemiddelde,1,1,83.37,88.179,1.0987,4.8084,0.0004,24826,25866,,64,16.9826,0.0463,1,,warmup
engine_seqs_16,6,gemiddelde,1,0,16.245,88.846,13.3316,72.6007,0.0004,28569,29738,,255,4.2855,0.0468,1,,warmup
engine_seqs_16,8,gemiddelde,1,0,24.763,89.639,29.8041,64.8753,0.0004,21544,22466,,204,5.7882,0.0463,1,,warmup
engine_seqs_16,5,afhaker,1,0,20.868,89.961,9.3912,69.0929,0.0004,11156,11805,,222,3.7017,0.0469,1,,warmup
engine_seqs_16,10,worstelaar,1,0,46.998,93.016,35.4026,46.0173,0.0007,16215,17020,,169,15.8271,0.0471,1,,warmup
engine_seqs_16,1,gemiddelde,1,0,4.468,93.685,7.6078,89.2167,0.0007,21816,22751,,419,5.122,0.0465,1,,warmup
engine_seqs_16,12,gemiddelde,1,0,4.431,94.759,4.887,90.3271,0.0366,24031,24732,,352,4.1081,0.0463,1,,warmup
engine_seqs_16,4,doorpakker,1,0,41.524,94.851,39.3568,53.3267,0.0004,44637,46248,,199,14.1734,0.0472,1,,warmup
engine_seqs_16,16,doorpakker,1,1,87.717,97.861,0.9209,10.143,0.0003,45333,47049,,84,9.0001,0.0479,1,,warmup
engine_seqs_16,8,gemiddelde,1,1,89.64,106.325,0.5959,16.6846,0.0009,21762,22698,,170,10.5042,0.0484,1,,warmup
engine_seqs_16,15,gemiddelde,1,0,34.688,112.688,27.8459,77.9994,0.0005,22558,23532,,370,7.3574,0.0478,1,,warmup
engine_seqs_16,9,gemiddelde,1,2,88.183,115.263,1.0919,27.0797,0.0005,25813,26867,,218,8.3501,0.0487,1,,warmup
engine_seqs_16,1,gemiddelde,1,1,93.686,118.299,1.9758,24.6118,0.0005,22105,23051,,153,6.715,0.0492,1,,measure
engine_seqs_16,8,gemiddelde,1,2,106.326,120.704,8.7962,14.3779,0.0005,21969,22920,,39,6.8079,0.0508,1,,measure
engine_seqs_16,19,gemiddelde,1,1,82.801,121.663,0.7958,38.8621,0.0004,30953,32174,,385,10.0877,0.0485,1,,warmup
engine_seqs_16,7,worstelaar,1,1,70.324,122.903,12.8754,52.5784,0.0005,17531,18336,,422,10.6037,0.0485,1,,warmup
engine_seqs_16,8,gemiddelde,1,3,120.705,124.553,0.3163,3.8475,0.0005,22223,23188,,56,15.5755,0.049,1,,measure
engine_seqs_16,15,gemiddelde,1,1,112.689,125.064,5.0791,12.3745,0.0002,22809,23783,,97,13.159,0.0493,1,,measure
engine_seqs_16,6,gemiddelde,1,1,88.848,126.131,1.1104,37.2827,0.0009,29068,30255,,373,10.2841,0.049,1,,warmup
engine_seqs_16,19,gemiddelde,1,2,121.667,126.612,0.5705,4.9441,0.0006,31928,33163,,54,12.1181,0.0489,1,,measure
engine_seqs_16,18,gemiddelde,1,0,39.048,127.293,27.1502,88.2452,0.0005,23061,23905,,541,8.8387,0.0481,1,,warmup
engine_seqs_16,10,worstelaar,1,1,93.018,128.54,1.3792,35.5215,0.0005,16717,17536,,221,6.4436,0.0958,1,,measure
engine_seqs_16,5,afhaker,1,1,89.964,128.882,3.4788,38.9177,0.0005,11920,12583,,341,9.594,0.0491,1,,warmup
engine_seqs_16,1,gemiddelde,1,2,118.3,130.662,0.3117,12.3611,0.0005,22379,23327,,133,10.9548,0.0493,1,,measure
engine_seqs_16,19,gemiddelde,1,3,126.613,131.454,0.3225,4.8405,0.0005,32095,33340,,75,16.379,0.0473,1,,measure
engine_seqs_16,8,gemiddelde,1,4,124.555,133.88,0.3318,9.325,0.0004,22553,23532,,135,14.9,0.0463,1,,measure
engine_seqs_16,13,worstelaar,1,0,0.389,134.859,3.188,134.47,0.0003,17979,18849,,863,6.566,0.0479,1,,warmup
engine_seqs_16,1,gemiddelde,1,3,130.664,136.524,0.3638,5.8603,0.0005,22899,23861,,104,18.7392,0.0434,1,,measure
engine_seqs_16,15,gemiddelde,1,2,125.071,137.995,0.9287,12.924,0.0006,24846,25838,,183,15.1726,0.045,1,,measure
engine_seqs_16,4,doorpakker,1,1,94.853,138.999,6.6062,44.1458,0.0004,44927,46551,,465,12.3603,0.048,1,,measure
