t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789040212.3328,73063247.0,63078944.0,7.0,0.0,0.0,0.0,72898343.0,1320816.0,3590.0,11208983.0,
2.03,1789040214.3412,73080113.0,63080080.0,7.0,0.0589,1.0,1.0,72898343.0,1320816.0,3590.0,11208983.0,0.0674
4.04,1789040216.3527,73111415.0,63087264.0,7.0,0.1135,3.0,2.0,72926309.0,1320825.0,3590.0,11229790.0,0.2295
6.05,1789040218.3625,73111415.0,63087264.0,7.0,0.1525,3.0,3.0,72926309.0,1320835.0,3590.0,11229800.0,
8.06,1789040220.3739,73131197.0,63095808.0,7.0,0.1915,4.0,4.0,72946511.0,1320849.0,3590.0,11248864.0,0.4319
10.07,1789040222.3863,73147940.0,63104288.0,7.0,0.2305,5.0,9.0,72966293.0,1320868.0,3590.0,11260121.0,0.5065
12.09,1789040224.3983,73169134.0,63114640.0,7.0,0.2617,6.0,8.0,72983036.0,1320887.0,3590.0,11268403.0,0.4884
14.1,1789040226.4105,73192469.0,63127440.0,7.0,0.3006,8.0,9.0,73004230.0,1320915.0,3590.0,11279273.0,0.5485
16.11,1789040228.4221,73216563.0,63139152.0,7.0,0.3475,9.0,9.0,73027565.0,1320961.0,3590.0,11289854.0,0.4861
18.12,1789040230.4344,73240270.0,63150512.0,7.0,0.3709,10.0,9.0,73051659.0,1320986.0,3590.0,11302261.0,0.4792
20.13,1789040232.4465,73240270.0,63150512.0,7.0,0.402,10.0,9.0,73051659.0,1321022.0,3590.0,11302297.0,
22.15,1789040234.458,73277326.0,63169424.0,7.0,0.441,12.0,7.0,73075366.0,1321071.0,3590.0,11314693.0,0.5104
24.15,1789040236.4634,73293627.0,63178416.0,7.0,0.48,13.0,6.0,73091995.0,1321126.0,3590.0,11322833.0,0.5516
26.16,1789040238.475,73306615.0,63185376.0,7.0,0.519,14.0,5.0,73128723.0,1321187.0,3590.0,11340262.0,0.5359
28.17,1789040240.486,73326394.0,63195744.0,7.0,0.558,15.0,4.0,73141711.0,1321255.0,3590.0,11346358.0,0.5242
30.19,1789040242.4981,73369525.0,63218736.0,7.0,0.6049,18.0,1.0,73170318.0,1321347.0,3590.0,11360417.0,0.5331
32.2,1789040244.5092,73369525.0,63218736.0,7.0,0.636,18.0,1.0,73182162.0,1321415.0,3590.0,11365401.0,
34.21,1789040246.5176,73385892.0,63227280.0,7.0,0.6706,19.0,0.0,73204621.0,1321504.0,3590.0,11376157.0,0.522
36.21,1789040248.5264,73397563.0,63238448.0,7.0,0.6757,19.0,0.0,73232659.0,1322375.0,3591.0,11385354.0,0.9569
38.22,1789040250.5365,73414087.0,63254784.0,7.0,0.6796,19.0,0.0,73232659.0,1323303.0,3592.0,11386282.0,0.9886
40.24,1789040252.5483,73454144.0,63293392.0,7.0,0.6872,19.0,0.0,73279496.0,1324093.0,3595.0,11387845.0,0.9638
42.25,1789040254.561,73454144.0,63293392.0,7.0,0.6907,19.0,0.0,73289240.0,1324967.0,3595.0,11389583.0,
44.26,1789040256.5716,73532492.0,63369408.0,7.0,0.6996,19.0,0.0,73343266.0,1325657.0,3599.0,11392011.0,0.9702
46.27,1789040258.5863,73577776.0,63413296.0,7.0,0.7046,19.0,0.0,73412872.0,1326313.0,3602.0,11394657.0,0.9692
48.29,1789040260.5971,73589640.0,63424960.0,7.0,0.7077,19.0,0.0,73424736.0,1327165.0,3603.0,11395709.0,0.9831
50.3,1789040262.6086,73614187.0,63449296.0,7.0,0.7115,19.0,0.0,73449283.0,1327997.0,3604.0,11396752.0,0.9914
52.31,1789040264.62,73631758.0,63466112.0,7.0,0.7157,19.0,0.0,73466854.0,1328773.0,3605.0,11398283.0,0.957
54.32,1789040266.6328,73631758.0,63466112.0,7.0,0.6791,18.0,0.0,73466854.0,1329609.0,3606.0,11399119.0,
56.33,1789040268.6408,73697217.0,63526864.0,7.0,0.7341,19.0,0.0,73507839.0,1330036.0,3608.0,11400051.0,0.9281
58.34,1789040270.6525,73744544.0,63572992.0,7.0,0.7381,19.0,0.0,73579640.0,1330616.0,3611.0,11406032.0,0.9747
60.35,1789040272.663,73765716.0,63593888.0,7.0,0.7419,19.0,0.0,73600812.0,1331430.0,3612.0,11407122.0,0.987
62.36,1789040274.6745,73832298.0,63658992.0,7.0,0.7456,19.0,0.0,73667394.0,1332102.0,3616.0,11409272.0,0.9778
64.37,1789040276.6857,73853804.0,63680160.0,7.0,0.7125,18.0,0.0,73688900.0,1332916.0,3618.0,11410424.0,0.9843
66.38,1789040278.697,73905669.0,63729536.0,7.0,0.6972,17.0,0.0,73740765.0,1333474.0,3622.0,11413471.0,0.952
68.39,1789040280.7039,73953674.0,63774832.0,7.0,0.768,19.0,0.0,73788770.0,1334094.0,3623.0,11416800.0,0.9436
70.4,1789040282.7152,73984067.0,63804256.0,7.0,0.7731,19.0,0.0,73819163.0,1334867.0,3625.0,11418542.0,0.9681
72.41,1789040284.7264,74024130.0,63843920.0,7.0,0.7771,19.0,0.0,73859226.0,1335659.0,3627.0,11419733.0,0.99
74.42,1789040286.7361,74047205.0,63866688.0,7.0,0.7792,19.0,0.0,73882301.0,1336454.0,3628.0,11420835.0,0.9867
76.43,1789040288.7434,74085425.0,63904192.0,7.0,0.7522,18.0,0.0,73920521.0,1337183.0,3631.0,11422280.0,0.9813
78.44,1789040290.756,74150085.0,63967856.0,7.0,0.7286,17.0,0.0,73985181.0,1337855.0,3635.0,11423948.0,0.9846
80.45,1789040292.7614,74172008.0,63989600.0,7.0,0.7316,17.0,0.0,74007104.0,1338600.0,3636.0,11424872.0,0.9918
