run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
shared_90_c32k,14,worstelaar,1,2.021,6.442,2,0,6240,0,0,warmup
shared_90_c32k,9,gemiddelde,1,27.675,18.265,3,0,14406,0,0,warmup
shared_90_c32k,5,afhaker,1,20.836,26.555,2,0,6494,0,0,warmup
shared_90_c32k,7,worstelaar,1,26.487,21.992,2,0,9417,0,0,warmup
shared_90_c32k,19,gemiddelde,1,22.788,28.801,4,0,17457,0,0,warmup
shared_90_c32k,8,gemiddelde,1,24.729,27.529,5,0,11885,0,0,warmup
shared_90_c32k,12,gemiddelde,1,4.427,74.993,3,0,27607,0,0,warmup
shared_90_c32k,10,worstelaar,1,46.962,34.915,4,0,9063,0,0,warmup
shared_90_c32k,1,gemiddelde,1,4.451,77.77,8,0,12773,0,0,warmup
shared_90_c32k,11,afhaker,1,36.275,47.204,2,0,7832,0,0,warmup
shared_90_c32k,13,worstelaar,1,0.369,83.826,4,0,13368,0,0,warmup
shared_90_c32k,18,gemiddelde,1,39.032,61.872,3,0,21726,0,0,warmup
shared_90_c32k,16,doorpakker,1,22.106,86.479,9,0,27119,0,0,warmup
shared_90_c32k,4,doorpakker,1,41.503,72.723,11,0,26905,0,0,warmup
shared_90_c32k,6,gemiddelde,1,16.234,101.162,7,0,22105,0,0,warmup
shared_90_c32k,15,gemiddelde,1,34.649,111.007,8,0,15190,0,0,measure
shared_90_c32k,9,gemiddelde,2,130.129,16.522,3,0,15831,0,0,measure
shared_90_c32k,2,doorpakker,1,14.024,156.513,12,0,30801,0,0,measure
shared_90_c32k,8,gemiddelde,2,130.234,45.409,8,0,14371,0,0,measure
shared_90_c32k,4,doorpakker,2,132.481,51.942,8,0,29541,0,0,measure
shared_90_c32k,17,gemiddelde,1,21.834,173.853,3,0,20696,0,0,measure
shared_90_c32k,16,doorpakker,2,155.681,59.084,8,0,30265,0,0,measure
shared_90_c32k,9,gemiddelde,3,232.135,18.063,4,0,16967,0,0,measure
shared_90_c32k,6,gemiddelde,2,228.288,49.806,3,0,22918,1,0,measure
shared_90_c32k,13,worstelaar,2,212.802,68.354,4,0,11308,0,1,measure
shared_90_c32k,4,doorpakker,3,216.344,81.364,9,0,32061,0,0,measure
shared_90_c32k,7,worstelaar,2,286.796,13.006,2,0,10646,0,0,measure
shared_90_c32k,18,gemiddelde,2,155.25,153.985,4,0,32925,0,0,measure
shared_90_c32k,2,doorpakker,2,221.915,89.62,9,0,34443,1,0,measure
shared_90_c32k,14,worstelaar,2,299.968,12.466,2,0,5938,0,1,measure
shared_90_c32k,19,gemiddelde,2,293.214,23.178,3,0,18225,0,0,measure
shared_90_c32k,12,gemiddelde,2,132.772,188.489,7,0,48338,0,0,measure
shared_90_c32k,16,doorpakker,3,261.545,61.136,9,0,34687,0,0,measure
shared_90_c32k,9,gemiddelde,4,310.044,28.366,4,0,18522,0,0,measure
shared_90_c32k,0,worstelaar,1,233.754,126.831,4,0,18244,0,0,measure
shared_90_c32k,15,gemiddelde,2,271.08,93.908,5,0,17674,0,0,measure
shared_90_c32k,2,doorpakker,3,331.398,71.589,6,0,36497,1,0,measure
shared_90_c32k,16,doorpakker,4,394.239,11.314,1,0,27587,1,0,measure
shared_90_c32k,4,doorpakker,4,357.677,48.011,4,0,26710,1,0,measure
shared_90_c32k,1,gemiddelde,2,361.838,47.29,4,0,15394,0,0,measure
shared_90_c32k,6,gemiddelde,3,374.747,34.754,3,0,22053,1,0,measure
shared_90_c32k,8,gemiddelde,3,322.905,87.751,7,0,16719,0,0,measure
shared_90_c32k,18,gemiddelde,3,352.135,60.513,1,0,30653,1,0,measure
shared_90_c32k,11,afhaker,2,352.429,61.78,3,0,8592,0,0,measure
shared_90_c32k,12,gemiddelde,3,389.611,26.871,1,0,39215,1,0,measure
