run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
les_90min,14,worstelaar,1,0,3.978,5.389,0.2796,1.4111,0.0004,4720,5200,,76,66.2863,0.0119,1,,measure
les_90min,14,worstelaar,1,1,5.39,8.595,0.1282,3.2047,0.0003,5267,5761,,178,57.5323,0.0122,1,,measure
les_90min,14,worstelaar,1,2,8.596,14.094,0.1282,5.498,0.0003,5458,5964,,146,27.0026,0.0168,1,,measure
les_90min,13,worstelaar,1,0,0.65,18.218,1.0493,17.5686,0.0004,9150,9799,,842,50.9102,0.0126,1,,measure
les_90min,1,gemiddelde,1,0,8.747,19.518,2.756,10.7704,0.0009,10688,11363,,412,51.2825,0.0158,1,,measure
les_90min,12,gemiddelde,1,0,8.724,19.816,2.0373,11.092,0.0238,14424,14956,,448,49.3666,0.0158,1,,measure
les_90min,1,gemiddelde,1,1,19.519,23.504,0.1465,3.9848,0.0003,10974,11661,,161,41.6848,0.0158,1,,measure
les_90min,13,worstelaar,1,1,18.22,25.678,0.1744,7.4578,0.0003,9644,10310,,285,38.9924,0.0158,1,,measure
les_90min,1,gemiddelde,1,2,23.505,27.367,0.1489,3.8623,0.0003,11253,11941,,181,48.4724,0.0161,1,,measure
les_90min,1,gemiddelde,1,3,27.369,33.826,0.1817,6.457,0.0003,11795,12497,,104,16.4136,0.0188,1,,measure
les_90min,6,gemiddelde,1,0,32.396,39.794,1.2591,7.3979,0.0006,14212,14952,,221,35.8376,0.0211,1,,measure
les_90min,1,gemiddelde,1,4,33.828,54.367,0.1523,20.5386,0.0005,11990,12700,,522,25.5564,0.0218,1,,measure
les_90min,19,gemiddelde,1,0,45.454,56.904,4.8861,11.4496,0.0004,15863,16629,,123,18.5877,0.0319,1,,measure
les_90min,7,worstelaar,1,0,52.88,58.091,0.5437,5.2109,0.0005,8858,9481,,85,17.998,0.0329,1,,measure
les_90min,5,afhaker,1,0,41.629,59.099,0.3811,17.4694,0.0007,5459,5978,,185,10.7676,0.0324,1,,measure
les_90min,6,gemiddelde,1,1,39.795,59.745,0.2072,19.95,0.0003,14695,15453,,351,17.728,0.0308,1,,measure
les_90min,16,doorpakker,1,0,44.08,60.452,4.7776,16.3721,0.0004,22720,23707,,219,18.802,0.0328,1,,measure
les_90min,8,gemiddelde,1,0,49.416,61.177,1.5156,11.7609,0.0005,10966,11667,,213,20.6924,0.0326,1,,measure
les_90min,9,gemiddelde,1,0,55.236,61.441,1.0661,6.2044,0.0005,12326,12988,,111,21.4076,0.0332,1,,measure
les_90min,1,gemiddelde,1,5,54.367,63.922,0.1687,9.554,0.0003,12221,12939,,237,25.1456,0.0335,1,,measure
les_90min,9,gemiddelde,1,1,61.442,64.28,0.1911,2.8379,0.0002,12716,13392,,58,21.5356,0.0343,1,,measure
les_90min,12,gemiddelde,1,1,19.827,64.649,1.1104,44.8224,0.0006,18677,19227,,1046,23.9065,0.0215,1,,measure
les_90min,16,doorpakker,1,1,60.453,64.682,0.3313,4.2288,0.0002,23322,24323,,85,21.552,0.0343,1,,measure
les_90min,13,worstelaar,1,2,25.684,66.057,0.5902,40.3726,0.0004,12506,13190,,831,20.8635,0.0224,1,,measure
les_90min,8,gemiddelde,1,1,61.178,69.181,0.1625,8.003,0.0003,11197,11911,,117,14.7949,0.0345,1,,measure
les_90min,8,gemiddelde,1,2,69.182,72.44,0.1873,3.2586,0.0003,11411,12141,,48,15.3033,0.0357,1,,measure
les_90min,5,afhaker,1,1,59.101,74.828,0.5436,15.7263,0.0003,6204,6737,,275,18.0469,0.0346,1,,measure
les_90min,19,gemiddelde,1,1,56.905,75.141,0.2198,18.2362,0.0003,16146,16925,,360,19.9263,0.0341,1,,measure
les_90min,8,gemiddelde,1,3,72.441,75.549,0.8113,3.1078,0.0003,11670,12414,,36,15.2404,0.0366,1,,measure
les_90min,9,gemiddelde,1,2,64.282,76.08,0.3003,11.7979,0.0003,13700,14390,,193,16.6991,0.0349,1,,measure
les_90min,7,worstelaar,1,1,58.092,77.636,0.1571,19.5445,0.0004,9064,9700,,374,19.2393,0.0346,1,,measure
les_90min,2,doorpakker,1,0,27.904,78.668,3.1333,50.7642,0.0005,20337,21194,,1000,20.9738,0.0318,1,,measure
les_90min,19,gemiddelde,1,2,75.143,79.465,0.3738,4.3212,0.0003,17112,17904,,72,17.9866,0.0373,1,,measure
les_90min,11,afhaker,1,0,72.502,79.921,0.4629,7.4181,0.0003,5388,5972,,109,15.528,0.0371,1,,measure
les_90min,13,worstelaar,1,3,66.058,80.543,0.2122,14.4852,0.0003,12778,13475,,263,18.3564,0.0358,1,,measure
les_90min,9,gemiddelde,1,3,76.081,80.819,0.1782,4.7379,0.0003,13901,14606,,82,17.7642,0.0372,1,,measure
les_90min,1,gemiddelde,1,6,63.922,82.403,0.1602,18.4803,0.0003,12426,13160,,395,21.5064,0.0361,1,,measure
les_90min,19,gemiddelde,1,3,79.466,82.641,0.1646,3.175,0.0003,17295,18096,,64,20.9274,0.0377,1,,measure
les_90min,8,gemiddelde,1,4,75.55,83.036,0.1945,7.4852,0.0003,11983,12741,,131,17.8309,0.0378,1,,measure
les_90min,12,gemiddelde,1,2,64.655,86.214,1.1558,21.5585,0.0003,22054,22618,,385,18.8211,0.0363,1,,measure
les_90min,7,worstelaar,1,2,77.637,88.311,0.1684,10.6732,0.0004,9256,9905,,96,9.0435,0.0381,1,,measure
les_90min,1,gemiddelde,1,7,82.404,91.683,0.1658,9.2789,0.0002,12656,13404,,111,12.0705,0.0382,1,,measure
les_90min,19,gemiddelde,1,4,82.642,91.72,0.18,9.0781,0.0003,17525,18340,,109,12.1374,0.0382,1,,measure
les_90min,2,doorpakker,1,1,78.671,93.636,0.6221,14.9656,0.0003,21670,22544,,239,16.5929,0.0379,1,,measure
les_90min,8,gemiddelde,1,5,83.037,94.881,2.6259,11.8436,0.0004,12191,12962,,175,18.8768,0.0381,1,,measure
les_90min,15,gemiddelde,1,0,69.225,95.197,0.9869,25.9718,0.0007,11165,11853,,420,16.7701,0.0377,1,,measure
les_90min,5,afhaker,1,2,74.829,95.647,0.1676,20.818,0.0004,6418,6969,,274,13.2201,0.0379,1,,measure
les_90min,4,doorpakker,1,0,82.886,96.171,2.7763,13.284,0.0006,21511,22459,,199,18.8433,0.0379,1,,measure
les_90min,16,doorpakker,1,2,64.683,96.948,1.1283,32.2656,0.0002,23564,24564,,594,19.0447,0.0373,1,,measure
les_90min,1,gemiddelde,1,8,91.684,98.439,0.2075,6.7555,0.0003,12879,13640,,117,17.7155,0.0379,1,,measure
les_90min,19,gemiddelde,1,5,91.722,98.476,0.3396,6.7546,0.0002,18163,18991,,117,18.0825,0.0379,1,,measure
les_90min,13,worstelaar,1,4,80.544,98.828,0.1998,18.2832,0.0003,13111,13822,,231,12.7188,0.0381,1,,measure
les_90min,15,gemiddelde,1,1,95.198,101.167,0.1876,5.9691,0.0003,11430,12117,,95,16.2587,0.0374,1,,measure
les_90min,10,worstelaar,1,0,93.857,102.796,0.5936,8.939,0.0003,7927,8563,,125,14.8585,0.0378,1,,measure
les_90min,2,doorpakker,1,2,93.637,103.77,0.2298,10.1327,0.0003,21900,22789,,217,21.8119,0.0373,1,,measure
les_90min,1,gemiddelde,1,9,98.44,108.435,0.1744,9.9943,0.0002,13102,13877,,247,25.0511,0.0373,1,,measure
les_90min,8,gemiddelde,1,6,94.882,108.472,0.1721,13.5901,0.0003,12395,13172,,321,23.8485,0.0374,1,,measure
les_90min,18,gemiddelde,1,0,77.953,110.717,0.8875,32.7637,0.0004,11247,11844,,627,19.6385,0.0378,1,,measure
les_90min,15,gemiddelde,1,2,101.172,111.688,0.6192,10.5155,0.0002,13477,14182,,176,17.6834,0.0376,1,,measure
les_90min,2,doorpakker,1,3,103.772,112.229,0.2431,8.4576,0.0004,22210,23111,,176,21.3038,0.0377,1,,measure
les_90min,13,worstelaar,1,5,98.829,113.472,0.1867,14.6431,0.0004,13318,14043,,289,19.9219,0.0374,1,,measure
les_90min,16,doorpakker,1,3,96.952,114.524,0.7275,17.5718,0.0003,25357,26371,,327,19.3538,0.0375,1,,measure
les_90min,6,gemiddelde,1,2,59.746,115.854,0.1707,56.1082,0.0003,14916,15686,,797,14.2301,0.0372,1,,measure
les_90min,12,gemiddelde,1,3,86.222,117.572,1.9006,31.3501,0.0004,27371,27955,,617,20.9172,0.0376,1,,measure
les_90min,10,worstelaar,1,1,102.798,117.578,0.2405,14.7735,0.0006,8432,9082,,327,22.4316,0.0373,1,,measure
les_90min,1,gemiddelde,1,10,108.438,118.115,0.5416,9.676,0.0003,15016,15805,,223,24.3037,0.0368,1,,measure
les_90min,16,doorpakker,1,4,114.525,119.033,0.25,4.508,0.0003,25591,26619,,80,18.5535,0.0359,1,,measure
les_90min,8,gemiddelde,1,7,108.472,119.097,0.5079,10.624,0.0002,12613,13404,,251,24.7131,0.0366,1,,measure
les_90min,4,doorpakker,1,1,96.172,119.593,0.2127,23.4211,0.0003,21804,22765,,513,22.061,0.0371,1,,measure
les_90min,2,doorpakker,1,4,112.23,120.317,0.2349,8.0867,0.0004,22456,23360,,184,23.3067,0.0358,1,,measure
les_90min,15,gemiddelde,1,3,111.689,122.727,0.2244,11.0378,0.0003,13708,14426,,186,17.1083,0.038,1,,measure
les_90min,4,doorpakker,1,2,119.594,122.917,0.308,3.3228,0.0003,22101,23076,,69,22.5557,0.0329,1,,measure
les_90min,16,doorpakker,1,5,119.034,123.273,0.2184,4.2393,0.0003,25799,26840,,106,26.1136,0.0329,1,,measure
les_90min,6,gemiddelde,1,3,115.857,125.508,0.3425,9.6514,0.0003,15933,16717,,184,19.6586,0.0336,1,,measure
les_90min,10,worstelaar,1,2,117.579,126.752,0.4977,9.1734,0.0003,8655,9319,,226,25.9344,0.0332,1,,measure
les_90min,16,doorpakker,1,6,123.274,127.116,0.2233,3.8421,0.0002,26078,27131,,105,28.7388,0.0335,1,,measure
les_90min,2,doorpakker,1,5,120.319,128.118,0.4049,7.7991,0.0003,23314,24235,,181,24.3434,0.0333,1,,measure
les_90min,11,afhaker,1,1,79.923,130.663,0.2203,50.7404,0.0003,6277,6879,,780,15.4196,0.0373,1,,measure
les_90min,4,doorpakker,1,3,122.918,132.385,0.2268,9.467,0.0002,22339,23316,,234,25.2157,0.033,1,,measure
les_90min,10,worstelaar,1,3,126.753,133.064,0.1665,6.311,0.0003,8843,9521,,143,23.1101,0.0322,1,,measure
les_90min,18,gemiddelde,1,1,110.721,134.127,0.6,23.405,0.0002,13632,14243,,490,21.4427,0.0335,1,,measure
les_90min,4,doorpakker,1,4,132.386,135.213,0.2827,2.8265,0.0003,22760,23751,,48,18.476,0.032,1,,measure
les_90min,16,doorpakker,1,7,127.118,135.482,0.3831,8.3638,0.0004,26807,27874,,214,26.6893,0.0323,1,,measure
les_90min,10,worstelaar,1,4,133.066,137.456,0.1734,4.3903,0.0006,9058,9750,,106,24.8997,0.0327,1,,measure
les_90min,6,gemiddelde,1,4,125.511,139.432,0.2153,13.9206,0.0003,16201,16998,,275,19.9923,0.0328,1,,measure
les_90min,1,gemiddelde,1,11,118.116,140.484,0.1535,22.3681,0.0004,15233,16040,,582,26.154,0.033,1,,measure
les_90min,4,doorpakker,1,5,135.214,141.454,0.212,6.2359,0.0005,22938,23942,,144,23.7386,0.0334,1,,measure
les_90min,2,doorpakker,1,6,128.119,141.564,0.2159,13.4443,0.0003,23501,24430,,327,24.6439,0.0328,1,,measure
les_90min,17,gemiddelde,1,0,43.549,142.333,2.3656,98.7832,0.0005,16670,17370,,1838,19.0525,0.0354,1,,measure
les_90min,9,gemiddelde,2,0,136.946,142.805,0.1809,5.8588,0.0003,14136,14855,,106,18.4929,0.0336,1,,measure
les_90min,11,afhaker,1,2,130.666,143.322,0.2826,12.6562,0.0003,7723,8342,,259,20.8507,0.0328,1,,measure
les_90min,10,worstelaar,1,5,137.457,144.991,0.16,7.5337,0.0003,9254,9959,,178,24.0041,0.0324,1,,measure
les_90min,4,doorpakker,1,6,141.456,145.309,0.2133,3.8525,0.0013,23145,24166,,95,25.8301,0.0313,1,,measure
les_90min,9,gemiddelde,2,1,142.806,147.851,0.2,5.0445,0.0004,14332,15059,,132,27.0413,0.0301,1,,measure
les_90min,2,doorpakker,1,7,141.565,148.318,0.2589,6.7527,0.0005,23722,24665,,180,27.565,0.0297,1,,measure
les_90min,6,gemiddelde,1,5,139.437,152.467,0.7794,13.0301,0.0004,18681,19496,,379,30.8555,0.0297,1,,measure
les_90min,4,doorpakker,1,7,145.31,153.283,0.209,7.9732,0.0003,23363,24392,,226,28.9791,0.0292,1,,measure
les_90min,18,gemiddelde,1,2,134.131,158.953,0.7339,24.8221,0.0006,16303,16933,,449,18.5983,0.0307,1,,measure
les_90min,15,gemiddelde,1,4,122.728,161.489,0.1883,38.761,0.0003,13979,14706,,747,19.3401,0.0322,1,,measure
les_90min,16,doorpakker,1,8,135.483,162.098,0.2199,26.6146,0.0003,27064,28145,,591,22.3529,0.031,1,,measure
les_90min,9,gemiddelde,2,2,147.853,164.117,0.2903,16.2638,0.0003,15137,15878,,222,13.8354,0.03,1,,measure
les_90min,4,doorpakker,1,8,153.284,169.071,5.132,15.7861,0.0003,23933,24976,,216,20.18,0.0335,1,,measure
les_90min,6,gemiddelde,1,6,152.47,169.102,0.3411,16.6319,0.0003,19527,20360,,224,13.6887,0.0335,1,,measure
les_90min,18,gemiddelde,1,3,158.962,170.394,1.5572,11.4317,0.0003,21658,22307,,218,21.9757,0.0334,1,,measure
les_90min,2,doorpakker,1,8,148.32,171.026,0.3482,22.7055,0.0003,24407,25367,,432,19.2778,0.0326,1,,measure
les_90min,16,doorpakker,1,9,162.098,171.813,0.1978,9.7149,0.0002,27297,28386,,238,24.9026,0.0333,1,,measure
les_90min,4,doorpakker,1,9,169.071,172.624,0.2649,3.5524,0.0002,24144,25205,,61,18.2507,0.0325,1,,measure
les_90min,8,gemiddelde,2,0,171.082,173.775,0.3414,2.693,0.0002,12844,13648,,56,23.3878,0.0326,1,,measure
les_90min,8,gemiddelde,2,1,173.776,178.095,0.2072,4.3194,0.0004,13039,13860,,122,29.4252,0.034,1,,measure
les_90min,0,worstelaar,1,0,162.607,178.412,0.5205,15.8046,0.0004,9296,9802,,325,21.1986,0.0337,1,,measure
les_90min,6,gemiddelde,1,7,169.107,178.689,0.9282,9.5826,0.0003,21921,22772,,177,20.3362,0.0334,1,,measure
les_90min,4,doorpakker,1,10,172.625,182.184,0.2701,9.5587,0.0003,24537,25612,,235,25.1922,0.0345,1,,measure
les_90min,8,gemiddelde,2,2,178.096,183.97,0.2177,5.8737,0.0003,13257,14095,,143,25.1059,0.0352,1,,measure
les_90min,2,doorpakker,1,9,171.027,188.849,0.2993,17.8219,0.0003,24804,25777,,442,25.1674,0.0351,1,,measure
les_90min,6,gemiddelde,1,8,178.691,188.855,0.4124,10.1579,0.0002,22802,23670,,266,27.192,0.0357,1,,measure
les_90min,9,gemiddelde,2,3,164.119,190.347,0.4048,26.2281,0.0003,16366,17121,,502,19.4011,0.0346,1,,measure
les_90min,4,doorpakker,1,11,182.185,190.382,0.3992,8.1967,0.0002,25247,26336,,166,21.1606,0.036,1,,measure
les_90min,16,doorpakker,1,10,171.814,191.755,0.2351,19.9405,0.0003,27579,28681,,505,25.5767,0.035,1,,measure
les_90min,8,gemiddelde,2,3,183.971,192.126,0.1685,8.1553,0.0003,13491,14343,,191,23.7892,0.0357,1,,measure
les_90min,8,gemiddelde,2,4,192.129,197.985,0.3271,5.8566,0.0003,14616,15482,,161,28.9361,0.0346,1,,measure
les_90min,16,doorpakker,1,11,191.756,200.159,0.2098,8.4029,0.0002,27824,28940,,228,27.7062,0.0347,1,,measure
les_90min,15,gemiddelde,1,5,161.49,200.476,0.1909,38.9862,0.0002,14179,14920,,898,23.1214,0.0347,1,,measure
les_90min,2,doorpakker,1,10,188.854,201.613,1.2576,12.758,0.0015,27515,28506,,313,27.1295,0.0348,1,,measure
les_90min,8,gemiddelde,2,5,197.986,203.42,0.2008,5.4334,0.0002,14833,15717,,132,25.0356,0.0353,1,,measure
les_90min,0,worstelaar,1,1,178.417,203.454,0.2413,25.0369,0.0003,10100,10619,,524,21.0924,0.0352,1,,measure
les_90min,4,doorpakker,1,12,190.383,204.736,0.2419,14.3524,0.0003,25513,26616,,196,13.8195,0.0354,1,,measure
les_90min,15,gemiddelde,1,6,200.478,205.918,0.2148,5.44,0.0003,14632,15386,,101,19.1381,0.0353,1,,measure
les_90min,6,gemiddelde,1,9,188.856,206.154,1.2572,17.2986,0.0006,23437,24319,,351,21.8186,0.0351,1,,measure
les_90min,16,doorpakker,1,12,200.16,206.256,0.2201,6.0965,0.0003,28049,29177,,136,22.9733,0.0354,1,,measure
les_90min,14,worstelaar,2,0,208.425,212.697,2.0031,4.2714,0.0003,4719,5199,,36,15.4303,0.036,1,,measure
les_90min,16,doorpakker,1,13,206.257,217.032,0.2702,10.7743,0.0003,28437,29579,,191,18.0882,0.0371,1,,measure
les_90min,4,doorpakker,1,13,204.737,217.413,0.2374,12.6763,0.0003,25763,26874,,220,17.606,0.0369,1,,measure
les_90min,14,worstelaar,2,1,212.698,222.562,0.2315,9.8636,0.0002,5633,6126,,174,17.9607,0.0356,1,,measure
les_90min,8,gemiddelde,2,6,203.421,222.949,0.5134,19.5283,0.0003,15478,16376,,411,21.5621,0.0359,1,,measure
les_90min,17,gemiddelde,1,1,142.334,224.025,0.2502,81.6906,0.0003,17118,17831,,1432,17.5711,0.035,1,,measure
les_90min,12,gemiddelde,2,0,153.172,228.192,5.2438,75.0197,0.0005,26456,27350,,1509,21.612,0.0349,1,,measure
les_90min,14,worstelaar,2,2,222.563,230.629,0.1728,8.0662,0.0002,5877,6372,,114,14.3158,0.0356,1,,measure
les_90min,8,gemiddelde,2,7,222.951,232.995,0.2641,10.0437,0.0001,16163,17075,,239,24.3363,0.0346,1,,measure
les_90min,15,gemiddelde,1,7,205.919,235.187,0.1653,29.2683,0.0003,14845,15613,,471,16.1495,0.0373,1,,measure
les_90min,4,doorpakker,1,14,217.416,236.09,0.5168,18.6745,0.0003,26876,28001,,444,24.3974,0.0346,1,,measure
les_90min,13,worstelaar,2,0,199.209,237.031,0.1623,37.8217,0.0005,9156,9805,,625,16.5695,0.0353,1,,measure
les_90min,8,gemiddelde,2,8,232.997,237.408,0.3946,4.4105,0.0002,17326,18252,,103,25.3989,0.0333,1,,measure
les_90min,8,gemiddelde,2,9,237.41,241.254,0.3275,3.8444,0.0002,18151,19091,,95,26.7279,0.0338,1,,measure
les_90min,8,gemiddelde,2,10,241.256,244.155,0.2998,2.8992,0.0002,18836,19790,,78,29.6219,0.0338,1,,measure
les_90min,13,worstelaar,2,1,237.032,245.6,0.2068,8.5679,0.0002,9724,10390,,151,17.9402,0.0341,1,,measure
les_90min,8,gemiddelde,2,11,244.156,247.064,0.2081,2.9075,0.0003,19088,20044,,77,28.154,0.0343,1,,measure
les_90min,4,doorpakker,1,15,236.091,247.952,0.226,11.8607,0.0003,27135,28273,,271,23.2066,0.0339,1,,measure
les_90min,2,doorpakker,1,11,201.615,251.26,0.5424,49.6445,0.0003,28639,29644,,1192,24.2556,0.0347,1,,measure
les_90min,7,worstelaar,2,0,247.191,252.558,0.7607,5.3672,0.0002,9503,10157,,85,18.2352,0.0344,1,,measure
les_90min,16,doorpakker,2,0,248.431,253.026,0.4146,4.5946,0.0003,29213,30370,,95,22.488,0.0346,1,,measure
les_90min,9,gemiddelde,3,0,247.337,256.028,0.6143,8.6905,0.0003,16587,17356,,176,21.6685,0.0348,1,,measure
les_90min,9,gemiddelde,3,1,256.029,258.493,0.211,2.4642,0.0004,16809,17591,,65,28.4046,0.0356,1,,measure
les_90min,16,doorpakker,2,1,253.027,259.289,0.2191,6.262,0.0002,29448,30609,,167,27.4703,0.0355,1,,measure
les_90min,15,gemiddelde,1,8,235.188,262.284,0.2327,27.095,0.0002,15211,15993,,457,16.9755,0.0348,1,,measure
les_90min,2,doorpakker,1,12,251.264,263.417,0.9934,12.1522,0.0003,30736,31758,,239,21.3284,0.0357,1,,measure
les_90min,7,worstelaar,2,1,252.559,264.198,0.2254,11.6388,0.0003,10114,10782,,169,14.7196,0.0362,1,,measure
les_90min,19,gemiddelde,2,0,259.56,269.044,2.4339,9.4833,0.0003,18371,19211,,158,22.2713,0.0383,1,,measure
les_90min,12,gemiddelde,2,1,228.193,270.233,0.2265,42.0397,0.0002,26688,27594,,916,21.883,0.0348,1,,measure
les_90min,16,doorpakker,2,2,259.29,271.587,0.2254,12.297,0.0003,29658,30832,,248,20.4613,0.0385,1,,measure
les_90min,2,doorpakker,1,13,263.418,273.231,0.2489,9.8125,0.0003,30982,32018,,236,24.5723,0.0387,1,,measure
les_90min,4,doorpakker,2,0,260.123,277.44,1.8708,17.3167,0.0003,27406,28559,,339,21.8829,0.0386,1,,measure
les_90min,7,worstelaar,2,2,264.199,278.531,0.1893,14.3321,0.0003,10323,11004,,282,19.8688,0.0387,1,,measure
