run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
act_rustig_s20,14,afhaker,1,2.015,0.71,1,0,3976,0,0,warmup
act_rustig_s20,13,afhaker,1,0.364,21.306,3,0,10782,0,0,warmup
act_rustig_s20,7,afhaker,1,26.483,1.691,1,0,6656,0,0,warmup
act_rustig_s20,12,gemiddelde,1,4.426,24.909,3,0,27349,0,0,warmup
act_rustig_s20,9,worstelaar,1,27.651,2.928,2,0,7688,0,0,warmup
act_rustig_s20,5,afhaker,1,20.851,9.807,2,0,6438,0,0,warmup
act_rustig_s20,19,worstelaar,1,22.775,8.173,2,0,10309,0,0,warmup
act_rustig_s20,1,gemiddelde,1,4.452,26.56,8,0,12851,0,0,warmup
act_rustig_s20,8,worstelaar,1,24.737,6.692,3,0,5721,0,0,warmup
act_rustig_s20,16,gemiddelde,1,22.1,12.617,3,0,18350,0,0,warmup
act_rustig_s20,6,worstelaar,1,16.239,24.803,4,0,9839,0,0,warmup
act_rustig_s20,11,afhaker,1,36.286,14.68,2,0,7710,0,0,warmup
act_rustig_s20,18,worstelaar,1,39.012,14.295,2,0,11546,0,0,warmup
act_rustig_s20,10,worstelaar,1,46.95,10.374,4,0,9020,0,0,warmup
act_rustig_s20,4,gemiddelde,1,41.503,19.165,8,0,17283,0,0,warmup
act_rustig_s20,2,doorpakker,1,13.994,59.151,12,0,30667,0,0,warmup
act_rustig_s20,15,gemiddelde,1,34.672,40.4,8,0,15196,0,0,warmup
act_rustig_s20,17,gemiddelde,1,21.839,62.861,3,0,21936,0,0,warmup
act_rustig_s20,12,gemiddelde,2,82.735,52.509,7,0,43857,1,0,measure
act_rustig_s20,2,doorpakker,2,124.552,21.724,9,0,28791,1,0,measure
act_rustig_s20,18,worstelaar,2,159.217,4.811,2,0,13938,0,0,measure
act_rustig_s20,16,gemiddelde,2,176.002,7.791,3,0,19114,0,0,measure
act_rustig_s20,8,worstelaar,2,198.455,11.327,4,0,6763,0,0,measure
act_rustig_s20,9,worstelaar,2,214.571,4.592,2,0,8136,0,0,measure
act_rustig_s20,15,gemiddelde,2,200.494,37.579,5,0,17701,0,0,measure
act_rustig_s20,2,doorpakker,3,166.104,72.229,15,0,41890,0,0,measure
act_rustig_s20,4,gemiddelde,2,216.772,23.677,7,0,19765,0,0,measure
act_rustig_s20,12,gemiddelde,3,203.631,56.449,8,0,44606,1,0,measure
act_rustig_s20,18,worstelaar,3,242.513,26.29,2,0,19826,0,0,measure
act_rustig_s20,0,worstelaar,1,233.756,38.463,4,0,18765,0,0,measure
act_rustig_s20,15,gemiddelde,3,287.092,19.351,6,0,19912,1,0,measure
act_rustig_s20,6,worstelaar,2,301.428,6.824,2,0,13169,0,0,measure
act_rustig_s20,2,doorpakker,4,277.196,48.952,8,0,35675,1,0,measure
act_rustig_s20,1,gemiddelde,2,310.631,18.668,8,0,16651,0,0,measure
act_rustig_s20,11,afhaker,2,319.936,14.374,3,0,7368,1,0,measure
act_rustig_s20,16,gemiddelde,3,324.133,17.543,8,0,22632,0,0,measure
act_rustig_s20,13,afhaker,2,343.147,5.572,3,0,7916,0,1,measure
act_rustig_s20,4,gemiddelde,3,352.378,10.227,6,0,21395,0,0,measure
act_rustig_s20,15,gemiddelde,4,389.438,9.265,2,0,17385,1,0,measure
act_rustig_s20,17,gemiddelde,2,389.998,9.881,1,0,23237,1,0,measure
act_rustig_s20,2,doorpakker,5,355.596,45.16,10,0,29724,1,0,measure
act_rustig_s20,0,worstelaar,2,393.522,18.253,1,0,17839,1,0,measure
