t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789129488.1525,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.07,1789129490.2046,18859.0,0.0,0.0,0.0337,1.0,0.0,18859.0,84.0,1.0,18943.0,0.0
4.08,1789129492.2188,40402.0,16592.0,0.0,0.0431,2.0,0.0,40402.0,435.0,2.0,24245.0,0.7702
6.1,1789129494.2327,65134.0,17728.0,0.0,0.0834,3.0,1.0,40402.0,601.0,2.0,24411.0,0.0459
8.14,1789129496.2721,87885.0,28080.0,0.0,0.0987,3.0,0.0,87885.0,1012.0,3.0,60817.0,0.455
10.15,1789129498.2862,87885.0,28080.0,0.0,0.0999,3.0,0.0,87885.0,1696.0,3.0,61501.0,
12.16,1789129500.2994,139943.0,75680.0,0.0,0.107,3.0,0.0,110936.0,2243.0,5.0,62299.0,0.9144
14.17,1789129502.3074,139943.0,75680.0,0.0,0.0519,1.0,0.0,139943.0,2804.0,7.0,67067.0,
16.19,1789129504.3204,182212.0,87040.0,0.0,0.1102,2.0,2.0,139943.0,2820.0,7.0,67083.0,0.2688
18.2,1789129506.3344,254654.0,144720.0,0.0,0.1755,5.0,0.0,224916.0,2837.0,7.0,98681.0,0.7962
20.21,1789129508.3473,254654.0,144720.0,0.0,0.1886,5.0,0.0,254654.0,3398.0,7.0,113332.0,
22.24,1789129510.3712,322191.0,186688.0,0.0,0.2079,7.0,0.0,290333.0,4047.0,8.0,120204.0,0.6214
24.25,1789129512.3842,368619.0,208032.0,0.0,0.2443,8.0,1.0,322191.0,4109.0,8.0,139612.0,0.4597
26.27,1789129514.4006,368619.0,208032.0,0.0,0.2698,8.0,2.0,322191.0,4158.0,8.0,139661.0,
28.28,1789129516.4137,400491.0,224128.0,0.0,0.3026,9.0,3.0,368619.0,4227.0,8.0,164814.0,0.505
30.29,1789129518.428,466547.0,258880.0,0.0,0.3427,12.0,0.0,422957.0,4328.0,8.0,191797.0,0.5261
32.31,1789129520.4405,496799.0,288672.0,0.0,0.3655,12.0,0.0,496799.0,5022.0,9.0,213149.0,0.9848
34.32,1789129522.4545,619528.0,407568.0,0.0,0.3731,12.0,0.0,619528.0,6202.0,14.0,218162.0,0.9688
36.34,1789129524.4737,655647.0,431232.0,0.0,0.3734,12.0,0.0,655647.0,7028.0,16.0,231443.0,0.6552
38.35,1789129526.4855,763802.0,532112.0,0.0,0.4107,14.0,0.0,763802.0,8294.0,18.0,239984.0,0.9327
40.36,1789129528.498,847442.0,603296.0,0.0,0.4341,15.0,0.0,834974.0,9203.0,20.0,252481.0,0.8511
42.38,1789129530.5126,924184.0,656384.0,0.0,0.4264,15.0,1.0,877936.0,10410.0,22.0,254746.0,0.6918
44.39,1789129532.5263,924184.0,656384.0,0.0,0.4555,15.0,1.0,877936.0,10522.0,22.0,254858.0,
46.41,1789129534.5424,970350.0,702144.0,0.0,0.4559,15.0,0.0,970350.0,11895.0,24.0,280101.0,0.9912
48.42,1789129536.556,1068446.0,790368.0,0.0,0.4462,14.0,0.0,1068446.0,12853.0,29.0,290931.0,0.8994
50.43,1789129538.5682,1172112.0,893360.0,0.0,0.4181,13.0,0.0,1172112.0,14445.0,33.0,293197.0,0.9935
52.45,1789129540.581,1247871.0,963264.0,0.0,0.4058,12.0,0.0,1247871.0,15525.0,37.0,300132.0,0.9227
54.46,1789129542.598,1316065.0,1029936.0,0.0,0.4085,12.0,0.0,1316065.0,16863.0,39.0,302992.0,0.9777
56.48,1789129544.6142,1391418.0,1101184.0,0.0,0.4156,12.0,0.0,1391418.0,17971.0,41.0,308205.0,0.9455
58.5,1789129546.6312,1457778.0,1166832.0,0.0,0.4165,12.0,0.0,1457778.0,19339.0,44.0,310285.0,0.9893
60.51,1789129548.6445,1573317.0,1281632.0,0.0,0.382,11.0,0.0,1573317.0,20664.0,48.0,312349.0,0.9936
62.52,1789129550.6584,1695994.0,1403664.0,0.0,0.3601,10.0,0.0,1646737.0,21973.0,52.0,314118.0,0.9947
64.54,1789129552.6718,1807626.0,1514592.0,0.0,0.3402,9.0,0.0,1758144.0,23127.0,56.0,315959.0,0.9937
66.55,1789129554.6849,2009930.0,1712384.0,0.0,0.3142,7.0,0.0,1980915.0,23997.0,63.0,318848.0,0.9777
68.6,1789129556.7308,2108181.0,1809776.0,0.0,0.3181,7.0,0.0,2108181.0,24812.0,65.0,323217.0,0.9913
70.6,1789129558.7385,2233314.0,1933696.0,0.0,0.3211,7.0,0.0,2233314.0,25691.0,68.0,325309.0,0.9903
72.62,1789129560.7535,2332298.0,2032336.0,0.0,0.3231,7.0,0.0,2332298.0,26664.0,70.0,326626.0,0.9965
74.63,1789129562.7669,2410134.0,2109632.0,0.0,0.3219,7.0,0.0,2410134.0,27618.0,72.0,328120.0,0.9931
76.64,1789129564.7787,2519871.0,2216224.0,0.0,0.2961,6.0,0.0,2519871.0,28321.0,76.0,331968.0,0.9713
78.66,1789129566.792,2565645.0,2261744.0,0.0,0.2974,6.0,0.0,2565645.0,29191.0,77.0,333092.0,0.9945
80.67,1789129568.806,2614734.0,2310688.0,0.0,0.1987,4.0,0.0,2614734.0,30049.0,80.0,334095.0,0.997
82.69,1789129570.8208,2745925.0,2440112.0,0.0,0.2517,5.0,0.0,2745925.0,30735.0,82.0,336548.0,0.9865
84.7,1789129572.8347,2745925.0,2440112.0,0.0,0.2026,4.0,0.0,2745925.0,31523.0,83.0,337336.0,
86.73,1789129574.8631,2745925.0,2440112.0,0.0,0.1058,2.0,0.0,2745925.0,32103.0,85.0,337916.0,
88.74,1789129576.876,2792780.0,2486672.0,0.0,0.1691,3.0,0.0,2792780.0,32621.0,85.0,338729.0,0.9937
90.75,1789129578.8894,2847054.0,2540320.0,0.0,0.1693,3.0,0.0,2847054.0,33111.0,87.0,339845.0,0.9885
92.77,1789129580.9015,2896622.0,2587264.0,0.0,0.173,3.0,0.0,2847054.0,33568.0,88.0,340302.0,0.9471
94.78,1789129582.9145,2896622.0,2587264.0,0.0,0.1749,3.0,0.0,2896622.0,34062.0,88.0,343420.0,
96.79,1789129584.9268,2947348.0,2636912.0,0.0,0.1773,3.0,0.0,2896622.0,34545.0,89.0,343903.0,0.9787
98.81,1789129586.9405,2983005.0,2669280.0,0.0,0.1805,3.0,0.0,2983005.0,34944.0,90.0,348669.0,0.9078
100.82,1789129588.9541,2983005.0,2669280.0,0.0,0.1526,2.0,0.0,2983005.0,35372.0,91.0,349097.0,
102.83,1789129590.9686,3033268.0,2718880.0,0.0,0.2047,3.0,0.0,3033268.0,35763.0,91.0,350151.0,0.9868
104.85,1789129592.9823,3033268.0,2718880.0,0.0,0.2056,3.0,0.0,3033268.0,36297.0,91.0,350685.0,
106.86,1789129594.9966,3083761.0,2769200.0,0.0,0.2065,3.0,0.0,3083761.0,36797.0,92.0,351358.0,0.9966
108.88,1789129597.0112,3135100.0,2819776.0,0.0,0.2086,3.0,0.0,3135100.0,37276.0,93.0,352600.0,0.9851
110.89,1789129599.0252,3135100.0,2819776.0,0.0,0.1551,2.0,0.0,3135100.0,37794.0,94.0,353118.0,
112.9,1789129601.0382,3186670.0,2871200.0,0.0,0.1555,2.0,0.0,3186670.0,38162.0,95.0,353632.0,0.9972
114.92,1789129603.0518,3219763.0,2883712.0,0.0,0.192,3.0,0.0,3186670.0,38186.0,95.0,353656.0,0.3781
116.93,1789129605.0654,3271727.0,2935360.0,0.0,0.1935,3.0,0.0,3271727.0,38642.0,96.0,375009.0,0.9939
118.94,1789129607.078,3271727.0,2935360.0,0.0,0.1945,3.0,0.0,3271727.0,39167.0,96.0,375534.0,
120.96,1789129609.0913,3324097.0,2987408.0,0.0,0.1953,3.0,0.0,3271727.0,39682.0,97.0,376049.0,0.9939
122.97,1789129611.1048,3357466.0,3020608.0,0.0,0.1956,3.0,0.0,3357466.0,40151.0,98.0,377009.0,0.9949
124.98,1789129613.1187,3410041.0,3073072.0,0.0,0.1515,2.0,0.0,3410041.0,40617.0,100.0,377586.0,0.9979
127.0,1789129615.1326,3462910.0,3125728.0,0.0,0.0602,1.0,0.0,3462910.0,40961.0,102.0,378143.0,0.996
129.01,1789129617.1445,3537725.0,3200144.0,0.0,0.1716,3.0,0.0,3537725.0,41285.0,102.0,378866.0,0.9947
131.02,1789129619.1579,3594524.0,3239520.0,0.0,0.226,5.0,0.0,3564831.0,41441.0,102.0,379264.0,0.6933
133.04,1789129621.1714,3669887.0,3314448.0,0.0,0.229,5.0,0.0,3669887.0,42122.0,104.0,397561.0,0.9942
135.05,1789129623.1832,3748957.0,3392912.0,0.0,0.231,5.0,0.0,3748957.0,42872.0,106.0,398917.0,0.9923
137.06,1789129625.1961,3829698.0,3472096.0,0.0,0.2033,4.0,0.0,3829698.0,43544.0,109.0,401146.0,0.9807
139.08,1789129627.2098,3884605.0,3526064.0,0.0,0.2097,4.0,0.0,3884605.0,44234.0,111.0,402775.0,0.9829
141.09,1789129629.2232,3937786.0,3579104.0,0.0,0.2109,4.0,0.0,3937786.0,44868.0,112.0,403550.0,0.9973
143.1,1789129631.2369,4015928.0,3656912.0,0.0,0.212,4.0,0.0,4015928.0,45465.0,114.0,404481.0,0.9957
145.11,1789129633.2483,4040897.0,3681712.0,0.0,0.2131,4.0,0.0,4040897.0,46092.0,115.0,405277.0,0.9932
147.13,1789129635.2625,4066499.0,3706752.0,0.0,0.2152,4.0,0.0,4066499.0,46710.0,116.0,406457.0,0.978
149.14,1789129637.2781,4092306.0,3732416.0,0.0,0.2164,4.0,0.0,4092306.0,47339.0,117.0,407229.0,0.9945
151.16,1789129639.2913,4210093.0,3845248.0,0.0,0.217,4.0,0.0,4172207.0,47864.0,120.0,408295.0,0.9579
153.17,1789129641.3048,4210093.0,3845248.0,0.0,0.1953,3.0,0.0,4210093.0,48301.0,121.0,413146.0,
155.18,1789129643.3182,4210093.0,3845248.0,0.0,0.1963,3.0,0.0,4210093.0,48820.0,121.0,413665.0,
157.2,1789129645.3325,4210093.0,3845248.0,0.0,0.1028,2.0,0.0,4210093.0,49331.0,122.0,414176.0,
159.21,1789129647.346,4317062.0,3951936.0,0.0,0.2514,4.0,0.0,4317062.0,49827.0,122.0,414953.0,0.9974
161.23,1789129649.3599,4370668.0,4005152.0,0.0,0.2531,4.0,0.0,4370668.0,50433.0,123.0,415949.0,0.9927
163.24,1789129651.3731,4519924.0,4147648.0,0.0,0.2608,4.0,0.0,4413231.0,50732.0,126.0,420827.0,0.9547
165.25,1789129653.3865,4574064.0,4201568.0,0.0,0.2621,4.0,0.0,4574064.0,51330.0,127.0,423826.0,0.9959
167.26,1789129655.3991,4627179.0,4254512.0,0.0,0.2633,4.0,0.0,4627179.0,51945.0,128.0,424612.0,0.9968
169.28,1789129657.4117,4657826.0,4284912.0,0.0,0.2606,4.0,0.0,4657826.0,52568.0,129.0,425482.0,0.9919
171.29,1789129659.4244,4711636.0,4338112.0,0.0,0.2625,4.0,0.0,4711636.0,53166.0,130.0,426690.0,0.9887
173.3,1789129661.4387,4863439.0,4488832.0,0.0,0.2632,4.0,0.0,4863439.0,53681.0,133.0,428288.0,0.9929
175.32,1789129663.4537,4918095.0,4543280.0,0.0,0.2645,4.0,0.0,4918095.0,54287.0,134.0,429102.0,0.9962
177.33,1789129665.4668,4918095.0,4543280.0,0.0,0.2656,4.0,0.0,4918095.0,54923.0,134.0,429738.0,
179.35,1789129667.4825,5071155.0,4695584.0,0.0,0.2664,4.0,0.0,5071155.0,55448.0,137.0,431019.0,0.9951
181.36,1789129669.4971,5181613.0,4805728.0,0.0,0.2675,4.0,0.0,5181613.0,56014.0,139.0,431899.0,0.9972
183.38,1789129671.5109,5181613.0,4805728.0,0.0,0.2687,4.0,0.0,5181613.0,56654.0,139.0,432539.0,
185.39,1789129673.5271,5181613.0,4805728.0,0.0,0.2698,4.0,0.0,5181613.0,57290.0,139.0,433175.0,
187.41,1789129675.5439,5236986.0,4860944.0,0.0,0.2706,4.0,0.0,5236986.0,57892.0,140.0,433934.0,0.9972
189.42,1789129677.5575,5236986.0,4860944.0,0.0,0.2158,3.0,0.0,5236986.0,58517.0,141.0,434559.0,
191.44,1789129679.5704,5338846.0,4959488.0,0.0,0.2758,4.0,0.0,5338846.0,58955.0,142.0,438313.0,0.9674
193.45,1789129681.5839,5414328.0,5033776.0,0.0,0.2322,4.0,0.0,5414328.0,59514.0,144.0,440066.0,0.9842
195.46,1789129683.5908,5471937.0,5090480.0,0.0,0.2347,4.0,0.0,5471937.0,60081.0,145.0,441538.0,0.9843
197.47,1789129685.6074,5509582.0,5125776.0,0.0,0.2749,5.0,0.0,5509582.0,60671.0,145.0,444477.0,0.9376
199.49,1789129687.623,5542580.0,5156528.0,0.0,0.2013,4.0,0.0,5542580.0,61292.0,147.0,447344.0,0.9319
201.5,1789129689.6362,5542580.0,5156528.0,0.0,0.2025,4.0,0.0,5542580.0,61984.0,147.0,448036.0,
203.51,1789129691.6491,5542580.0,5156528.0,0.0,0.0847,2.0,0.0,5542580.0,62487.0,149.0,448539.0,
205.53,1789129693.6624,5542580.0,5156528.0,0.0,0.0855,2.0,0.0,5542580.0,62937.0,149.0,448989.0,
207.54,1789129695.6756,5600635.0,5213136.0,0.0,0.0854,2.0,0.0,5600635.0,63327.0,151.0,450826.0,0.9751
209.55,1789129697.6891,5694381.0,5305648.0,0.0,0.1561,3.0,0.0,5694381.0,63723.0,152.0,452456.0,0.9868
211.57,1789129699.7045,5768554.0,5379424.0,0.0,0.157,3.0,0.0,5768554.0,64198.0,154.0,453328.0,0.9946
213.58,1789129701.7184,5823316.0,5433888.0,0.0,0.1149,2.0,0.0,5823316.0,64678.0,156.0,454106.0,0.9946
215.6,1789129703.732,5843677.0,5453680.0,0.0,0.1159,2.0,0.0,5843677.0,65038.0,157.0,455035.0,0.9721
217.61,1789129705.7447,5898674.0,5508512.0,0.0,0.098,1.0,0.0,5898674.0,65312.0,159.0,455474.0,0.997
219.62,1789129707.7593,5943810.0,5529856.0,0.0,0.1164,2.0,0.0,5898674.0,65413.0,159.0,455575.0,0.4729
