run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
engine_len_65k,14,worstelaar,1,2.046,6.029,2,0,10632,0,0,warmup
engine_len_65k,9,gemiddelde,1,27.708,17.413,3,0,26006,0,0,warmup
engine_len_65k,5,afhaker,1,20.873,25.641,2,0,12142,0,0,warmup
engine_len_65k,7,worstelaar,1,26.518,20.013,2,0,17746,0,0,warmup
engine_len_65k,19,gemiddelde,1,22.829,27.472,4,0,32356,0,0,warmup
engine_len_65k,8,gemiddelde,1,24.789,25.961,5,0,22775,0,0,warmup
engine_len_65k,12,gemiddelde,1,4.445,54.799,3,0,36978,0,0,warmup
engine_len_65k,1,gemiddelde,1,4.509,57.557,8,0,24013,0,0,warmup
engine_len_65k,13,worstelaar,1,0.386,62.878,4,0,21943,0,0,warmup
engine_len_65k,11,afhaker,1,36.308,28.157,2,0,13168,0,0,warmup
engine_len_65k,10,worstelaar,1,46.989,18.22,4,0,17323,0,0,warmup
engine_len_65k,18,gemiddelde,1,39.05,35.963,3,0,33514,0,0,warmup
engine_len_65k,16,doorpakker,1,22.164,58.313,9,0,49184,0,0,warmup
engine_len_65k,4,doorpakker,1,41.569,42.386,11,0,48521,0,0,warmup
engine_len_65k,6,gemiddelde,1,16.261,68.723,7,0,36346,0,0,warmup
engine_len_65k,15,gemiddelde,1,34.696,64.312,8,0,26669,0,0,warmup
engine_len_65k,2,doorpakker,1,14.075,96.356,12,0,51224,0,0,warmup
engine_len_65k,17,gemiddelde,1,21.873,102.455,3,0,36298,0,0,warmup
engine_len_65k,4,doorpakker,2,102.21,24.321,8,0,51320,0,0,measure
engine_len_65k,9,gemiddelde,2,129.311,9.104,3,0,27484,0,0,measure
engine_len_65k,8,gemiddelde,2,128.726,23.486,8,0,25325,0,0,measure
engine_len_65k,16,doorpakker,2,127.572,35.796,8,0,52280,0,0,measure
engine_len_65k,4,doorpakker,3,158.451,34.431,9,0,54108,0,0,measure
engine_len_65k,2,doorpakker,2,161.779,36.638,9,0,58555,0,0,measure
engine_len_65k,12,gemiddelde,2,112.652,88.848,7,0,52732,1,0,measure
engine_len_65k,18,gemiddelde,2,129.431,72.873,4,0,39800,1,0,measure
engine_len_65k,6,gemiddelde,2,195.844,16.927,3,0,39016,0,0,measure
engine_len_65k,13,worstelaar,2,191.914,24.146,4,0,19927,0,1,measure
engine_len_65k,9,gemiddelde,3,223.9,8.596,4,0,28709,0,0,measure
engine_len_65k,16,doorpakker,3,210.148,26.987,9,0,56619,0,0,measure
engine_len_65k,15,gemiddelde,2,224.43,42.204,5,0,29304,0,0,measure
engine_len_65k,7,worstelaar,2,284.849,5.735,2,0,18996,0,0,measure
engine_len_65k,4,doorpakker,4,252.795,38.785,9,0,57363,0,0,measure
engine_len_65k,18,gemiddelde,3,245.243,51.235,3,0,41215,1,0,measure
engine_len_65k,0,worstelaar,1,233.779,62.959,4,0,27465,0,0,measure
engine_len_65k,19,gemiddelde,2,291.926,11.229,3,0,33134,0,0,measure
engine_len_65k,14,worstelaar,2,299.605,6.11,2,0,10350,0,1,measure
engine_len_65k,9,gemiddelde,4,292.343,15.629,4,0,30339,0,0,measure
engine_len_65k,2,doorpakker,3,218.338,112.052,15,0,56919,1,0,measure
engine_len_65k,8,gemiddelde,3,299.476,40.482,7,0,27671,0,0,measure
engine_len_65k,16,doorpakker,4,308.641,36.426,11,0,60571,0,0,measure
engine_len_65k,6,gemiddelde,3,309.401,35.98,5,0,40579,0,0,measure
engine_len_65k,12,gemiddelde,3,269.895,76.858,8,0,53557,1,0,measure
engine_len_65k,15,gemiddelde,3,315.616,33.09,6,0,37503,0,0,measure
engine_len_65k,11,afhaker,2,333.414,21.477,3,0,13926,0,0,measure
engine_len_65k,1,gemiddelde,2,341.685,22.929,8,0,27784,0,0,measure
engine_len_65k,4,doorpakker,5,350.873,41.876,15,0,61911,0,0,measure
engine_len_65k,19,gemiddelde,3,388.694,6.787,2,0,31125,0,1,measure
engine_len_65k,9,gemiddelde,5,389.021,7.413,3,0,32335,0,0,measure
engine_len_65k,13,worstelaar,3,371.26,25.25,3,0,22195,0,0,measure
engine_len_65k,16,doorpakker,5,385.286,11.87,4,0,61593,0,0,measure
engine_len_65k,2,doorpakker,4,369.191,30.58,3,0,58308,0,0,measure
