run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_koudestart_s20,14,worstelaar,1,0,3.996,4.658,0.0859,0.6619,0.0008,2149,2564,,86,147.5717,0.0061,1,,measure
scen_koudestart_s20,14,worstelaar,1,1,4.661,6.296,0.0779,1.6354,0.0005,2707,3135,,238,152.1624,0.0061,1,,measure
scen_koudestart_s20,13,worstelaar,1,0,0.657,6.692,0.1615,6.0352,0.0007,3920,4400,,761,129.3897,0.0052,1,,measure
scen_koudestart_s20,14,worstelaar,1,2,6.298,7.465,0.0895,1.1675,0.0005,2913,3353,,154,141.9343,0.006,1,,measure
scen_koudestart_s20,13,worstelaar,1,1,6.695,9.16,0.0939,2.4641,0.0007,4443,4940,,305,128.261,0.0051,1,,measure
scen_koudestart_s20,1,gemiddelde,1,0,8.744,12.81,0.3362,4.0659,0.0007,4171,4664,,358,95.7178,0.0073,1,,measure
scen_koudestart_s20,12,gemiddelde,1,0,8.723,12.962,0.1991,4.2388,0.0219,4623,5038,,369,91.0955,0.0073,1,,measure
scen_koudestart_s20,1,gemiddelde,1,1,12.812,14.433,0.092,1.6206,0.0005,4448,4953,,160,104.0125,0.0074,1,,measure
scen_koudestart_s20,1,gemiddelde,1,2,14.434,16.014,0.0968,1.5797,0.0005,4713,5220,,181,121.3859,0.0074,1,,measure
scen_koudestart_s20,1,gemiddelde,1,3,16.017,17.032,0.096,1.0149,0.0005,5254,5775,,104,112.0879,0.0076,1,,measure
scen_koudestart_s20,13,worstelaar,1,2,9.171,17.139,0.2079,7.9675,0.0008,7323,7837,,886,114.0522,0.0074,1,,measure
scen_koudestart_s20,13,worstelaar,1,3,17.14,19.613,0.1095,2.4725,0.0005,7603,8130,,242,101.986,0.0074,1,,measure
scen_koudestart_s20,1,gemiddelde,1,4,17.033,21.223,0.0998,4.1891,0.0005,5470,5999,,482,117.6228,0.0074,1,,measure
scen_koudestart_s20,13,worstelaar,1,4,19.615,22.174,0.1784,2.558,0.0005,7954,8494,,266,111.3618,0.0074,1,,measure
scen_koudestart_s20,1,gemiddelde,1,5,21.224,23.11,0.1051,1.886,0.0005,5714,6251,,218,121.8508,0.0074,1,,measure
scen_koudestart_s20,12,gemiddelde,1,1,12.978,23.129,0.3059,10.1508,0.0009,8867,9299,,1150,116.7105,0.0074,1,,measure
scen_koudestart_s20,13,worstelaar,1,5,22.175,25.128,0.1195,2.9532,0.0004,8172,8726,,312,109.7487,0.0076,1,,measure
scen_koudestart_s20,1,gemiddelde,1,6,23.111,26.276,0.1056,3.1645,0.0005,5927,6480,,347,113.1153,0.0074,1,,measure
scen_koudestart_s20,12,gemiddelde,1,2,23.141,26.458,0.3012,3.3169,0.0007,12239,12685,,263,86.8799,0.0074,1,,measure
scen_koudestart_s20,1,gemiddelde,1,7,26.277,27.66,0.1011,1.3829,0.0005,6153,6720,,113,87.3754,0.0071,1,,measure
scen_koudestart_s20,1,gemiddelde,1,8,27.662,29.232,0.1024,1.5703,0.0005,6369,6949,,117,79.0254,0.0081,1,,measure
scen_koudestart_s20,1,gemiddelde,1,9,29.234,31.347,0.104,2.113,0.0005,6597,7191,,228,112.9928,0.0082,1,,measure
scen_koudestart_s20,12,gemiddelde,1,3,26.476,33.374,0.5055,6.8976,0.0008,17540,18006,,586,91.5188,0.0082,1,,measure
scen_koudestart_s20,1,gemiddelde,1,10,31.352,33.618,0.1669,2.2659,0.0003,8508,9116,,204,96.7142,0.0083,1,,measure
scen_koudestart_s20,6,gemiddelde,1,0,32.41,34.795,0.3443,2.3851,0.0011,6515,7034,,242,118.0933,0.0065,1,,measure
scen_koudestart_s20,6,gemiddelde,1,1,34.798,37.479,0.1004,2.6816,0.0005,6995,7532,,270,104.2163,0.0066,1,,measure
scen_koudestart_s20,2,doorpakker,1,0,27.921,37.655,0.506,9.7341,0.0008,8914,9420,,965,104.4634,0.008,1,,measure
scen_koudestart_s20,2,doorpakker,1,1,37.66,39.471,0.1208,1.8105,0.0006,10228,10751,,237,139.6705,0.0066,1,,measure
scen_koudestart_s20,2,doorpakker,1,2,39.472,41.007,0.1119,1.5343,0.0005,10455,10994,,197,137.8021,0.0066,1,,measure
scen_koudestart_s20,2,doorpakker,1,3,41.008,42.584,0.1204,1.5758,0.0005,10766,11318,,195,133.3002,0.0074,1,,measure
scen_koudestart_s20,5,afhaker,1,0,41.642,44.629,0.1063,2.9867,0.0009,2446,2874,,278,96.1665,0.0077,1,,measure
scen_koudestart_s20,2,doorpakker,1,4,42.586,44.915,0.1201,2.3288,0.0005,11008,11564,,206,92.8159,0.0078,1,,measure
scen_koudestart_s20,16,doorpakker,1,0,44.087,46.946,0.4315,2.8584,0.001,8542,9126,,230,94.3612,0.0086,1,,measure
scen_koudestart_s20,2,doorpakker,1,5,44.918,47.014,0.1342,2.0948,0.0005,11849,12422,,181,91.8066,0.0088,1,,measure
scen_koudestart_s20,19,gemiddelde,1,0,45.446,47.015,0.2809,1.5675,0.0007,5787,6267,,110,84.7241,0.0088,1,,measure
scen_koudestart_s20,6,gemiddelde,1,2,37.481,47.647,0.1051,10.1663,0.0005,7217,7768,,875,86.8684,0.0074,1,,measure
scen_koudestart_s20,16,doorpakker,1,1,46.948,48.093,0.2904,1.1449,0.0005,9142,9740,,53,60.8511,0.0088,1,,measure
scen_koudestart_s20,5,afhaker,1,1,44.633,48.347,0.0861,3.714,0.0005,3200,3642,,291,79.9346,0.0087,1,,measure
scen_koudestart_s20,6,gemiddelde,1,3,47.652,50.151,0.1903,2.4985,0.0005,8230,8795,,214,92.2791,0.0086,1,,measure
scen_koudestart_s20,2,doorpakker,1,6,47.015,50.516,0.1319,3.5014,0.0021,12024,12605,,272,80.426,0.0087,1,,measure
scen_koudestart_s20,19,gemiddelde,1,1,47.016,51.355,0.1823,4.3386,0.0011,6072,6565,,340,81.5618,0.0087,1,,measure
scen_koudestart_s20,5,afhaker,1,2,48.348,51.946,0.0881,3.597,0.0008,3418,3878,,331,94.0459,0.0088,1,,measure
scen_koudestart_s20,8,gemiddelde,1,0,49.418,52.067,0.208,2.648,0.0013,4261,4754,,210,85.6551,0.009,1,,measure
scen_koudestart_s20,19,gemiddelde,1,2,51.359,52.108,0.2017,0.7484,0.0005,7037,7544,,53,95.1064,0.0088,1,,measure
scen_koudestart_s20,2,doorpakker,1,7,50.518,52.541,0.1334,2.0238,0.0005,12235,12830,,189,99.4493,0.0089,1,,measure
scen_koudestart_s20,19,gemiddelde,1,3,52.108,52.906,0.1159,0.7981,0.0002,7204,7721,,75,108.4709,0.0086,1,,measure
scen_koudestart_s20,6,gemiddelde,1,4,50.152,53.888,0.1138,3.7358,0.0005,8497,9075,,341,93.8707,0.0089,1,,measure
scen_koudestart_s20,8,gemiddelde,1,1,52.067,54.218,0.1015,2.1499,0.0003,4489,4995,,153,74.2008,0.0089,1,,measure
scen_koudestart_s20,7,worstelaar,1,0,52.888,54.243,0.1763,1.3544,0.0013,3781,4235,,100,84.0342,0.0091,1,,measure
scen_koudestart_s20,19,gemiddelde,1,4,52.907,54.463,0.2805,1.555,0.0005,7441,7971,,108,83.9538,0.009,1,,measure
scen_koudestart_s20,16,doorpakker,1,2,48.094,54.489,0.0959,6.3946,0.0003,9358,9956,,498,78.9046,0.0089,1,,measure
scen_koudestart_s20,8,gemiddelde,1,2,54.218,55.092,0.1017,0.8733,0.0004,4705,5227,,67,85.5266,0.0092,1,,measure
scen_koudestart_s20,8,gemiddelde,1,3,55.094,55.978,0.0928,0.8837,0.0005,4981,5517,,56,69.5355,0.0092,1,,measure
scen_koudestart_s20,19,gemiddelde,1,5,54.466,56.193,0.1229,1.7268,0.0005,8074,8618,,107,66.0894,0.0092,1,,measure
scen_koudestart_s20,9,gemiddelde,1,0,55.243,56.826,0.2726,1.5825,0.0012,5321,5762,,114,86.261,0.0092,1,,measure
scen_koudestart_s20,8,gemiddelde,1,4,55.979,57.527,0.1013,1.5472,0.0005,5311,5861,,117,80.2245,0.0092,1,,measure
scen_koudestart_s20,2,doorpakker,1,8,52.543,57.649,0.1356,5.1061,0.0002,12907,13519,,455,91.3381,0.0091,1,,measure
scen_koudestart_s20,9,gemiddelde,1,1,56.828,57.666,0.1006,0.8373,0.0005,5708,6163,,57,76.01,0.0093,1,,measure
scen_koudestart_s20,6,gemiddelde,1,5,53.897,58.252,0.2612,4.3538,0.0009,11003,11599,,341,83.0784,0.0092,1,,measure
scen_koudestart_s20,16,doorpakker,1,3,54.495,58.908,0.2134,4.4119,0.0009,11115,11727,,312,74.0737,0.0092,1,,measure
scen_koudestart_s20,7,worstelaar,1,1,54.244,59.229,0.1314,4.9857,0.0003,3988,4455,,402,82.6078,0.0092,1,,measure
scen_koudestart_s20,8,gemiddelde,1,5,57.527,59.461,0.0865,1.9328,0.0003,5522,6084,,152,81.7827,0.009,1,,measure
scen_koudestart_s20,16,doorpakker,1,4,58.909,60.107,0.1347,1.1981,0.0005,11317,11943,,83,77.1071,0.009,1,,measure
scen_koudestart_s20,9,gemiddelde,1,2,57.668,60.348,0.1805,2.6794,0.0002,6691,7159,,178,70.8307,0.009,1,,measure
scen_koudestart_s20,7,worstelaar,1,2,59.231,60.646,0.0928,1.4152,0.0005,4198,4678,,115,86.2059,0.0091,1,,measure
scen_koudestart_s20,6,gemiddelde,1,6,58.255,61.152,0.1423,2.8964,0.0005,11834,12448,,266,96.2189,0.009,1,,measure
