run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
scen_koudestart_s30,29,gemiddelde,1,4.001,8.423,4,0,6736,0,0,measure
scen_koudestart_s30,5,gemiddelde,1,8.709,8.081,4,0,6731,0,0,measure
scen_koudestart_s30,27,worstelaar,1,31.395,6.046,3,0,3774,0,0,measure
scen_koudestart_s30,6,worstelaar,1,45.167,8.172,4,0,3415,0,0,measure
scen_koudestart_s30,9,afhaker,1,42.813,11.768,3,0,4282,0,0,measure
scen_koudestart_s30,26,gemiddelde,1,10.231,49.316,11,0,13419,0,0,measure
scen_koudestart_s30,10,afhaker,1,20.792,41.081,4,0,3912,0,0,measure
scen_koudestart_s30,22,gemiddelde,1,41.66,21.308,7,0,7591,0,0,measure
scen_koudestart_s30,11,gemiddelde,1,55.234,8.074,4,0,6059,0,0,measure
scen_koudestart_s30,14,worstelaar,1,62.26,17.004,4,0,4791,0,0,measure
scen_koudestart_s30,5,gemiddelde,2,54.906,26.984,10,0,7359,1,0,measure
scen_koudestart_s30,0,worstelaar,1,67.334,14.581,4,0,3672,0,0,measure
scen_koudestart_s30,15,gemiddelde,1,49.435,36.271,7,0,10474,0,0,measure
scen_koudestart_s30,23,worstelaar,1,81.22,9.205,3,0,5276,0,0,measure
scen_koudestart_s30,1,gemiddelde,1,77.963,13.428,4,0,6303,0,0,measure
scen_koudestart_s30,13,gemiddelde,1,45.456,49.911,6,0,7560,0,0,measure
scen_koudestart_s30,20,doorpakker,1,44.093,51.295,13,0,13318,0,0,measure
scen_koudestart_s30,19,afhaker,1,93.58,17.807,4,0,3538,0,0,measure
scen_koudestart_s30,8,doorpakker,1,27.918,87.844,17,0,18376,0,0,measure
scen_koudestart_s30,24,worstelaar,1,106.807,21.525,3,0,6083,0,0,measure
scen_koudestart_s30,29,gemiddelde,2,99.031,29.746,4,0,10638,1,0,measure
scen_koudestart_s30,3,gemiddelde,1,93.879,36.083,10,0,8128,0,0,measure
scen_koudestart_s30,4,worstelaar,1,111.872,21.567,3,0,4620,0,0,measure
scen_koudestart_s30,16,gemiddelde,1,0.657,134.134,10,0,25307,0,0,measure
scen_koudestart_s30,28,doorpakker,1,82.898,55.949,15,0,13428,0,0,measure
scen_koudestart_s30,11,gemiddelde,2,123.457,20.978,4,0,5356,1,0,measure
scen_koudestart_s30,18,gemiddelde,1,52.893,93.216,4,0,16423,0,0,measure
scen_koudestart_s30,25,doorpakker,1,69.254,77.793,18,0,14958,0,0,measure
scen_koudestart_s30,17,gemiddelde,1,8.724,139.735,11,0,19761,0,0,measure
scen_koudestart_s30,21,gemiddelde,1,32.413,116.25,10,0,29559,0,0,measure
scen_koudestart_s30,22,gemiddelde,2,127.274,22.906,8,0,10603,0,0,measure
scen_koudestart_s30,1,gemiddelde,2,130.227,20.888,6,0,8161,1,0,measure
scen_koudestart_s30,12,gemiddelde,1,72.526,83.782,8,0,26197,0,0,measure
scen_koudestart_s30,7,doorpakker,1,43.563,114.808,13,0,12512,0,0,measure
scen_koudestart_s30,20,doorpakker,2,129.051,32.103,11,0,10438,1,0,measure
scen_koudestart_s30,5,gemiddelde,3,130.697,36.3,11,0,6806,1,0,measure
scen_koudestart_s30,26,gemiddelde,2,122.092,46.378,6,0,12290,1,0,measure
scen_koudestart_s30,28,doorpakker,2,151.907,26.556,11,0,10339,1,0,measure
scen_koudestart_s30,1,gemiddelde,3,181.736,6.495,4,0,7714,1,0,measure
scen_koudestart_s30,15,gemiddelde,2,141.429,47.566,11,0,15548,1,0,measure
scen_koudestart_s30,25,doorpakker,2,165.759,27.467,13,0,12701,1,0,measure
scen_koudestart_s30,8,doorpakker,2,152.476,55.269,13,0,19841,1,0,measure
scen_koudestart_s30,20,doorpakker,3,194.57,29.162,13,0,14961,0,0,measure
scen_koudestart_s30,11,gemiddelde,3,205.495,32.142,6,0,7080,0,0,measure
scen_koudestart_s30,7,doorpakker,2,231.069,13.976,3,0,10007,1,0,measure
scen_koudestart_s30,21,gemiddelde,2,227.91,17.634,2,0,25506,1,0,measure
scen_koudestart_s30,28,doorpakker,3,201.264,44.549,11,0,14613,0,0,measure
scen_koudestart_s30,25,doorpakker,3,225.951,20.334,4,0,8633,1,0,measure
scen_koudestart_s30,27,worstelaar,2,229.666,17.883,3,0,4253,1,0,measure
scen_koudestart_s30,18,gemiddelde,2,219.974,28.171,3,0,20159,1,0,measure
scen_koudestart_s30,8,doorpakker,3,221.94,26.783,2,0,11507,1,0,measure
scen_koudestart_s30,29,gemiddelde,3,230.881,18.697,2,0,12057,1,0,measure
scen_koudestart_s30,12,gemiddelde,2,195.667,54.719,6,0,36676,1,0,measure
scen_koudestart_s30,26,gemiddelde,3,232.396,18.856,3,0,7531,1,0,measure
scen_koudestart_s30,16,gemiddelde,2,180.091,77.096,6,0,45893,1,0,measure
