run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_lange_sessies,1,worstelaar,1,0,4.453,8.914,1.2185,4.4612,0.0004,21380,22289,,399,122.7375,0.0066,1,,warmup
scen_lange_sessies,1,worstelaar,1,1,8.916,10.235,0.1445,1.3189,0.0005,21664,22586,,144,121.768,0.0066,1,,warmup
scen_lange_sessies,1,worstelaar,1,2,10.236,11.68,0.1343,1.4434,0.0005,21936,22860,,182,138.2674,0.0066,1,,warmup
scen_lange_sessies,1,worstelaar,1,3,11.682,12.64,0.1604,0.9577,0.0005,22467,23405,,122,151.7746,0.0066,1,,warmup
scen_lange_sessies,4,gemiddelde,1,0,41.569,50.765,6.031,9.1958,0.0005,39009,40386,,182,57.1927,0.0151,1,,warmup
scen_lange_sessies,5,doorpakker,1,0,22.234,51.305,17.9026,29.0713,0.0004,76762,78191,,269,23.9957,0.0152,1,,warmup
scen_lange_sessies,0,gemiddelde,1,0,34.758,55.266,9.5516,20.5072,0.0004,43493,45143,,240,21.8154,0.0155,1,,warmup
scen_lange_sessies,2,doorpakker,1,0,14.172,56.476,10.7927,42.3034,0.0005,73936,76418,,400,12.6623,0.03,1,,warmup
scen_lange_sessies,0,gemiddelde,1,1,55.267,57.864,0.3124,2.5965,0.0005,43724,45387,,92,39.8391,0.0155,1,,warmup
scen_lange_sessies,2,doorpakker,1,1,56.479,60.46,0.5407,3.9799,0.0004,74845,77340,,192,55.5367,0.0152,1,,warmup
scen_lange_sessies,4,gemiddelde,1,1,50.766,60.548,0.2866,9.7818,0.0005,39303,40694,,466,48.9721,0.0154,1,,warmup
scen_lange_sessies,0,gemiddelde,1,2,57.868,62.037,0.3657,4.168,0.0005,44815,46495,,155,40.502,0.0154,1,,warmup
scen_lange_sessies,4,gemiddelde,1,2,60.55,62.338,0.4494,1.7877,0.0005,39629,41033,,52,38.108,0.0152,1,,warmup
scen_lange_sessies,2,doorpakker,1,2,60.461,63.399,0.4056,2.9376,0.0005,75211,77720,,59,22.9062,0.0153,1,,warmup
scen_lange_sessies,3,gemiddelde,1,0,21.916,64.583,6.8862,42.6672,0.0004,42720,44188,,963,26.8857,0.0153,1,,warmup
scen_lange_sessies,2,doorpakker,1,3,63.401,66.113,0.3918,2.7126,0.0005,75429,77946,,104,44.3817,0.0153,1,,warmup
scen_lange_sessies,4,gemiddelde,1,3,62.339,66.985,0.2882,4.6459,0.0005,39856,41262,,216,49.339,0.0154,1,,warmup
scen_lange_sessies,0,gemiddelde,1,3,62.038,67.302,0.2945,5.264,0.0005,45054,46747,,231,46.2824,0.0154,1,,warmup
scen_lange_sessies,4,gemiddelde,1,4,66.987,68.319,0.3069,1.332,0.0003,40313,41733,,53,50.7244,0.0155,1,,warmup
scen_lange_sessies,2,doorpakker,1,4,66.114,70.564,0.3953,4.4498,0.0003,75682,78213,,179,43.9014,0.0156,1,,warmup
scen_lange_sessies,4,gemiddelde,1,5,68.32,71.122,0.2732,2.8022,0.0003,40498,41931,,156,61.2906,0.0156,1,,warmup
scen_lange_sessies,2,doorpakker,1,5,70.565,72.552,0.3808,1.9861,0.0003,75901,78445,,96,59.1785,0.0158,1,,warmup
scen_lange_sessies,4,gemiddelde,1,6,71.123,73.198,0.2875,2.0742,0.0005,40732,42183,,105,58.2087,0.0158,1,,warmup
scen_lange_sessies,2,doorpakker,1,6,72.553,74.67,0.4537,2.1169,0.0006,76144,78692,,99,58.9214,0.0158,1,,warmup
scen_lange_sessies,4,gemiddelde,1,7,73.199,77.489,0.307,4.2893,0.0006,40981,42439,,224,55.9971,0.0158,1,,warmup
scen_lange_sessies,3,gemiddelde,1,1,64.585,80.284,0.3097,15.6984,0.0005,43007,44488,,878,56.9898,0.0156,1,,warmup
scen_lange_sessies,5,doorpakker,1,1,51.313,82.157,0.706,30.8436,0.0006,78499,79944,,1724,57.1711,0.0155,1,,warmup
scen_lange_sessies,2,doorpakker,1,7,74.672,82.737,0.4267,8.0639,0.0004,76657,79219,,448,58.5287,0.0155,1,,warmup
scen_lange_sessies,0,gemiddelde,1,4,67.303,82.79,0.3095,15.4867,0.0003,45300,47009,,539,35.4479,0.0306,1,,warmup
scen_lange_sessies,2,doorpakker,1,8,82.738,84.73,0.4122,1.9917,0.0004,76919,79494,,97,60.7785,0.0147,1,,warmup
scen_lange_sessies,2,doorpakker,1,9,84.731,88.038,0.3968,3.306,0.0004,77199,79786,,197,67.3707,0.0149,1,,warmup
scen_lange_sessies,5,doorpakker,1,2,82.16,88.908,0.4364,6.7475,0.0005,79144,80605,,348,54.9828,0.0148,1,,warmup
scen_lange_sessies,2,doorpakker,1,10,88.039,91.883,0.4013,3.8437,0.0005,77404,80005,,211,61.0051,0.015,1,,warmup
scen_lange_sessies,2,doorpakker,1,11,91.886,95.163,0.4477,3.2767,0.0005,77938,80553,,169,59.3849,0.0151,1,,measure
scen_lange_sessies,3,gemiddelde,1,2,80.289,97.728,0.3369,17.4396,0.0005,44023,45521,,973,56.8332,0.0149,1,,warmup
scen_lange_sessies,0,gemiddelde,1,5,82.791,98.626,0.4741,15.8345,0.0004,45538,47263,,818,53.1888,0.0149,1,,warmup
scen_lange_sessies,0,gemiddelde,1,6,98.628,100.494,0.3254,1.865,0.0005,46019,47756,,106,68.1982,0.0129,1,,measure
scen_lange_sessies,5,doorpakker,1,3,88.912,109.16,0.5405,20.2483,0.0005,80101,81579,,1359,68.9066,0.0132,1,,warmup
scen_lange_sessies,0,gemiddelde,1,7,100.495,110.048,0.3143,9.5531,0.0005,46267,48018,,451,48.7074,0.0133,1,,measure
scen_lange_sessies,5,doorpakker,1,4,109.165,120.051,0.7823,10.8852,0.0004,82087,83579,,780,77.1071,0.0118,1,,measure
scen_lange_sessies,5,doorpakker,1,5,120.052,125.038,0.3983,4.9855,0.0005,82342,83846,,366,79.5701,0.0118,1,,measure
scen_lange_sessies,5,doorpakker,1,6,125.052,135.18,1.5796,10.127,0.0005,86506,88026,,619,72.3022,0.0123,1,,measure
scen_lange_sessies,5,doorpakker,1,7,135.185,139.884,0.6238,4.699,0.0005,87736,89273,,332,81.2227,0.0123,1,,measure
scen_lange_sessies,2,doorpakker,2,0,146.512,148.344,0.4048,1.8322,0.0005,78170,80794,,103,71.4618,0.0141,1,,measure
scen_lange_sessies,2,doorpakker,2,1,148.346,151.271,0.3912,2.9248,0.0005,78684,81322,,177,69.4681,0.0142,1,,measure
scen_lange_sessies,5,doorpakker,1,8,139.895,153.338,1.2567,13.4426,0.0005,90967,92522,,873,71.5583,0.0128,1,,measure
scen_lange_sessies,2,doorpakker,2,2,151.273,156.527,0.4118,5.2539,0.0005,78957,81597,,391,80.5432,0.0117,1,,measure
scen_lange_sessies,2,doorpakker,2,3,156.528,158.155,0.3832,1.6263,0.0005,79205,81853,,108,86.0763,0.0117,1,,measure
scen_lange_sessies,2,doorpakker,2,4,158.156,166.001,0.3807,7.8449,0.0005,79498,82159,,598,79.9818,0.0117,1,,measure
scen_lange_sessies,2,doorpakker,2,5,166.003,169.224,0.4093,3.2204,0.0005,79949,82623,,241,85.3757,0.0117,1,,measure
scen_lange_sessies,2,doorpakker,2,6,169.225,171.463,0.4099,2.2377,0.0005,80235,82922,,157,85.3499,0.0118,1,,measure
scen_lange_sessies,2,doorpakker,2,7,171.465,179.254,0.4128,7.7891,0.0005,80474,83174,,627,84.8672,0.0118,1,,measure
scen_lange_sessies,2,doorpakker,2,8,179.255,181.74,0.3999,2.4845,0.0005,80721,83435,,178,84.9103,0.0118,1,,measure
