run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
shared_50_c64k,14,worstelaar,1,0,2.055,3.059,0.3178,1.0036,0.0012,9893,10490,,78,112.268,0.0073,1,,warmup
shared_50_c64k,14,worstelaar,1,1,3.061,7.584,0.1185,4.5225,0.0003,10443,11053,,219,49.5007,0.0073,1,,warmup
shared_50_c64k,1,gemiddelde,1,0,4.501,11.709,2.7565,7.2084,0.0011,21816,22751,,308,68.9601,0.009,1,,warmup
shared_50_c64k,12,gemiddelde,1,0,4.441,11.799,1.8329,7.3584,0.0604,24031,24732,,475,85.7845,0.009,1,,warmup
shared_50_c64k,13,worstelaar,1,0,0.412,13.501,1.1335,13.0894,0.0004,17979,18849,,887,74.1055,0.0089,1,,warmup
shared_50_c64k,1,gemiddelde,1,1,11.719,14.079,0.1571,2.3594,0.0005,22101,23049,,142,64.024,0.0095,1,,warmup
shared_50_c64k,1,gemiddelde,1,2,14.079,21.582,3.7087,7.5021,0.0002,22355,23305,,167,43.7601,0.0111,1,,warmup
shared_50_c64k,6,gemiddelde,1,0,16.307,31.733,2.7548,15.4255,0.0005,28569,29738,,257,20.2041,0.0112,1,,warmup
shared_50_c64k,13,worstelaar,1,1,13.504,32.039,0.1599,18.5354,0.0003,18487,19374,,312,16.9247,0.0112,1,,warmup
shared_50_c64k,1,gemiddelde,1,3,21.584,32.675,0.3017,11.0902,0.0005,22870,23834,,104,9.5471,0.0146,1,,warmup
shared_50_c64k,7,worstelaar,1,0,26.531,33.469,3.9048,6.9374,0.0004,17323,18115,,93,30.3367,0.0147,1,,warmup
shared_50_c64k,19,gemiddelde,1,0,22.837,33.92,6.0581,11.0828,0.0004,30664,31872,,119,23.4838,0.0148,1,,warmup
shared_50_c64k,9,gemiddelde,1,0,27.714,34.007,3.8179,6.2928,0.0004,24449,25475,,111,44.4474,0.0146,1,,warmup
shared_50_c64k,5,afhaker,1,0,20.883,36.01,0.4857,15.127,0.0009,11156,11805,,259,17.6213,0.0148,1,,warmup
shared_50_c64k,9,gemiddelde,1,1,34.009,36.374,0.2289,2.365,0.0005,24828,25868,,64,29.4941,0.0148,1,,warmup
shared_50_c64k,16,doorpakker,1,0,22.178,36.975,5.0744,14.7964,0.0006,44726,46428,,231,23.6576,0.0148,1,,warmup
shared_50_c64k,8,gemiddelde,1,0,24.8,37.421,4.9732,12.621,0.0004,21544,22466,,230,29.9429,0.0148,1,,warmup
shared_50_c64k,16,doorpakker,1,1,36.977,38.923,0.2848,1.9452,0.0005,45320,47036,,72,42.7623,0.0156,1,,warmup
shared_50_c64k,11,afhaker,1,0,36.318,40.356,0.5533,4.038,0.0017,10839,11553,,118,33.5753,0.0156,1,,warmup
shared_50_c64k,6,gemiddelde,1,1,31.736,41.195,0.2104,9.4587,0.0005,29063,30250,,300,32.3301,0.0152,1,,warmup
shared_50_c64k,8,gemiddelde,1,1,37.422,42.116,0.1634,4.6935,0.0005,21776,22711,,131,28.6965,0.0156,1,,warmup
shared_50_c64k,9,gemiddelde,1,2,36.378,45.263,0.5905,8.8846,0.0005,25815,26869,,132,15.7943,0.0159,1,,warmup
shared_50_c64k,8,gemiddelde,1,2,42.117,45.936,2.7649,3.818,0.0005,22009,22959,,42,38.933,0.0165,1,,warmup
shared_50_c64k,5,afhaker,1,1,36.014,46.817,0.1731,10.8019,0.0007,11927,12590,,288,27.0021,0.0159,1,,warmup
shared_50_c64k,7,worstelaar,1,1,33.47,46.818,0.1708,13.3458,0.0005,17534,18339,,403,30.5122,0.0156,1,,warmup
shared_50_c64k,19,gemiddelde,1,1,33.922,46.88,0.2207,12.9576,0.0005,30953,32173,,412,32.2685,0.0157,1,,warmup
shared_50_c64k,8,gemiddelde,1,3,45.937,47.954,0.222,2.0169,0.0005,22267,23230,,44,23.9572,0.0158,1,,warmup
shared_50_c64k,1,gemiddelde,1,4,32.676,48.232,0.222,15.5554,0.0005,23066,24038,,381,24.7825,0.0154,1,,warmup
shared_50_c64k,19,gemiddelde,1,2,46.884,49.107,0.3061,2.2226,0.0005,31920,33154,,58,29.7415,0.0159,1,,warmup
