t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789119527.7666,106589097.0,100442640.0,0.0,0.0,0.0,0.0,106589097.0,1451258.0,4074.0,7597715.0,
2.08,1789119529.8284,106618250.0,100458288.0,0.0,0.052,1.0,0.0,106618250.0,1451294.0,4074.0,7611256.0,0.5368
4.1,1789119531.843,106650200.0,100482592.0,0.0,0.0662,2.0,0.0,106650200.0,1451645.0,4075.0,7619253.0,0.7607
6.11,1789119533.8565,106688365.0,100495104.0,0.0,0.116,3.0,1.0,106650200.0,1451811.0,4075.0,7619419.0,0.3278
8.13,1789119535.8709,106722724.0,100512512.0,0.0,0.152,4.0,0.0,106688365.0,1451833.0,4075.0,7645094.0,0.5067
10.14,1789119537.8857,106722724.0,100512512.0,0.0,0.1666,4.0,0.0,106722724.0,1452201.0,4075.0,7662413.0,
12.16,1789119539.8988,106722724.0,100512512.0,0.0,0.1534,3.0,0.0,106722724.0,1452799.0,4076.0,7663011.0,
14.17,1789119541.9152,106722724.0,100512512.0,0.0,0.1545,3.0,0.0,106722724.0,1453396.0,4076.0,7663608.0,
16.18,1789119543.9279,106788811.0,100536160.0,0.0,0.0969,2.0,2.0,106722724.0,1453449.0,4078.0,7663661.0,0.3578
18.2,1789119545.9416,106788811.0,100536160.0,0.0,0.1188,2.0,3.0,106722724.0,1453455.0,4078.0,7663667.0,
20.21,1789119547.9546,106788811.0,100536160.0,0.0,0.137,2.0,3.0,106722724.0,1453460.0,4078.0,7663672.0,
22.23,1789119549.9702,106911818.0,100631824.0,0.0,0.2554,5.0,1.0,106865921.0,1453476.0,4078.0,7710581.0,0.7777
24.24,1789119551.985,106911818.0,100631824.0,0.0,0.281,5.0,4.0,106865921.0,1453504.0,4078.0,7710609.0,
26.25,1789119553.9977,106979334.0,100661664.0,0.0,0.3139,7.0,3.0,106930067.0,1453549.0,4078.0,7741424.0,0.442
28.27,1789119556.0099,106979334.0,100661664.0,0.0,0.3395,7.0,4.0,106930067.0,1453591.0,4078.0,7741466.0,
30.28,1789119558.0254,107052621.0,100695328.0,0.0,0.365,8.0,4.0,106979334.0,1453635.0,4078.0,7771305.0,0.4593
32.3,1789119560.0418,107052621.0,100695328.0,0.0,0.3869,8.0,4.0,106979334.0,1453677.0,4078.0,7771347.0,
34.31,1789119562.0504,107052621.0,100695328.0,0.0,0.4051,8.0,4.0,106979334.0,1453712.0,4078.0,7771382.0,
36.36,1789119564.1027,107052621.0,100695328.0,0.0,0.4197,8.0,5.0,106979334.0,1453740.0,4078.0,7771410.0,
38.37,1789119566.116,107102100.0,100720336.0,0.0,0.4416,9.0,5.0,107052621.0,1453786.0,4078.0,7811079.0,0.5054
40.39,1789119568.1311,107102100.0,100720336.0,0.0,0.4673,9.0,6.0,107052621.0,1453842.0,4078.0,7811135.0,
42.4,1789119570.1449,107137032.0,100738768.0,0.0,0.4964,10.0,6.0,107102100.0,1453913.0,4078.0,7835677.0,0.5277
44.41,1789119572.1585,107204849.0,100773936.0,0.0,0.5257,12.0,4.0,107137032.0,1453991.0,4078.0,7852255.0,0.5186
46.43,1789119574.1715,107204849.0,100773936.0,0.0,0.5549,12.0,4.0,107165265.0,1454079.0,4078.0,7865904.0,
48.44,1789119576.1881,107242598.0,100792368.0,0.0,0.5841,13.0,4.0,107204849.0,1454173.0,4078.0,7885086.0,0.4883
50.46,1789119578.2025,107297897.0,100822208.0,0.0,0.6169,15.0,2.0,107260658.0,1454289.0,4078.0,7912211.0,0.5396
52.48,1789119580.2193,107368894.0,100858208.0,0.0,0.6462,16.0,1.0,107297897.0,1454402.0,4078.0,7930091.0,0.5071
