run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
act_intensief_s10,3,gemiddelde,1,0,4.424,13.367,2.7128,8.9424,0.0007,14754,15533,,380,60.8385,0.0127,1,,warmup
act_intensief_s10,4,gemiddelde,1,0,4.398,13.603,1.4848,9.2054,0.0268,14233,14739,,443,57.2493,0.0127,1,,warmup
act_intensief_s10,3,gemiddelde,1,1,13.368,17.391,0.1841,4.0231,0.0004,15044,15836,,162,41.9384,0.016,1,,warmup
act_intensief_s10,3,gemiddelde,1,2,17.392,20.836,0.1652,3.4437,0.0004,15260,16060,,182,55.207,0.0164,1,,warmup
act_intensief_s10,3,gemiddelde,1,3,20.838,28.984,0.2169,8.1461,0.0005,15560,16374,,103,12.8639,0.0228,1,,warmup
act_intensief_s10,0,doorpakker,1,0,22.09,33.556,3.9607,11.4657,0.0002,18670,19553,,215,28.5144,0.0233,1,,warmup
act_intensief_s10,7,gemiddelde,1,0,22.776,35.616,4.3677,12.8397,0.0005,14716,15456,,258,30.3351,0.0232,1,,warmup
act_intensief_s10,0,doorpakker,1,1,33.557,38.936,0.2237,5.3786,0.0004,18913,19810,,75,14.3553,0.0254,1,,warmup
act_intensief_s10,1,gemiddelde,1,0,24.75,45.607,3.0661,20.8565,0.0004,10686,11361,,376,21.0788,0.0243,1,,warmup
act_intensief_s10,6,worstelaar,1,0,39.002,47.118,0.5661,8.1155,0.001,6890,7474,,121,15.8954,0.0295,1,,warmup
act_intensief_s10,8,doorpakker,1,0,34.663,47.716,2.857,13.0525,0.0004,21545,22467,,212,20.6955,0.0291,1,,warmup
act_intensief_s10,3,gemiddelde,1,4,28.986,49.741,0.1943,20.7548,0.0005,15772,16604,,494,23.978,0.0264,1,,warmup
act_intensief_s10,8,doorpakker,1,1,47.717,50.101,0.2843,2.3837,0.0005,21773,22709,,48,22.3877,0.0309,1,,warmup
act_intensief_s10,9,doorpakker,1,0,41.483,51.466,3.1281,9.9821,0.0005,22618,23553,,170,24.657,0.0305,1,,warmup
act_intensief_s10,8,doorpakker,1,2,50.103,54.096,0.296,3.9928,0.0004,22170,23120,,99,26.5093,0.0309,1,,warmup
act_intensief_s10,5,doorpakker,1,0,14.013,54.668,0.7792,40.6542,0.0003,21447,22317,,982,24.6019,0.0236,1,,warmup
act_intensief_s10,3,gemiddelde,1,5,49.742,58.187,0.2209,8.4444,0.0005,15973,16821,,218,26.3876,0.0309,1,,warmup
act_intensief_s10,4,gemiddelde,1,1,13.615,58.315,1.1768,44.6999,0.0006,18605,19129,,1092,25.0672,0.0246,1,,warmup
act_intensief_s10,8,doorpakker,1,3,54.099,60.271,0.4242,6.1708,0.0005,23000,23964,,105,18.0976,0.0313,1,,warmup
act_intensief_s10,1,gemiddelde,1,1,45.608,63.142,0.2082,17.5335,0.0005,11068,11756,,381,21.9333,0.0309,1,,warmup
act_intensief_s10,0,doorpakker,1,2,38.937,63.848,0.2301,24.9111,0.0005,19120,20033,,532,21.5145,0.0312,1,,warmup
act_intensief_s10,5,doorpakker,1,1,54.675,64.526,0.581,9.8509,0.0005,22935,23822,,220,23.625,0.0315,1,,warmup
act_intensief_s10,6,worstelaar,1,1,47.119,65.223,0.1847,18.1029,0.0007,7181,7780,,367,20.4261,0.0312,1,,warmup
act_intensief_s10,7,gemiddelde,1,1,35.617,68.609,1.9034,32.9919,0.0004,14999,15752,,702,22.5485,0.0308,1,,warmup
act_intensief_s10,9,doorpakker,1,1,51.467,71.333,0.2729,19.8662,0.0005,22913,23862,,189,9.5951,0.0324,1,,warmup
act_intensief_s10,5,doorpakker,1,2,64.527,71.878,0.2049,7.351,0.0004,23129,24024,,179,24.9089,0.0315,1,,warmup
act_intensief_s10,3,gemiddelde,1,6,58.188,72.479,0.2419,14.2905,0.0005,16235,17087,,349,24.7711,0.0318,1,,warmup
act_intensief_s10,9,doorpakker,1,2,71.335,74.244,0.2476,2.909,0.0003,23218,24182,,44,16.1568,0.0314,1,,warmup
act_intensief_s10,8,doorpakker,1,4,60.272,76.277,0.2413,16.0049,0.0005,23218,24186,,398,25.1845,0.0314,1,,warmup
act_intensief_s10,3,gemiddelde,1,7,72.48,76.914,0.2055,4.4338,0.0003,16474,17325,,111,26.0153,0.0315,1,,warmup
act_intensief_s10,0,doorpakker,1,3,63.85,77.528,0.241,13.6776,0.0005,19340,20266,,345,25.6016,0.0315,1,,warmup
act_intensief_s10,4,gemiddelde,1,2,58.322,77.864,1.0418,19.5407,0.0004,21711,22249,,485,26.1638,0.0313,1,,warmup
act_intensief_s10,7,gemiddelde,1,2,68.613,78.308,0.349,9.6949,0.0005,16032,16803,,169,17.9759,0.0313,1,,warmup
act_intensief_s10,5,doorpakker,1,3,71.879,78.447,0.2645,6.5673,0.0004,23432,24340,,175,27.607,0.0307,1,,warmup
act_intensief_s10,1,gemiddelde,1,2,63.144,79.366,0.2427,16.2218,0.0003,11614,12315,,432,26.9728,0.0314,1,,warmup
act_intensief_s10,0,doorpakker,1,4,77.531,81.031,0.3312,3.5003,0.0005,20027,20967,,91,28.3987,0.0262,1,,warmup
act_intensief_s10,9,doorpakker,1,3,74.245,82.354,0.2463,8.1088,0.0004,23407,24389,,184,23.2749,0.032,1,,warmup
act_intensief_s10,0,doorpakker,1,5,81.032,84.181,0.2575,3.1496,0.0002,20271,21225,,86,29.3904,0.0263,1,,warmup
act_intensief_s10,9,doorpakker,1,4,82.356,84.207,0.3028,1.8513,0.0004,23785,24781,,49,30.9981,0.0261,1,,warmup
act_intensief_s10,5,doorpakker,1,4,78.448,84.549,0.2863,6.1003,0.0004,23657,24581,,168,28.7236,0.0263,1,,warmup
act_intensief_s10,1,gemiddelde,1,3,79.367,84.568,0.1954,5.2008,0.0005,11839,12557,,139,27.5701,0.0262,1,,warmup
act_intensief_s10,0,doorpakker,1,6,84.183,87.463,0.254,3.2804,0.0004,20547,21514,,86,28.0867,0.0256,1,,warmup
act_intensief_s10,9,doorpakker,1,5,84.208,88.884,0.3283,4.6755,0.0004,23982,24982,,145,33.1253,0.025,1,,warmup
act_intensief_s10,5,doorpakker,1,5,84.551,90.316,0.3841,5.7645,0.0004,24328,25269,,181,33.4547,0.0251,1,,warmup
act_intensief_s10,9,doorpakker,1,6,88.885,91.882,0.2086,2.9965,0.0005,24218,25218,,108,38.3792,0.0254,1,,warmup
act_intensief_s10,1,gemiddelde,1,4,84.571,92.707,0.4957,8.1357,0.0004,12485,13217,,214,27.8795,0.0252,1,,warmup
act_intensief_s10,0,doorpakker,1,7,87.465,93.302,0.2709,5.8371,0.0004,20922,21903,,193,34.4937,0.0251,1,,warmup
act_intensief_s10,8,doorpakker,1,5,76.278,94.156,0.2395,17.8775,0.0006,23425,24407,,525,29.7087,0.0259,1,,warmup
act_intensief_s10,7,gemiddelde,1,3,78.31,95.112,0.2978,16.8012,0.0005,16677,17462,,574,34.72,0.0256,1,,warmup
act_intensief_s10,8,doorpakker,1,6,94.157,96.381,0.2197,2.2235,0.0004,23673,24657,,88,43.4175,0.0229,1,,measure
act_intensief_s10,2,gemiddelde,1,0,21.827,97.43,2.0832,75.6025,0.0004,17051,17674,,1885,25.6259,0.0275,1,,warmup
act_intensief_s10,9,doorpakker,1,7,91.883,98.214,0.2127,6.3308,0.0004,24446,25458,,226,36.776,0.0231,1,,measure
act_intensief_s10,5,doorpakker,1,6,90.317,99.322,0.2227,9.005,0.0005,24560,25514,,272,30.8575,0.0241,1,,measure
act_intensief_s10,8,doorpakker,1,7,96.382,103.06,0.1898,6.6778,0.0003,23873,24870,,218,33.446,0.0222,1,,measure
act_intensief_s10,5,doorpakker,1,7,99.324,104.086,0.2073,4.7618,0.0004,24776,25744,,163,35.569,0.0224,1,,measure
act_intensief_s10,9,doorpakker,1,8,98.216,104.661,0.3021,6.4447,0.0006,24869,25895,,203,32.8851,0.0224,1,,measure
act_intensief_s10,9,doorpakker,1,9,104.661,106.417,0.1758,1.755,0.0002,25044,26082,,73,45.5924,0.0221,1,,measure
act_intensief_s10,0,doorpakker,1,8,93.304,108.058,0.2554,14.7543,0.0004,21209,22204,,572,39.3822,0.0224,1,,measure
act_intensief_s10,8,doorpakker,1,8,103.06,108.546,0.2246,5.4857,0.0002,24098,25109,,199,37.6346,0.0223,1,,measure
act_intensief_s10,9,doorpakker,1,10,106.42,112.249,0.4021,5.8296,0.0004,25894,26945,,236,43.2986,0.0196,1,,measure
act_intensief_s10,5,doorpakker,1,8,104.088,114.189,0.47,10.1008,0.0003,25766,26751,,251,25.9585,0.0206,1,,measure
act_intensief_s10,8,doorpakker,1,9,108.548,121.152,0.4449,12.6034,0.0003,25128,26152,,600,49.2658,0.0175,1,,measure
act_intensief_s10,5,doorpakker,1,9,114.191,122.782,0.2351,8.5908,0.0005,26132,27130,,358,42.7256,0.0173,1,,measure
