t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789046706.2696,125991533.0,109132528.0,8.0,0.0,0.0,0.0,125475363.0,2158989.0,5695.0,18578576.0,
2.05,1789046708.2942,126008399.0,109141072.0,8.0,0.0642,1.0,0.0,125475363.0,2158989.0,5695.0,18578576.0,0.5066
4.06,1789046710.3072,126019499.0,109147104.0,8.0,0.0646,1.0,0.0,125503329.0,2159189.0,5696.0,18592166.0,0.5434
6.07,1789046712.3209,126051373.0,109166752.0,8.0,0.1454,3.0,2.0,125515001.0,2159256.0,5696.0,18592737.0,0.6164
8.09,1789046714.3333,126071155.0,109177104.0,8.0,0.1913,4.0,1.0,125535203.0,2159269.0,5696.0,18604472.0,0.5233
10.1,1789046716.3457,126087898.0,109185584.0,8.0,0.2303,5.0,0.0,125554985.0,2159287.0,5696.0,18613920.0,0.5065
12.11,1789046718.357,126087898.0,109185584.0,8.0,0.2347,5.0,0.0,125571728.0,2159666.0,5696.0,18622562.0,
14.12,1789046720.3708,126087898.0,109185584.0,8.0,0.2367,5.0,0.0,125571728.0,2160166.0,5696.0,18623062.0,
16.14,1789046722.3829,126109092.0,109196944.0,8.0,0.2779,6.0,0.0,125571728.0,2160191.0,5696.0,18623087.0,0.536
18.15,1789046724.3997,126124044.0,109205488.0,8.0,0.3031,7.0,0.0,125607874.0,2160382.0,5696.0,18639520.0,0.5714
20.16,1789046726.4127,126135907.0,109217152.0,8.0,0.305,7.0,0.0,125619737.0,2160945.0,5697.0,18640282.0,0.9832
22.18,1789046728.4254,126168384.0,109233120.0,8.0,0.33,9.0,0.0,125628120.0,2161342.0,5697.0,18644806.0,0.4917
24.19,1789046730.4392,126168384.0,109233120.0,8.0,0.3613,9.0,2.0,125628120.0,2161374.0,5697.0,18644838.0,
26.2,1789046732.4516,126192091.0,109244480.0,8.0,0.3924,10.0,2.0,125652214.0,2161408.0,5697.0,18657254.0,0.4792
28.22,1789046734.4633,126208720.0,109253024.0,8.0,0.4236,11.0,2.0,125652214.0,2161444.0,5697.0,18657290.0,0.5138
30.23,1789046736.4743,126229147.0,109263392.0,8.0,0.4626,12.0,2.0,125692550.0,2161495.0,5697.0,18677773.0,0.5076
32.24,1789046738.486,126245448.0,109272384.0,8.0,0.5015,13.0,1.0,125712977.0,2161551.0,5697.0,18687888.0,0.5516
34.25,1789046740.4951,126258436.0,109279344.0,8.0,0.5373,14.0,0.0,125729278.0,2161614.0,5697.0,18695260.0,0.5359
36.28,1789046742.5287,126278215.0,109289712.0,8.0,0.5464,14.0,0.0,125742266.0,2161880.0,5698.0,18701554.0,0.5242
38.29,1789046744.5395,126304599.0,109310768.0,8.0,0.5715,15.0,0.0,125770873.0,2162217.0,5699.0,18715858.0,0.7981
40.3,1789046746.5523,126316443.0,109317696.0,8.0,0.592,16.0,0.0,125800273.0,2162707.0,5699.0,18722036.0,0.5849
42.32,1789046748.5646,126354358.0,109344480.0,8.0,0.6104,17.0,0.0,125815729.0,2163248.0,5700.0,18723041.0,0.7064
44.33,1789046750.5761,126370874.0,109360816.0,8.0,0.6362,17.0,0.0,125815729.0,2163310.0,5701.0,18723103.0,0.9891
46.34,1789046752.5833,126415414.0,109400896.0,8.0,0.5961,15.0,1.0,125874772.0,2163760.0,5705.0,18734660.0,0.8999
48.34,1789046754.5925,126462082.0,109439120.0,8.0,0.683,18.0,0.0,125929545.0,2163892.0,5705.0,18739613.0,0.8191
50.36,1789046756.6042,126471823.0,109447984.0,8.0,0.6888,18.0,0.0,125955653.0,2164592.0,5706.0,18749013.0,0.91
