t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789045407.6435,116213190.0,100029728.0,8.0,0.0,0.0,0.0,115697020.0,1979872.0,5234.0,17723916.0,
2.04,1789045409.6569,116213190.0,100029728.0,8.0,0.0,0.0,0.0,115697020.0,1979872.0,5234.0,17723916.0,
4.05,1789045411.6679,116213190.0,100029728.0,8.0,0.0,0.0,0.0,115697020.0,1979872.0,5234.0,17723916.0,
6.06,1789045413.6784,116229450.0,100042656.0,8.0,0.0583,2.0,0.0,115713280.0,1980065.0,5234.0,17727441.0,0.7951
8.07,1789045415.6893,116229450.0,100042656.0,8.0,0.0597,2.0,0.0,115713280.0,1980411.0,5234.0,17727787.0,
10.08,1789045417.6985,116229450.0,100042656.0,8.0,0.061,2.0,0.0,115713280.0,1980755.0,5234.0,17728131.0,
12.09,1789045419.7078,116250405.0,100059008.0,8.0,0.0758,2.0,0.0,115734235.0,1980968.0,5236.0,17732947.0,0.7803
14.1,1789045421.7213,116260245.0,100068688.0,8.0,0.0772,2.0,0.0,115744075.0,1981297.0,5237.0,17733436.0,0.9837
16.11,1789045423.7335,116282562.0,100080048.0,8.0,0.1365,3.0,0.0,115744075.0,1981311.0,5237.0,17733450.0,0.509
18.12,1789045425.7414,116282562.0,100080048.0,8.0,0.1402,3.0,0.0,115766392.0,1981571.0,5237.0,17744667.0,
20.13,1789045427.7557,116292722.0,100089904.0,8.0,0.142,3.0,0.0,115776552.0,1981926.0,5238.0,17745326.0,0.9701
22.14,1789045429.7656,116302643.0,100096832.0,8.0,0.1349,3.0,0.0,115776552.0,1982232.0,5239.0,17745632.0,0.6983
24.15,1789045431.7722,116321894.0,100106832.0,8.0,0.1744,5.0,0.0,115805724.0,1982395.0,5239.0,17758039.0,0.5195
26.16,1789045433.7785,116326257.0,100108832.0,8.0,0.1852,6.0,0.0,115810087.0,1982878.0,5239.0,17760885.0,0.4584
28.16,1789045435.7835,116326257.0,100108832.0,8.0,0.1873,6.0,0.0,115810087.0,1983436.0,5239.0,17761443.0,
30.17,1789045437.7943,116338717.0,100121104.0,8.0,0.1766,5.0,0.0,115822547.0,1983976.0,5241.0,17762171.0,0.9849
