run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
engine_kv_fp8,14,worstelaar,1,2.018,80.19,2,0,10623,0,0,warmup
engine_kv_fp8,9,gemiddelde,1,27.688,76.983,3,0,26002,0,0,warmup
engine_kv_fp8,7,worstelaar,1,26.491,83.148,2,0,17745,0,0,warmup
engine_kv_fp8,5,afhaker,1,20.866,91.86,2,0,12130,0,0,warmup
engine_kv_fp8,19,gemiddelde,1,22.775,96.815,4,0,32308,0,0,warmup
engine_kv_fp8,8,gemiddelde,1,24.777,95.31,5,0,22785,0,0,warmup
engine_kv_fp8,10,worstelaar,1,46.984,86.201,4,0,17350,0,0,measure
engine_kv_fp8,11,afhaker,1,36.302,113.074,2,0,13167,0,0,measure
engine_kv_fp8,18,gemiddelde,1,39.052,136.37,3,0,33483,0,0,measure
engine_kv_fp8,12,gemiddelde,1,4.439,179.941,3,0,36994,0,0,measure
engine_kv_fp8,1,gemiddelde,1,4.478,184.286,8,0,23964,0,0,measure
engine_kv_fp8,4,doorpakker,1,41.519,160.417,11,0,48457,0,0,measure
engine_kv_fp8,16,doorpakker,1,22.125,187.966,9,0,49175,0,0,measure
engine_kv_fp8,13,worstelaar,1,0.396,209.915,4,0,22019,0,0,measure
engine_kv_fp8,9,gemiddelde,2,188.86,26.604,3,0,27480,0,0,measure
engine_kv_fp8,6,gemiddelde,1,16.278,215.676,7,0,36359,0,0,measure
engine_kv_fp8,15,gemiddelde,1,34.682,239.915,8,0,26554,0,0,measure
engine_kv_fp8,8,gemiddelde,2,198.063,77.458,8,0,25406,0,0,measure
engine_kv_fp8,4,doorpakker,2,220.191,87.344,8,0,51204,0,0,measure
engine_kv_fp8,9,gemiddelde,3,300.948,22.208,4,0,28712,0,0,measure
engine_kv_fp8,2,doorpakker,1,14.043,313.114,12,0,51094,0,0,measure
engine_kv_fp8,16,doorpakker,2,257.186,110.838,8,0,52427,0,0,measure
engine_kv_fp8,7,worstelaar,2,347.957,23.593,2,0,19004,0,0,measure
engine_kv_fp8,17,gemiddelde,1,21.851,354.082,3,0,36291,0,0,measure
engine_kv_fp8,2,doorpakker,2,378.504,18.016,1,0,51351,0,0,measure
engine_kv_fp8,14,worstelaar,2,373.725,23.962,2,0,10353,0,1,measure
engine_kv_fp8,9,gemiddelde,4,383.002,15.557,2,0,29870,0,0,measure
engine_kv_fp8,4,doorpakker,3,339.456,61.248,4,0,52382,0,0,measure
engine_kv_fp8,6,gemiddelde,2,342.813,58.183,1,0,37238,0,0,measure
engine_kv_fp8,19,gemiddelde,2,361.215,41.19,3,0,33085,0,0,measure
engine_kv_fp8,13,worstelaar,2,338.954,68.058,1,0,18632,0,1,measure
engine_kv_fp8,12,gemiddelde,2,237.796,169.806,3,0,41431,1,0,measure
engine_kv_fp8,0,worstelaar,1,233.772,177.802,4,0,27466,0,0,measure
engine_kv_fp8,18,gemiddelde,2,229.829,193.054,3,0,31827,1,0,measure
