run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
engine_seqs_64,14,worstelaar,1,2.024,80.253,2,0,10630,0,0,warmup
engine_seqs_64,9,gemiddelde,1,27.678,95.545,3,0,26040,0,0,warmup
engine_seqs_64,7,worstelaar,1,26.506,106.297,2,0,17750,0,0,warmup
engine_seqs_64,5,afhaker,1,20.869,118.409,2,0,12130,0,0,warmup
engine_seqs_64,19,gemiddelde,1,22.779,119.599,4,0,32331,0,0,warmup
engine_seqs_64,8,gemiddelde,1,24.759,120.754,5,0,22815,0,0,warmup
engine_seqs_64,10,worstelaar,1,46.993,112.111,4,0,17347,0,0,measure
engine_seqs_64,11,afhaker,1,36.302,138.483,2,0,13180,0,0,measure
engine_seqs_64,18,gemiddelde,1,39.048,158.001,3,0,33507,0,0,measure
engine_seqs_64,12,gemiddelde,1,4.424,202.551,3,0,36974,0,0,measure
engine_seqs_64,1,gemiddelde,1,4.462,211.066,8,0,24015,0,0,measure
engine_seqs_64,4,doorpakker,1,41.54,180.317,11,0,48427,0,0,measure
engine_seqs_64,13,worstelaar,1,0.371,232.504,4,0,22017,0,0,measure
engine_seqs_64,9,gemiddelde,2,207.412,29.465,3,0,27533,0,0,measure
engine_seqs_64,16,doorpakker,1,22.123,217.021,9,0,49443,0,0,measure
engine_seqs_64,6,gemiddelde,1,16.241,249.754,7,0,36214,0,0,measure
engine_seqs_64,15,gemiddelde,1,34.684,263.869,8,0,26697,0,0,measure
engine_seqs_64,8,gemiddelde,2,223.488,78.561,8,0,25441,0,0,measure
engine_seqs_64,4,doorpakker,2,240.112,89.57,8,0,51114,0,0,measure
engine_seqs_64,9,gemiddelde,3,322.361,25.339,4,0,28771,0,0,measure
engine_seqs_64,2,doorpakker,1,14.056,339.366,12,0,51168,0,0,measure
engine_seqs_64,7,worstelaar,2,371.12,24.085,1,0,18378,0,0,measure
engine_seqs_64,12,gemiddelde,2,260.395,136.064,2,0,36767,1,0,measure
engine_seqs_64,19,gemiddelde,2,384.004,17.078,1,0,32553,0,0,measure
engine_seqs_64,16,doorpakker,2,286.239,116.281,8,0,52832,0,0,measure
engine_seqs_64,14,worstelaar,2,373.812,29.094,2,0,10346,0,1,measure
engine_seqs_64,17,gemiddelde,1,21.859,381.328,3,0,36302,0,0,measure
engine_seqs_64,4,doorpakker,3,361.601,49.9,4,0,52274,0,0,measure
engine_seqs_64,0,worstelaar,1,233.766,180.723,4,0,27492,0,0,measure
engine_seqs_64,6,gemiddelde,2,376.855,39.465,1,0,37075,0,0,measure
engine_seqs_64,13,worstelaar,2,361.503,55.52,1,0,18633,0,1,measure
engine_seqs_64,18,gemiddelde,2,251.458,180.524,3,0,31821,1,0,measure
