t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.01,1789048971.8134,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.04,1789048973.838,18859.0,0.0,0.0,0.0549,1.0,0.0,10.0,8.0,1.0,18.0,0.0
4.05,1789048975.8483,29349.0,6032.0,0.0,0.0894,2.0,0.0,29349.0,18.0,1.0,23335.0,0.575
6.06,1789048977.8597,54081.0,7168.0,0.0,0.1368,3.0,1.0,29349.0,110.0,1.0,23427.0,0.0459
8.07,1789048979.8714,54081.0,7168.0,0.0,0.1681,3.0,1.0,29349.0,118.0,1.0,23435.0,
10.08,1789048981.8828,76832.0,17520.0,0.0,0.1996,4.0,0.0,54081.0,128.0,1.0,47041.0,0.455
12.1,1789048983.8962,76832.0,17520.0,0.0,0.2279,4.0,0.0,76832.0,152.0,1.0,59464.0,
14.11,1789048985.9089,87894.0,28080.0,0.0,0.2312,4.0,0.0,87894.0,556.0,2.0,60370.0,0.9546
16.12,1789048987.9165,130163.0,39440.0,0.0,0.2705,5.0,0.0,87894.0,584.0,2.0,60398.0,0.2688
18.13,1789048989.9267,130163.0,39440.0,0.0,0.2941,5.0,1.0,87894.0,596.0,2.0,60410.0,
20.14,1789048991.939,130163.0,39440.0,0.0,0.3098,5.0,1.0,87894.0,604.0,2.0,60418.0,
22.15,1789048993.9504,130163.0,39440.0,0.0,0.3332,5.0,2.0,87894.0,616.0,2.0,60430.0,
24.16,1789048995.9613,130163.0,39440.0,0.0,0.3489,5.0,5.0,87894.0,624.0,2.0,60438.0,
26.18,1789048997.9769,159901.0,55088.0,0.0,0.3724,6.0,5.0,130163.0,638.0,2.0,91361.0,0.5262
28.19,1789048999.9845,159901.0,55088.0,0.0,0.3961,6.0,6.0,130163.0,653.0,2.0,91376.0,
30.2,1789049001.9961,203564.0,73632.0,0.0,0.4275,8.0,5.0,159901.0,675.0,2.0,105488.0,0.4247
32.21,1789049004.0089,203564.0,73632.0,0.0,0.4667,8.0,5.0,171706.0,710.0,2.0,111296.0,
34.22,1789049006.0212,203564.0,73632.0,0.0,0.4902,8.0,5.0,171706.0,731.0,2.0,111317.0,
36.24,1789049008.0345,249992.0,94976.0,0.0,0.5059,9.0,5.0,171706.0,745.0,2.0,111331.0,0.4597
38.25,1789049010.0461,249992.0,94976.0,0.0,0.5295,9.0,6.0,203564.0,769.0,2.0,130701.0,
40.26,1789049012.0577,249992.0,94976.0,0.0,0.5531,9.0,7.0,203564.0,793.0,2.0,130725.0,
42.27,1789049014.0696,249992.0,94976.0,0.0,0.5687,9.0,7.0,203564.0,809.0,2.0,130741.0,
44.28,1789049016.081,249992.0,94976.0,0.0,0.5844,9.0,8.0,203564.0,825.0,2.0,130757.0,
46.29,1789049018.092,281864.0,111072.0,0.0,0.6001,10.0,7.0,203564.0,841.0,2.0,130773.0,0.505
48.31,1789049020.1042,281864.0,111072.0,0.0,0.6236,10.0,8.0,249992.0,868.0,2.0,155884.0,
