t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.17,1789030284.4389,23.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,2.0,39.0,
2.18,1789030286.4509,43374.0,12080.0,0.0,0.0702,4.0,1.0,19136.0,19.0,2.0,16035.0,0.2787
4.19,1789030288.4621,43374.0,12080.0,0.0,0.1091,4.0,1.0,22987.0,34.0,2.0,17901.0,
6.2,1789030290.4759,54495.0,18112.0,0.0,0.1392,5.0,0.0,54495.0,208.0,2.0,36591.0,0.5424
8.22,1789030292.4931,59162.0,22000.0,0.0,0.1241,4.0,0.0,59162.0,687.0,4.0,37849.0,0.8331
10.24,1789030294.5111,72209.0,33152.0,0.0,0.1406,4.0,0.0,72209.0,1120.0,5.0,40177.0,0.8548
12.25,1789030296.524,105956.0,65440.0,0.0,0.1455,4.0,0.0,105956.0,1539.0,8.0,42055.0,0.9568
14.26,1789030298.5354,119559.0,78800.0,0.0,0.1479,4.0,0.0,119559.0,1970.0,9.0,42729.0,0.9821
16.27,1789030300.5474,124604.0,83472.0,0.0,0.1172,3.0,0.0,124604.0,2370.0,11.0,43502.0,0.9261
18.29,1789030302.5594,160057.0,117520.0,0.0,0.1089,2.0,0.0,160057.0,2667.0,14.0,45204.0,0.9604
20.29,1789030304.5675,174873.0,132112.0,0.0,0.1106,2.0,0.0,174873.0,2954.0,15.0,45715.0,0.9849
22.31,1789030306.5787,212020.0,167824.0,0.0,0.1152,2.0,0.0,212020.0,3191.0,17.0,47387.0,0.9614
24.32,1789030308.5906,212020.0,167824.0,0.0,0.0811,1.0,0.0,212020.0,3479.0,18.0,47675.0,
26.33,1789030310.6046,233355.0,188928.0,0.0,0.0819,1.0,0.0,233355.0,3656.0,19.0,48083.0,0.9892
28.34,1789030312.6174,255494.0,210288.0,0.0,0.0847,1.0,0.0,255494.0,3816.0,20.0,49022.0,0.9648
30.35,1789030314.6261,277944.0,232512.0,0.0,0.086,1.0,0.0,277944.0,3990.0,21.0,49422.0,0.9899
32.36,1789030316.6375,300623.0,255040.0,0.0,0.0869,1.0,0.0,300623.0,4164.0,22.0,49747.0,0.9933
34.38,1789030318.6488,323617.0,277792.0,0.0,0.0877,1.0,0.0,323617.0,4335.0,23.0,50160.0,0.9895
36.39,1789030320.661,346838.0,300864.0,0.0,0.0887,1.0,0.0,346838.0,4509.0,24.0,50483.0,0.9936
38.4,1789030322.6707,370862.0,324160.0,0.0,0.0918,1.0,0.0,370862.0,4666.0,25.0,51368.0,0.9697
40.4,1789030324.6785,395608.0,348256.0,0.0,0.0942,1.0,0.0,395608.0,4824.0,26.0,52176.0,0.9737
42.41,1789030326.6854,395608.0,348256.0,0.0,0.095,1.0,0.0,395608.0,5010.0,26.0,52362.0,
44.42,1789030328.6968,420547.0,373072.0,0.0,0.0954,1.0,0.0,420547.0,5183.0,27.0,52658.0,0.9951
46.43,1789030330.7079,420547.0,373072.0,0.0,0.0962,1.0,0.0,420547.0,5369.0,27.0,52844.0,
48.44,1789030332.7186,420547.0,373072.0,0.0,0.0969,1.0,0.0,420547.0,5555.0,27.0,53030.0,
50.46,1789030334.7306,445703.0,398080.0,0.0,0.0961,1.0,0.0,445703.0,5723.0,28.0,53346.0,0.9941
52.47,1789030336.7427,445703.0,398080.0,0.0,0.0,0.0,0.0,445703.0,5830.0,29.0,53453.0,
54.48,1789030338.7555,445703.0,398080.0,0.0,0.0,0.0,0.0,445703.0,5830.0,29.0,53453.0,
