run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
scen_deadline,9,gemiddelde,1,9.259,65.891,5,0,14804,0,0,warmup
scen_deadline,14,gemiddelde,1,0.695,76.827,5,0,12947,0,0,warmup
scen_deadline,19,gemiddelde,1,7.617,76.43,6,0,18344,0,0,warmup
scen_deadline,7,gemiddelde,1,8.874,91.129,5,0,17013,0,0,warmup
scen_deadline,10,gemiddelde,1,15.721,147.956,11,0,18898,0,0,warmup
scen_deadline,5,worstelaar,1,6.99,163.734,5,0,11024,0,0,warmup
scen_deadline,11,worstelaar,1,12.137,170.926,5,0,11268,0,0,measure
scen_deadline,14,gemiddelde,2,153.289,51.906,6,0,15242,0,0,measure
scen_deadline,18,gemiddelde,1,13.049,201.709,5,0,26774,0,0,measure
scen_deadline,8,doorpakker,1,8.3,218.998,21,0,27361,0,0,measure
scen_deadline,9,gemiddelde,2,127.768,99.813,6,0,18319,0,0,measure
scen_deadline,16,doorpakker,1,7.394,228.525,14,0,28941,0,0,measure
scen_deadline,7,gemiddelde,2,164.594,96.668,6,0,19431,0,0,measure
scen_deadline,4,doorpakker,1,13.873,250.992,18,0,28058,0,0,measure
scen_deadline,6,gemiddelde,1,5.471,341.414,11,0,27578,0,0,measure
scen_deadline,1,doorpakker,1,1.554,357.562,21,0,27670,0,0,measure
scen_deadline,13,gemiddelde,1,0.182,395.441,10,0,22238,0,0,measure
scen_deadline,4,doorpakker,2,276.275,124.638,4,0,29819,0,0,measure
scen_deadline,9,gemiddelde,3,270.36,133.756,4,0,13269,1,0,measure
scen_deadline,15,doorpakker,1,11.62,394.848,11,0,24865,0,0,measure
scen_deadline,8,doorpakker,2,243.59,163.101,6,0,22810,1,0,measure
scen_deadline,16,doorpakker,2,265.355,141.545,5,0,30609,0,0,measure
scen_deadline,11,worstelaar,2,250.33,157.022,4,0,11604,1,0,measure
scen_deadline,5,worstelaar,2,295.921,111.473,2,0,9666,0,1,measure
scen_deadline,7,gemiddelde,3,316.343,93.379,2,0,20396,0,0,measure
scen_deadline,2,doorpakker,1,4.733,405.204,13,0,30994,0,0,measure
scen_deadline,1,doorpakker,2,386.516,24.727,1,0,18393,1,0,measure
scen_deadline,19,gemiddelde,2,235.063,176.571,6,0,20784,0,0,measure
scen_deadline,18,gemiddelde,2,248.766,162.932,2,0,29554,1,0,measure
scen_deadline,10,gemiddelde,2,320.433,91.561,2,0,19406,0,0,measure
scen_deadline,14,gemiddelde,3,276.681,138.436,5,0,11032,1,0,measure
scen_deadline,0,gemiddelde,1,1.739,415.693,7,0,28478,0,0,measure
scen_deadline,12,doorpakker,1,1.518,418.522,7,0,41247,0,0,measure
scen_deadline,17,doorpakker,1,7.344,414.277,3,0,28602,0,0,measure
