run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_koudestart_s20,14,worstelaar,1,0,3.981,5.131,0.1384,1.1492,0.0004,2149,2564,,86,84.0873,0.0106,1,,measure
scen_koudestart_s20,14,worstelaar,1,1,5.134,7.982,0.0977,2.8483,0.0005,2707,3136,,206,74.5291,0.0109,1,,measure
scen_koudestart_s20,14,worstelaar,1,2,7.983,10.984,0.0869,3.0009,0.0002,2904,3345,,154,52.5063,0.0151,1,,measure
scen_koudestart_s20,13,worstelaar,1,0,0.64,12.732,0.2988,12.0919,0.0004,3920,4400,,1014,85.8975,0.0107,1,,measure
scen_koudestart_s20,1,gemiddelde,1,0,8.734,16.317,0.6519,7.5826,0.0005,4171,4664,,423,60.8891,0.0136,1,,measure
scen_koudestart_s20,12,gemiddelde,1,0,8.717,16.557,0.3805,7.8399,0.0174,4623,5038,,344,45.9823,0.0138,1,,measure
scen_koudestart_s20,13,worstelaar,1,1,12.735,18.632,0.1288,5.8976,0.0005,4455,4952,,348,60.1505,0.0135,1,,measure
scen_koudestart_s20,1,gemiddelde,1,1,16.319,19.72,0.1113,3.4015,0.0005,4446,4952,,160,48.3245,0.0136,1,,measure
scen_koudestart_s20,1,gemiddelde,1,2,19.721,22.681,0.1167,2.9589,0.0004,4718,5226,,163,56.9981,0.0142,1,,measure
scen_koudestart_s20,1,gemiddelde,1,3,22.683,24.543,0.1411,1.8602,0.0005,5254,5776,,113,65.1522,0.0141,1,,measure
scen_koudestart_s20,1,gemiddelde,1,4,24.544,34.819,0.112,10.2747,0.0003,5443,5973,,467,45.8539,0.0165,1,,measure
scen_koudestart_s20,13,worstelaar,1,2,18.643,36.409,0.4177,17.766,0.0006,7356,7871,,818,47.094,0.0161,1,,measure
scen_koudestart_s20,6,gemiddelde,1,0,32.402,38.655,0.6123,6.2528,0.0008,6515,7034,,219,38.6493,0.0193,1,,measure
scen_koudestart_s20,1,gemiddelde,1,5,34.82,39.688,0.1358,4.8676,0.0005,5666,6202,,198,41.6334,0.0196,1,,measure
scen_koudestart_s20,12,gemiddelde,1,1,16.571,39.943,0.6292,23.3717,0.0007,8870,9303,,1047,45.9932,0.0155,1,,measure
scen_koudestart_s20,13,worstelaar,1,3,36.411,44.334,0.1552,7.9227,0.0004,7658,8186,,282,36.1762,0.02,1,,measure
scen_koudestart_s20,19,gemiddelde,1,0,45.442,50.343,0.5611,4.9007,0.0006,5787,6267,,119,27.1917,0.0278,1,,measure
