t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789039918.4144,71181690.0,61457856.0,7.0,0.0,0.0,0.0,71016786.0,1229015.0,3365.0,10856713.0,
2.04,1789039920.4269,71186424.0,61459008.0,7.0,0.0186,1.0,0.0,71021520.0,1229148.0,3365.0,10860428.0,0.2433
4.05,1789039922.438,71186424.0,61459008.0,7.0,0.0195,1.0,0.0,71021520.0,1229401.0,3365.0,10860681.0,
6.05,1789039924.4443,71191272.0,61460160.0,7.0,0.0348,2.0,0.0,71026368.0,1229717.0,3365.0,10864693.0,0.2376
8.06,1789039926.4509,71196373.0,61465056.0,7.0,0.0365,2.0,0.0,71031469.0,1230078.0,3366.0,10865259.0,0.9598
10.07,1789039928.4619,71206691.0,61471760.0,7.0,0.0686,4.0,0.0,71041787.0,1230486.0,3366.0,10869281.0,0.6497
12.08,1789039930.4683,71218992.0,61477648.0,7.0,0.0944,5.0,0.0,71054088.0,1230919.0,3367.0,10876127.0,0.4787
14.09,1789039932.4765,71230973.0,61488288.0,7.0,0.0995,5.0,0.0,71066069.0,1231437.0,3369.0,10877986.0,0.8881
16.1,1789039934.4871,71230973.0,61488288.0,7.0,0.1018,5.0,0.0,71066069.0,1232032.0,3369.0,10878581.0,
18.11,1789039936.4992,71237973.0,61494800.0,7.0,0.105,5.0,0.0,71073069.0,1232583.0,3370.0,10879620.0,0.9303
20.12,1789039938.5122,71252821.0,61507120.0,7.0,0.1135,5.0,0.0,71087917.0,1233052.0,3372.0,10882617.0,0.8297
22.14,1789039940.5252,71255388.0,61509648.0,7.0,0.1211,6.0,0.0,71090484.0,1233636.0,3372.0,10883240.0,0.9848
24.15,1789039942.5376,71255388.0,61509648.0,7.0,0.1011,5.0,0.0,71090484.0,1234214.0,3373.0,10883818.0,
26.16,1789039944.546,71255388.0,61509648.0,7.0,0.1032,5.0,0.0,71090484.0,1234764.0,3373.0,10884368.0,
28.16,1789039946.5536,71264074.0,61510800.0,7.0,0.0964,5.0,0.0,71090484.0,1235212.0,3374.0,10884816.0,0.1326
30.17,1789039948.56,71264074.0,61510800.0,7.0,0.111,5.0,0.0,71099170.0,1235605.0,3374.0,10892743.0,
32.18,1789039950.5657,71267439.0,61511936.0,7.0,0.1214,6.0,0.0,71102535.0,1236090.0,3374.0,10895457.0,0.3376
34.19,1789039952.579,71276428.0,61516480.0,7.0,0.1401,7.0,0.0,71111524.0,1236575.0,3375.0,10900387.0,0.5055
36.2,1789039954.5904,71283371.0,61521264.0,7.0,0.1424,7.0,0.0,71118467.0,1237110.0,3376.0,10903081.0,0.689
38.21,1789039956.5988,71292317.0,61529392.0,7.0,0.1451,7.0,0.0,71127413.0,1237715.0,3377.0,10904504.0,0.9086
40.22,1789039958.6065,71295778.0,61531984.0,7.0,0.1476,7.0,0.0,71130874.0,1238335.0,3378.0,10905993.0,0.7489
42.23,1789039960.623,71306265.0,61536704.0,7.0,0.1704,8.0,0.0,71141361.0,1238824.0,3379.0,10912249.0,0.4501
44.24,1789039962.63,71317176.0,61539440.0,7.0,0.2051,10.0,0.0,71144230.0,1239299.0,3379.0,10914457.0,0.2508
46.25,1789039964.6378,71334548.0,61549072.0,7.0,0.2584,13.0,0.0,71169644.0,1239778.0,3379.0,10929118.0,0.5545
48.26,1789039966.6522,71341304.0,61555616.0,7.0,0.262,13.0,0.0,71176400.0,1240620.0,3380.0,10930172.0,0.9686
50.28,1789039968.666,71369046.0,61578656.0,7.0,0.281,13.0,0.0,71204142.0,1241287.0,3385.0,10935541.0,0.8305
52.29,1789039970.6773,71369046.0,61578656.0,7.0,0.2841,13.0,0.0,71204142.0,1242158.0,3385.0,10936412.0,
54.3,1789039972.687,71390051.0,61595392.0,7.0,0.2957,14.0,0.0,71225147.0,1242884.0,3387.0,10941407.0,0.7968
56.31,1789039974.6978,71400962.0,61601488.0,7.0,0.316,15.0,0.0,71236058.0,1243642.0,3388.0,10946980.0,0.5587
58.32,1789039976.7106,71421272.0,61621216.0,7.0,0.3191,15.0,0.0,71256368.0,1244504.0,3391.0,10948424.0,0.9713
60.33,1789039978.7215,71421272.0,61621216.0,7.0,0.3227,15.0,0.0,71256368.0,1245434.0,3391.0,10949354.0,
62.34,1789039980.7321,71427210.0,61626960.0,7.0,0.3265,15.0,0.0,71262306.0,1246301.0,3392.0,10950415.0,0.9673
64.35,1789039982.7441,71455130.0,61650400.0,7.0,0.3417,16.0,0.0,71290226.0,1247056.0,3396.0,10955650.0,0.8395
66.37,1789039984.7571,71479894.0,61667696.0,7.0,0.3661,17.0,0.0,71305262.0,1247625.0,3398.0,10960935.0,0.6984
68.38,1789039986.7658,71507255.0,61688544.0,7.0,0.3834,18.0,0.0,71332234.0,1248452.0,3401.0,10967086.0,0.762
70.38,1789039988.7741,71516176.0,61689680.0,7.0,0.4134,18.0,0.0,71351272.0,1248886.0,3402.0,10979246.0,0.1273
72.39,1789039990.7828,71524089.0,61694544.0,7.0,0.4229,18.0,0.0,71351272.0,1249783.0,3403.0,10980143.0,0.6147
74.4,1789039992.7935,71528766.0,61695696.0,7.0,0.4433,19.0,0.0,71363862.0,1250614.0,3403.0,10987548.0,0.2463
76.42,1789039994.81,71553554.0,61719040.0,7.0,0.45,19.0,0.0,71388650.0,1251501.0,3406.0,10989879.0,0.9417
78.43,1789039996.8232,71572299.0,61733808.0,7.0,0.464,20.0,0.0,71407395.0,1252373.0,3408.0,10994728.0,0.7878
80.45,1789039998.8377,71584882.0,61745952.0,7.0,0.4336,18.0,0.0,71410818.0,1253343.0,3412.0,10995889.0,0.9651
82.46,1789040000.85,71589051.0,61747104.0,7.0,0.4484,19.0,0.0,71424147.0,1254212.0,3412.0,11000023.0,0.2763
84.47,1789040002.8629,71618442.0,61768832.0,7.0,0.4795,20.0,0.0,71453538.0,1254850.0,3414.0,11008324.0,0.7393
86.49,1789040004.8754,71658425.0,61804224.0,7.0,0.4943,20.0,0.0,71486815.0,1255675.0,3420.0,11011754.0,0.8852
88.5,1789040006.8882,71688872.0,61830368.0,7.0,0.5066,20.0,0.0,71523968.0,1256324.0,3424.0,11018692.0,0.8587
90.51,1789040008.8998,71707691.0,61848448.0,7.0,0.5091,20.0,0.0,71542787.0,1257298.0,3426.0,11020405.0,0.9607
92.52,1789040010.9128,71732411.0,61870048.0,7.0,0.5201,20.0,0.0,71567507.0,1258108.0,3429.0,11024335.0,0.8738
94.54,1789040012.9252,71761629.0,61892032.0,7.0,0.5471,22.0,0.0,71596725.0,1258838.0,3432.0,11032299.0,0.7524
96.55,1789040014.9363,71769612.0,61899856.0,7.0,0.5513,22.0,0.0,71604708.0,1259914.0,3433.0,11033534.0,0.9801
98.56,1789040016.9494,71796771.0,61926368.0,7.0,0.5556,22.0,0.0,71631867.0,1260941.0,3436.0,11035208.0,0.9762
100.57,1789040018.9635,71806667.0,61935872.0,7.0,0.5598,22.0,0.0,71641763.0,1261993.0,3438.0,11036652.0,0.9604
102.59,1789040020.9755,71834909.0,61962752.0,7.0,0.5645,22.0,0.0,71670005.0,1262974.0,3441.0,11038995.0,0.9518
104.6,1789040022.9882,71855839.0,61982256.0,7.0,0.5714,22.0,0.0,71687679.0,1263980.0,3444.0,11040571.0,0.9319
106.61,1789040024.999,71880802.0,62006464.0,7.0,0.5754,22.0,0.0,71704614.0,1264962.0,3447.0,11042872.0,0.9698
108.63,1789040027.0191,71883419.0,62007616.0,7.0,0.585,23.0,0.0,71718515.0,1265990.0,3447.0,11045657.0,0.4402
110.64,1789040029.0314,71915985.0,62031344.0,7.0,0.5727,22.0,0.0,71740644.0,1266723.0,3452.0,11051575.0,0.7286
112.65,1789040031.044,71918653.0,62032480.0,7.0,0.5711,22.0,0.0,71753749.0,1267641.0,3453.0,11057678.0,0.4258
114.67,1789040033.0563,71943136.0,62056368.0,7.0,0.5752,22.0,0.0,71778232.0,1268667.0,3456.0,11059299.0,0.9757
116.68,1789040035.0674,71976841.0,62089200.0,7.0,0.5648,21.0,0.0,71811937.0,1269678.0,3461.0,11061183.0,0.9741
118.69,1789040037.0788,71991571.0,62102608.0,7.0,0.5711,21.0,0.0,71826667.0,1270619.0,3463.0,11063446.0,0.9103
120.69,1789040039.0845,72019594.0,62129296.0,7.0,0.5548,20.0,0.0,71854690.0,1271512.0,3467.0,11065674.0,0.9524
122.7,1789040041.0918,72032392.0,62140688.0,7.0,0.5592,20.0,0.0,71867488.0,1272407.0,3469.0,11067975.0,0.8901
124.71,1789040043.0984,72039299.0,62147424.0,7.0,0.5631,20.0,0.0,71874395.0,1273385.0,3470.0,11069124.0,0.9752
