run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
scen_worst_case,2,doorpakker,1,3.606,300.002,0,1,63342,0,0,measure
scen_worst_case,17,doorpakker,1,5.581,300.136,0,1,69649,0,0,measure
scen_worst_case,8,doorpakker,1,6.308,300.003,0,1,57832,0,0,measure
scen_worst_case,9,gemiddelde,1,6.983,300.003,0,1,38789,0,0,measure
scen_worst_case,15,doorpakker,1,8.789,300.003,0,1,58901,0,0,measure
scen_worst_case,11,worstelaar,1,9.12,300.002,0,1,23482,0,0,measure
scen_worst_case,18,gemiddelde,1,9.823,300.002,0,1,35797,0,0,measure
scen_worst_case,4,doorpakker,1,10.505,300.003,0,1,67248,0,0,measure
scen_worst_case,10,gemiddelde,1,11.833,300.002,0,1,45374,0,0,measure
scen_worst_case,14,gemiddelde,1,0.581,394.273,1,1,33434,0,0,measure
scen_worst_case,0,gemiddelde,1,1.432,405.231,1,1,50482,0,0,measure
scen_worst_case,12,doorpakker,1,1.232,433.762,1,1,68954,0,0,measure
scen_worst_case,1,doorpakker,1,1.339,438.355,1,1,58509,0,0,measure
