run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
shared_00_c64k,14,worstelaar,1,2.022,71.844,2,0,10189,0,0,warmup
shared_00_c64k,5,afhaker,1,20.849,183.921,2,0,11617,0,0,measure
shared_00_c64k,7,worstelaar,1,26.493,210.737,2,0,18023,0,0,measure
shared_00_c64k,9,gemiddelde,1,27.669,255.072,3,0,26041,0,0,measure
shared_00_c64k,17,gemiddelde,1,21.822,300.003,0,1,30920,0,0,measure
shared_00_c64k,19,gemiddelde,1,22.77,329.025,4,0,32382,0,0,measure
shared_00_c64k,11,afhaker,1,36.302,335.148,2,0,13449,0,0,measure
shared_00_c64k,18,gemiddelde,1,39.054,367.802,2,0,31158,0,0,measure
shared_00_c64k,10,worstelaar,1,46.987,368.807,4,0,16975,0,0,measure
shared_00_c64k,2,doorpakker,1,14.044,402.77,3,0,43302,0,0,measure
shared_00_c64k,8,gemiddelde,1,24.761,402.204,5,0,22980,0,0,measure
shared_00_c64k,14,worstelaar,2,365.389,62.095,1,0,9647,0,1,measure
shared_00_c64k,15,gemiddelde,1,34.683,397.52,4,0,25228,0,0,measure
shared_00_c64k,4,doorpakker,1,41.537,392.566,4,0,44429,0,0,measure
shared_00_c64k,6,gemiddelde,1,16.26,422.647,3,0,29850,0,0,measure
shared_00_c64k,16,doorpakker,1,22.102,419.938,4,0,47595,0,0,measure
shared_00_c64k,9,gemiddelde,2,366.93,76.824,1,0,26520,0,0,measure
shared_00_c64k,12,gemiddelde,1,4.408,445.305,3,0,36695,0,0,measure
shared_00_c64k,1,gemiddelde,1,4.445,446.982,5,0,22981,0,0,measure
shared_00_c64k,0,worstelaar,1,233.773,218.294,2,0,21089,0,0,measure
shared_00_c64k,13,worstelaar,1,0.379,452.015,3,0,21787,0,0,measure
