run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
shared_00_c64k,14,worstelaar,1,0,2.022,13.931,2.3857,11.9084,0.0008,9442,10039,,86,8.9261,0.0183,1,,warmup
shared_00_c64k,19,gemiddelde,1,0,22.77,69.626,40.7371,46.8559,0.0003,30727,31870,,116,18.7943,0.0417,1,,warmup
shared_00_c64k,14,worstelaar,1,1,13.933,73.865,0.1864,59.9315,0.0005,10000,10611,,224,3.7325,0.0446,1,,warmup
shared_00_c64k,6,gemiddelde,1,0,16.26,79.409,16.8485,63.1492,0.0004,28099,29255,,195,4.19,0.0843,1,,warmup
shared_00_c64k,16,doorpakker,1,0,22.102,80.526,34.1013,58.423,0.0003,44715,46300,,229,9.3743,0.0425,1,,warmup
shared_00_c64k,5,afhaker,1,0,20.849,84.953,13.6113,64.1038,0.0004,10634,11218,,213,4.1986,0.0433,1,,warmup
shared_00_c64k,7,worstelaar,1,0,26.493,96.174,50.3905,69.6805,0.0003,17601,18406,,100,5.1322,0.0432,1,,warmup
shared_00_c64k,1,gemiddelde,1,0,4.445,98.524,8.4451,94.0786,0.0007,21466,22375,,399,4.6477,0.0429,1,,warmup
shared_00_c64k,12,gemiddelde,1,0,4.408,98.801,4.6916,94.3926,0.0365,23740,24402,,435,4.8383,0.0423,1,,warmup
shared_00_c64k,9,gemiddelde,1,0,27.669,115.049,56.8484,87.38,0.0003,24469,25508,,119,3.8648,0.0582,1,,warmup
shared_00_c64k,11,afhaker,1,0,36.302,115.984,54.1576,79.6814,0.0003,11103,11778,,118,4.584,0.0411,1,,warmup
shared_00_c64k,8,gemiddelde,1,0,24.761,121.871,49.1023,97.1091,0.0003,21749,22684,,240,4.9785,0.0421,1,,warmup
shared_00_c64k,10,worstelaar,1,0,46.987,135.539,67.906,88.552,0.0003,15855,16673,,169,8.1371,0.0417,1,,warmup
shared_00_c64k,4,doorpakker,1,0,41.537,136.152,70.995,94.6143,0.0005,43196,44703,,179,7.5362,0.0416,1,,warmup
shared_00_c64k,16,doorpakker,1,1,80.528,156.654,70.619,76.1261,0.0004,45321,46920,,92,16.524,0.0421,1,,warmup
shared_00_c64k,15,gemiddelde,1,0,34.683,164.009,54.1629,129.3254,0.0003,22460,23343,,379,5.0291,0.0431,1,,warmup
shared_00_c64k,6,gemiddelde,1,1,79.412,173.668,50.755,94.2562,0.0005,28621,29794,,219,5.0114,0.084,1,,warmup
shared_00_c64k,13,worstelaar,1,0,0.379,179.422,3.0072,179.0434,0.0004,18114,19062,,878,4.9819,0.0433,1,,warmup
shared_00_c64k,19,gemiddelde,1,1,69.628,180.209,54.09,110.5807,0.0007,31014,32170,,354,6.2488,0.0428,1,,warmup
shared_00_c64k,1,gemiddelde,1,1,98.525,189.216,65.2265,90.6909,0.0005,21746,22666,,142,5.5371,0.0442,1,,measure
shared_00_c64k,9,gemiddelde,1,1,115.051,189.626,63.9108,74.5744,0.0005,24858,25911,,64,5.9079,0.0427,1,,measure
shared_00_c64k,18,gemiddelde,1,0,39.054,190.405,56.7289,151.351,0.0004,26084,26850,,551,5.8126,0.0424,1,,warmup
shared_00_c64k,5,afhaker,1,1,84.958,204.769,67.5988,119.8107,0.0007,11400,11997,,272,5.1904,0.0434,1,,warmup
shared_00_c64k,8,gemiddelde,1,1,121.872,222.339,63.5659,100.4664,0.0006,21984,22933,,171,4.607,0.0418,1,,measure
shared_00_c64k,2,doorpakker,1,0,14.044,228.845,12.7219,214.8003,0.0005,41457,42990,,993,4.909,0.0425,1,,warmup
shared_00_c64k,7,worstelaar,1,1,96.175,237.229,63.5894,141.0539,0.0005,17807,18625,,387,4.9829,0.0428,1,,measure
shared_00_c64k,15,gemiddelde,1,1,164.01,241.422,62.9143,77.4113,0.0004,22720,23603,,107,7.3118,0.0411,1,,measure
shared_00_c64k,10,worstelaar,1,1,135.541,249.739,52.4457,114.1976,0.0003,16362,17194,,162,2.6072,0.043,1,,measure
shared_00_c64k,19,gemiddelde,1,2,180.212,252.23,69.2497,72.0179,0.0004,31979,33149,,73,26.0104,0.0385,1,,measure
shared_00_c64k,4,doorpakker,1,1,136.153,269.636,67.3055,133.4824,0.0005,43475,44995,,480,7.2382,0.0424,1,,measure
shared_00_c64k,1,gemiddelde,1,2,189.218,275.579,67.3532,86.3604,0.0004,22021,22943,,152,7.9443,0.0437,1,,measure
shared_00_c64k,9,gemiddelde,1,2,189.63,282.739,72.4789,93.1091,0.0005,25845,26912,,181,8.7251,0.0434,1,,measure
