run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
sweep_s30_c64k,27,worstelaar,1,0,15.726,71.608,16.9113,55.8818,0.0003,12854,13633,,65,1.6423,0.604,1,,warmup
sweep_s30_c64k,5,gemiddelde,1,0,4.396,75.178,5.238,70.7816,0.0521,22737,23659,,107,1.6172,0.5858,1,,warmup
sweep_s30_c64k,9,afhaker,1,0,21.429,80.491,20.2614,59.061,0.0003,12157,12806,,106,2.7062,0.2721,1,,warmup
sweep_s30_c64k,29,gemiddelde,1,0,2.036,80.496,4.637,78.4544,0.0005,21836,22745,,174,2.3436,0.3749,1,,warmup
sweep_s30_c64k,22,gemiddelde,1,0,20.916,81.148,19.6768,60.2313,0.0003,31261,32586,,116,2.8357,0.1408,1,,warmup
sweep_s30_c64k,6,worstelaar,1,0,22.605,91.027,37.9106,68.4215,0.0004,11238,11913,,113,3.6708,0.049,1,,warmup
sweep_s30_c64k,11,gemiddelde,1,0,27.67,95.781,46.7152,68.1101,0.0004,21460,22434,,106,4.9077,0.0471,1,,warmup
sweep_s30_c64k,20,doorpakker,1,0,22.106,101.929,37.4168,79.8222,0.0004,43796,45550,,229,5.3767,0.0478,1,,warmup
sweep_s30_c64k,13,gemiddelde,1,0,22.778,105.963,41.4579,83.1848,0.0004,23967,25032,,220,5.2484,0.0473,1,,warmup
sweep_s30_c64k,0,worstelaar,1,0,33.721,116.349,44.2787,82.6276,0.0004,13731,14484,,140,3.6246,0.0482,1,,warmup
sweep_s30_c64k,23,worstelaar,1,0,40.67,116.351,62.9046,75.6789,0.0004,16989,17768,,51,3.9141,0.0462,1,,warmup
sweep_s30_c64k,1,gemiddelde,1,0,39.016,119.132,59.6365,80.116,0.0016,21815,22750,,130,6.299,0.0477,1,,warmup
sweep_s30_c64k,25,doorpakker,1,0,34.702,123.249,56.8396,88.5469,0.0005,44542,46179,,200,6.2762,0.0475,1,,warmup
sweep_s30_c64k,26,gemiddelde,1,0,5.187,129.07,14.2426,123.8836,0.0004,29663,30871,,359,3.2652,0.0905,1,,warmup
sweep_s30_c64k,12,gemiddelde,1,0,36.337,134.199,58.0755,97.8619,0.0003,22579,23254,,262,6.56,0.0479,1,,warmup
sweep_s30_c64k,18,gemiddelde,1,0,26.515,141.131,44.9151,114.6152,0.0003,23061,23905,,400,5.7245,0.0481,1,,warmup
sweep_s30_c64k,15,gemiddelde,1,0,24.788,142.174,43.8815,117.3852,0.0003,29324,30493,,392,5.3195,0.0484,1,,warmup
sweep_s30_c64k,4,worstelaar,1,0,55.982,144.162,65.8426,88.1792,0.0005,10498,11121,,111,4.9247,0.0501,1,,warmup
sweep_s30_c64k,5,gemiddelde,1,1,75.18,145.886,52.7061,70.7058,0.0003,23555,24491,,125,6.889,0.0496,1,,warmup
sweep_s30_c64k,3,gemiddelde,1,0,47.009,156.305,73.2948,109.2961,0.0008,25854,26945,,147,4.0554,0.0501,1,,warmup
sweep_s30_c64k,28,doorpakker,1,0,41.546,156.388,73.737,114.842,0.0004,42094,43614,,199,4.8169,0.05,1,,warmup
sweep_s30_c64k,21,gemiddelde,1,0,16.27,163.436,19.5634,147.1661,0.0003,23420,24173,,506,3.9576,0.0491,1,,warmup
sweep_s30_c64k,14,worstelaar,1,0,31.155,165.956,45.738,134.8007,0.0004,16749,17502,,289,3.2337,0.0947,1,,warmup
sweep_s30_c64k,19,afhaker,1,0,46.832,166.613,68.9398,119.7804,0.0005,9045,9655,,185,3.6191,0.0497,1,,warmup
sweep_s30_c64k,11,gemiddelde,1,1,95.781,166.941,49.3048,71.1588,0.0002,21691,22678,,57,2.5625,0.0498,1,,measure
sweep_s30_c64k,20,doorpakker,1,1,101.93,179.534,54.2465,77.6033,0.0005,44040,45807,,76,3.2111,0.0489,1,,measure
sweep_s30_c64k,25,doorpakker,1,1,123.251,188.726,54.182,65.4749,0.0004,44776,46427,,66,5.7559,0.0489,1,,measure
sweep_s30_c64k,1,gemiddelde,1,1,119.134,193.727,47.2503,74.5924,0.001,22065,23014,,71,2.5602,0.088,1,,measure
sweep_s30_c64k,27,worstelaar,1,1,71.609,199.894,53.1685,128.2844,0.0004,13040,13832,,277,3.6743,0.051,1,,warmup
sweep_s30_c64k,0,worstelaar,1,1,116.351,201.458,45.1566,85.1074,0.0047,13958,14724,,168,4.1801,0.0494,1,,measure
sweep_s30_c64k,22,gemiddelde,1,1,81.149,201.541,58.4391,120.3909,0.0005,31520,32858,,195,3.1315,0.0936,1,,warmup
sweep_s30_c64k,6,worstelaar,1,1,91.028,202.899,51.283,111.87,0.0005,11452,12141,,183,3.0039,0.0504,1,,measure
sweep_s30_c64k,24,worstelaar,1,0,53.449,209.986,67.5375,156.5365,0.0005,11363,11896,,327,3.663,0.0498,1,,warmup
sweep_s30_c64k,29,gemiddelde,1,1,80.496,210.375,51.4422,129.8782,0.001,22066,22988,,251,3.1873,0.05,1,,warmup
sweep_s30_c64k,23,worstelaar,1,1,116.355,214.965,46.6986,98.6099,0.0012,18083,18875,,166,3.1785,0.0494,1,,measure
sweep_s30_c64k,10,afhaker,1,0,10.427,220.812,10.0971,210.3849,0.0004,10122,10797,,721,3.5948,0.0502,1,,warmup
sweep_s30_c64k,9,afhaker,1,1,80.495,224.986,48.5725,144.49,0.0016,13400,14066,,394,4.0973,0.05,1,,warmup
sweep_s30_c64k,5,gemiddelde,1,2,145.892,232.998,59.3797,87.1065,0.0007,24540,25490,,201,7.2132,0.0486,1,,measure
sweep_s30_c64k,7,doorpakker,1,0,21.85,240.86,27.9032,219.0096,0.0004,39192,40647,,849,4.4373,0.0489,1,,warmup
sweep_s30_c64k,3,gemiddelde,1,1,156.307,243.144,52.7556,86.8367,0.0003,26458,27563,,326,9.5361,0.0484,1,,measure
sweep_s30_c64k,8,doorpakker,1,0,14.056,255.601,17.4844,241.5444,0.0004,42997,44621,,900,4.0123,0.0492,1,,warmup
sweep_s30_c64k,12,gemiddelde,1,1,134.207,259.453,54.2389,125.2455,0.0005,24595,25288,,429,6.0276,0.0488,1,,measure
sweep_s30_c64k,15,gemiddelde,1,1,142.175,271.274,56.5714,129.0981,0.0003,29711,30893,,415,5.7082,0.0487,1,,measure
sweep_s30_c64k,19,afhaker,1,1,166.617,273.724,60.7283,107.1072,0.0005,9895,10519,,193,4.1398,0.0491,1,,measure
sweep_s30_c64k,21,gemiddelde,1,1,163.442,279.706,60.9948,116.2637,0.0011,24933,25706,,417,7.5268,0.0485,1,,measure
sweep_s30_c64k,11,gemiddelde,1,2,166.942,282.945,69.2469,116.0019,0.0009,21948,22949,,215,4.577,0.0491,1,,measure
sweep_s30_c64k,25,doorpakker,1,2,188.729,285.496,77.8364,96.7663,0.0005,45543,47207,,97,5.0713,0.0497,1,,measure
sweep_s30_c64k,14,worstelaar,1,1,165.958,296.342,61.8217,130.3828,0.0005,17185,17952,,465,6.7677,0.0487,1,,measure
sweep_s30_c64k,28,doorpakker,1,1,156.389,297.032,63.3648,140.6426,0.0003,42361,43895,,398,5.1373,0.0502,1,,measure
sweep_s30_c64k,16,gemiddelde,1,0,0.391,300.393,4.1951,300.0025,0.0007,23155,,,1274,4.3035,0.0491,0,timeout while streaming,warmup
sweep_s30_c64k,17,gemiddelde,1,0,4.448,304.451,9.6704,300.0026,0.0008,27131,,,1259,4.333,0.0491,0,timeout while streaming,warmup
sweep_s30_c64k,13,gemiddelde,1,1,105.963,316.626,54.0357,210.6624,0.0003,24263,25341,,685,4.3671,0.0491,1,,measure
sweep_s30_c64k,6,worstelaar,1,2,202.9,322.614,78.2144,119.7145,0.0005,11646,12348,,91,2.1687,0.1374,1,,measure
sweep_s30_c64k,22,gemiddelde,1,2,201.542,324.222,75.1915,122.6804,0.0003,31744,33096,,201,4.2115,0.0496,1,,measure
sweep_s30_c64k,0,worstelaar,1,2,201.46,327.52,69.6675,126.0597,0.0009,14187,14969,,245,4.3268,0.0502,1,,measure
sweep_s30_c64k,26,gemiddelde,1,1,129.075,330.668,56.191,201.5928,0.0004,30902,32128,,747,5.1306,0.049,1,,measure
sweep_s30_c64k,1,gemiddelde,1,2,193.731,330.765,76.2802,137.0335,0.0009,23333,24296,,277,4.543,0.0497,1,,measure
sweep_s30_c64k,4,worstelaar,1,1,144.164,334.516,55.4768,190.3508,0.0003,11579,12219,,763,5.6497,0.0488,1,,measure
sweep_s30_c64k,14,worstelaar,1,2,296.343,351.191,51.0869,54.8472,0.0008,17606,18387,,63,16.4882,0.046,1,,measure
sweep_s30_c64k,3,gemiddelde,1,2,243.146,351.938,58.058,108.7923,0.0004,26748,27866,,226,4.4349,0.0468,1,,measure
sweep_s30_c64k,8,doorpakker,1,1,255.606,361.933,56.0906,106.3265,0.0004,44456,46097,,239,4.7376,0.0467,1,,measure
sweep_s30_c64k,25,doorpakker,1,3,285.498,365.862,56.7442,80.3634,0.0005,46109,47786,,113,4.7419,0.0464,1,,measure
sweep_s30_c64k,5,gemiddelde,2,0,286.35,378.769,59.6287,92.4186,0.0004,25041,26006,,185,5.6115,0.0463,1,,measure
sweep_s30_c64k,29,gemiddelde,1,2,210.377,380.329,75.5704,169.9515,0.0005,22426,23361,,286,3.0197,0.0488,1,,measure
