t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789033789.4776,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
2.03,1789033791.4876,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
4.04,1789033793.498,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
6.05,1789033795.5053,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
8.06,1789033797.5178,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
10.07,1789033799.5317,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
12.09,1789033801.545,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
14.12,1789033803.5734,25956740.0,22681312.0,2.0,0.0,0.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
16.12,1789033805.5829,26027162.0,22703808.0,2.0,0.109,1.0,0.0,25956740.0,395294.0,1271.0,3670722.0,0.3194
18.13,1789033807.5922,26027162.0,22703808.0,2.0,0.1323,1.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
20.15,1789033809.6031,26027162.0,22703808.0,2.0,0.1479,1.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
22.15,1789033811.6087,26027162.0,22703808.0,2.0,0.1635,1.0,0.0,25956740.0,395294.0,1271.0,3670722.0,
24.16,1789033813.6198,26027162.0,22703808.0,2.0,0.1791,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
26.17,1789033815.632,26027162.0,22703808.0,2.0,0.1869,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
28.19,1789033817.6457,26027162.0,22703808.0,2.0,0.2025,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
30.2,1789033819.6577,26027162.0,22703808.0,2.0,0.2103,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
32.21,1789033821.6665,26027162.0,22703808.0,2.0,0.2258,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
34.22,1789033823.6795,26027162.0,22703808.0,2.0,0.2336,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
36.23,1789033825.6906,26027162.0,22703808.0,2.0,0.2414,1.0,1.0,25956740.0,395294.0,1271.0,3670722.0,
38.25,1789033827.7041,26027162.0,22703808.0,2.0,0.257,1.0,2.0,25956740.0,395294.0,1271.0,3670722.0,
40.25,1789033829.712,26027162.0,22703808.0,2.0,0.2648,1.0,2.0,25956740.0,395294.0,1271.0,3670722.0,
42.26,1789033831.7219,26076456.0,22728816.0,2.0,0.2804,2.0,1.0,26027162.0,395295.0,1271.0,3718649.0,0.5073
44.27,1789033833.7306,26076456.0,22728816.0,2.0,0.296,2.0,2.0,26027162.0,395297.0,1271.0,3718651.0,
46.29,1789033835.7431,26076456.0,22728816.0,2.0,0.3116,2.0,2.0,26027162.0,395299.0,1271.0,3718653.0,
48.3,1789033837.7556,26076456.0,22728816.0,2.0,0.335,2.0,2.0,26027162.0,395302.0,1271.0,3718656.0,
50.31,1789033839.7685,26076456.0,22728816.0,2.0,0.3428,2.0,2.0,26027162.0,395303.0,1271.0,3718657.0,
