run_id,label,kind,students,context_tokens,activity,shared_fraction,grade,grade_brief,ttft_p50_s,ttft_p90_s,ttft_p99_s,burst_p50_s,burst_p90_s,decode_tps_p50,requests,requests_failed,error_rate,bursts,prefix_cache_hit_rate,preemptions,kv_cache_usage_avg,kv_cache_usage_peak,queue_depth_avg,queue_depth_peak,server_prefill_tps,server_decode_tps,client_output_tps,compactions,compactions_per_100_steps,context_tokens_peak,max_students_ok,reasons,warnings,duration_s
act_intensief_s10,"10 studenten, activiteit intensief",activity,10,32000,intensief,0.5,oranje,groen,0.2677,1.6001,5.2146,51.0082,107.733,37.7138,140,0,0.0,18,0.9499,0.0,0.3191,0.5166,0.0201,2.0,11918.4633,150.19,140.1267,6,5.0,49648,,p90 doorlooptijd instructie 108s,wachtrij piekte op 2 verzoeken,405.0
act_intensief_s20,"20 studenten, activiteit intensief",activity,20,32000,intensief,0.5,rood,groen,0.3191,1.6124,3.1459,90.4885,299.9688,18.1894,181,0,0.0,34,0.9402,0.0,0.7177,0.9054,0.0067,1.0,14004.2433,225.6233,193.0667,6,2.9851,43373,,p90 doorlooptijd instructie 300s,KV-cache piekte op 91% -- weinig marge; wachtrij piekte op 1 verzoeken,415.0
act_rustig_s10,"10 studenten, activiteit rustig",activity,10,32000,rustig,0.5,groen,groen,0.2441,0.8389,3.1381,31.463,47.2438,67.4582,81,0,0.0,12,0.9491,0.0,0.1067,0.2324,0.0,0.0,5536.7067,89.7633,82.83,3,3.7975,33978,,,,398.0
act_rustig_s20,"20 studenten, activiteit rustig",activity,20,32000,rustig,0.5,oranje,groen,0.271,1.2085,4.3445,40.9725,113.9292,41.4172,90,0,0.0,18,0.924,0.0,0.238,0.4444,0.0,0.0,6378.8933,146.33,133.99,5,6.1728,43958,,p90 doorlooptijd instructie 114s,,406.0
engine_kv_auto,vLLM-variant kv_auto,engine,20,64000,normaal,0.5,rood,rood,87.7465,95.0835,103.3891,375.7978,417.6463,9.2026,28,0,0.0,10,0.4554,0.0,0.8697,0.9928,9.8523,12.0,3484.5367,55.29,29.2967,0,0.0,42924,,p90 TTFT 95.1s; p90 doorlooptijd instructie 418s; decodesnelheid 9.2 tok/s per stream,KV-cache piekte op 99% -- weinig marge; prefix cache hit rate 46% onder de verwachte 60%; wachtrij piekte op 12 verzoeken,455.0
engine_kv_fp8,vLLM-variant kv_fp8,engine,20,64000,normaal,0.5,rood,groen,0.3942,2.1411,6.4775,111.9561,222.9477,18.5836,121,0,0.0,28,0.9495,0.0,0.7311,0.998,0.0134,1.0,14023.2567,171.7133,145.9,2,1.5267,52427,,p90 doorlooptijd instructie 223s,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 1 verzoeken,423.0
engine_seqs_16,vLLM-variant seqs_16,engine,20,64000,normaal,0.5,rood,groen,0.4334,3.6972,9.081,127.3553,239.4938,18.9016,117,0,0.0,27,0.94,0.0,0.7697,0.989,0.094,1.0,13730.1533,167.22,151.4233,2,1.5748,52521,,p90 doorlooptijd instructie 239s,KV-cache piekte op 99% -- weinig marge; wachtrij piekte op 1 verzoeken,436.0
engine_seqs_64,vLLM-variant seqs_64,engine,20,64000,normaal,0.5,rood,groen,0.4268,4.1689,12.394,137.2738,256.8116,18.9926,117,0,0.0,26,0.9309,0.0,0.7815,0.9973,0.1409,2.0,13722.0867,163.2233,145.93,2,1.6129,52832,,p90 doorlooptijd instructie 257s,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 2 verzoeken,432.0
rampup,"Klifzoeker: 5 studenten, +2 per 120s tot het breekt",rampup,40,32000,normaal,0.5,rood,rood,0.2999,18.1532,53.7383,55.4117,295.5212,30.9479,993,1,0.001,189,0.8477,2.0,0.4615,0.9993,1.6682,16.0,7968.4267,124.4467,108.8542,51,5.1411,60851,37,p90 doorlooptijd instructie 296s; 0.1% van de verzoeken faalde; 2 preempties,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 16 verzoeken,2211.0
scen_deadline,"Deadline, 20 studenten in burst",scenario,20,32000,intensief,0.5,rood,groen,0.4026,9.7666,27.1435,167.0135,407.926,15.1406,173,0,0.0,28,0.8767,0.0,0.8678,0.9925,0.8725,5.0,12649.3667,201.51,171.6067,6,2.8986,41247,,p90 doorlooptijd instructie 408s,KV-cache piekte op 99% -- weinig marge; wachtrij piekte op 5 verzoeken,421.0
scen_koudestart_s20,"Koude start, 20 studenten",scenario,20,12000,normaal,0.0,oranje,groen,0.1909,0.616,2.129,65.6553,139.0548,27.5876,175,0,0.0,29,0.8474,0.0,0.2774,0.4085,0.0,0.0,6219.9708,267.6792,240.85,7,4.0,21534,,p90 doorlooptijd instructie 139s,,258.0
scen_koudestart_s30,"Koude start, 30 studenten",scenario,30,12000,normaal,0.0,rood,groen,0.224,0.6432,1.049,63.8051,213.6107,19.4879,225,0,0.0,38,0.8606,0.0,0.4605,0.6959,0.0,0.0,7659.2625,356.8583,311.9417,8,3.5556,22813,,p90 doorlooptijd instructie 214s,,264.0
scen_lange_sessies,"Lange sessies, weinig studenten, zeer grote context",scenario,6,110000,intensief,0.3,rood,groen,0.5351,2.2935,7.3315,105.2247,220.2987,27.4377,59,0,0.0,10,0.9708,0.0,0.647,0.9944,0.2013,3.0,13148.1967,82.11,72.74,0,0.0,97068,,p90 doorlooptijd instructie 220s,KV-cache piekte op 99% -- weinig marge; wachtrij piekte op 3 verzoeken,417.0
scen_na_de_stilte,"Na de stilte: tien minuten niets, dan hervat iedereen tegelijk",scenario,20,32000,normaal,0.5,rood,groen,0.3222,3.269,28.1664,115.9536,253.9986,18.4144,154,0,0.0,26,0.9214,0.0,0.7473,0.863,0.9583,14.0,13472.0958,225.2958,220.8458,12,7.7922,44943,,p90 doorlooptijd instructie 254s,wachtrij piekte op 14 verzoeken,1111.0
scen_worst_case,"Worst case: 20 studenten, maximale context, geen gedeelde prefix",scenario,20,100000,intensief,0.0,rood,rood,,,,300.0029,428.0562,,4,4,1.0,13,0.022,0.0,0.7341,0.9802,14.1477,16.0,2155.76,17.79,0.0,0,0.0,69649,,p90 TTFT niet gemeten; p90 doorlooptijd instructie 428s; decodesnelheid niet gemeten; 100.0% van de verzoeken faalde,KV-cache piekte op 98% -- weinig marge; wachtrij piekte op 16 verzoeken,455.0
shared_00_c32k,"20 studenten, 32k, 0% gedeelde projectbasis",shared,20,32000,normaal,0.0,rood,groen,0.2798,1.1094,4.5404,61.6122,188.1236,28.2026,146,0,0.0,26,0.9197,0.0,0.4983,0.8269,0.0134,1.0,10043.2333,194.6733,177.6,7,5.2239,41320,,p90 doorlooptijd instructie 188s,wachtrij piekte op 1 verzoeken,418.0
shared_00_c64k,"20 studenten, 64k, 0% gedeelde projectbasis",shared,20,64000,normaal,0.0,rood,rood,63.6786,70.1268,80.9586,368.3046,445.4723,5.9297,37,0,0.0,20,0.041,0.0,0.8821,0.998,6.8725,9.0,3441.9933,52.0433,38.7267,0,0.0,47595,,p90 TTFT 70.1s; p90 doorlooptijd instructie 445s; decodesnelheid 5.9 tok/s per stream,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 9 verzoeken,452.0
shared_50_c32k,"20 studenten, 32k, 50% gedeelde projectbasis",shared,20,32000,normaal,0.5,oranje,groen,0.2615,0.7841,3.5302,58.4623,171.2823,28.8701,147,0,0.0,27,0.9434,0.0,0.3899,0.5976,0.0,0.0,10713.0833,197.4233,174.3067,6,4.3796,43978,,p90 doorlooptijd instructie 171s,,408.0
shared_50_c64k,"20 studenten, 64k, 50% gedeelde projectbasis",shared,20,64000,normaal,0.5,rood,groen,0.441,3.3774,10.0646,127.8988,241.9451,18.9401,119,0,0.0,27,0.9392,0.0,0.776,0.996,0.0738,1.0,14179.9533,167.1233,145.9267,2,1.5748,52540,,p90 doorlooptijd instructie 242s,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 1 verzoeken,437.0
