t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.01,1789059362.2264,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.02,1789059364.2318,9809.0,0.0,0.0,0.0358,1.0,0.0,9809.0,43.0,1.0,9852.0,0.0
4.02,1789059366.237,9809.0,0.0,0.0,0.0367,1.0,0.0,9809.0,261.0,1.0,10070.0,
6.03,1789059368.2436,20770.0,8240.0,0.0,0.0474,2.0,0.0,20770.0,545.0,2.0,13075.0,0.7518
8.04,1789059370.252,20770.0,8240.0,0.0,0.0487,2.0,0.0,20770.0,877.0,2.0,13407.0,
10.05,1789059372.262,41690.0,15152.0,0.0,0.0936,3.0,1.0,26734.0,1002.0,3.0,13720.0,0.3304
12.06,1789059374.2699,53053.0,21184.0,0.0,0.1193,4.0,0.0,53053.0,1149.0,3.0,33018.0,0.5308
14.06,1789059376.2776,53053.0,21184.0,0.0,0.121,4.0,0.0,53053.0,1621.0,3.0,33490.0,
16.07,1789059378.2835,53053.0,21184.0,0.0,0.1109,3.0,0.0,53053.0,2010.0,4.0,33879.0,
18.08,1789059380.2902,53053.0,21184.0,0.0,0.1123,3.0,0.0,53053.0,2397.0,4.0,34266.0,
20.08,1789059382.2971,94251.0,57424.0,0.0,0.1165,3.0,0.0,75024.0,2703.0,7.0,35327.0,0.8797
22.09,1789059384.3046,94251.0,57424.0,0.0,0.1252,3.0,0.0,94251.0,2929.0,7.0,39756.0,
24.1,1789059386.3112,106192.0,69168.0,0.0,0.1269,3.0,0.0,106192.0,3291.0,8.0,40315.0,0.9835
26.11,1789059388.3199,119382.0,79504.0,0.0,0.1341,3.0,0.0,106192.0,3596.0,9.0,40620.0,0.7836
28.12,1789059390.3295,153073.0,97488.0,0.0,0.1469,4.0,0.0,131879.0,3892.0,10.0,44315.0,0.5338
30.12,1789059392.3353,153073.0,97488.0,0.0,0.1842,4.0,0.0,131879.0,3907.0,10.0,44330.0,
32.13,1789059394.3413,153073.0,97488.0,0.0,0.1956,4.0,0.0,153073.0,4149.0,10.0,59734.0,
34.14,1789059396.3504,180725.0,118528.0,0.0,0.22,5.0,0.0,180725.0,4330.0,11.0,66527.0,0.7609
36.14,1789059398.3569,180725.0,118528.0,0.0,0.2217,5.0,0.0,180725.0,4810.0,11.0,67007.0,
38.15,1789059400.3629,180725.0,118528.0,0.0,0.2235,5.0,0.0,180725.0,5280.0,11.0,67477.0,
40.22,1789059402.4347,196178.0,133504.0,0.0,0.2258,5.0,0.0,196178.0,5717.0,12.0,68391.0,0.9691
42.23,1789059404.4423,202156.0,136624.0,0.0,0.2377,6.0,0.0,202156.0,6137.0,12.0,71669.0,0.5219
44.24,1789059406.4505,219526.0,143552.0,0.0,0.254,7.0,0.0,202156.0,6509.0,12.0,72041.0,0.3988
46.24,1789059408.4569,243233.0,154912.0,0.0,0.2912,8.0,1.0,219526.0,6540.0,12.0,82514.0,0.4792
48.25,1789059410.4635,243233.0,154912.0,0.0,0.3211,8.0,1.0,219526.0,6568.0,12.0,82542.0,
50.26,1789059412.4693,271529.0,169488.0,0.0,0.3585,10.0,0.0,243233.0,6607.0,12.0,94928.0,0.5151
52.26,1789059414.4747,271529.0,169488.0,0.0,0.3742,10.0,0.0,271529.0,7065.0,12.0,109106.0,
54.27,1789059416.4815,281010.0,175520.0,0.0,0.3887,11.0,0.0,281010.0,7581.0,12.0,113071.0,0.6362
56.27,1789059418.4878,306937.0,195184.0,0.0,0.411,12.0,0.0,293949.0,7953.0,13.0,113678.0,0.7584
58.28,1789059420.4934,333562.0,221360.0,0.0,0.4142,12.0,0.0,333562.0,8620.0,15.0,120822.0,0.9831
60.28,1789059422.4982,355985.0,242816.0,0.0,0.4178,12.0,0.0,355985.0,9276.0,17.0,122445.0,0.9569
62.29,1789059424.5035,405611.0,291344.0,0.0,0.4222,12.0,0.0,405611.0,9869.0,20.0,124136.0,0.9779
64.29,1789059426.5084,418771.0,304368.0,0.0,0.4008,11.0,0.0,418771.0,10551.0,22.0,124954.0,0.9897
66.3,1789059428.5129,493818.0,374560.0,0.0,0.4344,12.0,0.0,493818.0,10803.0,25.0,130061.0,0.9353
68.31,1789059430.52,493818.0,374560.0,0.0,0.437,12.0,0.0,493818.0,11523.0,25.0,130781.0,
70.31,1789059432.5284,517812.0,392704.0,0.0,0.4594,13.0,0.0,517812.0,11945.0,26.0,137053.0,0.7562
72.32,1789059434.5344,517812.0,392704.0,0.0,0.4619,13.0,0.0,517812.0,12673.0,26.0,137781.0,
74.34,1789059436.5497,536198.0,408128.0,0.0,0.4749,14.0,0.0,536198.0,13293.0,27.0,141363.0,0.8389
76.34,1789059438.5567,588418.0,458656.0,0.0,0.4795,14.0,0.0,588418.0,13900.0,31.0,143662.0,0.9676
78.35,1789059440.5628,610167.0,475296.0,0.0,0.4956,15.0,0.0,598323.0,14528.0,32.0,144483.0,0.7651
80.35,1789059442.5686,657686.0,520496.0,0.0,0.5038,15.0,0.0,657686.0,14941.0,35.0,152131.0,0.9512
82.36,1789059444.5744,671508.0,534000.0,0.0,0.4784,14.0,0.0,671508.0,15664.0,37.0,153172.0,0.977
84.37,1789059446.5806,725711.0,577184.0,0.0,0.484,14.0,1.0,703252.0,15909.0,40.0,153769.0,0.7967
86.37,1789059448.5864,738673.0,589968.0,0.0,0.461,14.0,0.0,738673.0,16203.0,41.0,164908.0,0.9863
88.38,1789059450.5918,766628.0,612672.0,0.0,0.5234,14.0,0.0,766628.0,16349.0,42.0,170305.0,0.8122
90.38,1789059452.5974,766628.0,612672.0,0.0,0.5262,14.0,0.0,766628.0,17105.0,42.0,171061.0,
92.39,1789059454.6043,799259.0,644512.0,0.0,0.5309,14.0,0.0,799259.0,17759.0,44.0,172506.0,0.9758
94.4,1789059456.6104,830611.0,671616.0,0.0,0.5476,15.0,0.0,822048.0,18316.0,45.0,173260.0,0.8645
96.4,1789059458.6161,878665.0,719024.0,0.0,0.5343,14.0,0.0,878665.0,18983.0,49.0,178624.0,0.9866
98.41,1789059460.6234,905036.0,743600.0,0.0,0.5406,14.0,0.0,905036.0,19512.0,50.0,180948.0,0.9319
100.42,1789059462.6308,932956.0,771136.0,0.0,0.5044,13.0,0.0,932956.0,20173.0,53.0,181993.0,0.9862
102.42,1789059464.637,947138.0,783264.0,0.0,0.5135,13.0,0.0,947138.0,20740.0,54.0,184614.0,0.8552
104.43,1789059466.6426,979331.0,814736.0,0.0,0.5174,13.0,0.0,979331.0,21371.0,56.0,185966.0,0.9776
106.43,1789059468.6473,979331.0,814736.0,0.0,0.5199,13.0,0.0,979331.0,22073.0,56.0,186668.0,
108.45,1789059470.6611,979331.0,814736.0,0.0,0.4929,12.0,0.0,979331.0,22749.0,57.0,187344.0,
110.45,1789059472.666,1008540.0,841936.0,0.0,0.5302,13.0,0.0,1008540.0,23290.0,58.0,189894.0,0.9312
112.46,1789059474.6705,1060569.0,891216.0,0.0,0.5385,13.0,0.0,1037209.0,23775.0,61.0,192936.0,0.9472
114.46,1789059476.6756,1060569.0,891216.0,0.0,0.5105,12.0,0.0,1060569.0,24463.0,62.0,193816.0,
116.47,1789059478.6809,1103905.0,933296.0,0.0,0.5114,12.0,0.0,1103905.0,25010.0,64.0,195619.0,0.971
118.47,1789059480.6871,1129264.0,958288.0,0.0,0.434,11.0,0.0,1129264.0,25631.0,67.0,196607.0,0.9855
120.48,1789059482.6927,1203415.0,1031088.0,0.0,0.4103,10.0,0.0,1179180.0,26179.0,71.0,197647.0,0.9818
122.48,1789059484.6986,1203415.0,1031088.0,0.0,0.4122,10.0,0.0,1203415.0,26719.0,71.0,199046.0,
124.49,1789059486.7056,1268568.0,1095536.0,0.0,0.4152,10.0,0.0,1268568.0,27241.0,74.0,200273.0,0.9892
126.5,1789059488.7112,1285566.0,1112272.0,0.0,0.4176,10.0,0.0,1285566.0,27808.0,75.0,201102.0,0.9846
128.5,1789059490.7165,1347391.0,1173056.0,0.0,0.4214,10.0,0.0,1347391.0,28290.0,78.0,202625.0,0.9832
130.51,1789059492.7231,1347391.0,1173056.0,0.0,0.4237,10.0,0.0,1347391.0,28900.0,78.0,203235.0,
132.52,1789059494.7321,1379484.0,1203280.0,0.0,0.4274,10.0,0.0,1355733.0,29465.0,80.0,205246.0,0.9418
134.53,1789059496.7413,1406167.0,1227056.0,0.0,0.4346,10.0,0.0,1389234.0,29940.0,82.0,206374.0,0.8911
136.54,1789059498.7496,1458254.0,1278768.0,0.0,0.4393,10.0,0.0,1458254.0,30413.0,84.0,209899.0,0.9928
138.54,1789059500.7565,1483068.0,1303264.0,0.0,0.4706,11.0,0.0,1483068.0,31012.0,85.0,210816.0,0.9872
140.55,1789059502.7624,1502564.0,1320272.0,0.0,0.4414,10.0,0.0,1502564.0,31447.0,87.0,213739.0,0.8724
142.55,1789059504.7687,1569226.0,1386096.0,0.0,0.437,10.0,0.0,1551395.0,31969.0,90.0,214692.0,0.9874
