run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,compacted,restarted,phase
act_rustig_s10,3,worstelaar,1,4.426,7.302,4,0,9709,0,0,warmup
act_rustig_s10,4,worstelaar,1,4.392,13.383,2,0,13969,0,0,warmup
act_rustig_s10,7,afhaker,1,22.755,3.222,1,0,6767,0,0,warmup
act_rustig_s10,0,gemiddelde,1,22.091,10.2,3,0,12179,0,0,warmup
act_rustig_s10,1,afhaker,1,24.726,9.233,2,0,4796,0,0,warmup
act_rustig_s10,6,afhaker,1,39.002,1.79,1,0,5156,0,0,warmup
act_rustig_s10,8,gemiddelde,1,34.683,22.23,8,0,16698,0,0,warmup
act_rustig_s10,5,doorpakker,1,14.032,44.548,12,0,29010,0,0,warmup
act_rustig_s10,9,gemiddelde,1,41.505,18.041,8,0,17963,0,0,warmup
act_rustig_s10,2,worstelaar,1,21.816,39.641,2,0,12886,0,0,warmup
act_rustig_s10,5,doorpakker,2,109.928,26.947,9,0,32615,0,0,measure
act_rustig_s10,4,worstelaar,2,121.241,21.541,4,0,22196,0,0,measure
act_rustig_s10,0,gemiddelde,2,173.576,6.999,3,0,13652,0,0,measure
act_rustig_s10,8,gemiddelde,2,182.334,14.112,5,0,18500,0,0,measure
act_rustig_s10,5,doorpakker,3,156.762,51.974,15,0,33750,1,0,measure
act_rustig_s10,9,gemiddelde,2,215.652,13.1,7,0,19969,0,0,measure
act_rustig_s10,8,gemiddelde,3,245.43,9.713,6,0,20534,0,0,measure
act_rustig_s10,5,doorpakker,4,247.603,36.152,8,0,27849,1,0,measure
act_rustig_s10,4,worstelaar,3,284.136,15.929,4,0,19291,0,1,measure
act_rustig_s10,0,gemiddelde,3,320.914,20.822,8,0,17334,0,0,measure
act_rustig_s10,8,gemiddelde,4,338.129,13.084,7,0,17552,1,0,measure
act_rustig_s10,9,gemiddelde,3,340.68,12.691,6,0,21859,0,0,measure
act_rustig_s10,5,doorpakker,5,313.139,53.381,13,0,37360,0,0,measure
