t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789131731.2825,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.06,1789131733.3277,18859.0,0.0,0.0,0.0671,1.0,0.0,18859.0,45.0,1.0,18904.0,0.0
4.08,1789131735.3424,40405.0,16576.0,0.0,0.0857,2.0,0.0,40405.0,339.0,2.0,24168.0,0.7693
6.09,1789131737.3562,65137.0,17712.0,0.0,0.1589,3.0,1.0,40405.0,483.0,2.0,24312.0,0.0459
8.11,1789131739.3701,87888.0,28064.0,0.0,0.2148,4.0,0.0,87888.0,645.0,2.0,60469.0,0.455
10.12,1789131741.384,87888.0,28064.0,0.0,0.1982,3.0,0.0,87888.0,1283.0,3.0,61107.0,
12.14,1789131743.3992,87888.0,28064.0,0.0,0.2001,3.0,0.0,87888.0,1832.0,3.0,61656.0,
14.15,1789131745.4103,139944.0,75680.0,0.0,0.2141,3.0,0.0,139944.0,2191.0,5.0,66455.0,0.9147
16.16,1789131747.4234,182213.0,87040.0,0.0,0.2797,4.0,0.0,139944.0,2236.0,5.0,66500.0,0.2688
18.17,1789131749.4364,182213.0,87040.0,0.0,0.3233,4.0,1.0,139944.0,2254.0,5.0,66518.0,
20.21,1789131751.4699,211951.0,102688.0,0.0,0.3744,5.0,0.0,211951.0,2295.0,5.0,111558.0,0.5262
22.22,1789131753.4823,255614.0,121232.0,0.0,0.4112,7.0,0.0,223756.0,2776.0,5.0,117812.0,0.4247
24.23,1789131755.4916,302042.0,142576.0,0.0,0.4694,8.0,1.0,223756.0,2824.0,5.0,117860.0,0.4597
26.24,1789131757.5047,302042.0,142576.0,0.0,0.5204,8.0,2.0,255614.0,2873.0,5.0,137255.0,
28.25,1789131759.5176,333914.0,158672.0,0.0,0.5567,9.0,2.0,255614.0,2908.0,5.0,137290.0,0.505
30.27,1789131761.5303,356380.0,170032.0,0.0,0.615,10.0,2.0,302042.0,2972.0,5.0,162438.0,0.5057
32.28,1789131763.5414,399970.0,193424.0,0.0,0.6878,12.0,0.0,374495.0,3068.0,5.0,197179.0,0.5366
34.29,1789131765.5535,423299.0,216560.0,0.0,0.725,12.0,0.0,423299.0,3541.0,6.0,210280.0,0.9917
36.33,1789131767.5978,446831.0,228352.0,0.0,0.7688,13.0,0.0,446831.0,4132.0,6.0,222611.0,0.5011
38.35,1789131769.6079,554137.0,328864.0,0.0,0.7915,14.0,0.0,554137.0,5015.0,10.0,230288.0,0.9367
40.36,1789131771.6207,608298.0,371168.0,0.0,0.835,15.0,0.0,584393.0,5610.0,11.0,231331.0,0.7811
42.37,1789131773.6359,764896.0,501456.0,0.0,0.8467,15.0,1.0,718648.0,6358.0,16.0,246334.0,0.832
44.39,1789131775.651,764896.0,501456.0,0.0,0.8903,15.0,1.0,718648.0,6442.0,16.0,246418.0,
46.4,1789131777.6642,800071.0,535584.0,0.0,0.933,16.0,0.0,800071.0,6897.0,17.0,271384.0,0.9702
48.41,1789131779.6772,841192.0,568096.0,0.0,0.9672,17.0,0.0,817091.0,7873.0,18.0,280836.0,0.7906
50.42,1789131781.6861,888497.0,615152.0,0.0,0.9727,17.0,0.0,888497.0,9310.0,19.0,282655.0,0.9947
52.44,1789131783.7047,980268.0,703568.0,0.0,0.9363,16.0,0.0,980268.0,10482.0,23.0,287182.0,0.9634
54.46,1789131785.7215,1075317.0,797472.0,0.0,0.9114,15.0,0.0,1075317.0,11757.0,28.0,289602.0,0.988
56.47,1789131787.7363,1132020.0,852944.0,0.0,0.833,13.0,0.0,1132020.0,12958.0,32.0,292034.0,0.9783
