run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
engine_len_65k,14,worstelaar,1,0,2.046,3.422,0.6926,1.3759,0.001,9893,10490,,86,124.3942,0.0072,1,,warmup
engine_len_65k,14,worstelaar,1,1,3.424,8.073,0.218,4.6485,0.0006,10451,11062,,85,18.9592,0.0072,1,,warmup
engine_len_65k,1,gemiddelde,1,0,4.509,11.707,2.748,7.1981,0.0012,21816,22751,,393,88.0873,0.009,1,,warmup
engine_len_65k,12,gemiddelde,1,0,4.445,11.798,1.8237,7.3533,0.0647,24031,24732,,480,86.6251,0.009,1,,warmup
engine_len_65k,13,worstelaar,1,0,0.386,14.076,1.1728,13.6893,0.0005,17979,18849,,834,66.552,0.0089,1,,warmup
engine_len_65k,1,gemiddelde,1,1,11.709,14.077,0.1671,2.3666,0.0005,22096,23044,,139,62.7404,0.0092,1,,warmup
engine_len_65k,1,gemiddelde,1,2,14.078,21.531,3.7151,7.4527,0.0014,22370,23320,,155,41.2031,0.0108,1,,warmup
engine_len_65k,6,gemiddelde,1,0,16.261,31.599,2.7999,15.3371,0.0011,28569,29738,,232,18.4251,0.0109,1,,warmup
engine_len_65k,1,gemiddelde,1,3,21.533,32.25,0.1913,10.7165,0.0005,22898,23862,,93,8.7409,0.1412,1,,warmup
engine_len_65k,7,worstelaar,1,0,26.518,33.115,3.8547,6.5967,0.0004,17323,18115,,98,35.3755,0.0145,1,,warmup
engine_len_65k,13,worstelaar,1,1,14.077,33.117,3.7156,19.038,0.0016,18483,19370,,311,20.2318,0.0111,1,,warmup
engine_len_65k,19,gemiddelde,1,0,22.829,33.823,6.0162,10.9932,0.0019,30664,31872,,116,23.1063,0.0148,1,,warmup
engine_len_65k,9,gemiddelde,1,0,27.708,33.912,3.7527,6.2035,0.0004,24449,25475,,77,31.0102,0.0144,1,,warmup
engine_len_65k,5,afhaker,1,0,20.873,35.879,0.4879,15.0053,0.0012,11156,11805,,269,18.4606,0.0144,1,,warmup
engine_len_65k,9,gemiddelde,1,1,33.914,36.309,0.241,2.3952,0.0005,24818,25858,,52,23.6749,0.0147,1,,warmup
engine_len_65k,16,doorpakker,1,0,22.164,36.363,5.0573,14.1995,0.0007,44726,46428,,231,25.1582,0.0147,1,,warmup
engine_len_65k,8,gemiddelde,1,0,24.789,37.252,4.9262,12.4627,0.0004,21544,22466,,204,26.9355,0.0146,1,,warmup
engine_len_65k,16,doorpakker,1,1,36.366,38.657,0.7023,2.2913,0.0005,45320,47035,,84,52.2349,0.0151,1,,warmup
engine_len_65k,11,afhaker,1,0,36.308,40.27,0.5599,3.9616,0.0043,10839,11553,,114,33.2182,0.0152,1,,warmup
engine_len_65k,6,gemiddelde,1,1,31.601,40.898,0.2301,9.2966,0.0006,29069,30256,,354,38.9345,0.0149,1,,warmup
engine_len_65k,8,gemiddelde,1,1,37.254,41.571,0.1996,4.3165,0.0006,21769,22705,,163,39.35,0.0152,1,,warmup
engine_len_65k,9,gemiddelde,1,2,36.312,45.12,0.7568,8.8083,0.0007,25797,26851,,158,19.4996,0.0225,1,,warmup
engine_len_65k,8,gemiddelde,1,2,41.571,45.96,3.3782,4.3892,0.0012,21992,22944,,38,36.5981,0.0161,1,,warmup
engine_len_65k,5,afhaker,1,1,35.882,46.513,0.1801,10.6304,0.0005,11926,12589,,269,25.645,0.0155,1,,warmup
engine_len_65k,7,worstelaar,1,1,33.117,46.53,0.1632,13.4129,0.0126,17531,18336,,268,20.1515,0.015,1,,warmup
engine_len_65k,19,gemiddelde,1,1,33.825,46.612,0.2328,12.787,0.0005,30959,32180,,362,28.7553,0.0155,1,,warmup
engine_len_65k,1,gemiddelde,1,4,32.251,47.379,0.19,15.1277,0.0005,23102,24074,,230,15.3303,0.0149,1,,warmup
engine_len_65k,8,gemiddelde,1,3,45.962,47.934,0.1763,1.9724,0.0003,22246,23212,,47,25.6113,0.0159,1,,warmup
engine_len_65k,19,gemiddelde,1,2,46.615,48.77,0.3007,2.1554,0.0003,31935,33170,,73,38.8211,0.016,1,,warmup
engine_len_65k,15,gemiddelde,1,0,34.696,49.056,1.122,14.3597,0.0015,22558,23532,,438,33.0119,0.0157,1,,warmup
engine_len_65k,4,doorpakker,1,0,41.569,49.313,3.3789,7.7435,0.0024,44637,46248,,185,42.1574,0.0159,1,,warmup
engine_len_65k,19,gemiddelde,1,3,48.772,50.3,0.239,1.5282,0.0005,32119,33364,,74,56.6252,0.0159,1,,warmup
engine_len_65k,8,gemiddelde,1,4,47.935,50.75,0.2099,2.8138,0.0003,22566,23546,,135,51.4607,0.0159,1,,warmup
engine_len_65k,12,gemiddelde,1,1,11.814,51.01,0.6079,39.1952,0.0008,28281,28999,,1141,29.5434,0.0149,1,,warmup
engine_len_65k,10,worstelaar,1,0,46.989,51.039,0.8406,4.0497,0.0015,16215,17020,,166,51.4163,0.0158,1,,warmup
engine_len_65k,15,gemiddelde,1,1,49.057,51.805,0.1888,2.7471,0.0005,22821,23795,,105,40.6526,0.0157,1,,warmup
engine_len_65k,1,gemiddelde,1,5,47.38,52.385,0.4507,5.0041,0.0003,23346,24325,,235,51.39,0.0158,1,,warmup
engine_len_65k,2,doorpakker,1,0,14.075,53.511,3.7158,39.4348,0.0026,40788,42269,,1096,30.656,0.0153,1,,warmup
engine_len_65k,16,doorpakker,1,2,38.658,54.782,0.3077,16.124,0.0003,45545,47260,,531,33.5097,0.0157,1,,warmup
engine_len_65k,18,gemiddelde,1,0,39.05,55.755,1.1352,16.7051,0.0013,23061,23905,,615,39.4353,0.0157,1,,warmup
engine_len_65k,15,gemiddelde,1,2,51.809,56.6,0.3437,4.7905,0.0003,24869,25861,,206,46.1002,0.0155,1,,warmup
engine_len_65k,13,worstelaar,1,2,33.128,57.611,0.4725,24.4829,0.002,21340,22244,,801,33.3189,0.0155,1,,warmup
engine_len_65k,10,worstelaar,1,1,51.041,58.171,0.5693,7.129,0.0005,16717,17536,,293,44.5146,0.0155,1,,warmup
engine_len_65k,2,doorpakker,1,1,53.516,58.656,0.4411,5.1385,0.0007,42114,43612,,224,47.4733,0.0155,1,,warmup
engine_len_65k,12,gemiddelde,1,2,51.022,59.227,0.5868,8.2039,0.0013,31662,32394,,390,51.0694,0.0155,1,,warmup
engine_len_65k,1,gemiddelde,1,6,52.386,59.681,0.22,7.2944,0.0005,23559,24554,,392,55.2695,0.0154,1,,warmup
engine_len_65k,4,doorpakker,1,1,49.314,59.915,0.2803,10.6005,0.0005,44924,46549,,302,29.1661,0.0157,1,,warmup
engine_len_65k,4,doorpakker,1,2,59.917,61.382,0.2719,1.4655,0.0006,45238,46877,,62,51.107,0.0151,1,,warmup
engine_len_65k,15,gemiddelde,1,3,56.601,61.47,0.2167,4.8689,0.0005,25099,26105,,237,50.729,0.0152,1,,warmup
engine_len_65k,1,gemiddelde,1,7,59.682,62.065,0.2162,2.3825,0.0005,23794,24803,,131,60.0121,0.0151,1,,warmup
engine_len_65k,16,doorpakker,1,3,54.789,62.278,0.5075,7.4884,0.0006,47296,49025,,346,49.4204,0.0153,1,,warmup
engine_len_65k,10,worstelaar,1,2,58.172,62.424,0.3503,4.251,0.0005,16930,17762,,161,41.0191,0.0152,1,,warmup
engine_len_65k,2,doorpakker,1,2,58.657,62.425,0.2581,3.7665,0.0005,42350,43863,,197,55.8666,0.0151,1,,warmup
engine_len_65k,13,worstelaar,1,3,57.613,63.262,0.2067,5.6486,0.0005,21609,22526,,263,48.1446,0.0152,1,,warmup
engine_len_65k,16,doorpakker,1,4,62.279,64.301,0.2811,2.022,0.0005,47509,49252,,90,51.1228,0.0147,1,,warmup
engine_len_65k,11,afhaker,1,1,40.273,64.461,0.181,24.1869,0.0005,11729,12461,,770,32.0338,0.0162,1,,warmup
engine_len_65k,10,worstelaar,1,3,62.425,65.208,0.2149,2.7825,0.0023,17114,17960,,132,51.021,0.0145,1,,warmup
engine_len_65k,2,doorpakker,1,3,62.427,65.555,0.3274,3.1282,0.0014,42662,44187,,162,57.4831,0.0141,1,,warmup
engine_len_65k,4,doorpakker,1,3,61.384,65.686,0.2744,4.3023,0.0005,45473,47114,,203,50.1502,0.0145,1,,warmup
engine_len_65k,6,gemiddelde,1,2,40.899,65.817,0.2402,24.9175,0.0005,29303,30504,,1161,47.0067,0.0153,1,,warmup
engine_len_65k,16,doorpakker,1,5,64.303,66.24,0.2714,1.9369,0.0004,47722,49479,,84,49.8329,0.0136,1,,warmup
engine_len_65k,18,gemiddelde,1,1,55.764,66.277,0.4122,10.5131,0.0005,25452,26310,,586,57.9157,0.0149,1,,warmup
engine_len_65k,4,doorpakker,1,4,65.687,67.168,0.2653,1.4801,0.0003,45917,47571,,56,45.2759,0.0123,1,,warmup
engine_len_65k,16,doorpakker,1,6,66.241,68.21,0.2838,1.9684,0.0006,48000,49770,,86,50.4584,0.0126,1,,warmup
engine_len_65k,2,doorpakker,1,4,65.557,69.188,0.2547,3.6314,0.0005,42912,44441,,185,54.4917,0.0127,1,,warmup
engine_len_65k,4,doorpakker,1,5,67.169,69.653,0.2274,2.4846,0.0005,46104,47771,,129,56.7079,0.0128,1,,warmup
engine_len_65k,6,gemiddelde,1,3,65.819,70.082,0.2622,4.2624,0.0004,30328,31543,,253,62.9956,0.0128,1,,warmup
engine_len_65k,4,doorpakker,1,6,69.655,71.387,0.2511,1.7324,0.0005,46329,48013,,106,70.8831,0.0133,1,,warmup
engine_len_65k,16,doorpakker,1,7,68.211,71.684,0.3205,3.4723,0.0003,48711,50495,,213,67.2637,0.0132,1,,warmup
engine_len_65k,2,doorpakker,1,5,69.192,72.453,0.2928,3.2608,0.0005,43757,45303,,182,60.984,0.0133,1,,warmup
engine_len_65k,17,gemiddelde,1,0,21.873,73.228,2.1124,51.354,0.0011,31041,31858,,1866,37.8745,0.015,1,,warmup
engine_len_65k,18,gemiddelde,1,2,66.287,74.994,0.5777,8.7061,0.001,28131,29006,,528,64.8351,0.0132,1,,warmup
engine_len_65k,4,doorpakker,1,7,71.389,75.146,0.288,3.7565,0.0005,46572,48264,,184,52.76,0.0137,1,,warmup
engine_len_65k,6,gemiddelde,1,4,70.084,75.585,0.2289,5.5013,0.0005,30607,31835,,363,68.6593,0.0134,1,,warmup
engine_len_65k,15,gemiddelde,1,4,61.472,76.098,0.2739,14.6258,0.0005,25338,26354,,804,55.9508,0.0134,1,,warmup
